
[00:00:00.040 --> 00:00:09.600]   saliva
[00:00:09.600 --> 00:00:10.420]   as which
[00:00:10.420 --> 00:00:13.600]  ubby
[00:00:13.600 --> 00:00:26.100]   be the track the track the ad the and z baj hits 100 sayin I go to 1986 눌러 interconnect and, and, and, and, and, and, and, and, and, and, and, and, and,found, and, and, ener P. L. somehow. Z. deserve vegetables Big. Es.
[00:00:26.100 --> 00:00:27.600]   I.
[00:00:27.600 --> 00:00:28.800]  осто
[00:00:28.800 --> 00:00:29.140]   Perhaps the...
[00:00:29.440 --> 00:00:31.460]   Oh, boy.
[00:00:31.460 --> 00:00:56.360]   The following is a conversation with Mark Andreessen, co-creator of Mosaic, the first widely used web browser, co-founder of Netscape, co-founder of the legendary Silicon Valley venture capital firm Andreessen Horowitz, and is one of the most outspoken voices on the future of technology, including his most recent article, Why AI Will Save the World.
[00:00:56.360 --> 00:00:58.840]   This is Alex Friedman's podcast.
[00:00:58.840 --> 00:01:28.320]  , and I'm here to talk about the future of technology.
[00:01:28.320 --> 00:01:28.420]   We're going to talk about the future of technology.
[00:01:28.420 --> 00:01:28.480]   We're going to talk about the future of technology.
[00:01:28.480 --> 00:01:28.560]   We're going to talk about the future of technology.
[00:01:28.560 --> 00:01:28.580]   We're going to talk about the future of technology.
[00:01:28.580 --> 00:01:28.660]   We're going to talk about the future of technology.
[00:01:28.660 --> 00:01:28.840]   We're going to talk about the future of technology.
[00:01:28.840 --> 00:01:28.860]   We're going to talk about the future of technology.
[00:01:28.860 --> 00:01:28.860]   We're going to talk about the future of technology.
[00:01:28.860 --> 00:01:28.860]   We're going to talk about the future of technology.
[00:01:28.860 --> 00:01:28.860]   We're going to talk about the future of technology.
[00:01:28.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:01:58.880]   We're going to talk about the future of technology.
[00:01:58.880 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.900 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.900 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.900 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.900 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.900 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.900 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.900 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.900 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.900 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.900 --> 00:02:28.900]   We're going to talk about the future of technology.
[00:02:28.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:02:58.920]   We're going to talk about the future of technology.
[00:02:58.920 --> 00:03:28.940]   We're going to talk about the future of technology.
[00:03:28.940 --> 00:03:28.940]   We're going to talk about the future of technology.
[00:03:28.940 --> 00:03:28.940]   We're going to talk about the future of technology.
[00:03:28.940 --> 00:03:28.940]   We're going to talk about the future of technology.
[00:03:28.940 --> 00:03:28.940]   We're going to talk about the future of technology.
[00:03:28.940 --> 00:03:28.940]   We're going to talk about the future of technology.
[00:03:28.940 --> 00:03:28.940]   We're going to talk about the future of technology.
[00:03:28.940 --> 00:03:28.940]   We're going to talk about the future of technology.
[00:03:28.940 --> 00:03:28.940]   We're going to talk about the future of technology.
[00:03:28.960 --> 00:03:58.960]  , and we're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
