
[00:00:00.000 --> 00:00:04.340]   Hey, Kasa here.
[00:00:04.340 --> 00:00:09.780]   Today we're going to take a look at Atari-specific implementation details for PPO.
[00:00:09.780 --> 00:00:16.060]   In our last video, we have covered 11 general implementation details with PPO.
[00:00:16.060 --> 00:00:21.500]   In today's video, we'll continue this journey and take a look at 9 Atari-specific implementation
[00:00:21.500 --> 00:00:22.980]   details.
[00:00:22.980 --> 00:00:27.200]   A quick reminder is you can find out where these implementation details come from by
[00:00:27.200 --> 00:00:29.640]   checking out my blog post.
[00:00:29.640 --> 00:00:34.040]   At the end of this video, you'll know how to use PPO to train agents to play the Atari
[00:00:34.040 --> 00:00:35.900]   game Breakout.
[00:00:35.900 --> 00:00:41.840]   In particular, our performance would match Stable Baseline 3's PPO, reaching about 400
[00:00:41.840 --> 00:00:44.360]   episodic return in Breakout.
[00:00:44.360 --> 00:00:47.840]   You may find our episodic return on the left looks a little bit noisy.
[00:00:47.840 --> 00:00:52.320]   That is because we record the unprocessed raw episodic return from the environment,
[00:00:52.320 --> 00:00:56.880]   and we can always smooth it later.
[00:00:56.880 --> 00:00:59.960]   Without further ado, let's get started.
[00:00:59.960 --> 00:01:09.680]   Our first step is to go to the repo and make a copy of the ppo.py and rename it to ppo_atari.py.
[00:01:09.680 --> 00:01:15.560]   Then we're going to use our IDE spider to open the newly created file.
[00:01:15.560 --> 00:01:23.720]   Here we're going to change the gem ID to Breakout_NoFrameSkip-v4, which is the unmodified Breakout gem environment.
[00:01:23.720 --> 00:01:29.920]   Next, I'm going to scroll down and set up a RAID statement here so that we can run the
[00:01:29.920 --> 00:01:33.440]   script and play around with the vector environment.
[00:01:33.440 --> 00:01:38.720]   If you recall from our last video, we can check out the action space like this.
[00:01:38.720 --> 00:01:44.920]   Here the agent has four discrete actions, which are null operation, fire, moving right,
[00:01:44.920 --> 00:01:46.520]   and moving left.
[00:01:46.520 --> 00:01:51.080]   We can also check out the single observation space like this, and we see an observation
[00:01:51.080 --> 00:01:56.040]   is a 210x160 image with three channels.
[00:01:56.040 --> 00:02:00.440]   It's very important to understand that the original implementation does a lot of preprocessing
[00:02:00.440 --> 00:02:02.680]   to the environment.
[00:02:02.680 --> 00:02:08.760]   Let us import the Atari preprocessing wrappers from the stable_baselines3 library.
[00:02:08.760 --> 00:02:13.640]   Then we're going to implement the make_end function as follows.
[00:02:13.640 --> 00:02:17.920]   Notice the setup is the same as the previous make_end function, where we would use the
[00:02:17.920 --> 00:02:21.960]   record_episode_statistics and record_video wrapper.
[00:02:21.960 --> 00:02:27.520]   The only difference is that we would use these wrappers to do preprocessing of the environment.
[00:02:27.520 --> 00:02:31.840]   I am now going to remove the previous make_end function.
[00:02:31.840 --> 00:02:36.800]   Our first implementation detail is the no_op_reset_env wrapper.
[00:02:36.800 --> 00:02:43.200]   Here, if we command click on the wrapper, VS Code will take us to the source code.
[00:02:43.200 --> 00:02:48.060]   According to the documentation, this wrapper samples initial states by taking random number
[00:02:48.060 --> 00:02:50.560]   of noops on reset.
[00:02:50.560 --> 00:02:54.920]   Here we see it implements the reset function of the gem_wrapper.
[00:02:54.920 --> 00:03:00.720]   Every time the breakout noframescript-before environment gets reset, this wrapper samples
[00:03:00.720 --> 00:03:09.200]   a random number of noops between 0 and noop_max=30, then execute these noops and return the initial
[00:03:09.200 --> 00:03:11.280]   observation.
[00:03:11.280 --> 00:03:17.400]   According to the corresponding papers, this wrapper adds stochasticity to the environment.
[00:03:17.400 --> 00:03:21.600]   The second implementation detail is the max_and_skip_env wrapper.
[00:03:21.600 --> 00:03:25.280]   Here, we can go check out the source code again.
[00:03:25.280 --> 00:03:30.160]   The first thing the wrapper does is to skip 4 frames by default, and it will repeat the
[00:03:30.160 --> 00:03:33.400]   agent's last actions on the skipped frames.
[00:03:33.400 --> 00:03:38.640]   According to the DQM paper, this technique is introduced to save computational time.
[00:03:38.640 --> 00:03:43.960]   This wrapper also takes the maximum pixel values over the last 2 frames.
[00:03:43.960 --> 00:03:49.720]   And according to the DQM paper, this is for dealing with Atari environment quirks.
[00:03:49.720 --> 00:03:53.240]   The third implementation detail is the episodic live_env.
[00:03:53.240 --> 00:03:56.280]   Here, we check out the code again.
[00:03:56.280 --> 00:04:00.800]   For games where there is a live counter, such as Breakout, this wrapper will treat the end
[00:04:00.800 --> 00:04:07.000]   of live as the end of episode, returning done=true for every lost live.
[00:04:07.000 --> 00:04:11.760]   Note that this is also a training detail in the original DQM paper.
[00:04:11.760 --> 00:04:16.680]   The fourth implementation detail is the fire_reset_env wrapper.
[00:04:16.680 --> 00:04:19.360]   Let's check out the source code of the wrapper.
[00:04:19.360 --> 00:04:25.080]   So some Atari environments are stationary until the first fire action is being performed.
