
[00:00:00.440 --> 00:00:04.740]   Today I was going to talk about Temporal, so I'm not sure if people heard a bit of it.
[00:00:04.740 --> 00:00:10.020]   There's a lot of talk recently about everyone's making their own durable workflow engines,
[00:00:10.020 --> 00:00:13.340]   what these are and what these do and why is that such a new paradigm.
[00:00:13.340 --> 00:00:21.200]   Basically, a lot of the, in the past, this project has basically been born from Uber,
[00:00:21.200 --> 00:00:23.120]   from some engineers that left Uber.
[00:00:23.120 --> 00:00:28.060]   It was what Uber was using to orchestrate all their, you know, processes when you're
[00:00:28.060 --> 00:00:33.680]   booking a taxi. There's all these kind of like steps and states that goes on where like book a
[00:00:33.680 --> 00:00:39.340]   car, find a driver, the driver confirmed, all these kind of steps. What Uber did initially,
[00:00:39.340 --> 00:00:46.200]   they were like doing all the typical kind of like distributed message queue systems where you kind
[00:00:46.200 --> 00:00:54.060]   of have all these messages going across like message buses, like we use PubSub. Then they realized that
[00:00:54.060 --> 00:00:58.840]   basically this whole way of doing things is very annoying because you have to keep
[00:00:58.840 --> 00:01:05.960]   duct taping stuff around like Celery and Redis and whatever. So like, you know what,
[00:01:05.960 --> 00:01:10.900]   we just make an engine that helps us manage all these kind of steps and state and retries and
[00:01:10.900 --> 00:01:16.900]   make it so that, make it so that it's durable. So you can just write the code and basically it will
[00:01:16.900 --> 00:01:22.520]   execute based on exactly what you tell it to do. You don't have to keep handling edge cases of what
[00:01:22.520 --> 00:01:28.240]   this error, what if this error happens, what if we have to retry it this way and then do all these
[00:01:28.240 --> 00:01:35.200]   kind of things with dead letter queues. So they just tried to build this system. So basically like,
[00:01:35.200 --> 00:01:41.480]   what is a durable workflow engine? It's three things that we have to go into, like what's durable in the
[00:01:41.480 --> 00:01:46.920]   beginning. And it's basically just, you have something that is, um, a code execution that is
[00:01:46.920 --> 00:01:53.000]   persistent to basically the, what the inputs and the outputs that you have are persisted. They can be
[00:01:53.000 --> 00:01:59.160]   retried. They can be, um, restarted from scratch and you will have the same output like in, in, uh, in,
[00:01:59.160 --> 00:02:09.100]   in, in, in, in, in this way, it can, um, handle, um, these kind of status stateful tasks across a
[00:02:09.100 --> 00:02:15.360]   distributed system where you have multiple nodes operating multiple, uh, replicas of your application,
[00:02:15.360 --> 00:02:21.480]   uh, live. It doesn't matter if one of these things, one of these replicas goes down, your execution still
[00:02:21.480 --> 00:02:26.760]   continues with all this context that had baked in. So you can have the first part of you could buy one of
[00:02:26.760 --> 00:02:31.800]   these replicas and then the second part of your work will be executed by the second part of this,
[00:02:31.800 --> 00:02:38.440]   another replica, the context sold there. And it also pro it's also a means to provide distributed
[00:02:38.440 --> 00:02:43.080]   primitives, um, to your application, right? That you can be easily excited. Oh, wait, can you see my,
[00:02:43.080 --> 00:02:46.920]   where am I sharing? Is it like, uh, the temporal website?
[00:02:48.040 --> 00:02:50.920]   Like this side? Yeah. Yes. Okay. Let me see.
[00:02:50.920 --> 00:02:57.720]   Yeah. I'll probably have to go again in a second, but yeah. So what is, uh, the durable workflow,
[00:02:57.720 --> 00:03:03.640]   right? We're, we're at this part. And the workflow is, it's just a series of steps that you need to
[00:03:03.640 --> 00:03:10.120]   execute to, um, uh, to basically actually give a goal, whatever goal that is, it's up to you, up to the
[00:03:10.120 --> 00:03:14.520]   person that coding up the workflow, but it's basically a series of steps. They have to be executed in a
[00:03:14.520 --> 00:03:19.880]   particular sequence. Um, those, that sequence can have conditionals where, you know, if you have a
[00:03:19.880 --> 00:03:25.720]   condition in the, in the middle that you execute a different type of steps. And then the engine is
[00:03:25.720 --> 00:03:33.880]   basically the engine part is just the fact that all these, uh, orchestration scheduling, which tasks go to
[00:03:33.880 --> 00:03:40.280]   which worker, how do you discover these workers? How do you retry? This is all matched by the engine itself,
[00:03:40.280 --> 00:03:46.920]   instead of the programmer programming the workflow. So as a TLDR is busy, like the temple kind of shifts
[00:03:46.920 --> 00:03:53.240]   this burden of redundancy and recoverability to the platform itself, to temporal itself,
[00:03:53.240 --> 00:03:58.280]   instead of you having to code in and as business logic. And as I said before, there's less duct taping
[00:03:58.280 --> 00:04:05.000]   between all these solutions, like fast API, salary, Redis, uh, and allows for easier negative space
[00:04:05.000 --> 00:04:10.280]   programming. I'll go into this a bit later, but it's basically allows you to start thinking about
[00:04:10.280 --> 00:04:18.120]   the, your errors first exit and exit your program or retry your program. Um, as early as possible,
[00:04:18.120 --> 00:04:27.720]   instead of like letting the error BS be a afterthought. Right. So yeah. Cool. So let's get into the one-on-one.
[00:04:27.720 --> 00:04:33.480]   I'm, I'm, I'm sure some people here, I know Simonas has, has seen like a way of, of, um,
[00:04:33.480 --> 00:04:39.720]   writing workflows either via salary or hatchet or whatever. It's basically, there's a couple of
[00:04:39.720 --> 00:04:44.600]   building blocks and the main two building blocks of like temporal are activities and workflows.
[00:04:44.600 --> 00:04:52.600]   Activities are just simple, uh, units of, of work that have an input and provide an output.
[00:04:53.560 --> 00:04:58.280]   Uh, I won't go too much into the detail of the fact that these activities have to be immute. Uh,
[00:04:58.280 --> 00:05:06.600]   what's the word for it? Not immutable, but basically like when you, for the, for a, a specific input,
[00:05:06.600 --> 00:05:11.400]   your activity for eternity exact output every single time. So if you have the stuff that has side effects,
[00:05:11.400 --> 00:05:19.000]   like, um, a time-based activity or something like that, you need to use other temporal, um, features to
[00:05:19.560 --> 00:05:23.240]   handle that, but we won't get into that today because it's a bit too advanced and there's no
[00:05:23.240 --> 00:05:27.080]   point in getting into it right now. But basically activities are just functions. They're units of
[00:05:27.080 --> 00:05:35.240]   computation, uh, that live on a worker. And then these activities can be then compiled into a workflow.
[00:05:35.240 --> 00:05:42.040]   Um, so for example, here you can, you can have this workflow that just does like, uh, reduce some,
[00:05:42.040 --> 00:05:45.400]   where you give it a value, a list of integers and provide you an integer response,
[00:05:46.120 --> 00:05:52.360]   where for each of these values, it goes ahead and executes the sum activity, um, and then stores
[00:05:52.360 --> 00:05:57.480]   the result in total. The nice thing about this, as we mentioned before, is that these activities,
[00:05:57.480 --> 00:06:02.040]   they cannot be executed anywhere, right? So even if you're not, I mean, this is not very parallelizable
[00:06:02.040 --> 00:06:05.960]   because you have to do, I mean, you can't parallelize it if you want this reduced sum,
[00:06:05.960 --> 00:06:11.160]   but if you would have parallelizable workflows, for example, if you want to, I don't know, um,
[00:06:12.840 --> 00:06:18.120]   just run a, uh, uh, double function, right? On every single one of these integers,
[00:06:18.120 --> 00:06:24.120]   you can run that in parallel and then temporal instead of it's going to handle how it's maps
[00:06:24.120 --> 00:06:27.960]   those units of work to each of the workers, instead of you having to use a thread pool,
[00:06:27.960 --> 00:06:31.720]   and then you have these kind of redis in the background that has to like kind of coalesce
[00:06:31.720 --> 00:06:36.680]   between the different, uh, different workers that you're running, if you were running it traditionally
[00:06:36.680 --> 00:06:43.400]   without them. Yeah. Uh, as you can see here that every single activity can have a retry policy,
[00:06:43.400 --> 00:06:50.440]   basically like try this activity three times. And if it, um, if it fails after the third time,
[00:06:50.440 --> 00:06:57.320]   you fail the activity. And then in the workflow, you can also handle that failure gracefully or crash
[00:06:57.320 --> 00:07:01.640]   the whole process. And there's also other stuff that you can do. Like this activity should,
[00:07:01.640 --> 00:07:07.240]   it should, it should, uh, finish within 10 seconds of starting. Uh, that's a way for you to,
[00:07:07.240 --> 00:07:12.920]   you know, implement timeouts, uh, make sure that stuff's not hanging and so on and so forth.
[00:07:14.360 --> 00:07:23.400]   These activities and workflows are all assigned to a worker. So basically, um, as you can see here,
[00:07:23.400 --> 00:07:28.920]   we have this kind of worker called whatever. Um, the worker has a couple of workflows and a couple
[00:07:28.920 --> 00:07:34.520]   of activities assigned to it that allows you to kind of break down your dependencies, break down your,
[00:07:34.520 --> 00:07:40.040]   your Docker images that are these workers into more granular pieces. So you don't have to build a huge
[00:07:40.040 --> 00:07:45.560]   image that has all the activity defined defined on it. Uh, I think in the Saturn project, we have some
[00:07:45.560 --> 00:07:50.920]   workers that is very similar, right? We have some workers that can run, um, OCR. We have some workers
[00:07:50.920 --> 00:07:59.560]   that they run like other, other parts, but basically, um, a worker registers workflows and activities to it.
[00:07:59.560 --> 00:08:07.240]   And then temporal knows when it receives on this task queue, um, a, some workflow, it can route this,
[00:08:07.240 --> 00:08:13.880]   this task to one of these workers here. I could define the worker that would have a divide function and so on.
[00:08:13.880 --> 00:08:23.320]   Yeah. Sorry. Just a quick question. Um, so the workers, you would set up yourself, you deploy
[00:08:23.320 --> 00:08:29.400]   those and then you're linking to them here. Yeah. So actually this, this is a worker.
[00:08:29.400 --> 00:08:34.680]   So think about this main function here, right? This is actually a worker in this case. It's just
[00:08:34.680 --> 00:08:40.120]   executing it that is executing a function directly, right? It just, it doesn't, because I'm just trying
[00:08:40.120 --> 00:08:47.320]   to like showcase, um, how this works, but then you could also just like do work. Like you can be had like a worker
[00:08:47.320 --> 00:08:51.000]   and then worker does start
[00:08:51.000 --> 00:08:59.240]   and then that worker will just hang on there and then just wait and respond to, you know, tasks that it comes
[00:08:59.240 --> 00:09:05.720]   and then it gets from temporal. Yeah. So these are in, so I'm trying to understand. So like if
[00:09:05.720 --> 00:09:15.960]   in the example that we have like an API and then we have some workers, but then the API container should
[00:09:15.960 --> 00:09:22.760]   trigger those workers, is the worker, we're going to link to the worker from the API code?
[00:09:22.760 --> 00:09:27.720]   Nope. That's been, yeah, that's a nice part of it. Basically temporal sits in the, in the middle and
[00:09:27.720 --> 00:09:32.520]   handles this. So basically what the API will do, and I'll show you this, there's going to be example
[00:09:32.520 --> 00:09:38.440]   down in a bit after we look at some other stuff. Uh, what the API does when it, let's say receives like
[00:09:38.440 --> 00:09:45.240]   a chat streaming request, right? Like a spark. The API only does like, okay. Uh, it will have obviously
[00:09:45.240 --> 00:09:49.560]   obviously like the same way it's connected to Redis. You'll have like a temporal client and then we'll
[00:09:49.560 --> 00:09:55.080]   just be like, okay, Hey, temporal, I want to start this workflow. I want to run this workflow, go run
[00:09:55.080 --> 00:10:01.080]   this workflow for me and then provide me the response. And then basically, um, the API can just await that
[00:10:01.080 --> 00:10:07.320]   awaitable that it gets back from the, the temporal is decayed, the temporal client. Right. Um, and then
[00:10:07.320 --> 00:10:11.880]   temporal manages everything. So it's kind of like a, it's a, it's a thing in the middle that we will
[00:10:11.880 --> 00:10:19.240]   implement with queues and other kind of stuff that we're implementing right now. The, the client doesn't
[00:10:19.240 --> 00:10:23.880]   need to know about which workers, how they're implemented, which worker and has which workflow,
[00:10:23.880 --> 00:10:28.600]   which worker has, which some, which worker has using, which task queue, it just goes and they, okay, just
[00:10:28.600 --> 00:10:34.760]   give me this result. And then temporal implements that. So on the other side, on the worker side,
[00:10:34.760 --> 00:10:39.000]   the worker doesn't need to know how it's being called. Doesn't need to know who's being called.
[00:10:39.000 --> 00:10:44.920]   It just says, I am this workflow. I said, I'm this worker. I ha I can do these workflows. Hey,
[00:10:44.920 --> 00:10:55.400]   temporal route, these kinds of tasks to me. Yeah. Yes. Uh, in terms of task use, are you going to
[00:10:55.400 --> 00:11:02.520]   explain a bit more what is behind the scenes, what it uses for the queues? Can we use metrics for
[00:11:02.520 --> 00:11:09.720]   scheming workers? Yeah. Yeah. So yeah, I was going to go into that now and make it to me in a sec.
[00:11:09.720 --> 00:11:15.000]   So, okay. Another question in terms of you have function execute workflow, then you give the
[00:11:15.000 --> 00:11:22.440]   function and then basically the next is the values and those values, which supposed to get to the
[00:11:22.440 --> 00:11:29.240]   signature of the function, right? Yep. Okay. So you see here like the signature of the function is
[00:11:29.240 --> 00:11:38.760]   values list ends. This is like a, it's like a, a partial function execution, right? We're passing the
[00:11:38.760 --> 00:11:45.240]   function as a first class variable, the function itself, and then you pass it the values and then
[00:11:45.720 --> 00:11:51.320]   um, yeah, temporal goes and applies the values to this function to the values in its context.
[00:11:51.320 --> 00:12:03.000]   Yeah. And, and one more question in terms of those functions or how they called not steps, but, uh,
[00:12:03.000 --> 00:12:13.880]   activities, activities. Are they, uh, distributed across workers or up like instances, or they are in the same,
[00:12:13.880 --> 00:12:21.080]   like machine when they execute it. So, uh, uh, so basically what activity is on a single
[00:12:21.080 --> 00:12:26.440]   machine executing a single time? It's a unit of computation that the core, right? So you can't
[00:12:26.440 --> 00:12:31.560]   distribute an activity where you can distribute a workflow. So let's say like, if I want to execute,
[00:12:31.560 --> 00:12:34.840]   it's like, I want to double each of these numbers, right? I don't want to do it serially.
[00:12:34.840 --> 00:12:46.600]   I could just do like, uh, uh, for value and values, uh, await client execute workflow, uh, my workflow
[00:12:46.600 --> 00:12:51.800]   double, let's say if I have this and then have the value. And then this runs, this will execute,
[00:12:51.800 --> 00:12:57.640]   this will create three workflows, no, sorry, five workflows, which will run in parallel. And then
[00:12:57.640 --> 00:13:03.240]   Temporal is going to assign those to which worker is, is free to pick it up. All right.
[00:13:03.240 --> 00:13:10.680]   Okay. So as tomorrow said, like, let's just get into a bit of how Temporal works in the background,
[00:13:10.680 --> 00:13:15.880]   because we talked a lot about these kinds of things. So everything in the blue is basically
[00:13:17.960 --> 00:13:26.440]   the infrastructure that we abstract away, the queuing, the database, all these kind of things.
[00:13:26.440 --> 00:13:30.680]   But the most important parts in this is the database, the worker service, and these,
[00:13:30.680 --> 00:13:35.640]   the other ones we can kind of ignore for now, the history service and the whatever. Basically,
[00:13:35.640 --> 00:13:42.200]   the worker service is the part where the workers register with a Temporal cluster. So this is like,
[00:13:42.200 --> 00:13:47.960]   this gray thing here is a cluster. It's called a cluster, but it's actually not like a Kubernetes
[00:13:47.960 --> 00:13:50.760]   cluster, it's just like a collection of Temporal instances that run somewhere.
[00:13:50.760 --> 00:13:58.600]   These are the things that Temporal handles, right? So we only, when you deploy Temporal,
[00:13:58.600 --> 00:14:04.680]   it's all handled by Temporal. And then the workers are the ones that we handle. But yeah, so basically,
[00:14:04.680 --> 00:14:08.920]   when we create a worker, it registers with this worker service, it provides heartbeats to that service
[00:14:08.920 --> 00:14:15.400]   to make sure to tell Temporal it's alive. It gives Temporal like load metrics, so it knows how much
[00:14:15.400 --> 00:14:20.360]   you could, how much need more tasks it can take, if it's overloaded, and so on and so forth. This,
[00:14:20.360 --> 00:14:23.560]   you don't need to think about at all. It's all mapped by Temporal. All you have to do is,
[00:14:23.560 --> 00:14:27.880]   I have this workflow, I'm connected to this Temporal cluster, and these are the things that can run.
[00:14:27.880 --> 00:14:34.040]   Well, but the cluster basically handles all the durable state. And we'll get into that in a bit,
[00:14:34.040 --> 00:14:38.920]   but basically, every single time it provides an input, and every single time a workflow gets an
[00:14:38.920 --> 00:14:44.760]   output, that's being logged in Temporal. So that if the workflow needs to be retried, it knows how
[00:14:44.760 --> 00:14:50.520]   to retry that. It also handles dispatching of activities to work and workflows to workers,
[00:14:50.520 --> 00:14:56.120]   as we said before. Basically, it looks at the worker service, like which workers are available,
[00:14:56.120 --> 00:15:01.960]   which workers can take this task that I'm having on the queue, go and execute it. It handles all the
[00:15:01.960 --> 00:15:06.600]   retried policies. Basically, you set up a retried policy, I want to retry this activity three times,
[00:15:06.600 --> 00:15:10.600]   with a timeout of 30 seconds, and Temporal is going to make sure that that actually executes
[00:15:10.600 --> 00:15:17.320]   in that way. It handles signals, interrupts, and timers, and queries. We're going to get into this in a bit.
[00:15:17.320 --> 00:15:25.960]   And it also has a UI for visibility and management. The part that we handle is the workers. It's a much
[00:15:25.960 --> 00:15:30.760]   easier part to handle, because almost exclusively where you're going to put in the workers, the activities,
[00:15:30.760 --> 00:15:36.840]   and your workflows are going to be business logic, with very little decoration to tell Temporal,
[00:15:36.840 --> 00:15:41.720]   hey, this is a Temporal function, so execute it as such. So this is like the brains of the entire
[00:15:41.720 --> 00:15:48.200]   operation. So you handle creating the worker image with all the dependencies. You handle deploying the
[00:15:48.200 --> 00:15:55.160]   worker that connects to Temporal. And yeah, you can write these in multiple languages, in Python,
[00:15:55.160 --> 00:16:00.840]   and TypeScript, in Golang. I think you can also do it in Java. And you can also have a
[00:16:00.840 --> 00:16:07.960]   polyglot system, where you have a Go worker with a Python worker that collaborate together
[00:16:07.960 --> 00:16:13.960]   in a single workflow, which is great, because different languages are better used for different
[00:16:13.960 --> 00:16:20.440]   kinds of tasks. So you can have... I use Temporal for a personal project that I have. So I have a Go
[00:16:20.440 --> 00:16:29.640]   service that goes ahead and takes advantage of Go's really easy concurrency and asynchronous ability to
[00:16:29.640 --> 00:16:37.800]   scrape stuff, get data from LNs back and forth. And then I have in the same workflow, a Python worker that
[00:16:37.800 --> 00:16:43.160]   handles semantic routing and all these kind of things that are Python-based. And they work together in a
[00:16:43.160 --> 00:16:49.880]   single workflow, which is great. It allows you to really have polyglot systems. And because of...
[00:16:49.880 --> 00:16:59.640]   Yeah, never mind. Anyway, so why I think Temporal is the absolutely goated AI workflow engine
[00:16:59.640 --> 00:17:05.640]   is because it allows you to detangle your agent logic from your agent configuration.
[00:17:06.280 --> 00:17:14.280]   And you can have multiple agents as workflows running concurrently across multiple servers.
[00:17:14.280 --> 00:17:19.960]   You can have interrupts, incorrupting agents. You can make agents dynamically respond to signals. You can
[00:17:19.960 --> 00:17:27.800]   pause agents forever, for years, for decades, if you want, because the state is durable and saved in Temporal.
[00:17:27.800 --> 00:17:35.640]   And yeah, it handles failure gracefully. And it's easy for you to implement validation around
[00:17:35.640 --> 00:17:40.280]   where you need like guardrails and so on and so forth. And also in our case with Spark, you can handle
[00:17:40.280 --> 00:17:44.600]   background tasks really, really easily because you just be like, okay, I'm done with this conversation.
[00:17:44.600 --> 00:17:51.480]   I have a new conversation. Just create a new workflow, run a new workflow that saves this task. And then,
[00:17:51.480 --> 00:17:56.440]   you know, Temporal just takes care of that for you. You don't need to have like, it pops up to you and
[00:17:56.440 --> 00:18:03.000]   cloud run work in the works for you. That task is over there. You can even go so far as to say,
[00:18:03.000 --> 00:18:09.960]   I will not show the new conversation history until this background task that saved the new conversation
[00:18:09.960 --> 00:18:15.320]   history has completed. Because you can, you know, look at the state of the workflow and so on and so forth.
[00:18:16.360 --> 00:18:21.880]   So, I mean, I did a really quick kind of comparison between how we do stuff in Spark and how we could
[00:18:21.880 --> 00:18:25.960]   do it in Temporal because I think most people are very common with, are very aware of how stuff
[00:18:25.960 --> 00:18:31.000]   are in Spark. They have a user, they're going through a front and communicates with a Spark API.
[00:18:31.000 --> 00:18:35.960]   The Spark API posts up stuff from Redis or from database, you know, for agent configuration,
