
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.080]   - A listener to the podcast, Peter from Seattle,
[00:00:08.080 --> 00:00:11.560]   writes in, "Pastor John, what is the main difference
[00:00:11.560 --> 00:00:14.720]   "between Calvinism and Arminianism?
[00:00:14.720 --> 00:00:18.000]   "I'm trying to explain this to my 13-year-old son
[00:00:18.000 --> 00:00:19.400]   "and would love to boil it down
[00:00:19.400 --> 00:00:23.140]   "to one or two watershed differences.
[00:00:23.140 --> 00:00:24.380]   "What would those be?"
[00:00:26.360 --> 00:00:31.280]   - Okay, I am going to give him more than he asked for
[00:00:31.280 --> 00:00:33.780]   and then I'm gonna give him what he asked for, okay?
[00:00:33.780 --> 00:00:38.320]   I think it will be helpful for me to just walk through
[00:00:38.320 --> 00:00:42.680]   the so-called five points, because these five points
[00:00:42.680 --> 00:00:48.560]   are what the Arminian remonstrance in 1610
[00:00:48.560 --> 00:00:50.960]   threw back at the Calvinists.
[00:00:50.960 --> 00:00:52.720]   The Calvinists didn't come up with five points
[00:00:52.720 --> 00:00:53.900]   to start with.
[00:00:53.900 --> 00:00:57.200]   The Calvinists wrote their vision of what salvation
[00:00:57.200 --> 00:00:59.920]   looks like and how it happens under God's sovereignty
[00:00:59.920 --> 00:01:02.120]   and when the Arminians read that, they said,
[00:01:02.120 --> 00:01:04.900]   "These are five places we don't agree
[00:01:04.900 --> 00:01:07.640]   "and that's where we've gotten these five points."
[00:01:07.640 --> 00:01:10.920]   So if you wanna talk about what's the key
[00:01:10.920 --> 00:01:15.440]   soteriological differences between Arminianism, Calvinism,
[00:01:15.440 --> 00:01:17.000]   you gotta take these one by one.
[00:01:17.000 --> 00:01:18.120]   So here's what I'll do.
[00:01:18.120 --> 00:01:21.240]   I'll just give one sentence for each Calvinism
[00:01:21.240 --> 00:01:23.560]   and Arminianism under the five points
[00:01:23.560 --> 00:01:26.260]   and then I'll say what I would say to my 13-year-old.
[00:01:26.260 --> 00:01:28.840]   Depravity.
[00:01:28.840 --> 00:01:33.840]   Calvinism says people are so depraved and rebellious
[00:01:33.840 --> 00:01:36.660]   that they are unable to trust God
[00:01:36.660 --> 00:01:39.880]   without his special work of grace to change their hearts
[00:01:39.880 --> 00:01:44.880]   so that they necessarily and willingly, freely believe.
[00:01:44.880 --> 00:01:47.520]   Arminians say, with regard to depravity,
[00:01:47.520 --> 00:01:50.900]   people are depraved and corrupt,
[00:01:50.900 --> 00:01:55.900]   but are able to provide the decisive impulse
[00:01:55.900 --> 00:01:59.880]   to trust God with the general divine assistance
[00:01:59.880 --> 00:02:02.720]   that God gives to everybody.
[00:02:02.720 --> 00:02:04.800]   Election, number two.
[00:02:04.800 --> 00:02:07.220]   Calvinism says that we are chosen,
[00:02:07.220 --> 00:02:10.120]   God chooses unconditionally,
[00:02:10.120 --> 00:02:15.120]   whom he will mercifully bring to faith and salvation
[00:02:15.120 --> 00:02:20.240]   and whom he will justly leave in their rebellion.
[00:02:20.520 --> 00:02:24.620]   Arminians say God has chosen us, elected,
[00:02:24.620 --> 00:02:29.620]   to bring to salvation all those whom he foresaw
[00:02:29.620 --> 00:02:33.760]   would believe by bringing about their own faith,
