
[00:00:00.000 --> 00:00:20.100]   We titled this talk The Build-Operate Divide because we've observed this troubling trend
[00:00:20.100 --> 00:00:24.920]   where like good AI product concepts fail to reach their full potential due to operational
[00:00:24.920 --> 00:00:29.480]   challenges. So today Chris and I are going to be talking about some of the learnings we've
[00:00:29.480 --> 00:00:34.060]   leaned from like our experiences on the front lines operationalizing AI products at scale.
[00:00:34.060 --> 00:00:37.980]   By the end of this talk, we hope you're going to leave with an understanding of how you can
[00:00:37.980 --> 00:00:43.000]   kind of bridge that gap between product concept and operational reality by understanding how
[00:00:43.000 --> 00:00:48.880]   to deliver quality through evals, human review, and how you might build your teams around that.
[00:00:48.880 --> 00:00:54.540]   So a little bit about ourselves. My name is Jeremy. I lead product at a company called FreePlay
[00:00:54.540 --> 00:00:58.960]   which exists to help solve a lot of these operational problems and help companies ship great AI
[00:00:58.960 --> 00:00:59.960]   products.
[00:00:59.960 --> 00:01:03.540]   Hi, everyone. My name is Chris Hernandez. I lead our speech analytics team at Chime. I've
[00:01:03.540 --> 00:01:09.040]   been in the industry for about 10 years from a CX perspective and about nine years on the
[00:01:09.040 --> 00:01:11.540]   ML space. So I'm excited to be here.
[00:01:11.540 --> 00:01:24.280]   So both Chris and I kind of came from the traditional ML world into the Gen AI world and I thought it was like helpful to maybe take a note and talk about like what we feel like has changed in this transition.
[00:01:24.280 --> 00:01:49.280]   So I think the biggest difference in my mind is this decreased barrier to entry, right? In the traditional ML world like you need tons of data to even get started. There are these long model training cycle times and that barrier to entry just kind of like goes down significantly in a Gen AI world, right? Like you can now use the intelligence of the base models to be able to like make use of and leverage smaller data assets within your organization.
[00:01:49.280 --> 00:02:04.280]   And then what comes along with that is this like increased iteration speed, which is like as the barrier to entry goes down, the speed at which you can iterate starts to go up. And this increased iteration speed starts to accentuate the need for like a high quality ops function.
[00:02:04.280 --> 00:02:27.280]   So we want to take a look at why working across like dozens of different enterprise teams at free play. We've noticed this common trend emerge, which is companies will build an initial prototype. Maybe they'll even ship a V1 of that thing into production, but they have inevitably hit this sort of quality chasm as they try and go from a V1 to a V2 that really drives true value for the customer.
[00:02:27.280 --> 00:02:40.280]   And there's this reliability problem in there. And what we've seen is like the only way that you really cross that quality chasm and get to a reliable V2 is through iteration.
[00:02:40.280 --> 00:02:55.280]   And so we talk about this iteration loop as you move from monitoring to experimentation to testing, evaluation, and I use that word broadly speaking, human review, auto evaluation, like all these things all kind of come into play.
[00:02:55.280 --> 00:03:08.280]   But what happens is your product quality becomes a direct function of your ability to move through this loop, right? The faster you can iterate, the more times you can move through this loop, the better your product quality becomes.
[00:03:08.280 --> 00:03:19.280]   So ops kind of sits at the foundation of this. And especially as you start to scale, right? Like your ability to move through this loops is like ends up being an ops function.
[00:03:19.280 --> 00:03:28.280]   And the like not so subtle irony here is that to deliver high quality AI products, you actually need a ton of human elbow grease.
[00:03:28.280 --> 00:03:33.280]   And I'll pass it to Chris here to talk a little bit more about the importance of human experts in this process.
[00:03:33.280 --> 00:03:40.280]   Chris Alvarez: Cool. Awesome. You know, I made the joke that one day I was like, you know, the first time I saw LLMs, we started playing around with it.
[00:03:40.280 --> 00:03:45.280]   You know, I typed them like, I wonder if it actually knows like basic things like, who invented Wi-Fi?
[00:03:45.280 --> 00:03:49.280]   And then it spit out Abraham Lincoln. I was like, oh, my goodness, we're in some trouble.
[00:03:49.280 --> 00:03:55.280]   But all jokes aside, and maybe not that extreme, it is a good reminder that LLMs and even the smartest ones can make mistakes.
[00:03:55.280 --> 00:04:01.280]   And they often do it with a lot of confidence. So that's, of course, what we call hallucination.
