
[00:00:00.000 --> 00:00:02.000]   quiet quitting.
[00:00:02.000 --> 00:00:07.800]   I then went relatively deep on this topic over the weekend for a
[00:00:07.800 --> 00:00:09.200]   writing project.
[00:00:09.200 --> 00:00:11.300]   Something I was writing is for a book chapter for my slow productivity
[00:00:11.300 --> 00:00:11.700]   book.
[00:00:11.700 --> 00:00:16.500]   I went deep on this topic and did some research about where it started
[00:00:16.500 --> 00:00:19.200]   from and how it's being covered and what it's really all about.
[00:00:19.200 --> 00:00:22.900]   So I figured this was a good excuse today's episode to actually talk
[00:00:22.900 --> 00:00:25.500]   about quiet quitting.
[00:00:25.500 --> 00:00:41.800]   I'm Cal Newport and this is Deep Questions, episode 214.
[00:00:41.800 --> 00:00:50.600]   If you're new, this is the show where I answer questions from my
[00:00:50.600 --> 00:00:55.700]   audience about both the theory and practice of living and working
[00:00:55.700 --> 00:00:56.900]   deeply.
[00:00:56.900 --> 00:01:04.500]   I'm joined here as always in my Deep Work HQ by my producer, Jesse.
[00:01:04.500 --> 00:01:11.000]   Jesse, I don't know if you noticed the restaurant that we are above,
[00:01:11.000 --> 00:01:14.400]   or I should say were above, is out of business.
[00:01:14.400 --> 00:01:15.900]   Republic?
[00:01:15.900 --> 00:01:16.800]   Republic is shut down.
[00:01:16.800 --> 00:01:17.900]   What happened?
[00:01:18.700 --> 00:01:21.100]   Look, I don't want to say it's our fault.
[00:01:21.100 --> 00:01:23.000]   I'm just looking at the timeline.
[00:01:23.000 --> 00:01:25.000]   Successful restaurant.
[00:01:25.000 --> 00:01:26.800]   We move in upstairs.
[00:01:26.800 --> 00:01:28.600]   Restaurant closes.
[00:01:28.600 --> 00:01:29.100]   So I don't know.
[00:01:29.100 --> 00:01:30.100]   Maybe it's something we're doing.
[00:01:30.100 --> 00:01:34.800]   No, I think it was just pandemic, you know, they never really recovered.
[00:01:34.800 --> 00:01:36.000]   It's a big place.
[00:01:36.000 --> 00:01:36.900]   We went in there once.
[00:01:36.900 --> 00:01:38.500]   It kind of had an awkward layout.
[00:01:38.500 --> 00:01:43.800]   Yeah, it's a weird space, but I've been there for a long time, maybe
[00:01:43.800 --> 00:01:47.600]   five, six years, but they never came.
[00:01:47.600 --> 00:01:50.100]   I mean, after the pandemic, they were shut down for a while.
[00:01:50.100 --> 00:01:52.500]   And then when they came back, they never went all in.
[00:01:52.500 --> 00:01:55.800]   You see, remember the weird hours, like they weren't doing lunches.
[00:01:55.800 --> 00:01:57.000]   They were closing at nine.
[00:01:57.000 --> 00:01:58.600]   They were closed on Monday and Tuesday.
[00:01:58.600 --> 00:01:59.700]   So it's hard to get help.
[00:01:59.700 --> 00:02:00.600]   It's hard to get help.
[00:02:00.600 --> 00:02:04.200]   It's part of a restaurant group here in DC, the Black Group, and I think
[00:02:04.200 --> 00:02:09.400]   they only had so much capital and they're focusing it on other places.
[00:02:09.400 --> 00:02:10.300]   That's too bad.
[00:02:10.300 --> 00:02:12.500]   Yeah, but I was brainstorming.
[00:02:12.500 --> 00:02:13.900]   So like, here's the thought experiment.
[00:02:13.900 --> 00:02:14.600]   I'll get your thoughts.
[00:02:15.700 --> 00:02:18.300]   Imagine we had a show that was slightly bigger than ours.
[00:02:18.300 --> 00:02:23.500]   Let's say a Huberman, Fridman style show that would generate enough
[00:02:23.500 --> 00:02:28.800]   revenue that you could cover without breaking a sweat, the lease
[00:02:28.800 --> 00:02:29.800]   payment on that space.
[00:02:29.800 --> 00:02:30.600]   All right.
[00:02:30.600 --> 00:02:31.900]   So let's say we're in that situation.
[00:02:31.900 --> 00:02:33.600]   Like we, this is the space below us.
[00:02:33.600 --> 00:02:34.500]   It's this big, nice space.
[00:02:34.500 --> 00:02:36.000]   We need to take it over.
[00:02:36.000 --> 00:02:37.900]   What would we do with that space?
[00:02:37.900 --> 00:02:39.800]   What would you do, Jesse?
[00:02:39.800 --> 00:02:40.800]   What do you think we should do?
[00:02:40.800 --> 00:02:43.600]   I'd probably start bartending and feeding you drinks.
[00:02:43.600 --> 00:02:45.500]   You would just be bartending during the show.
[00:02:46.200 --> 00:02:48.600]   You are a really good bartender.
[00:02:48.600 --> 00:02:49.200]   That could be.
[00:02:49.200 --> 00:02:53.500]   So your recommendation, so Jesse's recommendation, and the people at
[00:02:53.500 --> 00:02:56.300]   Tacoma Park would appreciate this, would be to turn that space into a
[00:02:56.300 --> 00:03:02.100]   private bar that basically just served elaborate drinks to a single
[00:03:02.100 --> 00:03:02.800]   podcaster.
[00:03:02.800 --> 00:03:05.800]   Yeah, I don't know what to do with that space.
[00:03:05.800 --> 00:03:08.900]   I mean, hopefully another restaurant or bar comes in, I suppose.
[00:03:08.900 --> 00:03:12.100]   But yeah, sad.
[00:03:12.100 --> 00:03:12.800]   Yeah, sad.
[00:03:13.700 --> 00:03:16.800]   I should say, speaking of Jesse, if you have not been checking out the
[00:03:16.800 --> 00:03:20.700]   YouTube channel that goes with this show, you should.
[00:03:20.700 --> 00:03:23.400]   He's been doing some really interesting things with the videos.
[00:03:23.400 --> 00:03:28.900]   So if you look at videos of the full episodes now, there's a nice
[00:03:28.900 --> 00:03:29.500]   introduction.
[00:03:29.500 --> 00:03:34.500]   There's also a pardon the interruption style ticker on the side of the
[00:03:34.500 --> 00:03:34.900]   screen.
[00:03:34.900 --> 00:03:37.100]   So you can see what questions are coming up and where I am in the
[00:03:37.100 --> 00:03:38.300]   questions from the question blocks.
[00:03:38.300 --> 00:03:39.000]   I think that's nice.
[00:03:39.000 --> 00:03:42.500]   Some more editing is happening with the video clip.
[00:03:42.500 --> 00:03:47.300]   So if you're an audio only listener, you might want to check out what
[00:03:47.300 --> 00:03:48.200]   this show looks like.
[00:03:48.200 --> 00:03:52.400]   And you can see that at youtube.com/CalNewportMedia.
[00:03:52.400 --> 00:03:56.600]   All right, so I'm looking at our show notes here.
[00:03:56.600 --> 00:04:00.500]   We got two good blocks of questions.
[00:04:00.500 --> 00:04:04.700]   Looks like later on, I'm also going to introduce a case study, trying to
[00:04:04.700 --> 00:04:07.600]   do more of those, actually hear about someone who has applied some of
[00:04:07.600 --> 00:04:10.500]   this advice that we talked about and what it looked like.
[00:04:11.500 --> 00:04:13.800]   As always, I encourage you to submit your own questions.
[00:04:13.800 --> 00:04:15.400]   There's links right in the show notes.
[00:04:15.400 --> 00:04:19.700]   You go to a survey, boom, type it in, comes right to us.
[00:04:19.700 --> 00:04:23.500]   We appreciate any and all questions that you send in.
[00:04:23.500 --> 00:04:27.000]   All right, so before we get going with those questions, I want to start
[00:04:27.000 --> 00:04:31.100]   today as I often do with a deep dive.
[00:04:31.100 --> 00:04:36.700]   Many of you have been sending me notes and messages and articles about
[00:04:36.700 --> 00:04:42.700]   the current workplace related internet trend du jour, which is quiet
[00:04:42.700 --> 00:04:44.000]   quitting.
[00:04:44.000 --> 00:04:50.700]   I then went relatively deep on this topic over the weekend for a writing
[00:04:50.700 --> 00:04:51.100]   project.
[00:04:51.100 --> 00:04:53.300]   Something I was writing for a book chapter for my slow productivity
[00:04:53.300 --> 00:04:53.600]   book.
[00:04:53.600 --> 00:04:58.400]   I went deep on this topic and did some research about where it started
[00:04:58.400 --> 00:05:01.200]   from and how it's being covered and what it's really all about.
[00:05:01.200 --> 00:05:04.900]   So I figured this was a good excuse today's episode to actually talk
[00:05:04.900 --> 00:05:07.500]   about quiet quitting.
[00:05:07.500 --> 00:05:12.100]   So if you haven't heard of this, this is the timeline I was able to
[00:05:12.100 --> 00:05:13.500]   excavate through my research.
[00:05:13.500 --> 00:05:16.000]   This trend starts on TikTok.
[00:05:16.000 --> 00:05:17.500]   It starts in July.
[00:05:17.500 --> 00:05:23.400]   So there is a TikTok username at the time, ZKChillin.
[00:05:23.400 --> 00:05:28.900]   He has since changed his username, but his name was ZKChillin.
[00:05:28.900 --> 00:05:34.800]   He posted a 17 second video on TikTok that featured soft piano
[00:05:34.800 --> 00:05:38.700]   music playing over a montage of videos.
[00:05:38.700 --> 00:05:42.400]   There's one of it's him on the subway and then you see a downtown
[00:05:42.400 --> 00:05:45.600]   New York City Street and then a residential street and then for some
[00:05:45.600 --> 00:05:49.500]   reason a child's automated bubble machine.
[00:05:49.500 --> 00:05:53.600]   So it has this montage and you hear his voice and I wrote down what he
[00:05:53.600 --> 00:05:54.600]   says in that video.
[00:05:54.600 --> 00:05:59.900]   So he says, "I recently heard about this idea of quiet quitting where
[00:05:59.900 --> 00:06:03.000]   you're not quitting your job, but quitting the idea of going above and
[00:06:03.000 --> 00:06:04.300]   beyond in your work.
[00:06:05.300 --> 00:06:08.000]   Then he goes on a little bit, I won't read the whole thing, to reject
[00:06:08.000 --> 00:06:12.400]   hustle culture, to reject the idea that hustle culture demands, which
[00:06:12.400 --> 00:06:13.500]   is that your work is your life.
[00:06:13.500 --> 00:06:16.800]   And he says the reality is that it's not and your worth as a person is
[00:06:16.800 --> 00:06:18.800]   not defined by your labor.
[00:06:18.800 --> 00:06:21.900]   So that TikTok video becomes popular.
[00:06:21.900 --> 00:06:27.300]   Other TikTok users start posting videos about quiet quitting, in
[00:06:27.300 --> 00:06:30.300]   particular lots of profession specific videos.
[00:06:30.300 --> 00:06:34.500]   So there's a well-known one now that's a teacher talking about the
[00:06:34.500 --> 00:06:36.500]   demands of teaching and etc.
[00:06:36.500 --> 00:06:36.600]   Right?
[00:06:36.600 --> 00:06:38.200]   So it becomes a TikTok phenomenon.
[00:06:38.200 --> 00:06:42.300]   The mainstream media picks it up as far as I can tell early August.
[00:06:42.300 --> 00:06:47.400]   They pick this up and it has now been covered extensively in the
[00:06:47.400 --> 00:06:49.700]   mainstream media and other types of media since then.
[00:06:49.700 --> 00:06:52.800]   So it jumped from TikTok into mainstream discussion.
[00:06:52.800 --> 00:06:54.700]   So I'm loading up here on the screen.
[00:06:54.700 --> 00:06:58.100]   So for those of you who are watching this episode or segment on YouTube,
[00:06:58.200 --> 00:07:00.400]   you can actually see the article, but I'll narrate for those who are
[00:07:00.400 --> 00:07:01.000]   just listening.
[00:07:01.000 --> 00:07:08.100]   There is this article from The Guardian on August 6th, which I believe
[00:07:08.100 --> 00:07:11.600]   as far as I can tell is one of the first actual old-school media
[00:07:11.600 --> 00:07:14.500]   sources to tackle the topic.
[00:07:14.500 --> 00:07:19.000]   So it was titled "Quiet quitting while doing the bare minimum at work
[00:07:19.000 --> 00:07:22.900]   has gone global" and it was written by James Tapper.
[00:07:22.900 --> 00:07:26.300]   I just want to point out a couple things from this article and then
[00:07:26.300 --> 00:07:28.000]   what I want to do is give you my thoughts on all this.
[00:07:29.000 --> 00:07:33.300]   So this article opens, I just want to point this out by saying Bartleby
[00:07:33.300 --> 00:07:36.600]   is back, although no doubt he would prefer not to be.
[00:07:36.600 --> 00:07:39.800]   This is a very British way to open an article like that.
[00:07:39.800 --> 00:07:45.100]   There is a book, Melville wrote a short story, I think it's a novella
[00:07:45.100 --> 00:07:48.300]   short story, I think it's a short story, maybe novella, called Bartleby
[00:07:48.300 --> 00:07:49.200]   the Scrivener.
[00:07:49.200 --> 00:07:53.500]   It's actually one of the first, as far as I can tell, books about
[00:07:53.500 --> 00:07:55.300]   knowledge work on we.
[00:07:55.300 --> 00:07:57.500]   So check out that book if you haven't seen it.
[00:07:57.500 --> 00:08:01.500]   But anyways, that's very British. The number of American TikTok users
[00:08:01.500 --> 00:08:03.500]   who would know that reference, I'm going to assume is low.
[00:08:03.500 --> 00:08:06.400]   Alright, so let me jump ahead here.
[00:08:06.400 --> 00:08:07.200]   Here's another key quote.
[00:08:07.200 --> 00:08:12.100]   Instead, they are doing just enough in the office to keep up.
[00:08:12.100 --> 00:08:15.800]   So this is talking about the "quiet quitters" then leaving work
