
[00:00:00.000 --> 00:00:05.800]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.800 --> 00:00:10.200]   Whether you're making a traditional roasted turkey or spicy turkey tacos,
[00:00:10.200 --> 00:00:13.800]   your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.800 --> 00:00:17.800]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:00:17.800 --> 00:00:20.000]   Ralph's. Fresh for Everyone.
[00:00:20.000 --> 00:00:23.400]   We've locked in low prices to help you save big storewide.
[00:00:23.400 --> 00:00:27.400]   Look for the locked in low prices tags and enjoy extra savings throughout the store.
[00:00:27.400 --> 00:00:30.400]   Ralph's. Fresh for Everyone.
[00:00:30.400 --> 00:00:34.000]   It's Friday. Happy Friday, everybody. Today we do live Q&A.
[00:00:34.000 --> 00:00:53.400]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills,
[00:00:53.400 --> 00:00:56.600]   insight, and encouragement you need to live a rich and meaningful life.
[00:00:56.600 --> 00:01:00.200]   Now, while building a plan for financial freedom in 10 years or less.
[00:01:00.200 --> 00:01:04.400]   My name is Joshua Sheets. I am your host. Today is Friday. That means we do a live Q&A show.
[00:01:04.400 --> 00:01:08.200]   Open to the listeners of the show. Want to call in, talk about anything we want.
[00:01:08.200 --> 00:01:12.200]   I'm open to any questions. Happy to answer personal questions. Happy to discuss the themes of the show.
[00:01:12.200 --> 00:01:17.200]   These shows are, as one well-known talk show host says, "Open line Friday."
[00:01:22.600 --> 00:01:27.400]   I hate to ever steal anybody else's stuff, but you know, it's hard to beat open line Friday,
[00:01:27.400 --> 00:01:29.600]   especially in this particular context.
[00:01:29.600 --> 00:01:34.200]   But here on Fridays, any time that I can arrange the appropriate technology for me to be able to record,
[00:01:34.200 --> 00:01:36.600]   I do a live Q&A show with listeners of the show.
[00:01:36.600 --> 00:01:40.600]   If you would like to gain access to one of these live Q&A shows to talk to me,
[00:01:40.600 --> 00:01:43.400]   frankly, it's probably the best deal that you're ever going to get if you want to talk to me
[00:01:43.400 --> 00:01:46.000]   and talk about the particulars of your situation.
[00:01:46.000 --> 00:01:49.200]   You can do that by going to patreon.com/radicalpersonalfinance,
[00:01:49.200 --> 00:01:53.400]   patreon.com/radicalpersonalfinance, or just search "Patreon" for "Radical Personal Finance."
[00:01:53.400 --> 00:02:00.200]   Sign up to support the show there on Patreon, and that will, then you'll have access to the call information for these,
[00:02:00.200 --> 00:02:03.200]   so that you can call in and talk about whatever you want to talk about.
[00:02:03.200 --> 00:02:09.200]   And I love doing them. You guys have great questions and really great conversations with, really, everything that we talk about.
[00:02:09.200 --> 00:02:12.800]   So I'm so glad that you are here, and I'm excited. I'm happy.
[00:02:12.800 --> 00:02:15.000]   We've got five callers on the line right now, so let's go.
[00:02:15.000 --> 00:02:17.200]   All right, I needed to stall for about six seconds, but Jeremy, you're on.
[00:02:17.200 --> 00:02:20.200]   Jeremy, welcome to the show. How can I serve you today, sir?
[00:02:20.200 --> 00:02:27.200]   Hi, Joshua. After listening to some past episodes in which you discussed Bitcoin, I had a few questions on the topic.
[00:02:27.200 --> 00:02:28.200]   Okay.
[00:02:28.200 --> 00:02:38.200]   So I guess first, are you still a supporter of Bitcoin, and would you recommend it as a store of value or long-term investment in a diversified portfolio?
[00:02:38.200 --> 00:02:39.200]   I—
[00:02:39.200 --> 00:02:40.200]   Second—
[00:02:40.200 --> 00:02:41.200]   Go ahead.
[00:02:41.200 --> 00:02:43.200]   Sorry. My wife and I are business owners.
[00:02:43.200 --> 00:02:54.200]   And I'm just wondering, if we're planning on offering Bitcoin as a payment option to our contractors, is the purchase of Bitcoin a deductible business expense?
[00:02:54.200 --> 00:03:01.200]   And my last question was, I'm wondering if you're familiar with the company BlockFi or similar companies.
[00:03:01.200 --> 00:03:06.200]   BlockFi lets you deposit cryptocurrencies and pays you interest on the deposits.
[00:03:06.200 --> 00:03:14.200]   So the current rates right now, the current APY on Bitcoin balances is 6% and goes up to 8.5% for other cryptos.
[00:03:14.200 --> 00:03:18.200]   And the interest compounds and is paid in the cryptocurrency of your choosing.
[00:03:18.200 --> 00:03:23.200]   Just curious if you're familiar with services like that and if you would recommend them.
[00:03:23.200 --> 00:03:27.200]   One of my goals for 2020 was to become a cryptocurrency expert.
[00:03:27.200 --> 00:03:36.200]   I'm not a cryptocurrency expert, and that particular goal was consumed by—was subsumed by other things that I was involved in.
[00:03:36.200 --> 00:03:39.200]   And so I am behind where I feel like I should be.
[00:03:39.200 --> 00:03:50.200]   And so you need to filter my answers through that lens that, okay, Joshua is probably more informed than the average person, but he is by no means an expert.
[00:03:50.200 --> 00:03:55.200]   So the first—answer to your first question, do I support Bitcoin?
[00:03:55.200 --> 00:04:06.200]   The answer to the question first and foremost is yes, I support the concept of Bitcoin and the concept of cryptocurrency more than I ever have before in my life.
[00:04:06.200 --> 00:04:11.200]   I generally adhere from a monetary perspective.
[00:04:11.200 --> 00:04:20.200]   I generally adhere to the idea that people should be able to use any medium of exchange that they wish to use.
[00:04:20.200 --> 00:04:23.200]   That would align with what's known as the Austrian school of economics.
[00:04:23.200 --> 00:04:34.200]   And so I think that you should be able to print your own money in your basement and that you should be able to use that for anybody who will accept what you choose to print or what you choose to create as money.
[00:04:34.200 --> 00:04:39.200]   And so I would like to see a world in which we have lots and lots of competing currencies.
[00:04:39.200 --> 00:04:44.200]   At the moment, we've generally only had that among national governments.
[00:04:44.200 --> 00:04:49.200]   Now, it is possible, you see, that certain town will create a local town currency.
[00:04:49.200 --> 00:04:59.200]   It's not necessarily illegal for people to use something else as currency, but most of the competition among currencies has flown on a nation-state basis.
[00:04:59.200 --> 00:05:08.200]   So you have the U.S. dollar competing against the British pound, competing against the Chinese yuan, competing against the Japanese yen, competing against the euro, competing against the Swiss franc.
[00:05:08.200 --> 00:05:14.200]   And these national currencies are controlled by the Federal Reserve Banks generally of those countries.
[00:05:14.200 --> 00:05:18.200]   And so I don't mind if a national government wants to create a currency.
[00:05:18.200 --> 00:05:23.200]   I just wish that the rest of us had the opportunity to compete more with them.
[00:05:23.200 --> 00:05:28.200]   Now, over the years, this has been a big argument about, well, maybe we should change something.
[00:05:28.200 --> 00:05:30.200]   There's all the arguments about the Federal Reserve, et cetera.
[00:05:30.200 --> 00:05:34.200]   That system, as far as I can see, is not likely to change anytime soon.
[00:05:34.200 --> 00:05:40.200]   And so what I do like is I like the idea of people being able to have other choices.
[00:05:40.200 --> 00:05:43.200]   But the other choices are quite limited.
[00:05:43.200 --> 00:05:48.200]   And the other choices that have traditionally held true have some significant problems.
[00:05:48.200 --> 00:05:57.200]   So, for example, I encourage, when practical and when possible, I personally encourage the use of gold and silver coins as a medium of exchange.
[00:05:57.200 --> 00:05:59.200]   I own gold and silver coins.
[00:05:59.200 --> 00:06:02.200]   I would be happy to take gold and silver coins as payment.
[00:06:02.200 --> 00:06:06.200]   I'm happy to give gold and silver coins as payment, sort of, which I'll come back to in a moment.
[00:06:06.200 --> 00:06:17.200]   But that system really only works with a physical environment where, yes, I could go to my neighbor and we could exchange gold and silver coins for services offered.
[00:06:17.200 --> 00:06:19.200]   But that, number one, nobody knows what they're worth.
[00:06:19.200 --> 00:06:21.200]   Nobody's really in tune with it.
[00:06:21.200 --> 00:06:23.200]   Nobody knows what to do with them when they get them.
[00:06:23.200 --> 00:06:34.200]   And so as much as those who are gold bugs and silver bugs would like to argue that they should be more universal, it just doesn't seem to me that we're going back to that physical world, which leaves us kind of in a quandary.
[00:06:34.200 --> 00:06:43.200]   We need some kind of digital money, but yet the only real digital money that we can use is the money associated with a national government, such as the U.S. dollars.
[00:06:43.200 --> 00:06:46.200]   The vast majority of U.S. dollars are digital currency.
[00:06:46.200 --> 00:06:50.200]   They don't exist in any physical form, but they work really well.
[00:06:50.200 --> 00:06:54.200]   And so you see that U.S. dollars fill that function.
[00:06:54.200 --> 00:07:06.200]   But over the past few years, I've grown really, really nervous about our reliance and dependency on one particular currency because of all of the gatekeepers.
[00:07:06.200 --> 00:07:09.200]   And so let's talk from a U.S. American perspective.
[00:07:09.200 --> 00:07:29.200]   The U.S. government has done a wonderful job of barring and of putting people – of putting massive obstruction up against people to use U.S. dollars in a digital form without giving up their privacy and without giving up every detail of their life.
[00:07:29.200 --> 00:07:43.200]   So I had a tremendous problem recently opening a number of bank accounts that I needed, and I was turned down by three different banks in order to open a bank account simply because I have an unusual physical profile.
[00:07:43.200 --> 00:07:48.200]   My physical profile doesn't look like most people's where I say, "Yes, I live at 123 Maple Street.
[00:07:48.200 --> 00:07:49.200]   Here's everything.
[00:07:49.200 --> 00:07:51.200]   My physical profile is different."
[00:07:51.200 --> 00:07:53.200]   And so I got turned down across the board.
[00:07:53.200 --> 00:07:59.200]   And that just showed me how reliant I am on the banking systems.
[00:07:59.200 --> 00:08:00.200]   And I've done international banking.
[00:08:00.200 --> 00:08:03.200]   I've had trouble getting international bank accounts across the world.
[00:08:03.200 --> 00:08:10.200]   It just seems like if you want a bank account – and to be clear, I'm involved in nothing illegal.
[00:08:10.200 --> 00:08:12.200]   I do nothing illegal.
[00:08:12.200 --> 00:08:18.200]   I simply have a different profile than most people because of the way that I live my life and the way that I move around, et cetera.
[00:08:18.200 --> 00:08:20.200]   I'm a U.S. citizen, born and raised.
[00:08:20.200 --> 00:08:26.200]   But yet because of my weird addresses and whatnot, it's a tremendous problem.
[00:08:26.200 --> 00:08:35.200]   And so even though my actual needs for the bank account were fairly straightforward, I had a very, very difficult time even getting a bank account.
[00:08:35.200 --> 00:08:49.200]   In addition, I had a very frustrating experience that having been approved for one bank account and then having that bank account denied for me later after the bank continued their process of due diligence and whatnot.
[00:08:49.200 --> 00:08:53.200]   I failed some of their screens because I looked like an abnormal person.
[00:08:53.200 --> 00:08:56.200]   Now, obviously, there is a solution to this.
[00:08:56.200 --> 00:08:59.200]   I could move to 123 Maple Street in any town in the USA.
[00:08:59.200 --> 00:09:02.200]   I could align everything with that, and I could have a normal profile.
[00:09:02.200 --> 00:09:13.200]   And I've actually come to the point where I now recommend that to many people rather than some of the other services because it's very hard to do business in the modern world if you have any kind of unusual profile.
[00:09:13.200 --> 00:09:14.200]   I could do that.
[00:09:14.200 --> 00:09:17.200]   But I've learned that this is really troubling.
[00:09:17.200 --> 00:09:23.200]   In addition, I've watched a number of areas that I care about go out of political favor.
[00:09:23.200 --> 00:09:29.200]   So, for example, over the last couple of years, just two – I'm sure that there are more, but I'll use three.
[00:09:29.200 --> 00:09:30.200]   Okay?
[00:09:30.200 --> 00:09:31.200]   So there are three important examples.
[00:09:31.200 --> 00:09:40.200]   Number one would be the problem with people who are involved in the marijuana industry to get banking services.
[00:09:40.200 --> 00:09:52.200]   We in the United States have this very strange and difficult situation where people who are involved in the marijuana – so marijuana is still illegal at a federal level.
[00:09:52.200 --> 00:10:07.200]   And yet there are many states, including the District of Columbia, right, there are many states who have legalized the use of marijuana, some under medical restriction, some with no restrictions at all, or some with – for recreational use but with amounts.
[00:10:07.200 --> 00:10:14.200]   And so you have people who are operating businesses who are involved in the local market.
[00:10:14.200 --> 00:10:15.200]   They're operating businesses.
[00:10:15.200 --> 00:10:18.200]   They're not hiding in a back alley doing drug deals on the corner of street.
[00:10:18.200 --> 00:10:24.200]   They simply have a store there on the front – on Main Street in many cases where they're selling marijuana.
[00:10:24.200 --> 00:10:32.200]   But these businesses, because of the federal regulation of banks, they have a very difficult time getting any kind of banking services.
[00:10:32.200 --> 00:10:34.200]   They have a difficult time setting up merchant payment accounts.
[00:10:34.200 --> 00:10:36.200]   They have a difficult time getting banking services.
[00:10:36.200 --> 00:10:38.200]   In most cases it's impossible.
