
[00:00:00.000 --> 00:00:03.000]   ♪ Blessing in the mornin' ♪
[00:00:03.000 --> 00:00:05.000]   ♪ Come back Sunday morning ♪
[00:00:05.000 --> 00:00:08.000]   California's top casino and entertainment destination
[00:00:08.000 --> 00:00:11.000]   is now your California to Vegas connection.
[00:00:11.000 --> 00:00:14.000]   Play at Yamava Resort and Casino at San Manuel
[00:00:14.000 --> 00:00:17.000]   to earn points, rewards, and complimentary experiences
[00:00:17.000 --> 00:00:21.000]   for the iconic Palms Casino Resort in Las Vegas.
[00:00:21.000 --> 00:00:23.000]   ♪ We got the store to sell ♪
[00:00:23.000 --> 00:00:26.000]   Two destinations, one loyalty card.
[00:00:26.000 --> 00:00:29.000]   Visit yamava.com/palms to discover more.
[00:00:30.000 --> 00:00:32.000]   - Welcome to Radical Personal Finance,
[00:00:32.000 --> 00:00:34.000]   a show dedicated to providing you with the knowledge,
[00:00:34.000 --> 00:00:36.000]   skills, insight, and encouragement you need
[00:00:36.000 --> 00:00:38.000]   to live a rich and meaningful life now
[00:00:38.000 --> 00:00:40.000]   while building a plan for financial freedom
[00:00:40.000 --> 00:00:42.000]   in 10 years or less.
[00:00:42.000 --> 00:00:43.000]   My name is Josh Rasheeds, I'm your host,
[00:00:43.000 --> 00:00:45.000]   and today I'm gonna share with you
[00:00:45.000 --> 00:00:47.000]   one of my 2021 projects,
[00:00:47.000 --> 00:00:51.000]   which was to teach my children French
[00:00:51.000 --> 00:00:57.000]   and track how much results I could get in one year.
[00:00:57.000 --> 00:01:00.000]   And it was pretty exciting in terms of the actual results.
[00:01:00.000 --> 00:01:02.000]   I was able to take one of my children,
[00:01:02.000 --> 00:01:05.000]   my eight-year-old reader, from zero exposure
[00:01:05.000 --> 00:01:09.000]   to the French language to reading at grade level
[00:01:09.000 --> 00:01:12.000]   and enjoying the same content that is created
[00:01:12.000 --> 00:01:16.000]   for students of his own age in French
[00:01:16.000 --> 00:01:18.000]   in less than one year.
[00:01:18.000 --> 00:01:19.000]   And this is very exciting to me
[00:01:19.000 --> 00:01:24.000]   because it has been a fairly pain-free process,
[00:01:24.000 --> 00:01:25.000]   it's been an enjoyable process,
[00:01:25.000 --> 00:01:27.000]   it hasn't been a battle in any way,
[00:01:27.000 --> 00:01:28.000]   it's been pretty exciting.
[00:01:28.000 --> 00:01:31.000]   So in today's show, I wanna share with you
[00:01:31.000 --> 00:01:34.000]   specifically what I have done that has worked
[00:01:34.000 --> 00:01:36.000]   so that you might have some tools
[00:01:36.000 --> 00:01:39.000]   to be able to try new things with your own children
[00:01:39.000 --> 00:01:41.000]   and get better results.
[00:01:41.000 --> 00:01:42.000]   Now, why am I excited about this?
[00:01:42.000 --> 00:01:44.000]   I'm excited about it because this is the second time
[00:01:44.000 --> 00:01:45.000]   that I have done it.
[00:01:45.000 --> 00:01:49.000]   And the reason I made this a project for the year
[00:01:49.000 --> 00:01:52.000]   is I wasn't sure what kind of results I could get.
[00:01:52.000 --> 00:01:54.000]   We did this one time around with Spanish
[00:01:54.000 --> 00:01:56.000]   and I was impressed with the results there,
[00:01:56.000 --> 00:01:58.000]   but I hadn't measured them carefully,
[00:01:58.000 --> 00:02:00.000]   I hadn't paid much attention to the time,
[00:02:00.000 --> 00:02:02.000]   and so I didn't have the best of data.
[00:02:02.000 --> 00:02:03.000]   This time around, I was like,
[00:02:03.000 --> 00:02:05.000]   "Hey, I think I've got some pretty good methods here.
[00:02:05.000 --> 00:02:08.000]   "Let me try this with my actual data
[00:02:08.000 --> 00:02:11.000]   "and see what happens."
[00:02:11.000 --> 00:02:13.000]   And I got even better results.
[00:02:13.000 --> 00:02:16.000]   And so now I wanna share some of those results with you.
[00:02:16.000 --> 00:02:19.000]   But to begin, let's back up to the topic of education.
[00:02:19.000 --> 00:02:21.000]   Why am I talking about education
[00:02:21.000 --> 00:02:23.000]   and foreign language education here at Radical Learning?
[00:02:23.000 --> 00:02:26.000]   Why am I talking about education here at Radical Personal Finance?
[00:02:26.000 --> 00:02:30.000]   Well, quite simply, education and educational goals
[00:02:30.000 --> 00:02:34.000]   are at the heart of virtually any financial plan.
[00:02:34.000 --> 00:02:37.000]   If you talk to somebody about their financial goals,
[00:02:37.000 --> 00:02:39.000]   they will usually involve some expression
[00:02:39.000 --> 00:02:42.000]   of financial independence, financial freedom.
[00:02:42.000 --> 00:02:46.000]   But if they have children, their number two category,
[00:02:46.000 --> 00:02:48.000]   and sometimes number one category,
[00:02:48.000 --> 00:02:50.000]   is always gonna be education.
[00:02:50.000 --> 00:02:53.000]   Having the very best education
[00:02:53.000 --> 00:02:56.000]   that we can possibly have for our children.
[00:02:56.000 --> 00:02:59.000]   And we spend a lot of money on this goal.
[00:02:59.000 --> 00:03:01.000]   Rightfully so.
[00:03:01.000 --> 00:03:04.000]   Given that we live in an information society,
[00:03:04.000 --> 00:03:08.000]   the most highly educated among us have a tremendous leg up.
[00:03:08.000 --> 00:03:12.000]   And so spending money on our children's education
[00:03:12.000 --> 00:03:16.000]   is one of the best investments that is available to us as parents.
[00:03:16.000 --> 00:03:19.000]   The amount of money we spend is really, really significant.
[00:03:19.000 --> 00:03:21.000]   It doesn't all depend on college,
[00:03:21.000 --> 00:03:23.000]   although certainly it's not in any way uncommon
[00:03:23.000 --> 00:03:26.000]   for people to have a goal of saving six figures
[00:03:26.000 --> 00:03:29.000]   or multiple six figures to pay for their children's college education.
[00:03:29.000 --> 00:03:31.000]   It starts at the very earliest of ages,
[00:03:31.000 --> 00:03:35.000]   where most wealthy people will quite happily spend
[00:03:35.000 --> 00:03:40.000]   five figures a year for private school tuition for their children.
[00:03:40.000 --> 00:03:42.000]   The numbers vary depending on what city you're in,
[00:03:42.000 --> 00:03:44.000]   depending on what school you're at,
