
[00:00:00.000 --> 00:00:05.800]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.800 --> 00:00:10.200]   Whether you're making a traditional roasted turkey or spicy turkey tacos,
[00:00:10.200 --> 00:00:13.800]   your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.800 --> 00:00:17.800]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:00:17.800 --> 00:00:20.000]   Ralph's. Fresh for Everyone.
[00:00:20.000 --> 00:00:25.000]   Choose from a great selection of digital coupons and use them up to five times in one transaction.
[00:00:25.000 --> 00:00:26.600]   Check our app for details.
[00:00:26.600 --> 00:00:29.000]   Ralph's. Fresh for Everyone.
[00:00:30.000 --> 00:00:34.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight,
[00:00:34.000 --> 00:00:37.000]   and encouragement you need to live a rich and meaningful life now,
[00:00:37.000 --> 00:00:39.800]   while building a plan for financial freedom in ten years or less.
[00:00:39.800 --> 00:00:43.600]   My name is Joshua Sheets, and today we're going to continue our series on building financial freedom
[00:00:43.600 --> 00:00:47.600]   by making sure your children are not dependent on you for too long.
[00:00:47.600 --> 00:00:52.200]   One of the components of this series is how to invest in your children when very young.
[00:00:52.200 --> 00:00:57.600]   And of course, the thing that I've mentioned several times is that I have long believed that
[00:00:57.600 --> 00:01:01.600]   the money that we spend on our children is often most effectively spent,
[00:01:01.600 --> 00:01:06.000]   has the highest return on investment, when we invest it in their children when they are young.
[00:01:06.000 --> 00:01:11.400]   And yet, these are ideas that I haven't developed fully for you in the podcast up till now.
[00:01:11.400 --> 00:01:14.200]   And so I've been trying to give them deep attention here,
[00:01:14.200 --> 00:01:20.200]   talk with you about them in great detail to give you ideas about how to invest in your children.
[00:01:20.200 --> 00:01:26.800]   However, one of the reasons this is important is to simply fulfill that little claim that I make in the tagline every day,
[00:01:26.800 --> 00:01:30.800]   how to build a plan for financial freedom in ten years or less.
[00:01:30.800 --> 00:01:36.800]   And the idea here is just simply, if you can do a good job in the first ten years of your children's life,
[00:01:36.800 --> 00:01:44.800]   then you shouldn't have so many financial obligations, unless you want to, down the road.
[00:01:44.800 --> 00:01:50.000]   But if you don't do a good job early in your children's life, you can wind up with many financial obligations.
[00:01:50.000 --> 00:01:55.000]   And so I think this series is trying to help you to help fulfill that tagline,
[00:01:55.000 --> 00:02:00.800]   even though we're not talking necessarily about how to make more money for you, so that you can be financially free.
[00:02:00.800 --> 00:02:07.200]   Today, I intend to wrap up some important topics related to how to invest into your children's brains, your minds,
[00:02:07.200 --> 00:02:12.400]   how to help them become smarter, help their brains to function in a superior manner.
[00:02:12.400 --> 00:02:15.400]   We've been talking about how to invest in your children's bodies,
[00:02:15.400 --> 00:02:18.200]   then we switched to how to invest in your children's minds.
[00:02:18.200 --> 00:02:22.400]   And in the context of investing in the minds of your children, or the brains,
[00:02:22.400 --> 00:02:26.400]   we talked about physical care, good nutrition, making sure they have a high-fat diet,
[00:02:26.400 --> 00:02:33.400]   no junk food, not a lot of carbohydrates, lots of movement and exercise to keep their bodies healthy and keep their brains well oxygenated,
[00:02:33.400 --> 00:02:39.400]   lots of sunshine, we talked about avoiding trauma, avoiding physical trauma, chemical toxins, etc.
[00:02:39.400 --> 00:02:45.200]   We talked about how to enhance their cognitive ability by investing into lots of words,
[00:02:45.200 --> 00:02:49.800]   helping them become literate at a very young age, investing into high levels of numeracy.
[00:02:49.800 --> 00:02:53.600]   We talked about multilingualism, and then recently I talked about writing,
[00:02:53.600 --> 00:03:05.600]   helping our children to learn to be skilled and competent writers in order to effectively think, to become better thinkers.
[00:03:05.600 --> 00:03:07.600]   My own brain fails me.
[00:03:07.600 --> 00:03:15.400]   Today, I want to move a little bit more quickly, and I want to talk about art, music, and memorization.
[00:03:15.400 --> 00:03:21.600]   The reason I'm going to move a little bit more quickly is because these are areas in which I myself am not an expert.
[00:03:21.600 --> 00:03:28.800]   All of the previous comments that I have made have come from a place of experience and research,
[00:03:28.800 --> 00:03:31.800]   such that I feel very confident sharing them with you.
[00:03:31.800 --> 00:03:39.600]   However, in these areas, I'm convinced that these topics today are important, but I'm still working out ways to try to apply them.
[00:03:39.600 --> 00:03:43.200]   And so I can't speak from such a deep well of expertise as I would like,
[00:03:43.200 --> 00:03:47.600]   but I want to make you aware of them, and perhaps you chat with me in a few years,
[00:03:47.600 --> 00:03:51.200]   and I'll share with you more of my lessons along the way.
[00:03:51.200 --> 00:03:53.400]   Let's begin with art.
[00:03:53.400 --> 00:03:56.200]   And the reason I'm switching the order, I was going to start with music, but let's begin with art,
[00:03:56.200 --> 00:04:03.800]   because I actually wanted to connect this, and I meant to say one more thing recently with regard to writing.
[00:04:03.800 --> 00:04:07.200]   In the previous episode in this series, I talked about the value of writing,
[00:04:07.200 --> 00:04:11.400]   and I focused on writing, and I was fairly agnostic about the tools,
[00:04:11.400 --> 00:04:18.200]   but I meant to include a short conversation at the end of that podcast about the value of writing by hand.
[00:04:18.200 --> 00:04:23.400]   And so let me do this very concisely by simply reading to you an article from Psychology Today.
[00:04:23.400 --> 00:04:27.200]   And this is an article by Dr. William Clem.
[00:04:27.200 --> 00:04:29.400]   He posts as the memory medic.
[00:04:29.400 --> 00:04:32.600]   This is quite old, more than a decade old, or about a decade old,
[00:04:32.600 --> 00:04:35.600]   but it's called "Why Writing by Hand Could Make You Smarter."
[00:04:35.600 --> 00:04:40.600]   In surprising studies, researchers find benefits to setting keyboards aside.
[00:04:40.600 --> 00:04:43.200]   Have you ever tried to read your physician's prescriptions?
[00:04:43.200 --> 00:04:46.400]   Children increasingly print their writing because they don't know cursive,
[00:04:46.400 --> 00:04:48.800]   or theirs is simply unreadable.
[00:04:48.800 --> 00:04:52.800]   I have a middle school grandson who has trouble reading his own cursive.
[00:04:52.800 --> 00:04:57.200]   Grandparents may find that their grandchildren can't even read the notes they send.
[00:04:57.200 --> 00:05:03.400]   Our new U.S. Secretary of the Treasury can't, or won't, write his own name on the new money being printed.
[00:05:03.400 --> 00:05:07.600]   When we adults went to school, one of the first things we learned was how to write the alphabet,
[00:05:07.600 --> 00:05:13.400]   in caps and lowercase, and then to handwrite words, sentences, paragraphs, and essays.
[00:05:13.400 --> 00:05:19.200]   Some of us were lucky enough to have penmanship class where we learned how to make our writing pretty and readable.
[00:05:19.200 --> 00:05:21.000]   Today, keyboarding is in.
[00:05:21.000 --> 00:05:25.000]   The Common Core Standards no longer require elementary students to learn cursive,
[00:05:25.000 --> 00:05:30.800]   and some schools are dropping the teaching of cursive entirely, dismissing it as an "ancient skill."
[00:05:30.800 --> 00:05:35.000]   The primary schools that teach handwriting spend only just over an hour a week,
[00:05:35.000 --> 00:05:40.000]   according to Zaner Bloser, Inc., one of the nation's largest handwriting curriculum publishers.
[00:05:40.000 --> 00:05:43.000]   Cursive is not generally taught after the third grade.
[00:05:43.000 --> 00:05:45.200]   My penmanship class was in the seventh grade.
[00:05:45.200 --> 00:05:52.200]   Maybe it's just coincidence, but the seventh grade was when I was magically transformed from a poor student into an exceptional student.
[00:05:52.200 --> 00:05:57.400]   Yet scientists are discovering that learning cursive is an important tool for cognitive development,
[00:05:57.400 --> 00:06:04.600]   particularly in training the brain to learn functional specialization, that is, the capacity for optimal efficiency.
[00:06:04.600 --> 00:06:13.000]   In the case of learning cursive writing, the brain develops functional specialization that integrates both sensation, movement control, and thinking.
[00:06:13.000 --> 00:06:19.600]   Brain imaging studies reveal that multiple areas of the brain become co-activated during the learning of cursive writing of pseudoletters,
[00:06:19.600 --> 00:06:22.600]   as opposed to typing or just visual practice.
[00:06:22.600 --> 00:06:26.800]   There is a spillover benefit for thinking skills used in reading and writing.
[00:06:26.800 --> 00:06:31.200]   To write legible cursive, fine motor control is needed over the fingers.
[00:06:31.200 --> 00:06:34.800]   You have to pay attention and think about what and how you are doing it.
[00:06:34.800 --> 00:06:36.400]   You have to practice.
[00:06:36.400 --> 00:06:42.600]   Brain imaging studies show that cursive activates areas of the brain that do not participate in keyboarding.
[00:06:42.600 --> 00:06:48.400]   Much of the benefit of handwriting in general comes simply from the self-generated mechanics of drawing letters.
[00:06:48.400 --> 00:06:57.600]   In one Indiana University study, researchers conducted brain scans on preliterate five-year-olds before and after receiving different letter learning instruction.
[00:06:57.600 --> 00:07:07.800]   In children who had practiced self-generated printing by hand, the neural activity was far more enhanced and adult-like than in those who had simply looked at letters.
[00:07:07.800 --> 00:07:15.800]   The brain's reading circuit of linked regions that are activated during reading was activated during handwriting, but not during typing.
[00:07:15.800 --> 00:07:22.800]   This lab has also demonstrated that writing letters in a meaningful context, as opposed to just writing them as drawing objects,
[00:07:22.800 --> 00:07:28.000]   produced much more robust activation of many areas in both hemispheres.
[00:07:28.000 --> 00:07:33.400]   In learning to write by hand, even if it is just printing, the brain must locate each stroke relative to other strokes,
[00:07:33.400 --> 00:07:41.600]   learn and remember the appropriate size, the slant of global form, and feature detail characteristics of each letter, develop categorization skills.
[00:07:41.600 --> 00:07:47.400]   Cursive writing, compared to printing, should be even more beneficial because the movement tasks are more demanding,
[00:07:47.400 --> 00:07:54.400]   the letters are less stereotypical, and the visual recognition requirements create a broader repertoire of letter representation.
[00:07:54.400 --> 00:08:01.400]   Cursive is also faster and more likely to engage students by providing a better sense of personal style and ownership.
[00:08:01.400 --> 00:08:07.200]   Other research highlights the hand's unique relationship with the brain when it comes to composing thoughts and ideas.
[00:08:07.200 --> 00:08:14.800]   Virginia Beringer, a professor at the University of Washington, reported her study of children in grades 2, 4, and 6
[00:08:14.800 --> 00:08:23.000]   that revealed they wrote more words faster and expressed more ideas when writing essays by hand versus with a keyboard.
[00:08:23.000 --> 00:08:29.800]   There is a whole field of research known as haptics, which includes the interactions of touch, hand movements, and brain function.
[00:08:29.800 --> 00:08:36.200]   Cursive writing helps train the brain to integrate visual and tactile information and fine motor dexterity.
[00:08:36.200 --> 00:08:40.400]   School systems, driven by ill-informed ideologues and federal mandate,
[00:08:40.400 --> 00:08:46.800]   are becoming obsessed with testing knowledge at the expense of training kids to develop better capacity for acquiring knowledge.
[00:08:46.800 --> 00:08:51.200]   The benefits to brain development are similar to what you get with learning to play a musical instrument.
[00:08:51.200 --> 00:08:56.200]   Not everybody can afford music lessons, but everybody has access to a pencil and paper.
[00:08:56.200 --> 00:09:01.400]   Not everybody can afford a computer for their kids, but maybe such kids are not as deprived as we would think.
[00:09:01.400 --> 00:09:06.400]   Take HART. Some schools celebrated National Handwriting Day on January 23.
[00:09:06.400 --> 00:09:11.800]   Cursive is not dead yet. We need to insist that it be maintained in our schools.
[00:09:11.800 --> 00:09:20.800]   So as we begin our conversation on art, recognize that even writing itself, I think, could be termed a form of art,
[00:09:20.800 --> 00:09:26.800]   especially when you get to more beautiful forms of writing such as cursive, perhaps going into calligraphy, etc.
[00:09:26.800 --> 00:09:30.900]   I always take, you know, quote-unquote "research" like this with a grain of salt,
[00:09:30.900 --> 00:09:36.400]   because I'm not well-read enough in these fields to judge the quality of the research.
[00:09:36.400 --> 00:09:40.600]   And you can find a study that says just about anything you want a study to say.
[00:09:40.600 --> 00:09:45.400]   And so I always am just a little bit skeptical of saying "this is the thing."
[00:09:45.400 --> 00:09:51.400]   But I do listen. And when you have somebody who is probably a competent professional here
[00:09:51.400 --> 00:09:56.400]   talking about how this could be one thing that could make your children smarter, pay attention.
[00:09:56.400 --> 00:10:04.400]   I think there's good evidence from experience that many people think better and they write better when writing by hand.
[00:10:04.400 --> 00:10:12.400]   Even though most of us have developed significant typing skill, I still know authors, well, I guess for us ourselves,
[00:10:12.400 --> 00:10:19.400]   many of us, even though we're skilled typists, if we want to actually think, we'll often choose a paper and pen.
