
[00:00:00.000 --> 00:00:05.800]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.800 --> 00:00:10.500]   You could do a classic herb roasted turkey or spice it up and make turkey tacos.
[00:00:10.500 --> 00:00:17.100]   Serve up a go-to shrimp cocktail or use Simple Truth wild-caught shrimp for your first Cajun risotto.
[00:00:17.100 --> 00:00:22.400]   Make creamy mac and cheese or a spinach artichoke fondue from our selection of Murray's cheese.
[00:00:22.400 --> 00:00:27.800]   No matter how you shop, Ralph's has all the freshest ingredients to embrace all your holiday traditions.
[00:00:27.800 --> 00:00:30.400]   Ralph's, fresh for everyone.
[00:00:30.400 --> 00:00:35.500]   This coming January, I am co-hosting an event, an investment tour of Panama.
[00:00:35.500 --> 00:00:44.300]   And I would love for you to come and spend a week with me and with my friends Gabriel Custodiate and Mikkel Thorup in Panama City, Panama.
[00:00:44.300 --> 00:00:49.900]   The dates of the event are January 22 to January 28, 2024.
[00:00:49.900 --> 00:00:57.300]   And during that week in Panama, we are going to do a fairly widespread comprehensive tour of Panama.
[00:00:57.300 --> 00:01:07.000]   We have a variety of conference presentations prepared, including specifics on the Panama lifestyle, on international banking, internationalization, taxation, etc.
[00:01:07.000 --> 00:01:10.200]   We're going to do some specific presentations on cryptocurrency.
[00:01:10.200 --> 00:01:16.300]   As you know, my my co-host Gabriel Custodian, I have a course on that and he's almost finished with a book on it.
[00:01:16.300 --> 00:01:19.700]   In addition to that, we're going to tour real estate investment opportunities.
[00:01:19.700 --> 00:01:22.800]   We are going to tour a gold storage facility.
[00:01:22.800 --> 00:01:27.100]   We're going to discuss banking options, residency options, citizenship options, etc.
[00:01:27.100 --> 00:01:29.400]   And at the end of the day, we're going to be hanging out.
[00:01:29.400 --> 00:01:37.100]   I'm going to be making myself completely available to those who are at the conference morning, noon and night for the entire week that we're there.
[00:01:37.100 --> 00:01:40.400]   And the conference attendees are limited to 40.
[00:01:40.400 --> 00:01:45.600]   And so there will be plenty of time for you to hang out with me and with all of our fellow conference attendees.
[00:01:45.600 --> 00:01:58.200]   If that sounds interesting to you, please go to expatmoney.com/radical, link in the show notes, expatmoney.com/radical and check out all the information on our Panama investment tour in January of 2024.
[00:01:58.200 --> 00:01:59.700]   I'd love for you to come.
[00:01:59.700 --> 00:02:01.400]   Would love to see you there.
[00:02:01.400 --> 00:02:19.400]   There is a piece of financial advice as well as a corresponding mindset and philosophy that I myself have followed, have taught, and yet have now come to believe is not only wrong, misguided, but in many cases actually harmful.
[00:02:19.400 --> 00:02:32.600]   I want to atone for my sins in this area by discussing it with you in the hopes that we can work together to avoid some of the problems that I see happening around the world of personal finance today.
[00:02:32.600 --> 00:02:42.600]   Welcome to Radical Personal Finance, a show dedicated to providing you with knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less.
[00:02:42.600 --> 00:02:43.500]   My name is Joshua Sheets.
[00:02:43.500 --> 00:02:47.300]   I'm going to begin today's episode by reading a short excerpt from a book.
[00:02:47.300 --> 00:02:52.000]   I'll tell you what book this is from in just a moment.
[00:02:52.000 --> 00:02:57.200]   The most fundamental of American questions is hard for me to answer these days, and luckily so.
[00:02:57.200 --> 00:03:00.200]   If it weren't, you wouldn't be holding this book in your hands.
[00:03:00.200 --> 00:03:02.500]   So what do you do?
[00:03:02.500 --> 00:03:08.300]   Assuming you can find me, hard to do, and depending on when you ask me, I'd prefer you didn't.
[00:03:08.300 --> 00:03:18.800]   I could be racing motorcycles in Europe, scuba diving off a private island in Panama, resting under a palm tree between kickboxing sessions in Thailand, or dancing tango in Buenos Aires.
[00:03:18.800 --> 00:03:25.100]   The beauty is I'm not a multimillionaire, nor do I particularly care to be.
[00:03:25.100 --> 00:03:33.900]   I've never enjoyed answering this cocktail question because it reflects an epidemic I was long part of, job descriptions as self-descriptions.
[00:03:33.900 --> 00:03:41.100]   If someone asks me now and is anything but absolutely sincere, I explain my lifestyle of mysterious means simply.
[00:03:41.100 --> 00:03:44.400]   I'm a drug dealer, pretty much a conversation ender.
[00:03:44.400 --> 00:03:48.400]   It's only half true, besides the whole truth would take too long.
