
[00:00:00.000 --> 00:00:05.200]   With Kroger Brand products from Ralphs, you can make all your favorite things this holiday season.
[00:00:05.200 --> 00:00:09.800]   Because Kroger Brand's proven quality products come at exceptionally low prices.
[00:00:09.800 --> 00:00:14.800]   And with a money-back quality guarantee, every dish is sure to be a favorite.
[00:00:14.800 --> 00:00:18.000]   ♪ These are a few of my favorite things ♪
[00:00:18.000 --> 00:00:24.800]   Whether you shop delivery, pickup, or in-store, Kroger Brand has all your favorite things.
[00:00:24.800 --> 00:00:27.300]   Ralphs. Fresh for everyone.
[00:00:27.300 --> 00:00:37.300]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now,
[00:00:37.300 --> 00:00:40.300]   while building a plan for financial freedom in 10 years or less.
[00:00:40.300 --> 00:00:42.300]   My name is Joshua Sheets. I am your host.
[00:00:42.300 --> 00:00:47.300]   And on today's podcast, I continue the series on why I left the USA.
[00:00:47.300 --> 00:00:54.300]   And I'm doing this series in order of least important reasons to most important reasons.
[00:00:54.300 --> 00:00:59.300]   But I think today's reason is going to be probably the most universal.
[00:00:59.300 --> 00:01:05.300]   And although in my own mind, it's kind of the least important of my three big reasons, that doesn't make it unimportant.
[00:01:05.300 --> 00:01:08.300]   And I'm not actually sure that that ranking is true.
[00:01:08.300 --> 00:01:14.300]   Because after all, we can lay out the idea that we're logical creatures and making careful decisions.
[00:01:14.300 --> 00:01:20.300]   But at the end of the day, there's a little bit of whimsy and just moving on a lark in all of us.
[00:01:20.300 --> 00:01:26.300]   And in terms of how and why I left the United States, there was no long-term plan.
[00:01:26.300 --> 00:01:34.300]   The reasons number two and one that I am going to mention were definitely part of my longer-term plan.
[00:01:34.300 --> 00:01:38.300]   But at the end of the day, they had been in my thinking for some years.
[00:01:38.300 --> 00:01:42.300]   And the reason I actually left was just that it was a convenient time to leave.
[00:01:42.300 --> 00:01:45.300]   So let me not bury the lead anymore.
[00:01:45.300 --> 00:01:55.300]   The reason I have left the United States and still have lived abroad is just a desire for adventure and interest.
[00:01:55.300 --> 00:01:59.300]   And a desire to be prepared for opportunity in the world.
[00:01:59.300 --> 00:02:04.300]   I see those two things as being very related, which is why I have joined them.
[00:02:04.300 --> 00:02:11.300]   Life should be interesting. Life should be as much of an adventure as you desire.
[00:02:11.300 --> 00:02:18.300]   I'm not into the idea that "normal life" is boring and to be escaped from, etc.
[00:02:18.300 --> 00:02:23.300]   But at the end of the day, at the end of every year, at the end of every month, at the end of every decade,
[00:02:23.300 --> 00:02:29.300]   I think we should be able to look back on the last month or year or decade and have some interesting stories.
[00:02:29.300 --> 00:02:33.300]   I don't think that every day is going to be an adventure in and of itself.
[00:02:33.300 --> 00:02:36.300]   There are some days in which you sit down and rest.
[00:02:36.300 --> 00:02:45.300]   Sometimes the humdrum routine gives you a tremendous sense of satisfaction and relaxation.
[00:02:45.300 --> 00:02:48.300]   And so there's nothing wrong with routine.
[00:02:48.300 --> 00:02:50.300]   I think there are different personality types.
[00:02:50.300 --> 00:02:55.300]   Some people really derive great pleasure in routine, and I understand that very much.
[00:02:55.300 --> 00:02:57.300]   I myself am not one of those people.
[00:02:57.300 --> 00:03:04.300]   I myself am one of those people who enjoys variety in life, and I want to live an adventure.
[00:03:04.300 --> 00:03:12.300]   At the end of the day, when I do an assessment of basically my life's purpose,
[00:03:12.300 --> 00:03:15.300]   there are a few different components of that.
[00:03:15.300 --> 00:03:21.300]   And one, for example, one of my most important senses of purpose,
[00:03:21.300 --> 00:03:24.300]   something that gives me a sense of purpose, is to say,
[00:03:24.300 --> 00:03:28.300]   "Is there an opportunity to make an impact on the world, an impact for good?
[00:03:28.300 --> 00:03:32.300]   Can I sow a little bit of justice and righteousness into a corner of the world?
[00:03:32.300 --> 00:03:36.300]   I want an opportunity to love my neighbor of varying degrees.
[00:03:36.300 --> 00:03:38.300]   I want an opportunity to impact my community."
[00:03:38.300 --> 00:03:43.300]   And I think that a good life is a life well-lived,
[00:03:43.300 --> 00:03:47.300]   is one where you have a handful of friends, a handful of family members.
[00:03:47.300 --> 00:03:49.300]   You love them. You encourage them.
[00:03:49.300 --> 00:03:52.300]   You have a community, and you enjoy interacting with that community.
[00:03:52.300 --> 00:03:53.300]   That's a good life.
[00:03:53.300 --> 00:04:00.300]   But there's a whole other element where at least I myself crave a sense of adventure,
[00:04:00.300 --> 00:04:04.300]   a sense of difference, and a sense also of impact in the world.
[00:04:04.300 --> 00:04:07.300]   I think a desire to make a difference on a bigger scale
[00:04:07.300 --> 00:04:12.300]   or a desire to see something on a bigger scale is something that is connected to us.
[00:04:12.300 --> 00:04:18.300]   And maybe it's not there universally, but it is something that has always been there for me.
[00:04:18.300 --> 00:04:24.300]   There is a stereotype among my generation, I being a millennial,
[00:04:24.300 --> 00:04:29.300]   that we understand that we want to collect experiences and not things.
[00:04:29.300 --> 00:04:30.300]   And we can make fun of that.
[00:04:30.300 --> 00:04:36.300]   After all, collecting a bunch of experiences can just become a bunch more things.
[00:04:36.300 --> 00:04:38.300]   I love passport stamps, for example.
[00:04:38.300 --> 00:04:42.300]   And I always have to ask myself, "Am I just collecting passport stamps as another thing,
[00:04:42.300 --> 00:04:45.300]   or am I really genuinely investing into the experiences
[00:04:45.300 --> 00:04:50.300]   that those passport stamps represent in terms of reality?"
[00:04:50.300 --> 00:04:56.300]   But we want to enjoy experiences. We want to live a variety of experiences.
[00:04:56.300 --> 00:05:02.300]   And it seems to me that one of the reasons people get old before their time is they stop living,
[00:05:02.300 --> 00:05:05.300]   meaning they stop going after adventure.
[00:05:05.300 --> 00:05:08.300]   They stop pursuing goals that are important to them.
[00:05:08.300 --> 00:05:11.300]   They take the easy road.
[00:05:11.300 --> 00:05:14.300]   And that seems foolish to me.
[00:05:14.300 --> 00:05:18.300]   And so one of the ways that I believe that we age successfully
[00:05:18.300 --> 00:05:21.300]   is to always make our future bigger than our past.
[00:05:21.300 --> 00:05:25.300]   And that's something that we have to define for ourselves.
[00:05:25.300 --> 00:05:31.300]   For me, one of the ways that I myself want to make my future always bigger than my past
[00:05:31.300 --> 00:05:36.300]   is to make my future in some sense different than my past.
[00:05:36.300 --> 00:05:44.300]   I have found that the joy of the pursuit of goals in new and different and meaningful contexts
[00:05:44.300 --> 00:05:52.300]   is more enjoyable and more meaningful than the achievement of specific goals in specific contexts.
[00:05:52.300 --> 00:05:59.300]   And so it's much more important for me to be focused on pursuing things that are new and different
[00:05:59.300 --> 00:06:03.300]   that I have chosen because it's the joy of the journey,
[00:06:03.300 --> 00:06:09.300]   it's the actual pursuit of those things that is enjoyable.
[00:06:09.300 --> 00:06:11.300]   It's not the achievement. It's the pursuit.
[00:06:11.300 --> 00:06:16.300]   And so in order to have the ongoing joy of the pursuit,
[00:06:16.300 --> 00:06:18.300]   there should be variety and there should be changing
[00:06:18.300 --> 00:06:21.300]   and we should be setting new things that challenge ourselves in new ways.
[00:06:21.300 --> 00:06:26.300]   New goals that require us to grow in order to accomplish and achieve them.
[00:06:26.300 --> 00:06:32.300]   If we will set those goals, those goals that are different and require us to grow in order to achieve them,
[00:06:32.300 --> 00:06:37.300]   then each and every phase of life can be something that we take great value in.
[00:06:37.300 --> 00:06:44.300]   And when we reflect back on different phases, we'll be able to differentiate phases one from another.
[00:06:44.300 --> 00:06:50.300]   Let me talk for a moment about memory, differentiation, and the phases of life.
[00:06:50.300 --> 00:06:59.300]   In financial planning, I have learned that a lot of people think about financial planning in a few basic phases.
[00:06:59.300 --> 00:07:05.300]   So if you were to go and gather together a room full of CFP test takers,
[00:07:05.300 --> 00:07:14.300]   they would frequently say, "Well, there's childhood or we could combine childhood and adolescence
[00:07:14.300 --> 00:07:16.300]   and everything into basically an academic phase.
[00:07:16.300 --> 00:07:19.300]   There's a phase in life in which you're going to school.
[00:07:19.300 --> 00:07:21.300]   Then you get out and you have your career phase.
[00:07:21.300 --> 00:07:24.300]   Then you have your retirement phase."
[00:07:24.300 --> 00:07:30.300]   And in the world of financial planning traditionally, as well as modern variations,
[00:07:30.300 --> 00:07:36.300]   such as the early retirement movement, there's this intense focus on getting as quickly as possible
[00:07:36.300 --> 00:07:42.300]   from the work phase to the retirement phase because that's where the juice is.
[00:07:42.300 --> 00:07:44.300]   That's where the joy is.
[00:07:44.300 --> 00:07:47.300]   And over the years, as I've thought a lot about this and worked with a lot of people,
[00:07:47.300 --> 00:07:56.300]   I just think that's a woefully inadequate way to approach life, a woefully inadequate way to think about life.
[00:07:56.300 --> 00:08:00.300]   We should have a lot more phases than just those.
[00:08:00.300 --> 00:08:05.300]   So I appreciate how having children introduces different phases into my life.
[00:08:05.300 --> 00:08:10.300]   We've got the married but no children yet phase. That's a great phase.
[00:08:10.300 --> 00:08:16.300]   Then you've got the baby phase. That's a great phase, but has certain restrictions that don't exist later.
[00:08:16.300 --> 00:08:19.300]   Then you've got the young children phase.
[00:08:19.300 --> 00:08:22.300]   Then you've got the adolescence. Then you've got your young adult phase.
[00:08:22.300 --> 00:08:24.300]   Then you've got the grandchild phase, etc.
[00:08:24.300 --> 00:08:26.300]   And so that all adds texture to life.
[00:08:26.300 --> 00:08:30.300]   It makes life more interesting because you can embrace certain activities at one phase
[00:08:30.300 --> 00:08:35.300]   that you wouldn't generally embrace at a different one and enjoy a whole different life and lifestyle
[00:08:35.300 --> 00:08:38.300]   that is not always available to you.
[00:08:38.300 --> 00:08:40.300]   But you can go beyond this.
[00:08:40.300 --> 00:08:45.300]   Why should your work phase just be one monolith of 40 years?
[00:08:45.300 --> 00:08:50.300]   I've got this 40-year chunk and I'm going to do the same job continually throughout that.
[00:08:50.300 --> 00:08:53.300]   That's how it used to be. Nobody does that anymore.
[00:08:53.300 --> 00:08:55.300]   But why not insert something different?
[00:08:55.300 --> 00:09:00.300]   Why not insert four different careers, one for each decade of those 40 years
[00:09:00.300 --> 00:09:06.300]   and enjoy the growth, the achievement, the success that can come with each of those things?
[00:09:06.300 --> 00:09:12.300]   Why not move from one specialty to another so that you're always learning and growing and moving along?
[00:09:12.300 --> 00:09:18.300]   Why not within each of those decades insert a couple different opportunities?
[00:09:18.300 --> 00:09:22.300]   Why not have two different jobs each for five years during each decade?
[00:09:22.300 --> 00:09:26.300]   Now you'll remember things much more clearly.
[00:09:26.300 --> 00:09:30.300]   You'll have different unique circumstances. You'll grow more in each opportunity.
[00:09:30.300 --> 00:09:34.300]   Instead of just doing the same old thing, same old way, same people all the time,
[00:09:34.300 --> 00:09:37.300]   you'll have an opportunity to change and to adapt.
[00:09:37.300 --> 00:09:40.300]   There may be good professional reasons not to bounce around all the time,
[00:09:40.300 --> 00:09:45.300]   just like there can be good professional reasons to bounce around more frequently than some people do.
[00:09:45.300 --> 00:09:51.300]   But on a big picture, the phases of life matter and they help us to engage with it.
[00:09:51.300 --> 00:09:55.300]   What about where you live? What about how you work?
[00:09:55.300 --> 00:09:58.300]   What about things on a broader level?
[00:09:58.300 --> 00:10:03.300]   When I think back to something like my college experience,
[00:10:03.300 --> 00:10:08.300]   to me, one of the things that was the most impactful in my college experience
[00:10:08.300 --> 00:10:12.300]   was the one semester that I studied abroad.
[00:10:12.300 --> 00:10:18.300]   That phase of life, one semester out of eight semesters total of school,
[00:10:18.300 --> 00:10:26.300]   one semester, that one out of eight semesters accounts for probably 50% of my college memories.
