
[00:00:00.000 --> 00:00:01.360]   - Greetings radicals.
[00:00:01.360 --> 00:00:03.240]   On today's show, I'd like to tell you about
[00:00:03.240 --> 00:00:06.280]   a very worthy charitable relief effort
[00:00:06.280 --> 00:00:10.000]   that I myself have had the privilege of being involved in
[00:00:10.000 --> 00:00:12.040]   for almost five years now,
[00:00:12.040 --> 00:00:15.320]   and ask you to consider making a financial donation
[00:00:15.320 --> 00:00:16.980]   to this work.
[00:00:16.980 --> 00:00:19.560]   I'll describe all the details as we get into the audio here,
[00:00:19.560 --> 00:00:22.360]   but put simply, I've been involved for, again,
[00:00:22.360 --> 00:00:25.520]   almost five years with a variety of relief efforts
[00:00:25.520 --> 00:00:29.080]   in the South American nation of Venezuela.
[00:00:29.080 --> 00:00:31.520]   And that has taken a number of different shapes
[00:00:31.520 --> 00:00:32.520]   over the years, again,
[00:00:32.520 --> 00:00:34.700]   as I'll tell you about in a few minutes.
[00:00:34.700 --> 00:00:37.920]   Currently, the most productive and effective effort
[00:00:37.920 --> 00:00:39.960]   that I've been involved in
[00:00:39.960 --> 00:00:44.760]   has been to provide food relief and agricultural relief
[00:00:44.760 --> 00:00:48.560]   by helping with gardening supplies
[00:00:48.560 --> 00:00:50.680]   to plant large gardens
[00:00:50.680 --> 00:00:54.080]   in various Venezuelan penitentiaries,
[00:00:54.080 --> 00:00:56.720]   where there are many men, primarily men,
[00:00:56.720 --> 00:00:57.680]   men and women imprisoned
[00:00:57.680 --> 00:00:59.720]   in these Venezuelan penitentiaries.
[00:00:59.720 --> 00:01:02.600]   And the opportunity and the need
[00:01:02.600 --> 00:01:05.280]   has now exceeded what I myself can give
[00:01:05.280 --> 00:01:08.100]   out of my own personal financial resources.
[00:01:08.100 --> 00:01:09.680]   So I'm bringing the request to you
[00:01:09.680 --> 00:01:11.780]   and asking you to contribute.
[00:01:11.780 --> 00:01:13.520]   Links are in the description
[00:01:13.520 --> 00:01:15.680]   where you can go directly and make a credit card donation
[00:01:15.680 --> 00:01:18.040]   or use PayPal, whichever is easier for you.
[00:01:18.040 --> 00:01:19.480]   That money will get directly to me.
[00:01:19.480 --> 00:01:22.540]   And as I'll describe in the audio coming up here,
[00:01:22.540 --> 00:01:24.160]   I'll describe what I'm gonna do with the money
[00:01:24.160 --> 00:01:26.240]   and all those details.
[00:01:26.240 --> 00:01:28.320]   But if at any point in time you're ready to give,
[00:01:28.320 --> 00:01:30.960]   please just go to that link and make a donation.
[00:01:30.960 --> 00:01:34.000]   Let me begin with a little bit of backstory
[00:01:34.000 --> 00:01:37.160]   and I'll continue on from there
[00:01:37.160 --> 00:01:40.200]   to share with you a little bit about the current work.
[00:01:40.200 --> 00:01:43.040]   Longtime listeners to Radical Personal Finance
[00:01:43.040 --> 00:01:45.480]   know that I've had the opportunity to be involved
[00:01:45.480 --> 00:01:47.320]   in a variety of different ways
[00:01:47.320 --> 00:01:52.120]   with some very important and effective relief efforts
[00:01:52.120 --> 00:01:54.060]   serving Venezuelan refugees.
[00:01:54.060 --> 00:01:56.100]   I've had a great interest in Venezuela.
[00:01:56.100 --> 00:02:01.100]   Ever since 2005, when I was in college in 2005,
[00:02:01.100 --> 00:02:05.120]   in a study abroad program in Costa Rica,
[00:02:05.120 --> 00:02:09.400]   I had a professor who extolled the virtues of Venezuela
[00:02:09.400 --> 00:02:14.400]   at that time as basically being the ideal expression
[00:02:14.400 --> 00:02:18.820]   of what a modern economy should be.
[00:02:18.820 --> 00:02:22.320]   This professor was an extremely left-wing professor
[00:02:22.320 --> 00:02:27.320]   and I was being confronted with the philosophical claims
[00:02:27.320 --> 00:02:29.620]   in favor of leftism.
[00:02:29.620 --> 00:02:32.700]   And at that time, Cuba and Venezuela
[00:02:32.700 --> 00:02:34.160]   were being held before me
[00:02:34.160 --> 00:02:37.100]   as the paragons of modern development,
[00:02:37.100 --> 00:02:39.540]   how all nation states should function.
[00:02:39.540 --> 00:02:43.500]   And of the two, although all of the woes of Cuba
[00:02:43.500 --> 00:02:48.500]   were being blamed on the US blockade of Cuba,
[00:02:48.500 --> 00:02:49.700]   many of the benefits of Cuba
[00:02:49.700 --> 00:02:51.380]   were being extolled again and again,
[00:02:51.380 --> 00:02:54.560]   and Venezuela was being held out as the ideal example
[00:02:54.560 --> 00:02:56.680]   of how a country can flourish
[00:02:56.680 --> 00:03:00.040]   under a leftist system of government
[00:03:00.040 --> 00:03:02.840]   if not being blockaded by another nation.
[00:03:02.840 --> 00:03:05.880]   Venezuela at that time was the wealthiest country
[00:03:05.880 --> 00:03:08.440]   in South America, very high standard of living,
[00:03:08.440 --> 00:03:09.280]   all kinds of stuff,
[00:03:09.280 --> 00:03:12.560]   stuff that I could hardly believe at the time.
[00:03:12.560 --> 00:03:14.900]   Well, fast forward after I returned to the United States,
[00:03:14.900 --> 00:03:16.880]   I started to hear a few years later
[00:03:16.880 --> 00:03:19.480]   about a massive economic crisis
[00:03:19.480 --> 00:03:21.320]   and being one who paid a lot of attention
[00:03:21.320 --> 00:03:22.440]   to economic crises.
