
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.060]   - Welcome friends to this episode
[00:00:06.060 --> 00:00:08.660]   of the Everyday Educator Podcast.
[00:00:08.660 --> 00:00:10.340]   I'm your host, Lisa Bailey,
[00:00:10.340 --> 00:00:13.780]   and I am excited to spend some time with you today
[00:00:13.780 --> 00:00:17.020]   as we encourage one another, learn together,
[00:00:17.020 --> 00:00:19.700]   and ponder the delights and challenges
[00:00:19.700 --> 00:00:23.000]   that make homeschooling the adventure of a lifetime.
[00:00:23.000 --> 00:00:25.040]   Whether you're just considering
[00:00:25.040 --> 00:00:27.140]   this homeschooling possibility
[00:00:27.140 --> 00:00:31.140]   or deep into the daily delight of family learning,
[00:00:31.140 --> 00:00:34.780]   I believe you'll enjoy thinking along with us.
[00:00:34.780 --> 00:00:36.140]   But don't forget,
[00:00:36.140 --> 00:00:39.400]   although this online community is awesome,
[00:00:39.400 --> 00:00:44.400]   you'll find even closer support in a local CC community.
[00:00:44.400 --> 00:00:48.400]   So go to classicalconversations.com
[00:00:48.400 --> 00:00:52.200]   and find a community near you today.
[00:00:52.200 --> 00:00:55.840]   Well friends, I'm super happy to welcome you
[00:00:55.840 --> 00:00:59.400]   to this podcast on what is here at my house,
[00:00:59.400 --> 00:01:02.780]   a really cold January day.
[00:01:02.780 --> 00:01:07.420]   And lots of you, I happen to know, are under snow cover,
[00:01:07.420 --> 00:01:09.940]   and I'm really jealous about that and slightly bitter,
[00:01:09.940 --> 00:01:13.780]   but I'm happy for you to have some snow to play in.
[00:01:13.780 --> 00:01:19.820]   I remember Januarys from my college years
[00:01:19.820 --> 00:01:23.200]   as sometimes full of snow.
[00:01:23.200 --> 00:01:24.980]   I went to college in North Carolina,
[00:01:24.980 --> 00:01:28.100]   and I remember one year that we had snow
[00:01:28.100 --> 00:01:30.740]   every Thursday in January.
[00:01:30.740 --> 00:01:34.140]   It was delightful 'cause we had people to play with.
[00:01:34.140 --> 00:01:38.780]   But another thing that I remember about Januarys
[00:01:38.780 --> 00:01:41.060]   when I was in college is something
[00:01:41.060 --> 00:01:44.680]   that my college called a January term.
[00:01:44.680 --> 00:01:48.900]   It was a time sort of in between the fall semester
[00:01:48.900 --> 00:01:52.920]   and the spring semester when we all came back to college,
[00:01:53.780 --> 00:01:58.560]   but we didn't jump into our 15-week semesters yet.
[00:01:58.560 --> 00:02:02.500]   We were all ready to come back and be with our friends
[00:02:02.500 --> 00:02:05.940]   and probably do something with purpose,
[00:02:05.940 --> 00:02:08.580]   but not necessarily to jump into something
[00:02:08.580 --> 00:02:12.780]   that was in our major or was highly academic.
[00:02:12.780 --> 00:02:16.300]   And so they had these things called January terms,
[00:02:16.300 --> 00:02:21.300]   and it was for a short-term pursuit.
[00:02:21.300 --> 00:02:23.460]   So it lasted about a month,
[00:02:23.460 --> 00:02:26.400]   maybe six weeks, a short-term pursuit
[00:02:26.400 --> 00:02:31.400]   of something interesting that you might not study otherwise,
[00:02:31.400 --> 00:02:35.700]   something totally outside of your major,
[00:02:35.700 --> 00:02:40.060]   maybe something not even particularly academic,
[00:02:40.060 --> 00:02:43.980]   but it was a cool way to get back
[00:02:43.980 --> 00:02:47.740]   into the routine of college,
[00:02:47.740 --> 00:02:49.140]   back with your buddies,
[00:02:49.140 --> 00:02:53.340]   doing something together that was interesting,
[00:02:53.340 --> 00:02:56.560]   but not as academic as we had had before.
[00:02:56.560 --> 00:03:00.340]   So I want us to talk about together today
[00:03:00.340 --> 00:03:05.340]   ways to jazz up January as homeschoolers.
[00:03:05.340 --> 00:03:09.780]   And I've got one of my favorite homeschool friends,
[00:03:09.780 --> 00:03:11.540]   Amy Jones, with me today,
[00:03:11.540 --> 00:03:14.100]   and we are gonna brainstorm some ways
[00:03:14.100 --> 00:03:17.300]   to jazz up January for you and your homeschooler.
[00:03:17.300 --> 00:03:19.380]   Amy, thank you so much for coming.
[00:03:19.380 --> 00:03:20.780]   - Oh, thank you.
[00:03:20.780 --> 00:03:22.620]   Talk about getting out of the doldrums.
[00:03:22.620 --> 00:03:25.940]   This is gonna be a delightful conversation.
[00:03:25.940 --> 00:03:27.540]   - I'm gonna enjoy it.
[00:03:27.540 --> 00:03:30.140]   You always have such great ideas
[00:03:30.140 --> 00:03:32.500]   and such fun memories to share
[00:03:32.500 --> 00:03:34.980]   that I know that all of our listeners
[00:03:34.980 --> 00:03:39.980]   will be eager to capitalize on your brainstorming with me.
[00:03:39.980 --> 00:03:42.900]   Let me ask you,
[00:03:42.900 --> 00:03:47.360]   what were January days like for you as a homeschooling mom?
[00:03:47.360 --> 00:03:49.820]   I know your kids are grown now,
[00:03:49.820 --> 00:03:53.060]   but those January days are really memorable.
[00:03:53.060 --> 00:03:55.940]   Did you and your children ever get stuck in a rut
[00:03:55.940 --> 00:03:57.340]   in January?
[00:03:57.340 --> 00:03:58.940]   - Yes, absolutely.
[00:03:58.940 --> 00:04:01.960]   I mean, I used to think you had the summer
[00:04:01.960 --> 00:04:04.340]   and to look forward to a new school year
[00:04:04.340 --> 00:04:07.900]   and there was all that energy and excitement to get back,
[00:04:07.900 --> 00:04:10.540]   but then somehow January,
[00:04:10.540 --> 00:04:15.900]   in Tennessee, it's not snowy most of the time.
[00:04:15.900 --> 00:04:19.740]   It's just gray and cold and wet
[00:04:19.740 --> 00:04:22.540]   and you're coming off Christmas,
[00:04:22.540 --> 00:04:24.980]   you're a little tired.
[00:04:24.980 --> 00:04:29.980]   Usually there's somebody that's got sniffles or sneezes
[00:04:29.980 --> 00:04:34.660]   and you haven't seen your buddies in a while
[00:04:34.660 --> 00:04:37.980]   and you probably overspent a little bit at Christmas.
[00:04:37.980 --> 00:04:41.660]   A little depleted in all areas.
[00:04:41.660 --> 00:04:43.660]   And then just looking,
[00:04:43.660 --> 00:04:46.660]   one of the things I think that it discouraged me at times
[00:04:46.660 --> 00:04:49.220]   that I allowed to discourage me was,
[00:04:49.220 --> 00:04:52.660]   oh, what we didn't get done last semester,
[00:04:52.660 --> 00:04:54.500]   we need to get done this semester.
[00:04:54.500 --> 00:04:59.340]   And I just remember feeling burdened by anticipating,
[00:04:59.340 --> 00:05:01.360]   oh, we're already behind the eight ball.
[00:05:01.360 --> 00:05:05.520]   And that was unfortunate because that's not true at all.
[00:05:05.520 --> 00:05:07.540]   The law directs our steps.
[00:05:07.540 --> 00:05:11.100]   But yes, we would be,
[00:05:11.100 --> 00:05:14.620]   I would sense the doldrums invading our home
[00:05:14.620 --> 00:05:19.020]   and those early January days, absolutely.
[00:05:19.020 --> 00:05:22.040]   - So how did you get back to that?
[00:05:22.040 --> 00:05:25.260]   We always talk about the daily delight of family learning
[00:05:25.260 --> 00:05:28.540]   and it is delightful, but when you're in the doldrums,
[00:05:28.540 --> 00:05:31.380]   well, Amy, how did you and your family get back
[00:05:31.380 --> 00:05:34.740]   to that daily delight of family learning?
[00:05:34.740 --> 00:05:37.800]   - You know, it really started with me
[00:05:37.800 --> 00:05:40.040]   and of course with my husband
[00:05:40.040 --> 00:05:44.700]   that I really needed a perspective shift myself
[00:05:44.700 --> 00:05:48.100]   and just spending a little time, extra time with the Lord,
[00:05:48.100 --> 00:05:51.900]   I think helped me be relaxed,
[00:05:51.900 --> 00:05:55.240]   not feel anxious or overwhelmed or down
[00:05:55.240 --> 00:06:00.240]   and to just recognize all that God had already been doing
[00:06:00.240 --> 00:06:03.540]   in our home, that sort of energized me.
[00:06:03.540 --> 00:06:07.460]   And it also just not feeling isolated.
[00:06:07.460 --> 00:06:09.500]   I usually reached out to a few
[00:06:09.500 --> 00:06:13.020]   of my close homeschool buddies and said,
[00:06:13.020 --> 00:06:18.020]   hey, can we get together and brainstorm a few of these
[00:06:18.500 --> 00:06:20.580]   like something fun to look forward to?
[00:06:20.580 --> 00:06:23.460]   And believe me, when you get all these homeschool moms
[00:06:23.460 --> 00:06:27.100]   together, just two or three ideas start popping,
[00:06:27.100 --> 00:06:32.060]   things that they didn't have time to do, they'd love to do.
[00:06:32.060 --> 00:06:34.860]   So that really energized me.
[00:06:34.860 --> 00:06:39.100]   And then also just having a really honest conversation,
[00:06:39.100 --> 00:06:41.940]   especially with my older kids, like, hey,
[00:06:41.940 --> 00:06:46.500]   what are some things that you would love to try or do
[00:06:46.500 --> 00:06:48.540]   or kind of miss out on?
[00:06:48.540 --> 00:06:50.480]   What kind of things would you enjoy?
[00:06:50.480 --> 00:06:55.160]   And really trying to hear what their hearts desire is
[00:06:55.160 --> 00:06:57.080]   because they get a little down
[00:06:57.080 --> 00:06:59.820]   and some people are a little more affected
[00:06:59.820 --> 00:07:02.220]   by all this dreary days.
[00:07:02.220 --> 00:07:03.220]   - That's true.
[00:07:03.220 --> 00:07:06.060]   - And with them and just really hearing
[00:07:06.060 --> 00:07:09.620]   or recognizing they're lonely right now.
[00:07:09.620 --> 00:07:14.980]   And we need to, even if the house is still,
[00:07:14.980 --> 00:07:17.620]   there's still Christmas ornaments stuck around.
[00:07:17.620 --> 00:07:19.340]   - Yes, yes.
[00:07:19.340 --> 00:07:22.180]   - It's been vacuumed in a while, whatever.
[00:07:22.180 --> 00:07:26.340]   We need to kind of plunge into our mental health
