
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:09.800]   - Hi, I'm Abner Chow, one of the translators
[00:00:09.800 --> 00:00:11.880]   of the Legacy Standard Bible.
[00:00:11.880 --> 00:00:16.540]   And I have with me here today, Dr. Joe Zakevich.
[00:00:16.540 --> 00:00:18.960]   Zakevich, Zakevich?
[00:00:18.960 --> 00:00:20.560]   'Cause there's a lot of different ways to say it, huh Joe?
[00:00:20.560 --> 00:00:22.980]   - There are a variety of ways to say it.
[00:00:22.980 --> 00:00:24.320]   We say it Zakevich.
[00:00:24.320 --> 00:00:28.400]   Some people in our family say Zakevich, my mom,
[00:00:28.400 --> 00:00:30.160]   but everybody else says Zakevich for the most part.
[00:00:30.160 --> 00:00:31.160]   - But it's all the same name.
[00:00:31.160 --> 00:00:32.640]   - It's the same name, it's the same last name.
[00:00:32.640 --> 00:00:35.360]   - And I guess that's pretty good, a way to illustrate
[00:00:35.360 --> 00:00:36.840]   what we're gonna be talking about right now,
[00:00:36.840 --> 00:00:39.740]   which is the issue of Yahweh.
[00:00:39.740 --> 00:00:43.880]   And that is a major change in the Legacy Standard Bible.
[00:00:43.880 --> 00:00:45.660]   People have a lot of questions about it,
[00:00:45.660 --> 00:00:47.800]   and they're very understandable questions.
[00:00:47.800 --> 00:00:51.880]   And they usually fall into kind of three categories.
[00:00:51.880 --> 00:00:56.260]   One is, should we even translate
[00:00:56.260 --> 00:00:57.560]   the Tetragrammaton as Yahweh?
[00:00:57.560 --> 00:00:59.200]   Is that okay?
[00:00:59.200 --> 00:01:02.360]   Another question is, okay, if that is permissible,
[00:01:02.360 --> 00:01:03.560]   how should we say it?
[00:01:03.560 --> 00:01:05.520]   And how do we know that's the right way?
[00:01:05.520 --> 00:01:07.880]   And the final and third question people have is,
[00:01:07.880 --> 00:01:08.900]   well, so what?
[00:01:08.900 --> 00:01:09.960]   Well, what's the big deal?
[00:01:09.960 --> 00:01:11.200]   Why does this matter?
[00:01:11.200 --> 00:01:13.080]   What's the purpose behind it?
[00:01:13.080 --> 00:01:15.520]   So kind of in getting this conversation started,
[00:01:15.520 --> 00:01:18.720]   let me begin by kind of tackling that first question
[00:01:18.720 --> 00:01:23.720]   of should we even translate the Tetragrammaton as Yahweh?
[00:01:23.720 --> 00:01:25.480]   Is that permissible?
[00:01:25.480 --> 00:01:27.420]   And sometimes people ask the question kind of like this.
[00:01:27.420 --> 00:01:29.600]   They say, "Well, Paul in the New Testament,
[00:01:29.600 --> 00:01:32.320]   "he translated it as Lord, Kurios.
[00:01:32.320 --> 00:01:34.360]   "And if it was good enough for the Apostle Paul--"
[00:01:34.360 --> 00:01:35.200]   - It's good enough for me.
[00:01:35.200 --> 00:01:36.960]   - It's good enough for me, exactly.
[00:01:36.960 --> 00:01:38.440]   And we understand that argument.
[00:01:38.440 --> 00:01:41.040]   And I think one thing we really want to establish
[00:01:41.040 --> 00:01:44.880]   is that there is nothing wrong at all
[00:01:44.880 --> 00:01:48.520]   of translating the Tetragrammaton as Lord.
[00:01:48.520 --> 00:01:49.560]   There's nothing wrong with that.
[00:01:49.560 --> 00:01:52.420]   To say otherwise would be to condemn the New Testament,
[00:01:52.420 --> 00:01:55.040]   and we definitely don't want to do that.
[00:01:55.040 --> 00:01:56.640]   - Right, the New Testament is inspired.
[00:01:56.640 --> 00:01:58.120]   - That's right, so it's inerrant.
[00:01:58.120 --> 00:01:59.800]   - Those translations are inspired,
[00:01:59.800 --> 00:02:00.920]   and therefore they are accurate.
[00:02:00.920 --> 00:02:03.920]   - Absolutely, and so we don't want to say that.
[00:02:03.920 --> 00:02:05.600]   But there's a difference between saying
[00:02:05.600 --> 00:02:08.060]   something is without error, it's not wrong,
[00:02:08.060 --> 00:02:11.600]   and it's mandated across everything.
[00:02:11.600 --> 00:02:13.960]   And that's where we need to make some observations.
[00:02:13.960 --> 00:02:17.440]   Like in the New Testament itself, Revelation 19,
[00:02:17.440 --> 00:02:20.760]   three times there is hallelujah.
[00:02:20.760 --> 00:02:25.080]   And there we hear the name Yahweh, hallelujah.
[00:02:25.080 --> 00:02:26.400]   We hear it repeated three times.
[00:02:26.400 --> 00:02:28.480]   So the New Testament doesn't bar
