
[00:00:00.000 --> 00:00:02.440]   [silence]
[00:00:02.440 --> 00:00:05.920]   So let's think about dopamine peaks and baselines.
[00:00:05.920 --> 00:00:09.760]   And let's remember that for every peak, there's a trough.
[00:00:09.760 --> 00:00:10.600]   What do I mean by that?
[00:00:10.600 --> 00:00:12.600]   Well, when you have a wave,
[00:00:12.600 --> 00:00:14.720]   you also have the bottom of the wave.
[00:00:14.720 --> 00:00:18.840]   When you have a mountain, you have the bottom of the mountain.
[00:00:18.840 --> 00:00:22.840]   When we think about dopamine peaks and dopamine baselines,
[00:00:22.840 --> 00:00:26.560]   we have to include that trough because that trough,
[00:00:26.560 --> 00:00:31.320]   that is the level of dopamine below baseline,
[00:00:31.320 --> 00:00:34.040]   really dictates whether or not you are going to feel
[00:00:34.040 --> 00:00:36.460]   motivated to pursue something or not.
[00:00:36.460 --> 00:00:38.200]   So I'm going to give you a visual in your mind.
[00:00:38.200 --> 00:00:41.620]   The visual in your mind is an increase in dopamine
[00:00:41.620 --> 00:00:45.060]   that's triggered by your desire for something.
[00:00:45.060 --> 00:00:47.040]   And really it could be your desire for anything.
[00:00:47.040 --> 00:00:48.960]   If you're hungry and you're thinking about,
[00:00:48.960 --> 00:00:50.520]   I really want a sandwich.
[00:00:50.520 --> 00:00:51.880]   I really want a, let's think,
[00:00:51.880 --> 00:00:53.120]   what sandwich would I want right now?
[00:00:53.120 --> 00:00:55.640]   A really nice roast beef sandwich on sourdough
[00:00:55.640 --> 00:00:58.400]   with a slice of Swiss, tomatoes, slice of pickle.
[00:00:58.400 --> 00:01:00.460]   Here I'm describing the sandwich that I would want.
[00:01:00.460 --> 00:01:03.160]   So if you're hungry and you're thinking about that,
[00:01:03.160 --> 00:01:05.480]   dopamine starts rising.
[00:01:05.480 --> 00:01:07.640]   This is crucially important to understand.
[00:01:07.640 --> 00:01:11.180]   Dopamine is not just released when we get the reward,
[00:01:11.180 --> 00:01:12.680]   when we get the thing that we're pursuing.
[00:01:12.680 --> 00:01:17.300]   Dopamine is released in anticipation of what we want.
[00:01:17.300 --> 00:01:22.960]   That increase in dopamine is by no happenstance,
[00:01:22.960 --> 00:01:27.040]   no mistake, relates also to our propensity
[00:01:27.040 --> 00:01:28.320]   and desire to move.
[00:01:28.320 --> 00:01:30.260]   Remember earlier I told you there's a separate circuit
[00:01:30.260 --> 00:01:33.040]   of dopamine that triggers movement
[00:01:33.040 --> 00:01:36.180]   and that when it's depleted is causing things
[00:01:36.180 --> 00:01:38.520]   like deficits in movement related to Parkinson's
[00:01:38.520 --> 00:01:40.000]   or other movement disorders.
[00:01:40.000 --> 00:01:42.520]   Well, that's not pure coincidence.
[00:01:42.520 --> 00:01:45.320]   That's because desire and the need to move
[00:01:45.320 --> 00:01:47.600]   in order to pursue and reach goals
[00:01:47.600 --> 00:01:50.280]   are one in the same process.
[00:01:50.280 --> 00:01:54.000]   So if I desire a sandwich or I desire a cup of coffee
[00:01:54.000 --> 00:01:56.080]   or I desire some water when I'm thirsty,
[00:01:56.080 --> 00:01:57.680]   there's an increase in dopamine
[00:01:57.680 --> 00:02:00.800]   that we could call a little mini peak in dopamine.
[00:02:00.800 --> 00:02:02.520]   But then here's the key thing.
[00:02:02.520 --> 00:02:06.420]   Very soon after I realized my desire for something,
[00:02:06.420 --> 00:02:10.640]   that peak that was caused by the desire
[00:02:10.640 --> 00:02:13.800]   comes down and drops below baseline,
[00:02:13.800 --> 00:02:16.960]   below the level of dopamine that it was prior
[00:02:16.960 --> 00:02:19.000]   to even thinking about the sandwich or the coffee
[00:02:19.000 --> 00:02:20.200]   or the glass of water.
[00:02:20.200 --> 00:02:23.680]   And it's that drop below baseline
[00:02:23.680 --> 00:02:27.800]   that triggers my desire to go out and find that sandwich,
[00:02:27.800 --> 00:02:30.840]   that coffee, that water, or that blank,
[00:02:30.840 --> 00:02:33.000]   insert whatever it is that you happen to desire,
[00:02:33.000 --> 00:02:37.240]   action or substance of any kind or person, et cetera.
[00:02:37.240 --> 00:02:40.360]   So that drop below baseline is fundamental
[00:02:40.360 --> 00:02:41.280]   to the whole process.
[00:02:41.280 --> 00:02:43.800]   And that drop below baseline was triggered
[00:02:43.800 --> 00:02:45.440]   by the preceding peak.
