
[00:00:00.000 --> 00:00:03.220]   (upbeat music)
[00:00:03.220 --> 00:00:05.620]   - Welcome friends to this episode
[00:00:05.620 --> 00:00:08.540]   of the "Everyday Educator" podcast.
[00:00:08.540 --> 00:00:10.420]   I'm your host, Lisa Bailey,
[00:00:10.420 --> 00:00:13.740]   and I'm excited to spend some time with you today
[00:00:13.740 --> 00:00:17.300]   as we encourage one another, learn together,
[00:00:17.300 --> 00:00:20.260]   and ponder the delights and challenges
[00:00:20.260 --> 00:00:23.740]   that make homeschooling the adventure of a lifetime.
[00:00:23.740 --> 00:00:25.780]   Whether you're just considering
[00:00:25.780 --> 00:00:28.020]   this homeschooling possibility,
[00:00:28.020 --> 00:00:32.540]   or deep into the daily delight of family learning,
[00:00:32.540 --> 00:00:36.700]   I believe you'll enjoy thinking along with us.
[00:00:36.700 --> 00:00:37.980]   But don't forget,
[00:00:37.980 --> 00:00:41.900]   although this online community is awesome,
[00:00:41.900 --> 00:00:46.900]   you'll find even closer support in a local CC community.
[00:00:46.900 --> 00:00:51.580]   So go to classicalconversations.com
[00:00:51.580 --> 00:00:55.280]   and find a community near you today.
[00:00:56.580 --> 00:00:59.500]   Listeners, Merry Christmas.
[00:00:59.500 --> 00:01:02.500]   Merry Christmas Eve.
[00:01:02.500 --> 00:01:06.940]   I'm so excited to spend a few minutes with you today
[00:01:06.940 --> 00:01:10.700]   and hope that you will enjoy our time together
[00:01:10.700 --> 00:01:15.060]   as much as I enjoyed designing it for you.
[00:01:15.060 --> 00:01:19.400]   It's kind of your gift from "Everyday Educator,"
[00:01:19.400 --> 00:01:23.740]   from all of us at the "Everyday Educator" podcast,
[00:01:23.740 --> 00:01:27.720]   our gift to your family this Christmas.
[00:01:27.720 --> 00:01:32.320]   A read aloud time, read aloud for you.
[00:01:32.320 --> 00:01:38.120]   I hope that you will enjoy listening
[00:01:38.120 --> 00:01:40.820]   and thinking on your own,
[00:01:40.820 --> 00:01:45.820]   or that you will enjoy listening and thinking
[00:01:45.820 --> 00:01:50.560]   and talking with your loved ones this Christmas.
[00:01:50.560 --> 00:01:55.560]   Most of all, I hope that you will recognize
[00:01:55.560 --> 00:02:00.080]   and harness the power of Christmas.
[00:02:00.080 --> 00:02:05.940]   I wanna begin our read aloud time together this morning
[00:02:05.940 --> 00:02:08.900]   with a passage from Isaiah.
[00:02:08.900 --> 00:02:12.180]   One of the prophetic writings
[00:02:12.180 --> 00:02:16.820]   that foretells the power of Christmas
[00:02:16.820 --> 00:02:21.820]   is in the book of Isaiah 9 in the first,
[00:02:21.820 --> 00:02:24.140]   oh, about seven verses.
[00:02:24.140 --> 00:02:27.340]   That's what I want to read for us today.
[00:02:27.340 --> 00:02:31.500]   Isaiah is speaking to the Lord's people
[00:02:31.500 --> 00:02:33.720]   on the Lord's behalf.
[00:02:33.720 --> 00:02:38.720]   He is speaking to those who are waiting for a Messiah,
[00:02:38.720 --> 00:02:44.220]   who are waiting for a deliverer,
[00:02:44.220 --> 00:02:47.540]   who are waiting for a savior.
[00:02:47.540 --> 00:02:51.740]   They've been waiting a long time,
[00:02:51.740 --> 00:02:55.860]   and they have searched in, much like we do,
[00:02:55.860 --> 00:02:59.140]   a lot of the wrong places.
[00:02:59.140 --> 00:03:05.380]   So listen to the words of Isaiah 9:1.
[00:03:05.380 --> 00:03:11.460]   "Nevertheless, there will be no more gloom
[00:03:12.140 --> 00:03:14.900]   for those who are in distress.
[00:03:14.900 --> 00:03:19.220]   In the past, he humbled the land of Zebulun
[00:03:19.220 --> 00:03:21.680]   and the land of Naphtali.
[00:03:21.680 --> 00:03:26.680]   But in the future, he will honor Galilee of the Gentiles
[00:03:26.680 --> 00:03:30.000]   by the way of the sea along the Jordan.
