
[00:00:00.000 --> 00:00:02.520]   [silence]
[00:00:02.520 --> 00:00:05.160]   If we are going to feel motivated at all,
[00:00:05.160 --> 00:00:07.560]   that is if we are going to wake up in the morning
[00:00:07.560 --> 00:00:09.320]   or have any period of time during our day
[00:00:09.320 --> 00:00:13.140]   in which we feel like we are capable of pursuing goals,
[00:00:13.140 --> 00:00:15.760]   we are going to have to have a healthy level
[00:00:15.760 --> 00:00:17.600]   of baseline dopamine.
[00:00:17.600 --> 00:00:20.100]   In other words, we are going to have to have enough dopamine
[00:00:20.100 --> 00:00:24.360]   in the wave pool, enough water in the wave pool, that is,
[00:00:24.360 --> 00:00:27.380]   before we can generate any waves or peaks in dopamine,
[00:00:27.380 --> 00:00:29.400]   let alone troughs and the rest.
[00:00:29.400 --> 00:00:32.820]   So how do we achieve a healthy baseline level of dopamine?
[00:00:32.820 --> 00:00:34.740]   Well, there we can really look
[00:00:34.740 --> 00:00:36.520]   to some foundational practices,
[00:00:36.520 --> 00:00:38.280]   practices that perhaps you've heard about
[00:00:38.280 --> 00:00:39.700]   on this podcast before,
[00:00:39.700 --> 00:00:41.900]   and that to some of you might seem a little mundane,
[00:00:41.900 --> 00:00:43.960]   although some of them are a bit more sophisticated,
[00:00:43.960 --> 00:00:45.520]   maybe even esoteric.
[00:00:45.520 --> 00:00:48.140]   The good news is that we can all control these things,
[00:00:48.140 --> 00:00:50.560]   and they don't require purchasing anything,
[00:00:50.560 --> 00:00:52.180]   but they do require some degree
[00:00:52.180 --> 00:00:54.320]   of regular upkeep and effort.
[00:00:54.320 --> 00:00:58.900]   Those things include what I call the very basics.
[00:00:58.900 --> 00:01:01.460]   Now, the very basics put in the context
[00:01:01.460 --> 00:01:02.900]   of today's discussion are the things
[00:01:02.900 --> 00:01:05.620]   that put water in the wave pool.
[00:01:05.620 --> 00:01:08.260]   Those are going to be getting sufficient amounts
[00:01:08.260 --> 00:01:09.780]   of quality sleep each night,
[00:01:09.780 --> 00:01:11.700]   something that we've done several episodes on
[00:01:11.700 --> 00:01:13.380]   and have online toolkits for,
[00:01:13.380 --> 00:01:15.040]   so you can see the Master Your Sleep episode,
[00:01:15.040 --> 00:01:16.340]   the Perfect Your Sleep episode,
[00:01:16.340 --> 00:01:17.900]   the Light and Health episode.
[00:01:17.900 --> 00:01:19.900]   If you want to skip all that and just get right to the tools,
[00:01:19.900 --> 00:01:22.220]   we have a sleep toolkit,
[00:01:22.220 --> 00:01:23.660]   or it's actually called the Toolkit for Sleep
[00:01:23.660 --> 00:01:25.480]   that you can access at hubermanlab.com,
[00:01:25.480 --> 00:01:26.980]   completely zero cost.
[00:01:26.980 --> 00:01:29.120]   You just go there and download that toolkit.
[00:01:29.120 --> 00:01:31.380]   Getting sufficient sleep each night
[00:01:31.380 --> 00:01:34.740]   literally restores your dopamine reserves.
[00:01:34.740 --> 00:01:36.540]   It allows dopamine to be present
