
[00:00:00.000 --> 00:00:04.680]   Testing, testing, okay, nice.
[00:00:04.680 --> 00:00:07.260]   Thank you for having me, Weights and Biases.
[00:00:07.260 --> 00:00:09.440]   Thank you everyone for joining.
[00:00:09.440 --> 00:00:11.240]   Really excited to be here.
[00:00:11.240 --> 00:00:12.640]   My name's Harrison Chase.
[00:00:12.640 --> 00:00:16.080]   I'm CEO and co-founder at LangeChain.
[00:00:16.080 --> 00:00:20.600]   LangeChain's developer tooling for building LLM applications.
[00:00:20.600 --> 00:00:26.600]   So we have a bunch of abstractions and chains and make it really easy to get started.
[00:00:26.600 --> 00:00:33.120]   And when I was thinking about what to speak about today, you know, there's a lot in LangeChain
[00:00:33.120 --> 00:00:35.000]   and so it was a bit hard to choose.
[00:00:35.000 --> 00:00:39.440]   But I think the thing that's most interesting to me at the moment and I think the most unexplored
[00:00:39.440 --> 00:00:46.120]   in the ecosystem is generally memory, the concept of memory for LLM applications.
[00:00:46.120 --> 00:00:48.320]   So that's what I'll be talking about today.
[00:00:48.320 --> 00:00:53.080]   I don't -- it's going to be a bit of an unsatisfying talk because I don't really have -- I have
[00:00:53.080 --> 00:00:57.600]   more questions than answers really and I'm not really trying to sell anything.
[00:00:57.600 --> 00:01:02.240]   I think my goal here is to introduce a bit of the problem, talk about how we've been
[00:01:02.240 --> 00:01:07.200]   thinking about it at LangeChain, talk about the generative agents paper, which was an
[00:01:07.200 --> 00:01:12.400]   amazing paper that came out about a month or so ago out of Stanford and I think is the
[00:01:12.400 --> 00:01:15.360]   most interesting paper in the memory space.
[00:01:15.360 --> 00:01:18.320]   And then just leave you with some closing thoughts.
[00:01:18.320 --> 00:01:22.760]   And I think this is a space where we'll see a lot more attention in the next few months.
[00:01:22.760 --> 00:01:27.240]   And so I'm really excited to have the chance to just talk about it and nerd out about it
[00:01:27.240 --> 00:01:29.480]   with you guys today.
[00:01:29.480 --> 00:01:33.920]   So the general problem is that LLM APIs are stateless.
[00:01:33.920 --> 00:01:38.600]   You know, when you pass a call to OpenAI at the moment and then you pass another one,
[00:01:38.600 --> 00:01:42.600]   it doesn't remember what came before.
[00:01:42.600 --> 00:01:47.120]   And on the other hand, a lot of the applications that we build are not.
[00:01:47.120 --> 00:01:52.160]   So I think, you know, looking at examples of this, chat bots is an immediate example.
[00:01:52.160 --> 00:01:57.200]   You want the chat bot to remember what came before in the conversation.
[00:01:57.200 --> 00:02:01.600]   More complex forms of chat bots can include things like personal tutors.
[00:02:01.600 --> 00:02:06.440]   We did a webinar on LangeChain and education last week.
[00:02:06.440 --> 00:02:11.320]   And I think a lot of the things that people were building were personalized tutors, which
[00:02:11.320 --> 00:02:15.520]   I think is an amazing application of this generative technology.
[00:02:15.520 --> 00:02:16.680]   And I added this third one in here.
[00:02:16.680 --> 00:02:20.480]   I always get asked, like, you know, what's the what's your favorite application that
[00:02:20.480 --> 00:02:21.480]   you see being built on LangeChain?
[00:02:21.480 --> 00:02:27.040]   And I think one of the most creative ones is a dungeon master to play Dungeons and Dragons.
[00:02:27.040 --> 00:02:31.000]   And I think on one hand, I like that because it's really creative.
[00:02:31.000 --> 00:02:36.360]   The other reason I like it is I think it's an amazing example of why memory and memory
[00:02:36.360 --> 00:02:39.680]   is a broad term and I'll talk about a bit more specifics later, but why memory in general
[00:02:39.680 --> 00:02:43.760]   is really important for a lot of these new applications.
[00:02:43.760 --> 00:02:47.260]   You know, as a dungeon master, you have a lot going on that you need to remember and
[00:02:47.260 --> 00:02:50.320]   come back to and make sure is internally consistent.
[00:02:50.320 --> 00:02:54.160]   And so I think it's a fun application of that.
[00:02:54.160 --> 00:02:57.600]   The memory modules we have in LangeChain are mostly aimed at conversation.
[00:02:57.600 --> 00:03:02.120]   I think that's the place where memory is most readily obvious.
[00:03:02.120 --> 00:03:06.840]   If you're having a conversation, the thing that you're chatting with, better remember
[00:03:06.840 --> 00:03:09.480]   what you said before.
[00:03:09.480 --> 00:03:10.480]   It's been around for a while.
[00:03:10.480 --> 00:03:15.720]   I mean, I think chat bots jumped to everyone's mind when generative AI came out.
[00:03:15.720 --> 00:03:18.320]   And so we've supported this for a while.
[00:03:18.320 --> 00:03:22.280]   The other thing I'll say, though, is memory doesn't just apply to conversation.
[00:03:22.280 --> 00:03:27.880]   At the end of the day, when I talk about memory in LLM applications, what I really mean is
[00:03:27.880 --> 00:03:33.160]   remembering previous interactions and then using those to inform future interactions.
[00:03:33.160 --> 00:03:39.400]   So I think that can come into play in other settings besides chat bots.
[00:03:39.400 --> 00:03:47.400]   A obvious example being if you've got an agent that's doing a task, you know, if it remembers
[00:03:47.400 --> 00:03:55.240]   how the task went before, what adjustments you wanted to make to the course that it took.
[00:03:55.240 --> 00:03:57.480]   Remembering these things can help guide it.
[00:03:57.480 --> 00:04:01.080]   And this ties in nicely to the concept of reflection, which I'll talk about in a bit.
[00:04:01.080 --> 00:04:05.080]   But I just want to highlight that although a lot of the modules we have in LangeChain
[00:04:05.080 --> 00:04:11.240]   are really focused on conversation, that's not the only application where memory is important.
