
[00:00:00.000 --> 00:00:06.080]   All right.
[00:00:06.080 --> 00:00:09.480]   Welcome everyone. Welcome back.
[00:00:09.480 --> 00:00:13.520]   Let's get started. We have another action-packed day for you.
[00:00:13.520 --> 00:00:15.280]   Time's a wasting.
[00:00:15.280 --> 00:00:19.120]   To start here, I'm gonna finish up our big,
[00:00:19.120 --> 00:00:22.020]   uh, slide deck on contextual word representations.
[00:00:22.020 --> 00:00:25.320]   There are just a few more small things to cover.
[00:00:25.320 --> 00:00:28.680]   And then Sid is gonna get- get us- help us get hands
[00:00:28.680 --> 00:00:32.360]   on with training really big models.
[00:00:32.360 --> 00:00:36.080]   So there's the link as usual, uh,
[00:00:36.080 --> 00:00:38.400]   from the website if you wanna follow along and we're gonna
[00:00:38.400 --> 00:00:41.360]   skip right to this section called Electra.
[00:00:41.360 --> 00:00:45.920]   Electra is a model that came from Stanford from Kevin Clark and collaborators.
[00:00:45.920 --> 00:00:48.520]   Uh, and I think it's really exciting.
[00:00:48.520 --> 00:00:51.840]   It shows you the kind of design space we're in,
[00:00:51.840 --> 00:00:54.160]   a really creative example of, you know,
[00:00:54.160 --> 00:00:58.640]   doing something that was different from what had come before in the space of transformers.
[00:00:58.640 --> 00:01:03.120]   Last time we talked about some known limitations of the BERT model.
[00:01:03.120 --> 00:01:05.880]   Most of them identified in the BERT paper itself.
[00:01:05.880 --> 00:01:07.520]   I covered that first one.
[00:01:07.520 --> 00:01:09.880]   You know, we- we just wanted more ablation studies,
[00:01:09.880 --> 00:01:12.600]   more exploration of the BERT architecture.
[00:01:12.600 --> 00:01:14.480]   The Roberta team kicked that off.
[00:01:14.480 --> 00:01:16.080]   I think they did a great job.
[00:01:16.080 --> 00:01:20.640]   With Electra, we're gonna address known limitations two and three.
[00:01:20.640 --> 00:01:23.880]   The first is that we have a mismatch between
[00:01:23.880 --> 00:01:27.240]   the trained vocabulary and the fine-tuned vocabulary
[00:01:27.240 --> 00:01:31.600]   because of the role of the mask token in training BERT models.
[00:01:31.600 --> 00:01:35.040]   And the second one which might feel more pressing to you,
[00:01:35.040 --> 00:01:39.000]   is that BERT is pretty inefficient when it comes to learning from data
[00:01:39.000 --> 00:01:43.720]   because we mask out or replace about 15% of the tokens.
[00:01:43.720 --> 00:01:46.840]   And as you recall from the BERT learning objective,
[00:01:46.840 --> 00:01:50.960]   those are the only tokens that contribute to the learning objective itself.
[00:01:50.960 --> 00:01:53.320]   All of the other work is kind of redundant.
[00:01:53.320 --> 00:01:55.240]   And so we might hope that we could make
[00:01:55.240 --> 00:01:58.640]   more efficient use of all these sequences that we're processing.
[00:01:58.640 --> 00:02:01.640]   Electra is gonna make some progress on that too.
[00:02:01.640 --> 00:02:04.560]   So let's focus on the core model structure
[00:02:04.560 --> 00:02:07.440]   and then we'll look at all the other things they did in the paper.
[00:02:07.440 --> 00:02:09.960]   We'll start with our input sequence X.
[00:02:09.960 --> 00:02:12.200]   This is the chef cooked the meal.
[00:02:12.200 --> 00:02:16.080]   And the first thing we do is mask out some of those tokens and that could be
[00:02:16.080 --> 00:02:21.320]   a random sample of 15% of the tokens just like in most work with BERT.
[00:02:21.320 --> 00:02:24.240]   Then we have what could be literally a BERT model.
[00:02:24.240 --> 00:02:25.880]   We're gonna call it the generator.
[00:02:25.880 --> 00:02:29.760]   Typically a small one that has a mass language modeling objective.
[00:02:29.760 --> 00:02:33.200]   And that can produce output sequences as usual.
[00:02:33.200 --> 00:02:37.880]   However, the twist here is that we're gonna replace some of
[00:02:37.880 --> 00:02:43.480]   the tokens that came from the input with kind of randomly sampled ones from the MLMs.
[00:02:43.480 --> 00:02:47.640]   You can see here that we've copied over the and copied over chef,
[00:02:47.640 --> 00:02:49.980]   but now eight has been replaced by cook.
