
[00:00:00.000 --> 00:00:01.000]   Okay, great, great.
[00:00:01.000 --> 00:00:04.000]   Okay, I will now start on presenting this paper.
[00:00:04.000 --> 00:00:08.000]   Basically, I found out about this paper recently,
[00:00:08.000 --> 00:00:11.000]   which is a paper called "Let's think dot by dot".
[00:00:11.000 --> 00:00:14.000]   And the motivation behind choosing this paper is that
[00:00:14.000 --> 00:00:17.000]   basically I always have the burning question as to like,
[00:00:17.000 --> 00:00:19.000]   how do LLMs actually think?
[00:00:19.000 --> 00:00:22.000]   Now, we know that chain of thought reasoning process
[00:00:22.000 --> 00:00:24.000]   or chain of thought prompting actually shows that
[00:00:24.000 --> 00:00:28.000]   by allowing LLMs to think out loud before answering,
[00:00:28.000 --> 00:00:30.000]   their performance actually improves considerably
[00:00:30.000 --> 00:00:33.000]   when compared to direct answering techniques.
[00:00:33.000 --> 00:00:36.000]   This actually provides us some intuition as to
[00:00:36.000 --> 00:00:39.000]   how LLMs reason through their tasks.
[00:00:39.000 --> 00:00:42.000]   However, recent work as found in this paper
[00:00:42.000 --> 00:00:44.000]   suggests that for chain of thought reasoning,
[00:00:44.000 --> 00:00:47.000]   LLM answers could also be unfaithful
[00:00:47.000 --> 00:00:49.000]   to the intermediate reasoning steps.
[00:00:49.000 --> 00:00:52.000]   Simply put, the answers do not really tally
[00:00:52.000 --> 00:00:54.000]   with their workings.
[00:00:54.000 --> 00:00:56.000]   Now, here are some guiding questions
[00:00:56.000 --> 00:01:00.000]   before moving on to the related words section.
[00:01:00.000 --> 00:01:01.000]   The first question is that,
[00:01:01.000 --> 00:01:04.000]   do LLMs actually need to think out loud,
[00:01:04.000 --> 00:01:06.000]   basically like write down their thoughts,
[00:01:06.000 --> 00:01:09.000]   or are they able to think internally like humans?
[00:01:09.000 --> 00:01:10.000]   The second question is that,
[00:01:10.000 --> 00:01:13.000]   are there any specific tasks to show that LLMs
[00:01:13.000 --> 00:01:17.000]   are not simply relying on the semantic information
[00:01:17.000 --> 00:01:20.000]   and possibly relying on other kinds of information
[00:01:20.000 --> 00:01:23.000]   found in the tokens in their inputs?
[00:01:23.000 --> 00:01:26.000]   So I'll just skim through the related words section
[00:01:26.000 --> 00:01:29.000]   just to provide some additional context on this work.
[00:01:29.000 --> 00:01:31.000]   The first section in the related work
[00:01:31.000 --> 00:01:33.000]   is talking about computational complexity.
[00:01:33.000 --> 00:01:35.000]   Basically, they are discussing that there are
[00:01:35.000 --> 00:01:38.000]   different levels of computational complexity
[00:01:38.000 --> 00:01:39.000]   and task complexity.
[00:01:39.000 --> 00:01:42.000]   Basically, the lowest level is something called TC0,
[00:01:42.000 --> 00:01:45.000]   and the higher levels of task complexity include
[00:01:45.000 --> 00:01:48.000]   graph connectivity, solving Sudoku, etc.
[00:01:48.000 --> 00:01:51.000]   And this requires some form of recursion
[00:01:51.000 --> 00:01:54.000]   and checking multiple constraints at the same time.
[00:01:54.000 --> 00:01:56.000]   Now, the second part of the related words section
[00:01:56.000 --> 00:02:00.000]   is talking about how transformers use tokens for reasoning.
[00:02:00.000 --> 00:02:02.000]   In the chain of thought prompting example,
[00:02:02.000 --> 00:02:04.000]   we can see that transformers can indeed
[00:02:04.000 --> 00:02:06.000]   solve higher complexity problems
[00:02:06.000 --> 00:02:09.000]   when additional reasoning tokens are provided.
[00:02:09.000 --> 00:02:12.000]   These tokens actually help to decompose the problem
[00:02:12.000 --> 00:02:13.000]   into smaller problems
[00:02:13.000 --> 00:02:17.000]   and improve the model reasoning's capabilities.
[00:02:17.000 --> 00:02:18.000]   So the question is that,
[00:02:18.000 --> 00:02:21.000]   are the LLMs making full use of these extra tokens
[00:02:21.000 --> 00:02:24.000]   as part of their reasoning process?
[00:02:24.000 --> 00:02:27.000]   And the third part in the related words section
[00:02:27.000 --> 00:02:30.000]   is talking about potential model performance improvements
[00:02:30.000 --> 00:02:32.000]   on more complex tasks.
[00:02:32.000 --> 00:02:35.000]   Some work also suggested that using filler tokens
[00:02:35.000 --> 00:02:38.000]   could improve performance on nested quantifier tasks.
[00:02:38.000 --> 00:02:41.000]   Basically, tasks that have some form of constraints,
[00:02:41.000 --> 00:02:45.000]   nested constraints that depend on each other.
[00:02:45.000 --> 00:02:47.000]   Now, what the authors want is that
[00:02:47.000 --> 00:02:49.000]   they actually wanted to create new data set
[00:02:49.000 --> 00:02:51.000]   that specifically target these kind of problems
[00:02:51.000 --> 00:02:55.000]   to test their filler tokens hypothesis.
[00:02:55.000 --> 00:02:57.000]   Now, let me move on to the methodology section
[00:02:57.000 --> 00:03:00.000]   and talk about the tasks created by the authors.
[00:03:00.000 --> 00:03:02.000]   I have a short section here talking about
[00:03:02.000 --> 00:03:04.000]   the nested quantifier,
[00:03:04.000 --> 00:03:06.000]   and then I will send the link over later,
[00:03:06.000 --> 00:03:08.000]   but this will just be a short summary
