
[00:00:00.000 --> 00:00:04.420]   And if you and I want to win championships and build a championship basketball team,
[00:00:04.420 --> 00:00:08.000]   we should not care where in the world the basketball player comes from.
[00:00:08.000 --> 00:00:11.600]   We just need to get the best players on our team to win the championship.
[00:00:11.600 --> 00:00:14.660]   And we ought to take the same approach to AI and technology.
[00:00:14.660 --> 00:00:28.920]   Hey, Bill, great to see you.
[00:00:29.260 --> 00:00:30.320]   Brad, how are you doing, man?
[00:00:30.320 --> 00:00:31.540]   I'm doing great.
[00:00:31.540 --> 00:00:32.380]   I'm doing great.
[00:00:32.380 --> 00:00:39.400]   You know, I'm heading back to Boston this weekend for my 25th HBS reunion.
[00:00:39.400 --> 00:00:40.360]   25.
[00:00:40.360 --> 00:00:42.500]   It's crazy.
[00:00:42.500 --> 00:00:48.840]   I mean, you're way older than me, but, you know, I can't believe it's 25 years.
[00:00:48.840 --> 00:00:53.280]   And I'm doing this talk on what's happening in AI, you know, these days.
[00:00:53.280 --> 00:00:58.520]   And there's a lot of questions about comparisons because, remember, we were there during the 99-2000
[00:00:58.520 --> 00:01:00.580]   kind of boom and bust.
[00:01:00.580 --> 00:01:07.280]   And so a lot of my classmates are wondering whether or not AI is kind of like that again.
[00:01:07.280 --> 00:01:09.720]   And so I was going back and pulling together these slides.
[00:01:09.720 --> 00:01:12.960]   And I have to say, a few things just shocked me, frankly.
[00:01:13.140 --> 00:01:16.300]   Like, I forgot how much has changed.
[00:01:16.300 --> 00:01:21.620]   One was I was doing, I was looking, I'm doing some analysis on Amazon.
[00:01:21.620 --> 00:01:25.180]   You know, I was day trading Amazon out of the back of the classroom back then.
[00:01:25.600 --> 00:01:28.940]   And you were out here working on the IPO.
[00:01:28.940 --> 00:01:34.660]   So I know you were paying attention to what the share price was in 98, 99, and 2000.
[00:01:34.660 --> 00:01:38.180]   And a couple of interesting points, right?
[00:01:38.180 --> 00:01:44.020]   Amazon, if you recall, Bill, and I know you do, it peaked at $243 a share in 1998.
[00:01:44.420 --> 00:01:48.500]   But at the start of 2000, it's at $150 a share, okay?
[00:01:48.500 --> 00:01:51.040]   And Henry Blodgett famously makes the call.
[00:01:51.040 --> 00:01:52.760]   He calls $400 a share.
[00:01:52.760 --> 00:01:56.920]   And he literally kind of top ticks it from the year 2000.
[00:01:56.920 --> 00:02:02.000]   And the thing plummets and goes down to about $26 a share, right?
[00:02:02.000 --> 00:02:04.300]   And he gets ridiculed and all this stuff.
[00:02:04.300 --> 00:02:04.940]   But I wanted to...
[00:02:04.940 --> 00:02:07.880]   No, it went public at $17 and broke issue.
[00:02:07.880 --> 00:02:09.540]   Yes, wow, wow.
[00:02:09.540 --> 00:02:12.400]   So it traded under issue for about two months.
[00:02:12.400 --> 00:02:13.040]   Right.
[00:02:13.040 --> 00:02:17.520]   And I'm sure you didn't get any calls from the company about what the F was going on.
[00:02:17.520 --> 00:02:20.140]   But here's the crazy thing, right?
[00:02:20.140 --> 00:02:22.720]   Remember, he gets ridiculed for making that call.
[00:02:22.720 --> 00:02:30.320]   So I wanted to know, and I went and asked our chat GPT friend to help me with some split-adjusted math on this.
[00:02:30.800 --> 00:02:39.540]   So split-adjusted from the high in 2000, which was this $150, that's equivalent to about $0.47 split-adjusted today.
[00:02:39.540 --> 00:02:45.180]   So it's up about $440x from where it was in 2000.
[00:02:45.180 --> 00:02:53.640]   And on a split-adjusted basis from the low in 2000, it's up about $1,800x, right?
[00:02:53.640 --> 00:02:55.760]   I mean, those are shocking numbers.
[00:02:55.760 --> 00:02:59.260]   And, you know, so that was one of the things that dawned on it.
[00:02:59.260 --> 00:03:02.220]   So I said, well, what's happened to the NASDAQ since we graduated?
[00:03:02.220 --> 00:03:06.680]   Well, from the peak in 2000, the NASDAQ is still up 5x.
[00:03:06.680 --> 00:03:10.400]   And from the trough in 2000, it's up 10x.
[00:03:10.400 --> 00:03:13.320]   And so I said, you know, what's the punchline?
[00:03:13.320 --> 00:03:18.660]   The punchline is, you know, we were a bunch of dreamy-eyed, big, you know, big thinkers.
[00:03:18.660 --> 00:03:21.640]   We thought we knew everything about the internet.
[00:03:21.980 --> 00:03:25.200]   We knew it was going to change the world forever.
[00:03:25.200 --> 00:03:29.580]   And it turns out we overestimated what it was going to do in the short term, right?
[00:03:29.580 --> 00:03:32.260]   Over the next two to three years, adoption was slower.
[00:03:32.260 --> 00:03:35.240]   We had the terrorist attacks in 2001.
[00:03:35.240 --> 00:03:37.260]   We had an economic recession.
[00:03:37.260 --> 00:03:38.920]   So things definitely grew slower.
[00:03:38.920 --> 00:03:43.080]   But the biggest problem was there just weren't that many people connected to a high-speed internet.
[00:03:43.320 --> 00:03:47.600]   So all the things we dreamed of occurring were just inefficient to happen at that time.
[00:03:47.600 --> 00:03:53.800]   But what's probably even more surprising, Bill, is how dramatically we underestimated the long term.
[00:03:53.800 --> 00:04:02.000]   Over the next 20 to 25 years, it blew away all of our estimates and forecasts in terms of how big these companies would be.
[00:04:02.540 --> 00:04:05.920]   And so now we sit here at, you know, kind of the dawn of the age of AI.
[00:04:05.920 --> 00:04:09.000]   And I think people are asking a lot of these same questions.
[00:04:09.000 --> 00:04:15.080]   But, you know, that was probably the biggest punchline on my 25-year reflection.
[00:04:15.080 --> 00:04:16.300]   All right.
[00:04:16.300 --> 00:04:22.060]   Well, if they listen to the podcast, they're going to miss your talk, maybe.
[00:04:24.420 --> 00:04:32.940]   Maybe, you know, talking about this pace of AI, you and I were sending some things back and forth, just about some strategic shifts going on in the world.
[00:04:32.940 --> 00:04:34.280]   Talk us through that.
[00:04:34.280 --> 00:04:38.260]   Well, obviously, I mean, the pace continues like crazy.
[00:04:38.260 --> 00:04:49.480]   Every time, you know, between just the podcast episodes we do, which are about two to three weeks, there's new news always and constantly.
[00:04:49.480 --> 00:04:53.560]   And it's hard to keep up with it.
[00:04:53.640 --> 00:05:01.540]   But I do try and pay attention to the stuff that spikes in my brain as being strategic and something you should really pay attention to.
[00:05:01.540 --> 00:05:10.720]   And one thing that I've seen in the past week, so this is very recent, is what I might call data walls.
[00:05:10.720 --> 00:05:14.480]   And so everyone's recognizing the value of AI.
[00:05:14.480 --> 00:05:23.320]   Everybody wants to have AI work against their data, against, you know, and everybody wants to wow the consumer or the customer.
[00:05:23.320 --> 00:05:32.260]   And so all of a sudden, though, we're seeing, you know, things pop up where people are trying to wall off data.
[00:05:32.260 --> 00:05:39.300]   And, you know, one example would be Reddit just sued Anthropic this morning despite having a deal.
[00:05:39.560 --> 00:05:42.300]   So it'd be interesting to unpack what's in there.
[00:05:42.300 --> 00:05:51.760]   I think there's a tiff between Windsurf and Anthropic, where Anthropic cut off, cut them off to all their models.
[00:05:51.760 --> 00:05:53.680]   You know, Windsurf was bought by OpenAI.
[00:05:54.000 --> 00:05:57.960]   It's not that surprising, but just seeing these walls pop up.
[00:05:57.960 --> 00:06:05.940]   I think a more interesting one in the enterprise case is Salesforce changed their terms of service.
[00:06:05.940 --> 00:06:12.560]   And in a way that includes not only the CRM data, but Slack data, which, you know, is a company they bought.
[00:06:12.560 --> 00:06:20.040]   And they're putting an MCP connector on top of it, which allows AI to query it.
[00:06:20.200 --> 00:06:26.120]   But they're saying that you can't train on the data that's in there.
[00:06:26.120 --> 00:06:27.260]   Hold on a second.
[00:06:27.260 --> 00:06:32.380]   So Altimeter Slack data, I can't train on my own data?
[00:06:33.040 --> 00:06:36.280]   That's what the change in the terms of service say.
[00:06:36.280 --> 00:06:38.800]   You can query the MCP.
[00:06:38.800 --> 00:06:48.840]   Yeah, I think it's, you know, I think maybe we'll start to talk about enterprise applications as either being open data or closed data.
[00:06:48.840 --> 00:06:51.740]   And people are going to need to declare that.
[00:06:51.740 --> 00:07:01.520]   But my guess is that if you're a competitor to Salesforce, you're immediately going to declare yourself open data and try and steal as many customers as possible.
[00:07:01.900 --> 00:07:11.180]   I can't fathom in my own brain how upset I would be if I were paying seven, eight figure license to Salesforce.
[00:07:11.180 --> 00:07:20.460]   And they told me I couldn't train on my own data, which is basically everything about my customers and everything that I would want to analyze.
[00:07:20.460 --> 00:07:27.780]   Now, I'm sure they're going to train on it and give you their AI agentic view of it, which is why they're doing this.
[00:07:27.780 --> 00:07:31.880]   But battle lines are being drawn, you know, going back to the old song.
[00:07:31.880 --> 00:07:45.100]   You know, and one of the things you didn't mention, Bill, I just saw Kevin Weil, our friend, tweeted from OpenAI that deep research is now searching across GitHub, Google Docs, Gmail, Outlook, HubSpot, Dropbox.
[00:07:45.380 --> 00:07:48.320]   Now, I think a lot of that's using MCP.
[00:07:48.320 --> 00:07:55.260]   But, you know, I do agree with you that this all seems to be happening faster rather than slower.
[00:07:55.260 --> 00:08:03.160]   You know, it reminds me, you and I back in the day sitting in a Zillow board meeting and talking about people building dependencies on Google.
