
[00:00:00.160 --> 00:00:05.440]   welcome to huberman lab essentials where we revisit past episodes for the most potent and
[00:00:05.440 --> 00:00:10.080]   actionable science-based tools for mental health physical health and performance
[00:00:10.080 --> 00:00:15.840]   i'm andrew huberman and i'm a professor of neurobiology and ophthalmology
[00:00:15.840 --> 00:00:20.560]   at stanford school of medicine this podcast is separate from my teaching and research roles at
[00:00:20.560 --> 00:00:25.280]   stanford it is however part of my desire and effort to bring you zero cost to consumer
[00:00:25.280 --> 00:00:30.320]   information about science and science related tools to the general public we just closed out
[00:00:30.320 --> 00:00:36.720]   the episodes on hormones now we are going to talk about how to optimize physical performance and skill
[00:00:36.720 --> 00:00:43.040]   learning there are so many variables to physical performance and we can manage physical performance
[00:00:43.040 --> 00:00:48.560]   and skill learning from a variety of contexts i made just a short list of some of the things that come
[00:00:48.560 --> 00:00:53.520]   to mind that can powerfully impact physical performance and skill learning some of them
[00:00:53.520 --> 00:00:59.840]   are what i would consider foundational they allow you to show up with your current ability and if you
[00:00:59.840 --> 00:01:06.400]   were to disrupt those you would perform less well so things like getting a good night's sleep things
[00:01:06.400 --> 00:01:12.480]   like being properly hydrated things like being well nourished there are supplements there are drugs there
[00:01:12.480 --> 00:01:19.040]   are different ways to breathe there are so many tools related to mindset visualization it's just a vast
[00:01:19.040 --> 00:01:27.520]   space but it's not infinite and there are a few things in the list of things that can impact and even
[00:01:27.520 --> 00:01:34.240]   optimize physical performance and skill learning that have an outsized effect that any of you can use
[00:01:34.240 --> 00:01:42.560]   so today we are going to focus on what i believe to be one of the most powerful tools to improve physical
[00:01:42.560 --> 00:01:48.880]   physical performance and skill learning and recovery we'll talk about about why that's important and
[00:01:48.880 --> 00:01:56.880]   that's temperature believe it or not temperature is the most powerful variable for improving physical
[00:01:56.880 --> 00:02:03.920]   performance and for recovery there are two aspects to temperature of course there's heat and there's cold
[00:02:04.800 --> 00:02:11.840]   we are mainly going to focus on cold as a way to buffer heat we're going to talk about cold from the
[00:02:11.840 --> 00:02:20.160]   standpoint of thermal physiology this is a literature that's rich in scientific information that goes back
[00:02:20.160 --> 00:02:26.640]   very deep into the last century where physiologists and neuroscientists figured out that there are different
[00:02:26.640 --> 00:02:32.960]   compartments in your body that heat and cool you differently and that you can leverage those in order
[00:02:32.960 --> 00:02:40.480]   to double even triple or quadruple your work output both strength repetitions and endurance so this is not weak
[00:02:40.480 --> 00:02:47.280]   sauce as they say this is the stuff that can really shift the needle quite a bit and it's not just about
[00:02:47.280 --> 00:02:53.120]   performing well once it's about being able to perform well and recover from that performance so that you
[00:02:53.120 --> 00:02:59.360]   do even better when you're not incorporating these tools on days where for instance you can't access
[00:02:59.360 --> 00:03:05.200]   cold or an ice pack or an ice bath or things of that sort let's start by talking about temperature
[00:03:05.200 --> 00:03:12.640]   how does temperature impact the body and its ability to perform including learn new skills so
[00:03:12.640 --> 00:03:19.600]   everyone probably remembers or has at least heard of the word homeostasis right that the body wants to
[00:03:19.600 --> 00:03:26.560]   remain in a particular range of temperatures that it doesn't like to be too hot or too cold heating up
[00:03:26.560 --> 00:03:34.000]   too much is just plain bad it's not just bad for physical performance it's bad for all tissue health
[00:03:34.000 --> 00:03:41.600]   cells stop functioning they stop being able to generate energy they stop being able to digest things you stop
[00:03:41.600 --> 00:03:48.560]   being able to think and eventually those cells start dying off entirely now you don't want to become
[00:03:48.560 --> 00:03:55.520]   hypothermic either you can die from hypothermia just like you can die from hyperthermia however that you have
[00:03:55.520 --> 00:04:05.600]   a lot more range to be cold than you do to be too warm okay and in general the idea is to keep the body and brain in a
[00:04:05.600 --> 00:04:12.640]   a particular range but anytime we do anything our body temperature can shift so for instance
[00:04:12.640 --> 00:04:19.360]   if you were to stand next to a campfire where you were outside on a hot day various things would happen
[00:04:19.360 --> 00:04:25.680]   to dump heat from your body now what are those things well there are a huge category of them but the
[00:04:25.680 --> 00:04:33.520]   simplest way to think about this process is that when we get cold we tend to vasoconstrict we tend to our blood
[00:04:33.520 --> 00:04:40.000]   vessels tend to constrict and we tend to push energy toward the core of our body to preserve our core
[00:04:40.000 --> 00:04:46.800]   organs okay so our periphery our hands and our feet and our toes and our legs become colder and our core
[00:04:46.800 --> 00:04:54.800]   therefore can maintain blood to that area and we are insulating our core conversely when we heat up our
[00:04:54.800 --> 00:05:02.480]   blood vessels vasodilate they expand a bit and more blood flows to our periphery and more blood can move
[00:05:02.480 --> 00:05:09.200]   throughout the body generally and we will perspire we will sweat water will actually get pulled out of
[00:05:09.200 --> 00:05:15.200]   the blood to some extent moved up through sweat glands and will be brought to the skin surface so that
[00:05:15.200 --> 00:05:23.360]   it can be dumped we are dumping heat so it's very important that if you want to understand how you can
[00:05:23.360 --> 00:05:29.040]   leverage temperature for physical performance you have to understand that you have vasoconstriction to
[00:05:29.040 --> 00:05:34.240]   conserve heat vasodilation to dump heat that you have sweating to dump heat and you have conservation of
[00:05:34.240 --> 00:05:41.680]   fluids in order to preserve heat that's the most important thing in terms of understanding the
[00:05:41.680 --> 00:05:47.760]   mechanisms of maintaining and dumping heat and now the most important thing to understand is that if you
[00:05:47.760 --> 00:05:54.480]   get too hot your ability to contract your muscles stops okay i'm going to repeat this because it's
[00:05:54.480 --> 00:06:02.080]   vitally important atp is involved in the process of generating muscle contractions the range of
[00:06:02.080 --> 00:06:08.800]   temperatures within which atp can function and muscles can contract is very narrow somewhere around
[00:06:08.800 --> 00:06:15.520]   39 or 40 degrees celsius it drops off and you will not be able to generate more contractions
[00:06:15.520 --> 00:06:22.240]   now it's pretty hot but it can that temperature can be generated locally really fast put simply if you
[00:06:22.240 --> 00:06:30.400]   get too hot you stop exercising you may not even realize it but your will to exercise further your ability to push
[00:06:30.400 --> 00:06:37.680]   harder is entirely dependent on the heat of the muscle both locally and your whole system if you can keep
[00:06:37.680 --> 00:06:45.760]   temperature in range however in a proper range you will be able to do more work you will be able to create
[00:06:45.760 --> 00:06:52.000]   greater output you'll be able to lift more weight more sets more reps and you'll be able to run further
[00:06:52.000 --> 00:06:57.200]   now there are data that i'm going to talk about in a little bit that are absolutely striking that
[00:06:57.200 --> 00:07:01.040]   underscore that statement there are data from my colleague craig heller's lab in the department of
[00:07:01.040 --> 00:07:08.160]   biology at stanford many if not all the nfl teams are now using this technology as well as military uses it
[00:07:08.160 --> 00:07:15.280]   and not just for sports performance but also firefighters construction workers other professions where
[00:07:15.280 --> 00:07:20.960]   elevated heat becomes a barrier to performance and you can leverage this to really improve your
[00:07:20.960 --> 00:07:29.200]   workouts so how do you dump heat in order to perform longer safely well in order to understand that you
[00:07:29.200 --> 00:07:34.800]   have to understand that the body has three main compartments for regulating temperature okay we don't
[00:07:34.800 --> 00:07:39.600]   just have a center and a periphery we have three main compartments and there's one compartment in
[00:07:39.600 --> 00:07:47.360]   particular that all of you or most all of you i have to assume have and if you can understand how that
[00:07:47.360 --> 00:07:53.920]   works you can do tremendous things for your performance and for your recovery one is your core we already
[00:07:53.920 --> 00:08:00.320]   talked about that your core organs your heart your lungs your pancreas your liver the core of your body
[00:08:01.120 --> 00:08:06.320]   the other is the other is your periphery which are obviously your arms and your legs and your feet and
[00:08:06.320 --> 00:08:14.160]   your hands but then there's a third component which is there are three locations on your body that are far
[00:08:14.160 --> 00:08:22.960]   better at passing heat out of the body and bringing cool into the body such that you can heat up or cool your
[00:08:22.960 --> 00:08:32.640]   body everywhere very quickly those three areas are your face the palms of your hands and the bottoms of your
[00:08:32.640 --> 00:08:38.800]   feet now the skin on your hands and on the bottoms of your feet and to some extent on your face are called
[00:08:38.800 --> 00:08:49.680]   glabrous skin that's g-l-a-b-o-r-o-u-s glabrous skin and what's special about those areas of your body and the
[00:08:49.680 --> 00:08:58.320]   glabrous skin is that the arrangement of vasculature of blood vessels capillaries and arteries that serve
[00:08:58.320 --> 00:09:05.600]   those regions is very different than it is elsewhere in your body in these three regions of your hands
[00:09:05.600 --> 00:09:14.080]   your face and the bottoms of your feet we have what are called avas avas are a very special pattern of
[00:09:14.080 --> 00:09:26.080]   vasculature avas are arteriovenous astomosis a-r-t-e-r-i-o arteriovenous v-e-n-o-u-s
[00:09:26.080 --> 00:09:38.400]   arteriovenous anastomosis a-n-a-s-t-o-m-o-s-e-s arteriovenous astomosis okay you want to know about
[00:09:38.400 --> 00:09:44.320]   arteriovenous astomosis trust me avas are direct connections between the small arteries and the
[00:09:44.320 --> 00:09:51.680]   small veins they bypass the capillaries to some extent they are little short vessel segments they
[00:09:51.680 --> 00:09:59.600]   have a big large inner diameter and they have this very thick muscular wall and they get input from what
[00:09:59.600 --> 00:10:05.680]   are called adrenergic neurons they get input from neurons that release norepinephrine and epinephrine
[00:10:05.680 --> 00:10:11.440]   which allows them to contract or dilate now there's some rules of physics that talk about
[00:10:11.440 --> 00:10:19.680]   how the radius of a pipe and small changes in the radius of a pipe leads to massive increases in the
[00:10:19.680 --> 00:10:26.400]   rate and amount of stuff that can flow through that pipe okay that's a rule of physics that says essentially
[00:10:26.400 --> 00:10:32.480]   that uh the radius is uh proportional to the amount of stuff that can flow through something to the
[00:10:32.480 --> 00:10:37.200]   fourth power what you need to know even if you don't want to know any of the underlying physics is that
[00:10:37.200 --> 00:10:45.360]   these avas allow more heat to leave the body more quickly and more cool to enter the body more quickly
[00:10:46.240 --> 00:10:54.880]   than other venous arterial capillary beds throughout the body in other words you can heat up best at the
[00:10:54.880 --> 00:11:01.680]   face the palms and the bottoms of the feet and you can cool down best at the face the palms and the
[00:11:01.680 --> 00:11:06.960]   bottoms of the feet than you can anywhere else on your body these three compartments of your body palms
[00:11:06.960 --> 00:11:14.720]   bottoms of the feet and face are your best leverage points for manipulating temperature to vastly improve
[00:11:14.720 --> 00:11:20.960]   physical performance so what craig and his colleagues did really illustrates perfectly what these body
[00:11:20.960 --> 00:11:31.680]   surfaces can do and why they were studying overheating in athletes and in military and in construction workers
[00:11:31.680 --> 00:11:38.240]   and trying to prevent it what they essentially found was that cooling the palms palmer cooling
[00:11:38.240 --> 00:11:47.520]   allowed people athletes and recreational athletes to run much further to lift more weight
[00:11:47.520 --> 00:11:52.560]   and to do more sets and reps to a absolutely staggering degree
[00:11:54.640 --> 00:12:04.080]   let's talk for a second a bit more about why we stop why we shut off effort when we get too hot when
[00:12:04.080 --> 00:12:12.880]   muscle heats up enzymes start getting disrupted and atp and muscles can't work so well and those muscles
[00:12:12.880 --> 00:12:20.080]   can't contract the enzyme that's involved here is something called pyruvate kinase and pyruvate kinase
[00:12:21.200 --> 00:12:27.600]   is essentially a rate limiting step it's a critical step that you can't bypass if you want muscles
[00:12:27.600 --> 00:12:30.000]   to contract and it's very temperature sensitive
[00:12:30.000 --> 00:12:40.320]   therefore if you can keep temperature lower you can do more work per unit time you can do more pull-ups
[00:12:40.320 --> 00:12:43.040]   what they essentially did is they brought someone into their laboratory
[00:12:43.040 --> 00:12:50.320]   who could do 10 pull-ups on the first set and they were able to get 10 rest two or three minutes get
[00:12:50.320 --> 00:12:53.920]   another 10 rest two or three minutes and if you've ever tried this what you find is that you start
[00:12:53.920 --> 00:13:00.960]   dropping to eight seven six etc now the person might not necessarily feel like they're overheating but
[00:13:00.960 --> 00:13:10.880]   the muscle is heating up then with their knowledge that these avas that these that these portals in the palms
[00:13:10.880 --> 00:13:18.960]   are a great way to both heat the body but also to dump heat from the body they used a device and i'll talk about
[00:13:18.960 --> 00:13:24.000]   what you can do at home but a device where they had people hold on to what was essentially
[00:13:24.000 --> 00:13:32.720]   a cold tube now this is crucial the tube can't be so cold that it causes vasoconstriction because then
[00:13:32.720 --> 00:13:40.720]   the cold won't pass from the tube to the hand and to the core but if it's the right temperature it's neither
[00:13:40.720 --> 00:13:49.520]   too hot nor too cold that cool from the cold tube passes into the hand these so-called palmer regions
