
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.640]   - You're listening to Let's Talk Jobs,
[00:00:08.640 --> 00:00:11.600]   where we give you practical insights into jobs and careers.
[00:00:11.600 --> 00:00:15.000]   I'm Tim Chen, and today we're joined by Jesse Ratner.
[00:00:15.000 --> 00:00:17.400]   He's a marketing consultant for copywriting,
[00:00:17.400 --> 00:00:19.240]   content strategy, and so much more.
[00:00:19.240 --> 00:00:20.920]   Jesse, how are you doing?
[00:00:20.920 --> 00:00:23.360]   - I'm great, Tim, thanks for having me.
[00:00:23.360 --> 00:00:26.200]   - Now today's podcast episode's gonna be very interesting
[00:00:26.200 --> 00:00:27.040]   'cause we're gonna be talking
[00:00:27.040 --> 00:00:29.040]   about artificial intelligence,
[00:00:29.040 --> 00:00:32.160]   and then we're gonna go into authenticity and humanity,
[00:00:32.160 --> 00:00:34.800]   and then we're gonna somehow end on personal growth
[00:00:34.800 --> 00:00:36.920]   and just freedom from our addictions.
[00:00:36.920 --> 00:00:39.240]   So hang tight, 'cause this is gonna be a fun ride.
[00:00:39.240 --> 00:00:40.320]   Jesse, before we get started,
[00:00:40.320 --> 00:00:41.320]   can you just tell me a little bit
[00:00:41.320 --> 00:00:43.560]   about what you're doing today?
[00:00:43.560 --> 00:00:44.880]   - Yeah, I'd love to.
[00:00:44.880 --> 00:00:49.640]   So today, as of April 5th, 2024,
[00:00:49.640 --> 00:00:52.400]   I'm doing a couple of things.
[00:00:52.400 --> 00:00:57.000]   My main engagement is with a laser manufacturer
[00:00:58.000 --> 00:01:01.160]   called Coherent, where I'm the lead content strategist,
[00:01:01.160 --> 00:01:06.160]   and I'm doing team management and digital strategy
[00:01:06.160 --> 00:01:08.280]   and a whole bunch of other things,
[00:01:08.280 --> 00:01:10.840]   and I've been doing that for about four years.
[00:01:10.840 --> 00:01:14.880]   In addition, I'm a copywriter for Kalibra,
[00:01:14.880 --> 00:01:16.480]   which is a data intelligence company
[00:01:16.480 --> 00:01:19.520]   that's been pivoting into the AI space more recently,
[00:01:19.520 --> 00:01:23.680]   and I write blogs and eBooks and things like that for them.
[00:01:23.680 --> 00:01:28.080]   I'm doing some work for MongoDB, writing SEO pages,
[00:01:28.080 --> 00:01:33.080]   mainly about AI topics like what is prompt engineering,
[00:01:33.080 --> 00:01:37.360]   what are embedded vectors,
[00:01:37.360 --> 00:01:40.920]   and then I'm also doing a little bit of work
[00:01:40.920 --> 00:01:42.920]   for another agency, Outliant,
[00:01:42.920 --> 00:01:45.320]   where I'm helping them with some brand repositioning
[00:01:45.320 --> 00:01:47.080]   and hopefully some other things.
[00:01:47.080 --> 00:01:49.560]   So I'm busy.
[00:01:49.560 --> 00:01:51.940]   I like the variety, I've always liked that.
[00:01:52.940 --> 00:01:56.620]   I like to work different parts of my brain,
[00:01:56.620 --> 00:02:01.180]   so my main role at Coherent, I'm a strategist,
[00:02:01.180 --> 00:02:03.060]   I'm managing the writers,
[00:02:03.060 --> 00:02:06.460]   I'm working with the stakeholders.
[00:02:06.460 --> 00:02:08.420]   Coherent has a very broad portfolio.
[00:02:08.420 --> 00:02:12.540]   They offer products for the life sciences space
[00:02:12.540 --> 00:02:14.300]   and the networking space,
[00:02:14.300 --> 00:02:18.820]   which means they're selling transceivers to hyperscalers
[00:02:18.820 --> 00:02:21.620]   and they're selling lasers, for example,
[00:02:21.620 --> 00:02:24.660]   to the EV markets, so EV manufacturers
[00:02:24.660 --> 00:02:27.900]   that are doing very advanced production lines
[00:02:27.900 --> 00:02:31.020]   and need very fast, high power lasers
[00:02:31.020 --> 00:02:34.340]   to help do the welding and all sorts of stuff.
[00:02:34.340 --> 00:02:36.220]   So that's a fascinating job.
[00:02:36.220 --> 00:02:39.580]   And my role is mostly strategic and planning,
[00:02:39.580 --> 00:02:43.040]   and the other roles are more,
[00:02:43.040 --> 00:02:49.900]   I'm executing on briefs, I'm writing blogs and eBooks
[00:02:49.900 --> 00:02:52.500]   and webpages and things like that.
[00:02:52.500 --> 00:02:54.580]   And other things come up now and again.
[00:02:54.580 --> 00:02:56.140]   I keep myself pretty busy
[00:02:56.140 --> 00:02:58.480]   and it's been that way for quite a while.
[00:02:58.480 --> 00:03:03.480]   I've been a consultant for nearly seven years now.
[00:03:03.480 --> 00:03:05.940]   - No, it's been fascinating
[00:03:05.940 --> 00:03:08.900]   just watching your career trajectory,
[00:03:08.900 --> 00:03:11.500]   'cause when you and I met back at Logitech,
[00:03:11.500 --> 00:03:13.460]   you were writing copy for .com
[00:03:13.460 --> 00:03:15.300]   and I was managing the website of stuff,
[00:03:15.300 --> 00:03:18.140]   and I've always known you to be a very creative,
[00:03:18.140 --> 00:03:20.540]   hilarious, and just a fun guy to be around.
[00:03:20.540 --> 00:03:22.940]   And just kind of seeing you broaden your skillset
[00:03:22.940 --> 00:03:24.780]   and applying to different things,
[00:03:24.780 --> 00:03:26.780]   it's just really, really cool.
[00:03:26.780 --> 00:03:29.500]   And recently, you and I have been going back and forth
[00:03:29.500 --> 00:03:31.740]   online just talking about AI, right?
[00:03:31.740 --> 00:03:36.580]   And how does that affect our various lines of work
