
[00:00:00.000 --> 00:00:08.000]   Great.
[00:00:08.000 --> 00:00:15.000]   All right, so let's at least get introduction. So let's say hello. Hello.
[00:00:15.000 --> 00:00:29.000]   I guess probably people know me. I'm Jeremy, co-founder of Fast AI, and we're going to be doing a careful thorough
[00:00:29.000 --> 00:00:39.000]   and correct walkthrough of fast AI lessons and more generally how to data science, I guess.
[00:00:39.000 --> 00:00:42.000]   That's the plan.
[00:00:42.000 --> 00:00:52.000]   And we will see who ends up being regular guests with us, but at least we have have we have at least two regular guests, hopefully being Radac and Nick.
[00:00:52.000 --> 00:00:59.000]   So Radac and Nick, do you want to say hello and introduce yourselves?
[00:00:59.000 --> 00:01:02.000]   Sure. Nick, want to go first?
[00:01:02.000 --> 00:01:12.000]   Sure. I can go first, Radac, no worries. Hi, everyone. I'm Nick. I'm friends with Jeremy. I've been involved in machine learning and deep learning over the last, geez,
[00:01:12.000 --> 00:01:21.000]   longer than I care to think about, actually. But it's great to be here. And yeah, I'd love to help you out however I can. And I'm looking forward to getting into it. So nice to meet you all.
[00:01:21.000 --> 00:01:25.000]   And so, Nick, your background is mainly trading, I guess.
[00:01:25.000 --> 00:01:28.000]   Yeah. Yeah, mainly quant finance.
[00:01:28.000 --> 00:01:39.000]   And it'd be fair to say like you're extremely numerate, extremely good coder, but you haven't had as much experience with deep learning using Python.
[00:01:39.000 --> 00:01:43.000]   Like you seem to mainly, from what I've seen, you've used Wolfram quite a lot.
[00:01:43.000 --> 00:01:45.000]   Yeah, exactly.
[00:01:45.000 --> 00:01:47.000]   Technical background.
[00:01:47.000 --> 00:02:01.000]   Yeah, so I suppose I'm a one-trick pony in one sense in machine learning and deep learning in that it's usually been pretty heavily tabular data and financial data and some other bits and pieces along the way.
[00:02:01.000 --> 00:02:06.000]   Yeah, I've always coded in R and less so in Python.
[00:02:06.000 --> 00:02:20.000]   It's a transition for me, so I'm learning stuff along the way here too, and especially with coming to these frameworks like fast.ai, like I'm making my way around them just like the rest of you are, but it's fantastic to be here and I'm glad to be on the journey with all of you.
[00:02:20.000 --> 00:02:22.000]   Awesome.
[00:02:22.000 --> 00:02:24.000]   Hello, everyone.
[00:02:24.000 --> 00:02:28.000]   My name is Radek and super happy to be here.
[00:02:28.000 --> 00:02:46.000]   So, I guess I was trying to learn machine learning for quite a while. And then I did a fast.ai course, which was four years ago, and it's changed everything for me and I have been doing fast.ai courses ever since.
[00:02:46.000 --> 00:02:50.000]   Hoping to contribute in whatever way I can.
[00:02:50.000 --> 00:03:04.000]   And just because the home of global.ai is clearly in Queensland, Radek and Nick and I all happen to be in Queensland, within about an hour's drive of each other in fact.
[00:03:04.000 --> 00:03:15.000]   Absolutely, absolutely, and you know, AI can take you to interesting places, because if it weren't for AI, I wouldn't be able to be here.
[00:03:15.000 --> 00:03:26.000]   That's quite fun. You normally don't expect that to happen when you take an online course, but hey, fast.ai is the Nick in my mind.
[00:03:26.000 --> 00:03:38.000]   So, I thought we should start at step 0.1, which is making sure that we've got Python working.
[00:03:38.000 --> 00:03:42.000]   And not just working but working well.
[00:03:42.000 --> 00:03:56.000]   So, these sessions are not going to be about showing options for things, but showing you the one true way, by which I mean of course the way I do it.
[00:03:56.000 --> 00:04:17.000]   Having said that, I do actually try a lot of things. I am totally addicted to trying out software libraries and tools and configurations or whatever and I've been doing that for 25 years so I have actually more than 25 years.
[00:04:17.000 --> 00:04:23.000]   So yeah, you know, I find a lot of people on the forums.
[00:04:23.000 --> 00:04:34.000]   Watch a fast AI course and then go and have this conversation about like how to set something up. Nobody actually seems to just set it up the way I said just do it like this and when I say like no actually do it what I said.
