
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:12.000]   The cross of Jesus Christ is a watershed point for so many issues in theology and ethics.
[00:00:12.000 --> 00:00:17.000]   So was the cross a tragic event that God turned for good,
[00:00:17.000 --> 00:00:21.000]   or was it a loving event that God planned for good?
[00:00:21.000 --> 00:00:24.000]   Which side of the watershed you choose to kayak down
[00:00:24.000 --> 00:00:29.000]   will decide the trajectory of your entire theological system that you based your life on.
[00:00:29.000 --> 00:00:35.000]   It's that important, as John Piper explains in a sermon clip from his 2011 sermon on John chapter 11.
[00:00:35.000 --> 00:00:38.000]   Here's a clip of what he said.
[00:00:38.000 --> 00:00:48.000]   God did not just turn the national crisis for Israel's good and our good.
[00:00:48.000 --> 00:00:54.000]   He was in it from the start, planning it.
[00:00:54.000 --> 00:01:02.000]   See the difference? Does God see a difficult situation and fix it, turn it,
[00:01:02.000 --> 00:01:08.000]   or is he in it from the start, managing it, planning it?
[00:01:08.000 --> 00:01:12.000]   And I'm arguing that's the case because of what this text says.
[00:01:12.000 --> 00:01:19.000]   So notice carefully what John says about Caiaphas' words, verse 50.
[00:01:19.000 --> 00:01:25.000]   "It's better for you that one man should die for the people, not that the whole nation should perish."
[00:01:25.000 --> 00:01:30.000]   And then John says something amazing in verse 51.
[00:01:30.000 --> 00:01:41.000]   He did not say this of his own accord, but being high priest that year, he prophesied.
[00:01:41.000 --> 00:01:46.000]   He prophesied of God's accord, not his own.
[00:01:46.000 --> 00:01:50.000]   He prophesied of God's accord, not his own.
[00:01:50.000 --> 00:01:53.000]   Now think that through.
[00:01:53.000 --> 00:01:58.000]   God brought these words out of Caiaphas' mouth.
[00:01:58.000 --> 00:02:00.000]   God put them there.
[00:02:00.000 --> 00:02:03.000]   God has a meaning.
[00:02:03.000 --> 00:02:08.000]   At one level, these are Caiaphas' words, and his meaning is one thing.
[00:02:08.000 --> 00:02:13.000]   At another level, these are God's words, and his meaning is another thing.
[00:02:13.000 --> 00:02:20.000]   And the point I'm making here is these words sealed Jesus' death.
[00:02:20.000 --> 00:02:25.000]   These words were the death warrant of Jesus.
[00:02:25.000 --> 00:02:27.000]   God spoke these words.
[00:02:27.000 --> 00:02:35.000]   Caiaphas wanted Jesus dead and out of the way, so he spoke these words.
[00:02:35.000 --> 00:02:46.000]   And Jesus wanted Jesus, God wanted Jesus dead and risen and reigning and triumphant over the world.
[00:02:46.000 --> 00:02:49.000]   And he spoke these words.
[00:02:49.000 --> 00:02:56.000]   He didn't arrive on the scene here late and say, "Oh my, what will I make of these words?"
[00:02:56.000 --> 00:02:59.000]   He spoke these words.
[00:02:59.000 --> 00:03:02.000]   That's amazing.
[00:03:02.000 --> 00:03:06.000]   I mean, my whole life is based on things like that.
[00:03:06.000 --> 00:03:08.000]   You think you're troubles?
[00:03:08.000 --> 00:03:12.000]   God says, "Oh no, what will I make of that?
[00:03:12.000 --> 00:03:15.000]   That horrible mess.
[00:03:15.000 --> 00:03:17.000]   I'll figure it out."
[00:03:17.000 --> 00:03:20.000]   That's not my God.
[00:03:20.000 --> 00:03:26.000]   Caiaphas prophesied, that is, he spoke God's words, and God said,
[00:03:26.000 --> 00:03:30.000]   "It is better for you that one should die for the people,
[00:03:30.000 --> 00:03:32.000]   and that the whole nation should not perish."
[00:03:32.000 --> 00:03:35.000]   God said, "Better that he die."
[00:03:35.000 --> 00:03:37.000]   God said, "Better that he die."
[00:03:37.000 --> 00:03:40.000]   God said, "Better that he die."
[00:03:40.000 --> 00:03:45.000]   Better indeed, better than any plan in the universe.
[00:03:45.000 --> 00:03:49.000]   Infinitely better that he die.
[00:03:49.000 --> 00:03:51.000]   I love God.
[00:03:51.000 --> 00:03:53.000]   I love God.
[00:03:53.000 --> 00:03:57.000]   He did this with you in mind.
[00:03:57.000 --> 00:04:04.000]   Therefore, the death of Jesus was not mainly a tragic set of events
[00:04:04.000 --> 00:04:06.000]   which God turned for good.
[00:04:06.000 --> 00:04:11.000]   It was a loving set of events that God planned for good.
[00:04:11.000 --> 00:04:16.000]   God himself served the death warrant on his son.
[00:04:16.000 --> 00:04:18.000]   He didn't just predict it.
[00:04:18.000 --> 00:04:20.000]   He unleashed it.
[00:04:20.000 --> 00:04:25.000]   This word of prophecy tracked Jesus down to Gethsemane
[00:04:25.000 --> 00:04:28.000]   and put him under arrest.
[00:04:28.000 --> 00:04:33.000]   There was no escape because God had spoken.
[00:04:33.000 --> 00:04:35.000]   Listen carefully.
[00:04:35.000 --> 00:04:41.000]   Inside the universal offer of salvation, which we know from John 3.16, right?
[00:04:41.000 --> 00:04:43.000]   For God so loved the world.
[00:04:43.000 --> 00:04:47.000]   Whoever, inside the universal offer of salvation,
[00:04:47.000 --> 00:04:54.000]   God has a particular design in the death of his son
[00:04:54.000 --> 00:04:59.000]   to convert the elect, the scattered children of God,
[00:04:59.000 --> 00:05:03.000]   and bring them to himself.
[00:05:03.000 --> 00:05:10.000]   Within the glorious open door sent to the world,
[00:05:10.000 --> 00:05:13.000]   whosoever will may come.
[00:05:13.000 --> 00:05:17.000]   For God so loved the world that he gave his only begotten son,
[00:05:17.000 --> 00:05:24.000]   whoever believes, whoever believes, may not perish, but have eternal life.
[00:05:24.000 --> 00:05:29.000]   Within that glorious proclamation, which we should announce everywhere we go,
