
[00:00:00.000 --> 00:00:03.400]   [MUSIC PLAYING]
[00:00:03.400 --> 00:00:11.960]   Hey, everyone.
[00:00:11.960 --> 00:00:13.880]   Welcome to the Latent Space Podcast.
[00:00:13.880 --> 00:00:16.520]   This is Alessio, partner and CTO at Residence
[00:00:16.520 --> 00:00:17.680]   at Decibel Partners.
[00:00:17.680 --> 00:00:21.280]   And I'm joined by my co-host, Sviggs, founder of Small.ai.
[00:00:21.280 --> 00:00:25.200]   Hey, and today we have in the remote studio, Jeremy Howard,
[00:00:25.200 --> 00:00:26.680]   from-- all the way from Australia.
[00:00:26.680 --> 00:00:27.800]   Good morning.
[00:00:27.800 --> 00:00:30.000]   The remote studio, also known as my house.
[00:00:30.000 --> 00:00:31.360]   Good morning.
[00:00:31.360 --> 00:00:32.800]   Nice to see you, Sviggs.
[00:00:32.800 --> 00:00:34.760]   Nice to see you, too.
[00:00:34.760 --> 00:00:38.000]   I'm actually very used to seeing you in your mask
[00:00:38.000 --> 00:00:41.760]   as a message to people, but today we're mostly audio.
[00:00:41.760 --> 00:00:44.840]   But thank you for doing the very important public service
[00:00:44.840 --> 00:00:46.540]   of COVID awareness.
[00:00:46.540 --> 00:00:47.680]   At once, it was a pleasure.
[00:00:47.680 --> 00:00:50.720]   It was all very annoying, and frustrating, and tedious.
[00:00:50.720 --> 00:00:52.520]   But somebody had to do it, so I just left.
[00:00:52.520 --> 00:00:54.280]   Somebody had to do it, especially somebody
[00:00:54.280 --> 00:00:56.360]   with your profile, I think.
[00:00:56.360 --> 00:00:58.440]   It really drives home the message.
[00:00:58.440 --> 00:01:00.560]   So we tend to really--
[00:01:00.560 --> 00:01:02.120]   we tend to introduce people for them,
[00:01:02.120 --> 00:01:03.840]   and then ask people to fill in the blanks
[00:01:03.840 --> 00:01:06.000]   on the personal side.
[00:01:06.000 --> 00:01:08.840]   Something I did not know about you was that you graduated
[00:01:08.840 --> 00:01:12.640]   with a BA in philosophy from the University of Melbourne.
[00:01:12.640 --> 00:01:15.040]   I assumed you had a PhD.
[00:01:15.040 --> 00:01:18.600]   No, I mean, I barely got through my BA,
[00:01:18.600 --> 00:01:23.040]   because I was working 80 to 100 hour weeks at McKinsey
[00:01:23.040 --> 00:01:27.720]   plant company from 19 years old onwards.
[00:01:27.720 --> 00:01:33.160]   So I actually didn't attend any lectures
[00:01:33.160 --> 00:01:35.640]   in second and third year university.
[00:01:35.640 --> 00:01:37.120]   Well, I guess you didn't need it,
[00:01:37.120 --> 00:01:39.760]   or you're very sort of self-driven and self-motivated.
[00:01:39.760 --> 00:01:46.200]   I just-- I took two weeks off before each exam period
[00:01:46.200 --> 00:01:47.640]   when I was working at McKinsey.
[00:01:47.640 --> 00:01:49.640]   And then, I mean, I can't believe I got away
[00:01:49.640 --> 00:01:50.640]   with this in hindsight.
[00:01:50.640 --> 00:01:52.880]   I would go to all my professors and say,
[00:01:52.880 --> 00:01:55.040]   oh, I was meant to be in your class this semester,
[00:01:55.040 --> 00:01:56.280]   and I didn't quite turn up.
[00:01:56.280 --> 00:01:59.040]   Were there any assignments I was meant to have done, whatever?
[00:01:59.040 --> 00:02:03.720]   And I can't believe all of them let me basically have--
[00:02:03.720 --> 00:02:05.800]   they basically always would say, like, OK, well,
[00:02:05.800 --> 00:02:08.400]   if you can have this written by tomorrow, I'll accept it.
[00:02:08.400 --> 00:02:13.120]   So yeah, stressful way to get through university, but--
[00:02:13.120 --> 00:02:17.720]   Well, it shows that, I guess, you min-maxed the opportunities.
[00:02:17.720 --> 00:02:19.760]   That definitely was a precursor.
[00:02:19.760 --> 00:02:24.200]   Finally, like, in as much as I, you know, in philosophy,
[00:02:24.200 --> 00:02:26.960]   the things I found interesting and focused on
