
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:09.000]   Pastor John, here's a big question we get frequently from listeners, and it comes in various forms,
[00:00:09.000 --> 00:00:16.000]   but essentially the question is this, "Is there such a thing as free will?"
[00:00:16.000 --> 00:00:22.000]   Let me pose the question really specifically so that it's not maybe quite that broad,
[00:00:22.000 --> 00:00:24.000]   but I think we'll go right to the heart of the matter.
[00:00:24.000 --> 00:00:31.000]   Do we have free will in choosing Christ as our Lord and Savior and treasure?
[00:00:31.000 --> 00:00:36.000]   I think that's what the center of the debate is about, and then people can generalize beyond that about,
[00:00:36.000 --> 00:00:38.000]   like, do you have free will to eat a banana?
[00:00:38.000 --> 00:00:50.000]   But I'm just talking about, do we have free will to choose Christ as our Savior, our Lord, our treasure?
[00:00:50.000 --> 00:00:53.000]   And, of course, that depends on the definition of free will.
[00:00:53.000 --> 00:01:00.000]   So let's start with one, and I think this is a definition that those in the debate would agree with.
[00:01:00.000 --> 00:01:08.000]   I know that in my debates with Greg Boyd, for example, he would use this for what he's defending people having,
[00:01:08.000 --> 00:01:11.000]   and I think people don't have in this regard.
[00:01:11.000 --> 00:01:19.000]   So here, you have a free will—this is the definition—you have a free will when you have ultimate self-determination.
[00:01:19.000 --> 00:01:31.000]   With this definition, you have free will in choosing Christ if the ultimate cause of the choice is your own self-determination.
[00:01:31.000 --> 00:01:34.000]   So the point is the word "ultimate."
[00:01:34.000 --> 00:01:42.000]   There may be a lot of factors that share in determining your choice of Christ,
[00:01:42.000 --> 00:01:47.000]   but only one of those factors is ultimate or final.
[00:01:47.000 --> 00:01:56.000]   Free will, on this definition, demands that you be that factor, not anything else, including God.
[00:01:56.000 --> 00:02:01.000]   God's not the final, ultimate factor in the choice.
[00:02:01.000 --> 00:02:13.000]   You are—or here's another way to say it—you have free will when your will is the decisive cause of your choosing Christ.
[00:02:13.000 --> 00:02:18.000]   And the word "decisive" here has the same function as "ultimate."
[00:02:18.000 --> 00:02:27.000]   There may be many causes that influence your choosing Christ, but for you to be free, in this definition,
[00:02:27.000 --> 00:02:39.000]   the decisive cause, the one that finally decides your choice, must be your will, not anyone else's will, including God.
[00:02:39.000 --> 00:02:42.000]   So that's what the debate is about.
[00:02:42.000 --> 00:02:52.000]   When you get to heaven, if God asks you, "What's the deepest, decisive reason you believed on my Son?"
[00:02:52.000 --> 00:02:54.000]   What will your answer be?
[00:02:54.000 --> 00:03:03.000]   Will you say, "The decisive reason for my choice was your grace,"
[00:03:03.000 --> 00:03:08.000]   or will you say, "The decisive reason for my choice was me?"
[00:03:08.000 --> 00:03:14.000]   Now, be sure to notice carefully, the question is not, "Did we make a choice?"
[00:03:14.000 --> 00:03:18.000]   The question was not, "Was our will active and necessary?"
[00:03:18.000 --> 00:03:21.000]   The question was not, "Was our choice real?"
[00:03:21.000 --> 00:03:25.000]   The answer to all those questions is, "Yes, you made a choice.
[00:03:25.000 --> 00:03:29.000]   Your will was active and necessary. Your choice was real."
[00:03:29.000 --> 00:03:31.000]   That's not the question in the debate.
[00:03:31.000 --> 00:03:39.000]   The question is, when your will chose, what was decisive in bringing that willing about?
[00:03:39.000 --> 00:03:43.000]   What was the decisive influence or the decisive cause?
