
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:08.560]   Mike writes in to ask this, "Pastor John, I have been over the last few years moving
[00:00:08.560 --> 00:00:13.320]   away from a Calvinistic reformed piety among the so-called New Calvinists and towards a
[00:00:13.320 --> 00:00:17.580]   more Lutheran law gospel distinction and a less obligation to the third use of the law
[00:00:17.580 --> 00:00:19.400]   view of the Christian life.
[00:00:19.400 --> 00:00:22.400]   Although the differences are subtle, there are nevertheless differences.
[00:00:22.400 --> 00:00:26.360]   My assurance is more consistent and more joyful, so much so that I feel like I'm deceived
[00:00:26.360 --> 00:00:28.040]   into cheap grace.
[00:00:28.040 --> 00:00:31.560]   I'm a part of a Calvinistic reformed church and there are subtle tensions beginning on
[00:00:31.560 --> 00:00:32.560]   the subject.
[00:00:32.560 --> 00:00:36.560]   Am I moving in a wrong direction and is there no difference at all, just a misunderstanding
[00:00:36.560 --> 00:00:37.560]   of language?"
[00:00:37.560 --> 00:00:40.760]   Oh my.
[00:00:40.760 --> 00:00:42.920]   This is just so huge.
[00:00:42.920 --> 00:00:54.240]   The law gospel conversation has been going on for a thousand years and 2000 and involves
[00:00:54.240 --> 00:00:56.200]   huge and complex issues.
[00:00:56.200 --> 00:01:02.080]   So here's the way I've thought about answering this.
[00:01:02.080 --> 00:01:10.440]   I just want to say a few things that are a contribution to people's thought, not a solution
[00:01:10.440 --> 00:01:13.400]   to every issue they're facing.
[00:01:13.400 --> 00:01:17.800]   And it may be a few thoughts they haven't had, and so if the Holy Spirit would be pleased
[00:01:17.800 --> 00:01:22.720]   to just take these few thoughts and stir them in to all their biblical reflections and all
[00:01:22.720 --> 00:01:29.160]   their reading, I would be happy with that outcome.
[00:01:29.160 --> 00:01:36.600]   In the New Testament, the word "law" is used in several ways, numerous ways.
[00:01:36.600 --> 00:01:39.120]   It refers to the Old Testament.
[00:01:39.120 --> 00:01:42.400]   It refers to the Pentateuch, the first five books of the Old Testament.
[00:01:42.400 --> 00:01:47.240]   It refers to the covenant at Sinai, the Mosaic covenant and the commandments there.
[00:01:47.240 --> 00:01:49.720]   It refers to the principle of authority.
[00:01:49.720 --> 00:01:55.120]   It refers to a summary statement of God's demand for perfect obedience, etc.
[00:01:55.120 --> 00:02:03.040]   So it will be very confusing if we speak of a law gospel distinction without making clear
[00:02:03.040 --> 00:02:06.000]   what we mean by "law" when we say it.
[00:02:06.000 --> 00:02:11.160]   And I think lots of confusion happens when people just constantly say "law, law, law,
[00:02:11.160 --> 00:02:14.360]   law, law" and don't define what they mean by "law."
[00:02:14.360 --> 00:02:18.080]   Let me give an example of how I would talk.
[00:02:18.080 --> 00:02:27.400]   If I should say there is a clear distinction between law and gospel in the Bible, then
[00:02:27.400 --> 00:02:38.000]   what I would be meaning by "law" at that moment is not the first five books of Moses.
[00:02:38.000 --> 00:02:41.080]   Now why is that?
[00:02:41.080 --> 00:02:49.160]   Because the Pentateuch, the first five books of the Bible, include Genesis, which contains
[00:02:49.160 --> 00:02:57.160]   the Abrahamic covenant, where Paul says, God says, that Abraham was justified by faith.
[00:02:57.160 --> 00:03:01.640]   And Paul uses that text to illustrate the gospel.
[00:03:01.640 --> 00:03:08.720]   In Galatians 3, the Scripture, he says, "The Scripture," Genesis 12, "for seeing that God
[00:03:08.720 --> 00:03:12.400]   would justify the Gentiles by faith, preached the gospel."
[00:03:12.400 --> 00:03:13.400]   There it is.
[00:03:13.400 --> 00:03:20.400]   So the Pentateuch is preaching the gospel in Genesis 12, "If in you shall all the families
[00:03:20.400 --> 00:03:21.400]   be blessed."
[00:03:21.400 --> 00:03:26.200]   So the Pentateuch preached justification by faith, preached the gospel, and pointed to
[00:03:26.200 --> 00:03:28.560]   Christ when it did it.
