
[00:00:00.000 --> 00:00:05.440]   [Music]
[00:00:05.440 --> 00:00:10.560]   Kristen, a podcast listener, writes in with a question, "Pastor John, I'm ashamed to say that
[00:00:10.560 --> 00:00:15.840]   my Bible reading is often hijacked by a sense of doubt. It sometimes even feels more like a
[00:00:15.840 --> 00:00:21.200]   spiritual battle than an intellectual battle, and it scares me because it attacks my faith at the
[00:00:21.200 --> 00:00:26.880]   foundations, the truth of the Bible. Do you have any advice for attacking a spirit of doubt and
[00:00:26.880 --> 00:00:32.800]   cynicism when I'm reading the Bible?" You know, Tony, I pray, I stop and I pray
[00:00:32.800 --> 00:00:39.200]   over every one of these questions as I try to answer them so that in the hundreds of things
[00:00:39.200 --> 00:00:44.160]   you could say, "The Lord will help me choose the things that might be most helpful." This one felt
[00:00:44.160 --> 00:00:50.960]   like I needed to pray more, because when she conceded that it's a spiritual battle and not
[00:00:50.960 --> 00:00:58.240]   just an intellectual one, I felt that's really true. And not just for her, but for all of us.
[00:00:58.240 --> 00:01:03.920]   The intellectual things that rise up that make the Bible seem problematic are often covering
[00:01:03.920 --> 00:01:12.960]   a satanic attack. The devil really hates the Bible. He hates truth. He's a deceiver
[00:01:12.960 --> 00:01:20.560]   from the beginning, and he can make things look merely intellectual when in fact some pretty heavy
[00:01:21.040 --> 00:01:30.640]   heavy spiritual stuff is going on. So I'll just tell Kristen now what my—the answer is yes,
[00:01:30.640 --> 00:01:38.400]   I do have some advice, and I based every one of these six counsels on Scripture,
[00:01:38.400 --> 00:01:45.200]   and I'll mention the Scripture. So I'm praying for Kristen and lots of people who, when they read the
[00:01:45.200 --> 00:01:50.960]   Bible, find stumbling blocks that get in the way of their enjoyment and their belief, and one of
[00:01:50.960 --> 00:02:00.800]   these maybe, if not all of them, might prove from the Lord for her. Number one, pray that God would
[00:02:00.800 --> 00:02:10.400]   help you, that he would fight your doubts and cynicism with you and for you. In other words,
[00:02:10.400 --> 00:02:17.600]   cry out to God, "Fight for me. Help me defeat these obstacles." And we all know where that's
[00:02:17.600 --> 00:02:28.640]   coming from. Mark 9 24, immediately the father of the child who had this epileptic fit that nobody
