
[00:00:00.000 --> 00:00:05.400]   [music]
[00:00:05.400 --> 00:00:09.080]   Podcast listener John Anders writes in to ask this.
[00:00:09.080 --> 00:00:14.160]   "Pastor John, I've had various physical injuries over the past several years that have drastically
[00:00:14.160 --> 00:00:17.000]   and positively impacted my life.
[00:00:17.000 --> 00:00:20.400]   God has done much through my suffering and sorrows.
[00:00:20.400 --> 00:00:25.880]   How can I most magnify the gospel through my everyday actions in the midst of a debilitating
[00:00:25.880 --> 00:00:31.600]   injury so that others see His glory and come to delight in Christ?"
[00:00:31.600 --> 00:00:37.960]   Well the first thing I want to say is that in asking the question this way, John has
[00:00:37.960 --> 00:00:40.760]   been his own answer.
[00:00:40.760 --> 00:00:46.640]   How can I magnify the gospel through my everyday actions in the midst of suffering?
[00:00:46.640 --> 00:00:47.920]   Whoa.
[00:00:47.920 --> 00:00:50.840]   I mean he's already done it for me anyway.
[00:00:50.840 --> 00:00:57.880]   He's caused me to be thankful for God's grace in his life.
[00:00:57.880 --> 00:01:07.000]   My sufferings have drastically and positively, that's an amazingly gracious word, impacted
[00:01:07.000 --> 00:01:08.920]   my life.
[00:01:08.920 --> 00:01:16.400]   So what can I say to him when he has already been his own answer?
[00:01:16.400 --> 00:01:21.480]   It seems to me like anything I would say here would be building on a very good foundation.
[00:01:21.480 --> 00:01:28.360]   So let me just draw attention to some biblical things that I'm sure John knows and may just
[00:01:28.360 --> 00:01:31.620]   be an encouragement to hear me say.
[00:01:31.620 --> 00:01:33.680]   How can I magnify the gospel?
[00:01:33.680 --> 00:01:40.840]   How can I magnify Christ in suffering so that others see Christ's glory and delight in Him?
[00:01:40.840 --> 00:01:41.840]   He asks.
[00:01:41.840 --> 00:01:46.400]   There are two kinds of answer to that question.
[00:01:46.400 --> 00:01:54.440]   One is how can John maintain his own faith and hope and joy in suffering because without
[00:01:54.440 --> 00:01:58.600]   that he would be of no use to others.
[00:01:58.600 --> 00:02:03.880]   And the other way of answering the question is to think with him about the sorts of things
[00:02:03.880 --> 00:02:09.000]   he might do to help others enjoy what he's enjoying.
