
[00:00:00.000 --> 00:00:02.160]   (beeping)
[00:00:02.160 --> 00:00:12.400]   - Welcome back, Ask the Compound.
[00:00:12.400 --> 00:00:16.720]   Our email here is askthecompoundshow@gmail.com.
[00:00:16.720 --> 00:00:17.600]   We love all the questions.
[00:00:17.600 --> 00:00:20.020]   We love everyone in the live chats.
[00:00:20.020 --> 00:00:22.440]   Today's show is sponsored by Bird Dogs again.
[00:00:22.440 --> 00:00:26.680]   Birddogs.com/atc for Ask the Compound, obviously.
[00:00:26.680 --> 00:00:29.880]   Promo code ATC to get a free Tumblr.
[00:00:29.880 --> 00:00:32.960]   This week, Michael and I took a trip to Florida
[00:00:32.960 --> 00:00:34.080]   for a conference.
[00:00:34.080 --> 00:00:36.840]   Everyone there is in their stuffy suits and dresses
[00:00:36.840 --> 00:00:38.240]   and business attire.
[00:00:38.240 --> 00:00:41.240]   Michael and I are in Hawaiian shirts and bird dog shorts.
[00:00:41.240 --> 00:00:42.320]   I'm wearing a pair of bird dogs right now.
[00:00:42.320 --> 00:00:43.160]   Can you see these, Duncan?
[00:00:43.160 --> 00:00:45.040]   Look at, eh, eh.
[00:00:45.040 --> 00:00:45.880]   - Yeah, looks good. - The white ones.
[00:00:45.880 --> 00:00:49.120]   I don't know if I can pull off the word fresh anymore
[00:00:49.120 --> 00:00:50.960]   since I'm an early '40s dad,
[00:00:50.960 --> 00:00:53.040]   but that's the only-- - They're looking fresh.
[00:00:53.040 --> 00:00:54.080]   - They're very fresh.
[00:00:54.080 --> 00:00:54.900]   They're white.
[00:00:54.900 --> 00:00:56.320]   I love 'em.
[00:00:56.320 --> 00:00:58.080]   So the great thing about wearing these in Florida
[00:00:58.080 --> 00:00:59.440]   is it was like 88 degrees.
[00:00:59.440 --> 00:01:02.440]   It was very hot, and they're comfortable.
[00:01:02.440 --> 00:01:07.280]   So Michael and I had them at the beachside restaurant,
[00:01:07.280 --> 00:01:09.000]   you know, having a nice little drink,
[00:01:09.000 --> 00:01:10.200]   having a little lunch.
[00:01:10.200 --> 00:01:11.200]   - Miami Vice.
[00:01:11.200 --> 00:01:12.680]   - Yeah, walking around the beach.
[00:01:12.680 --> 00:01:13.560]   They're versatile.
[00:01:13.560 --> 00:01:14.560]   You can wear them anywhere.
[00:01:14.560 --> 00:01:15.980]   I wore mine in the pool.
[00:01:15.980 --> 00:01:16.820]   It's great.
[00:01:16.820 --> 00:01:18.360]   They're comfortable, they're stylish, they're versatile.
[00:01:18.360 --> 00:01:22.000]   Go to, remember, birddogs.com/atc
[00:01:22.000 --> 00:01:23.960]   and get that free Tumblr if you want
[00:01:23.960 --> 00:01:25.240]   for putting the promo code ATC.
[00:01:25.240 --> 00:01:27.300]   - Can I just throw in a quick,
[00:01:27.300 --> 00:01:29.660]   it's kind of almost a complaint about bird dogs,
[00:01:29.660 --> 00:01:32.820]   is I feel like they make me look too cool.
[00:01:32.820 --> 00:01:34.100]   I'm like, can I pull these off?
[00:01:34.100 --> 00:01:35.460]   I don't know if I can pull these.
[00:01:35.460 --> 00:01:37.100]   Like joggers, like I've never worn joggers.
[00:01:37.100 --> 00:01:37.940]   They look really cool. - You can't be a hipster
[00:01:37.940 --> 00:01:39.180]   anymore if you look too cool, right?
[00:01:39.180 --> 00:01:40.020]   - Yeah, I mean, yeah.
[00:01:40.020 --> 00:01:40.860]   It's hard. - I think it's--
[00:01:40.860 --> 00:01:41.940]   - It's a struggle. - It's okay.
[00:01:41.940 --> 00:01:43.500]   You moved out of Brooklyn to Connecticut.
[00:01:43.500 --> 00:01:44.780]   I think we're gonna allow it.
[00:01:44.780 --> 00:01:46.900]   - Yeah, okay, yeah, it makes sense.
[00:01:46.900 --> 00:01:48.600]   - All right, lots of questions this week again.
[00:01:48.600 --> 00:01:49.900]   I think our inbox each week
[00:01:49.900 --> 00:01:51.540]   is getting a little bit fuller and fuller.
[00:01:51.540 --> 00:01:52.900]   We're not getting exponential growth yet,
[00:01:52.900 --> 00:01:55.620]   but we got a ton to get to, so let's do it.
[00:01:55.620 --> 00:01:58.780]   - Okay, up first today we have,
[00:01:58.780 --> 00:02:00.180]   Ben showed the positive returns
[00:02:00.180 --> 00:02:02.180]   for U.S. equities over the long term,
[00:02:02.180 --> 00:02:05.400]   but how does the data look for global ex-U.S. performance?
[00:02:05.400 --> 00:02:07.660]   - Fair question. - Do you think,
[00:02:07.660 --> 00:02:08.480]   is this a gotcha?
[00:02:08.480 --> 00:02:09.780]   Are they trying to get you?
[00:02:09.780 --> 00:02:10.600]   Or are they just curious? - Maybe, well,
[00:02:10.600 --> 00:02:11.440]   I don't know if it, I don't know,
[00:02:11.440 --> 00:02:13.140]   that could just be, I hope it's curiosity.
[00:02:13.140 --> 00:02:15.620]   So I love to show the win probability of the stock market,
[00:02:15.620 --> 00:02:16.540]   depending on your time horizon.
[00:02:16.540 --> 00:02:18.380]   John, throw this chart up.
[00:02:18.380 --> 00:02:19.940]   I did this going back to 1926,
[00:02:19.940 --> 00:02:22.420]   and it just shows one month, one year,
[00:02:22.420 --> 00:02:25.080]   three, five, seven, 10, 15, 20 years.
[00:02:25.080 --> 00:02:27.460]   What's your probability of seeing a gain?
[00:02:27.460 --> 00:02:29.160]   Okay, so since 1926,
[00:02:29.160 --> 00:02:31.860]   the U.S. stock market has experienced positive returns
[00:02:31.860 --> 00:02:33.900]   56% of the time on a daily basis.
[00:02:33.900 --> 00:02:35.640]   That's not that great, right?
[00:02:35.640 --> 00:02:37.540]   63% of the time on a monthly basis.
[00:02:37.540 --> 00:02:38.380]   Go out to five years,
[00:02:38.380 --> 00:02:40.920]   and we're talking 88% of returns are positive.
[00:02:40.920 --> 00:02:43.220]   10 years, it's more like 95%.
[00:02:43.220 --> 00:02:45.640]   And then 100% if you go out to a 20-year basis.
[00:02:45.640 --> 00:02:47.820]   Obviously, the usual caveats apply here.
[00:02:47.820 --> 00:02:50.580]   We're not taking into account taxes or fees or inflation,
[00:02:50.580 --> 00:02:52.440]   but still, that's a pretty darn good track record, right?
[00:02:52.440 --> 00:02:54.640]   There's never been a rolling 20-year period
[00:02:54.640 --> 00:02:57.240]   where U.S. stocks have been down.
[00:02:57.240 --> 00:02:59.600]   So my least favorite description of the stock market
[00:02:59.600 --> 00:03:01.000]   is that it's a casino.
[00:03:01.000 --> 00:03:01.840]   I hate this.
[00:03:01.840 --> 00:03:02.660]   I hate when people say that.
[00:03:02.660 --> 00:03:04.600]   Usually they say it when they lose money or it's down,
[00:03:04.600 --> 00:03:06.920]   or a stock goes down a lot.
[00:03:06.920 --> 00:03:07.760]   Not even close.
[00:03:07.760 --> 00:03:09.360]   The longer you play in a casino,
[00:03:09.360 --> 00:03:11.520]   the worse your odds are because the house has an edge.
[00:03:11.520 --> 00:03:12.360]   So the longer you,
[00:03:12.360 --> 00:03:14.460]   I have a pretty good blackjack system,
[00:03:14.460 --> 00:03:17.600]   but still, if I stay and play 72 hours straight,
[00:03:17.600 --> 00:03:18.440]   eventually I'm going to lose,
[00:03:18.440 --> 00:03:21.000]   and the house is probably going to win unless I get lucky.
[00:03:21.000 --> 00:03:22.200]   The stock market is completely different.
[00:03:22.200 --> 00:03:23.440]   It's the opposite of a casino.
[00:03:23.440 --> 00:03:25.520]   The longer you stay in the stock market,
[00:03:25.520 --> 00:03:28.720]   the better your odds are of walking away with a gain.
[00:03:28.720 --> 00:03:31.480]   Now, this doesn't guarantee the magnitude of a gain, right?
[00:03:31.480 --> 00:03:33.360]   And I can't guarantee that these exact figures
[00:03:33.360 --> 00:03:34.200]   will work going forward,
[00:03:34.200 --> 00:03:35.520]   but that's pretty good, right?
[00:03:35.520 --> 00:03:37.480]   I worked with plenty of huge institutional investors
[00:03:37.480 --> 00:03:38.360]   over the years,
[00:03:38.360 --> 00:03:40.640]   and they are obsessed with quarterly returns.
[00:03:40.640 --> 00:03:42.200]   What's our quarterly return against the benchmark,
[00:03:42.200 --> 00:03:43.320]   against our peers?
[00:03:43.320 --> 00:03:46.120]   And some of these endowments and foundations
[00:03:46.120 --> 00:03:48.480]   have perpetual time horizons.
[00:03:48.480 --> 00:03:49.960]   They, it's basically endless,
[00:03:49.960 --> 00:03:51.160]   and they care about quarterly returns,
[00:03:51.160 --> 00:03:52.000]   which never made sense to me.
[00:03:52.000 --> 00:03:54.560]   So I think the ability to think and act for the longterm
[00:03:54.560 --> 00:03:55.800]   for individual investors,
[00:03:55.800 --> 00:03:57.600]   that's your huge equalizer, right?
[00:03:57.600 --> 00:04:00.200]   Patience is the biggest equalizer in all of finance.
[00:04:00.200 --> 00:04:01.480]   So back to our original question here.
[00:04:01.480 --> 00:04:02.840]   Is this just a US phenomenon?
[00:04:02.840 --> 00:04:04.440]   Does this work internationally as well?
[00:04:04.440 --> 00:04:07.160]   Well, my original chart goes back to 1926.
[00:04:07.160 --> 00:04:09.280]   We only have good data going back to 1970
[00:04:09.280 --> 00:04:10.480]   for international stocks.
[00:04:10.480 --> 00:04:12.680]   So I have the MSCI World XUS.
[00:04:12.680 --> 00:04:14.160]   50 plus years, that's good enough for me.
[00:04:14.160 --> 00:04:15.560]   So John, throw up my table.
[00:04:15.560 --> 00:04:18.480]   This is the World XUS Index versus the S&P.
[00:04:18.480 --> 00:04:21.180]   Again, monthly, one year, five, 10, 15, 20 years,
[00:04:21.180 --> 00:04:22.760]   and it shows the win probabilities.
[00:04:22.760 --> 00:04:25.400]   Now, over monthly and one year returns,
[00:04:25.400 --> 00:04:26.960]   the S&P is a little better, right?
[00:04:26.960 --> 00:04:29.760]   63% versus 60% for monthly.
[00:04:29.760 --> 00:04:33.320]   One year, S&P since 1970 is up 80% of the time.
[00:04:33.320 --> 00:04:34.920]   World XUS is up 70% of the time.
[00:04:34.920 --> 00:04:37.300]   But look at five, 10, 15, 20 years.
[00:04:37.300 --> 00:04:39.240]   The 15 and 20 years are both 100 for each.
[00:04:39.240 --> 00:04:41.320]   They've never had a down period
[00:04:41.320 --> 00:04:44.040]   over 15 or 20 years since 1970.
[00:04:44.040 --> 00:04:47.200]   10 year returns, you actually have a better win percentage
[00:04:47.200 --> 00:04:48.800]   for World XUS than S&P.
[00:04:48.800 --> 00:04:52.780]   S&P is up 95% of the time over 10 year periods since 1970.
[00:04:52.780 --> 00:04:55.180]   The World XUS is up nearly 100%.
[00:04:55.180 --> 00:04:57.100]   It barely happened, 99.6%.
[00:04:57.100 --> 00:04:58.300]   Also a little higher for five years.
[00:04:58.300 --> 00:05:01.180]   So I think some people might be surprised to hear this
[00:05:01.180 --> 00:05:02.860]   just because of the fact that U.S. stocks
[00:05:02.860 --> 00:05:06.380]   have done so much better over the past 15 years or so.
[00:05:06.380 --> 00:05:08.720]   Obviously, again, probability versus magnitude,
[00:05:08.720 --> 00:05:09.920]   that's a different thing.
[00:05:09.920 --> 00:05:14.060]   A lot of people ask me about
[00:05:14.060 --> 00:05:15.420]   the international versus U.S. thing.
[00:05:15.420 --> 00:05:17.580]   And is international diversification worth it?
[00:05:17.580 --> 00:05:21.300]   U.S. stocks make up 60% of global market cap.
[00:05:21.300 --> 00:05:24.260]   We get 40% of our revenue from the S&P overseas.
[00:05:24.260 --> 00:05:25.560]   Why do I need international stocks?
[00:05:25.560 --> 00:05:26.600]   That's fair.
[00:05:26.600 --> 00:05:28.820]   And the annual returns for each
[00:05:28.820 --> 00:05:30.500]   have been better for the U.S. going back to 1970.
[00:05:30.500 --> 00:05:33.260]   U.S. stocks are up 10.5% per year in that time.
[00:05:33.260 --> 00:05:35.380]   International stocks, more like 9%.
[00:05:35.380 --> 00:05:40.380]   But most of that outperformance has come since 2013,
[00:05:40.380 --> 00:05:43.300]   basically, so I looked at this for a blog post recently.
[00:05:44.180 --> 00:05:48.140]   From 1970 to 2012, annual returns were 9.7% per year
[00:05:48.140 --> 00:05:51.260]   for U.S. stocks, 9.6% for international stocks.
[00:05:51.260 --> 00:05:52.440]   Basically identical.
[00:05:52.440 --> 00:05:53.620]   U.S. stocks have done so much better,
[00:05:53.620 --> 00:05:55.880]   so all their outperformance has come since then.
[00:05:55.880 --> 00:05:57.300]   I did do a blog post about this,
[00:05:57.300 --> 00:05:59.140]   so John, throw up my next table.
[00:05:59.140 --> 00:06:00.940]   I kind of looked at the cyclicality of this.
[00:06:00.940 --> 00:06:02.380]   Which one wins when?
[00:06:02.380 --> 00:06:03.740]   And I cherry-picked the dates here,
[00:06:03.740 --> 00:06:05.380]   but you can see U.S. or international stocks
[00:06:05.380 --> 00:06:07.860]   outperformed pretty handily in the 1970s.
[00:06:07.860 --> 00:06:10.060]   Early 1980s, U.S. took the baton.
[00:06:10.060 --> 00:06:13.100]   Late 1980s, there was a massive outperformance
[00:06:13.100 --> 00:06:15.380]   for international stocks, thank you, Japan.
[00:06:15.380 --> 00:06:16.700]   '90s, the U.S. took it back,
[00:06:16.700 --> 00:06:18.180]   and then we've gone back and forth since,
[00:06:18.180 --> 00:06:20.260]   and then the latest period was just a really long cycle
[00:06:20.260 --> 00:06:24.120]   of outperformance for U.S., which is 2008 to 2021.
[00:06:24.120 --> 00:06:27.360]   So I understand why some U.S.-based investors
[00:06:27.360 --> 00:06:28.900]   are only comfortable holding U.S. stocks.
[00:06:28.900 --> 00:06:29.740]   And I think if you do that,
