
[00:00:00.000 --> 00:00:05.360]   Okay. Okay. Oh, cool. So first paper with a background since now we're recording,
[00:00:05.360 --> 00:00:10.480]   SEAL came out this week, earlier this week about self-adapting language models.
[00:00:10.480 --> 00:00:16.020]   Basically, we always hear this promise of, you know, once you do a train run, your model is
[00:00:16.020 --> 00:00:20.000]   stale, right? We used to care a lot more about this in the past because, you know, like the
[00:00:20.000 --> 00:00:25.720]   original ChetGPT had like, okay, it was trained on information up to like October 2023, and then
[00:00:25.720 --> 00:00:30.580]   it doesn't know anything in the future. So people were always hoping like, you know, can we have
[00:00:30.580 --> 00:00:35.200]   real-time learning? This is separate from like in-context learning, but as you use the model,
[00:00:35.200 --> 00:00:39.260]   can you actually update the weights and make the thing better? And that's always kind of been this
[00:00:39.260 --> 00:00:44.060]   hope. And then it kind of died out because models started to do tool use and can now browse the web,
[00:00:44.060 --> 00:00:48.600]   and it's not really as much of a concern. I don't know about you guys, but I don't look at when models
[00:00:48.600 --> 00:00:55.300]   are trained anymore, but they do still show it. Like the bigger we do pre-trained runs, like GPT 4.5
[00:00:55.300 --> 00:01:00.600]   and stuff, they do have a knowledge cutoff. And then from there, that's kind of used in the test
[00:01:00.600 --> 00:01:07.540]   time training. But I don't think anyone could just tell me where, like what the training cutoffs for
[00:01:07.540 --> 00:01:11.480]   these models are anymore. No one really cares anymore. But anyway, there's this concept of
[00:01:11.480 --> 00:01:16.860]   continual learning and always adjusting your parameters and learning more as you do stuff.
[00:01:16.860 --> 00:01:24.020]   Okay. I'll be monitoring chat. This is a quick paper. So, you know, let me know if anything is
[00:01:24.020 --> 00:01:27.220]   interesting and we'll dive deeper. Otherwise, I'm just going to go through it pretty quick.
[00:01:27.220 --> 00:01:33.020]   For people that are joining, these are recorded, but on YouTube, you can find them on Latentspace TV.
[00:01:33.020 --> 00:01:38.660]   Security-wise nightmare, true. It is a bit of a security-wise nightmare, but it's actually not
[00:01:38.660 --> 00:01:43.860]   that straightforward. The interesting thing with this paper that I did like is they do do a lot of
[00:01:43.860 --> 00:01:48.780]   citations. So they basically share their approach for everything, and then they go over a bunch of
[00:01:48.780 --> 00:01:53.540]   previous work. And, you know, it's nice if you want to dig back into what are other approaches for
[00:01:53.540 --> 00:02:00.120]   this. Like some approaches are if you use alternate models. So like you have state-space models. Can you
[00:02:00.120 --> 00:02:07.680]   continually update that state module and kind of have this new context in there? Then there's like
[00:02:07.680 --> 00:02:11.960]   in-context learning and how that approaches stuff. And then they kind of show a couple experiments of what
[00:02:11.960 --> 00:02:20.520]   they do. What they basically do is for samples where the model is struggling, they do these self-edits. So
[00:02:20.520 --> 00:02:27.120]   they kind of generate synthetic data. Then they do RL on a model to kind of train in these like
[00:02:27.120 --> 00:02:33.500]   new terms with Allura. And then if it has like, if it actually improves the performance, then they
[00:02:33.500 --> 00:02:38.680]   train the base model that they were doing with SFT. And they're like, okay, it works. And I was like,
[00:02:38.680 --> 00:02:42.180]   oh, it's pretty cool. They get it to work. Performance goes good. And I read through this
[00:02:42.180 --> 00:02:46.960]   paper. I'm like, oh, pretty interesting. Pretty interesting. Then I get to some of the last
[00:02:46.960 --> 00:02:52.840]   section, basically the limitations. They have this catastrophic forgetting where basically, you know,
[00:02:52.840 --> 00:02:58.200]   as you do these updates sequentially. So let's say like there's a benchmark, you try a few questions
[00:02:58.200 --> 00:03:05.060]   and the model is not doing well. Okay. You start to train in examples on these questions and then the model
[00:03:05.060 --> 00:03:12.320]   starts to better like understand this and then it starts to perform better. But once we, once we go from
[00:03:12.320 --> 00:03:20.280]   there, meeting is being recorded. It's in the middle of the screen. Your meeting being recorded window is in the
[00:03:20.280 --> 00:03:22.480]   middle of the screen. Is my screen recording working properly?
[00:03:23.480 --> 00:03:28.700]   It actually looks fine to me. Okay. Okay. Well, good catch. It seems like it's working.
[00:03:28.700 --> 00:03:35.460]   But basically TLDR. So as you have like a few questions, let's say you have like RKGI style questions
[00:03:35.460 --> 00:03:40.580]   or like medical questions, for example, after you do a few edits and it starts doing better,
[00:03:40.580 --> 00:03:45.800]   once you do like the fifth, sixth, seventh, eighth edit, since you're continually doing training,
[00:03:45.980 --> 00:03:51.920]   it starts to forget the first ones. So after reading this entire paper, you know, after you do
[00:03:51.920 --> 00:03:58.320]   sequential updates, can the model adapt repeatedly and preserve prior knowledge? Guess what? It can't.
[00:03:58.320 --> 00:04:03.780]   Performance on earlier tasks gradually declines as the number of edits increasing, suggesting that
[00:04:03.780 --> 00:04:10.560]   CL is still susceptible to catastrophic forgetting. So, you know, what's the point here? Like as you do this
