
[00:00:00.000 --> 00:00:00.760]   You know who drank?
[00:00:00.760 --> 00:00:01.620]   It's Churchill.
[00:00:01.620 --> 00:00:03.220]   That's my guy.
[00:00:03.220 --> 00:00:03.860]   Yeah.
[00:00:03.860 --> 00:00:04.960]   You know that's my guy, right?
[00:00:04.960 --> 00:00:06.820]   So he did champagne.
[00:00:06.820 --> 00:00:09.780]   Well, you don't have to tell me a thing about Winston Churchill.
[00:00:09.780 --> 00:00:12.980]   I found out about his daily routine.
[00:00:12.980 --> 00:00:13.520]   Yeah.
[00:00:13.520 --> 00:00:27.700]   So his daily routine was a big breakfast, cigar, coffee, eggs sunny side up, toast, bacon, sausage, tomato, beans, fruit, orange juice, soft scotch, cigar in bed, and he'd sit there for three hours.
[00:00:27.700 --> 00:00:29.820]   And then he'd get in the bathtub and drink champagne.
[00:00:29.820 --> 00:00:33.960]   And then he'd go to lunch and have some goose with more champagne.
[00:00:33.960 --> 00:00:35.300]   And then he'd take a nap.
[00:00:35.300 --> 00:00:36.380]   And like, I love that.
[00:00:36.380 --> 00:00:42.020]   So every year on the day of his death, I think it's January 24th, I celebrate Winston Churchill's life by living the way he did.
[00:00:42.020 --> 00:00:46.300]   And so I have breakfast in bed with a soft scotch, and I just party all day.
[00:00:46.300 --> 00:00:48.060]   That would be the guy to drink with.
[00:00:48.060 --> 00:00:58.780]   The following is a conversation with Bert Kreischer, a stand-up comedian, podcaster, actor, and a man they call The Machine.
[00:00:58.780 --> 00:01:16.920]   I've been a fan of his comedy and podcast for many years, and I highly recommend you watch him on Birdcast, Two Bears, One Cave with Tom Segura, his cooking show called Something's Burning, and finally, the new movie that tells the story of the man, the legend, the machine.
[00:01:16.920 --> 00:01:19.880]   This is the Lex Friedman Podcast.
[00:01:19.880 --> 00:01:22.840]   To support it, please check out our sponsors in the description.
[00:01:22.840 --> 00:01:26.780]   And now, dear friends, here's Bert Kreischer.
[00:01:26.780 --> 00:01:28.700]   I read somewhere.
[00:01:28.700 --> 00:01:30.240]   I read somewhere that you like Ernest Hemingway.
[00:01:30.240 --> 00:01:31.080]   Love him.
[00:01:31.080 --> 00:01:33.940]   There's a quote, there's nothing to writing.
[00:01:33.940 --> 00:01:37.260]   All you do is sit down at a typewriter and bleed.
[00:01:37.260 --> 00:01:38.620]   Do you agree with that?
[00:01:38.620 --> 00:01:39.400]   I agree.
[00:01:39.400 --> 00:01:40.040]   I agree.
[00:01:40.040 --> 00:01:41.580]   Well, I agree with that with journaling.
[00:01:41.580 --> 00:01:45.100]   So I can't write stand-up.
[00:01:45.100 --> 00:01:49.440]   Like, I can't write a bit, but if I journal, I'll find something that I go just write.
[00:01:49.440 --> 00:01:55.140]   I'm kind of writing where the pen's moving faster than your brain, and they're kind of like doing it together.
[00:01:55.140 --> 00:01:58.480]   The thing I liked about Ernest Hemingway, this is so stupid.
[00:01:58.480 --> 00:02:02.140]   I'm a little dyslexic, and so I'm not a good reader.
[00:02:02.140 --> 00:02:03.700]   And so he wrote very simply.
[00:02:03.700 --> 00:02:11.540]   And it wasn't until after I read a bunch of Ernest Hemingway, I was working at Barnes and Noble, and this person said, "Don't you love his titles?"
[00:02:11.540 --> 00:02:13.500]   And I was like, "Yeah, Sun Also Rises."
[00:02:13.500 --> 00:02:16.100]   And they're like, "Yeah, but the sun also rises."
[00:02:16.100 --> 00:02:18.400]   And I was like, "Yeah, Sun Also Rises."
[00:02:18.400 --> 00:02:21.760]   And they're like, "No, the sun also rises."
[00:02:21.760 --> 00:02:26.820]   And I went, "Oh, yeah, that is fucking badass.
[00:02:26.820 --> 00:02:27.480]   Yeah."
[00:02:27.480 --> 00:02:28.240]   And then I'm like, "Oh, yeah."
[00:02:28.240 --> 00:02:28.480]   Yeah.
[00:02:28.480 --> 00:02:30.100]   I'm always late to the party with anything.
[00:02:30.100 --> 00:02:37.980]   And then that night we were all doing coke, and it was like five in the morning, and we ended up on the roof of my apartment in Greenwich Village.
[00:02:37.980 --> 00:02:42.780]   And I'm a sunset guy.
[00:02:42.780 --> 00:02:43.540]   I grew up in Florida.
[00:02:43.540 --> 00:02:48.760]   But sunrises in New York are electric blue, like electric blue.
