
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Welcome back to the podcast on this Friday.
[00:00:06.000 --> 00:00:08.000]   Pastor John is back with us in the studio,
[00:00:08.000 --> 00:00:11.000]   and no theme runs through your writing and speaking
[00:00:11.000 --> 00:00:14.000]   more consistently than the truth that God is most glorified in us
[00:00:14.000 --> 00:00:16.000]   when we are most satisfied in Him.
[00:00:16.000 --> 00:00:18.000]   It's the Watchword of Christian Hedonism.
[00:00:18.000 --> 00:00:20.000]   And now you've written this new book,
[00:00:20.000 --> 00:00:25.000]   "Come, Lord Jesus, Meditations on the Second Coming of Christ."
[00:00:25.000 --> 00:00:28.000]   It's a beautiful book. I have it in hand.
[00:00:28.000 --> 00:00:32.000]   And today I want to hear what you learned during the process.
[00:00:32.000 --> 00:00:35.000]   You've said many times that you make discoveries as you write.
[00:00:35.000 --> 00:00:39.000]   Back in APJ3, the third episode we ever did, you said,
[00:00:39.000 --> 00:00:44.000]   "Writing for me has become a way of seeing."
[00:00:44.000 --> 00:00:48.000]   And then later in APJ613, another episode on writing, you said,
[00:00:48.000 --> 00:00:51.000]   "Writing is a way the mind can start seeing clearly
[00:00:51.000 --> 00:00:55.000]   what was before a fuzzy tangle of thoughts."
[00:00:55.000 --> 00:00:59.000]   And then, of course, in APJ1196 on book writing,
[00:00:59.000 --> 00:01:01.000]   an episode we did on book writing,
[00:01:01.000 --> 00:01:04.000]   you said that for yourself, writing a book is to watch a book
[00:01:04.000 --> 00:01:13.000]   slowly come to life as, "The writing itself becomes a way of seeing."
[00:01:13.000 --> 00:01:17.000]   So as you write more, you see more.
[00:01:17.000 --> 00:01:20.000]   So as you wrote this new book on the Second Coming of Christ,
[00:01:20.000 --> 00:01:22.000]   what did you see more clearly?
[00:01:22.000 --> 00:01:24.000]   What discoveries stand out?
[00:01:24.000 --> 00:01:26.000]   And particularly, did you make any new key discoveries
[00:01:26.000 --> 00:01:31.000]   about how Christian hedonism echoes in the Second Coming?
[00:01:31.000 --> 00:01:35.000]   Well, the discovery, the key discovery of the connection
[00:01:35.000 --> 00:01:39.000]   between Christian hedonism and the Second Coming
