
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:08.000]   Welcome back to the podcast on this Thursday. We're going deep today.
[00:00:08.000 --> 00:00:12.000]   I mentioned Monday that I have a batch of related questions to offer you,
[00:00:12.000 --> 00:00:16.000]   Pastor John, all big, all touch on several points of theology,
[00:00:16.000 --> 00:00:20.000]   all of them similar and all accumulated over the years from reading audience emails.
[00:00:20.000 --> 00:00:24.000]   I think they're the kinds of questions that all of us will face at some point
[00:00:24.000 --> 00:00:28.000]   as we read our Bibles and as we develop an appropriate
[00:00:28.000 --> 00:00:32.000]   God-centered vision of the universe.
[00:00:32.000 --> 00:00:36.000]   So as a first foray on this podcast
[00:00:36.000 --> 00:00:40.000]   into this matrix of questions, I'll put them all on the table for you,
[00:00:40.000 --> 00:00:44.000]   Pastor John, in brief. Our God-centeredness here at Desiring God raises
[00:00:44.000 --> 00:00:48.000]   questions about the integrity of creation,
[00:00:48.000 --> 00:00:52.000]   us in particular, us humans. So here are those questions.
[00:00:52.000 --> 00:00:56.000]   Are we as creatures simply a
[00:00:56.000 --> 00:01:00.000]   means to God's own self-glorification?
[00:01:00.000 --> 00:01:04.000]   Do we exist for a purpose beyond God's own
[00:01:04.000 --> 00:01:08.000]   self-glory? And does God love us beyond His love
[00:01:08.000 --> 00:01:12.000]   for Himself or is the first fully subsumed by the second?
[00:01:12.000 --> 00:01:16.000]   Are we as image-bearers simply mirror
[00:01:16.000 --> 00:01:20.000]   holders for Him to see Himself in us? Do
[00:01:20.000 --> 00:01:24.000]   we count? Does God love or delight in His creatures
[00:01:24.000 --> 00:01:28.000]   for what they are in themselves?
[00:01:28.000 --> 00:01:32.000]   Speaking of unbelievers, does God delight in materially
[00:01:32.000 --> 00:01:36.000]   blessing creatures that do not or will not believe in Him?
[00:01:36.000 --> 00:01:40.000]   But speaking of believers specifically, does God love to
[00:01:40.000 --> 00:01:44.000]   love us simply because it blesses us? Is such
[00:01:44.000 --> 00:01:48.000]   a category even operable? How would you tackle a matrix
[00:01:48.000 --> 00:01:52.000]   of questions like these? What might be helpful is
[00:01:52.000 --> 00:01:56.000]   to clarify what it is that gives rise
[00:01:56.000 --> 00:02:00.000]   to these kinds of questions and then maybe give
[00:02:00.000 --> 00:02:04.000]   very brief, maybe one-sentence answers
[00:02:04.000 --> 00:02:08.000]   to each of those, I think there are nine of those questions
[00:02:08.000 --> 00:02:12.000]   and then step back and look at the Bible and see
[00:02:12.000 --> 00:02:16.000]   what it is about God and what it is about His ways that make those very
[00:02:16.000 --> 00:02:20.000]   brief answers justifiable, compelling, maybe
[00:02:20.000 --> 00:02:24.000]   explain why they make sense. So, what gives rise to these
[00:02:24.000 --> 00:02:28.000]   questions is that I and many others
[00:02:28.000 --> 00:02:32.000]   in the history of the Church have emphasized
[00:02:32.000 --> 00:02:36.000]   the biblical teaching that God created
[00:02:36.000 --> 00:02:40.000]   and redeemed His people for His
[00:02:40.000 --> 00:02:44.000]   own glory. Meaning,
[00:02:44.000 --> 00:02:48.000]   to cause His glory, that is His greatness, His
[00:02:48.000 --> 00:02:52.000]   beauty, His worth to be known
[00:02:52.000 --> 00:02:56.000]   and treasured and shown in the universe.
[00:02:56.000 --> 00:03:00.000]   That's what I think glorify, for His own glory
[00:03:00.000 --> 00:03:04.000]   means. Isaiah 43, 7, "My sons and my daughters
[00:03:04.000 --> 00:03:08.000]   whom I created for my glory." Ephesians
[00:03:08.000 --> 00:03:12.000]   1, 4 to 7, "We're chosen, predestined,
[00:03:12.000 --> 00:03:16.000]   adopted, redeemed through the blood of Christ for the praise
[00:03:16.000 --> 00:03:20.000]   of the glory of God's grace."
[00:03:20.000 --> 00:03:24.000]   And that teaching, namely that all
