
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:11.000]   [Arabic]
[00:00:11.000 --> 00:00:15.000]   God is most glorified in us when we are most satisfied in Him.
[00:00:15.000 --> 00:00:18.000]   That's what you just heard in Arabic from our friend Sharif.
[00:00:18.000 --> 00:00:22.000]   Sharif is bringing Desiring God's Resources to the ancient lands of Egypt.
[00:00:22.000 --> 00:00:26.000]   It's a remarkable work and you'll want to hear about it, and you will, in just a minute.
[00:00:26.000 --> 00:00:32.000]   But 2023 arrives on Sunday and there's a New Year's sermon from 2000.
[00:00:32.000 --> 00:00:37.000]   It's one of my all-time favorites. I try to listen to it annually.
[00:00:37.000 --> 00:00:42.000]   It's a John Piper sermon and a great one for the start of any new year.
[00:00:42.000 --> 00:00:47.000]   In this case, the calendar had just turned from 1999 to 2000.
[00:00:47.000 --> 00:00:53.000]   And I remember that transition really well, a big turn in the future to the 2000s.
[00:00:53.000 --> 00:00:57.000]   And it was a little scary too with Y2K rumors in the air.
[00:00:57.000 --> 00:01:02.000]   If you don't know what Y2K was, find someone who is in their 40s or older to explain.
[00:01:02.000 --> 00:01:04.000]   It was crazy times.
[00:01:04.000 --> 00:01:09.000]   And in that craziness, as the calendar changed from 1999 to 2000,
[00:01:09.000 --> 00:01:12.000]   Pastor John turned his church's focus to Psalm 77,
[00:01:12.000 --> 00:01:17.000]   a great text about the importance of God's Word in our daily lives as we endure
[00:01:17.000 --> 00:01:23.000]   the ever-changing tumult of a life in this fallen world.
[00:01:23.000 --> 00:01:30.000]   We're going to enter 2023 soaking in Psalm 77 for a few weeks on our Wednesdays together.
[00:01:30.000 --> 00:01:35.000]   So feel free to study that text and get that Psalm deep into you.
[00:01:35.000 --> 00:01:40.000]   It's very rich. Psalm 77 makes the case that we need daily Bible reading.
[00:01:40.000 --> 00:01:43.000]   And in this sermon, we're about to hear Pastor John is going to remind us that
[00:01:43.000 --> 00:01:48.000]   our daily Bible reading is about habit, head, heart, happening.
[00:01:48.000 --> 00:01:51.000]   Four things. The conviction to do it, number one.
[00:01:51.000 --> 00:01:55.000]   The discipline of getting truth into your head, number two.
[00:01:55.000 --> 00:01:59.000]   Then the work of getting that truth from your head into your heart, number three.
[00:01:59.000 --> 00:02:03.000]   And then number four, finally, sticking to realistic practices
[00:02:03.000 --> 00:02:06.000]   that will make daily Bible reading possible for you.
[00:02:06.000 --> 00:02:11.000]   All four points are important, and we'll see all four of them in the coming Wednesdays.
[00:02:11.000 --> 00:02:16.000]   Today we look at number one, the conviction about why we need this habit in our lives.
[00:02:16.000 --> 00:02:18.000]   Here's Pastor John.
[00:02:18.000 --> 00:02:22.000]   I think most of us know that when you look at the New Testament
[00:02:22.000 --> 00:02:29.000]   and how it uses the Old Testament, how it handles the Psalms,
[00:02:29.000 --> 00:02:35.000]   you can see that the Psalms are the worship book, the song book,
[00:02:35.000 --> 00:02:38.000]   the meditation book of the early church.
[00:02:38.000 --> 00:02:44.000]   In other words, the early church did not say, "Well, the Messiah has come,
[00:02:44.000 --> 00:02:49.000]   and the Spirit has arrived, and so we don't need those old books anymore.
[00:02:49.000 --> 00:02:54.000]   We've got the Christ. We've got the Spirit. We don't need that letter anymore."
[00:02:54.000 --> 00:02:58.000]   Because they knew, they remembered what Jesus said,
[00:02:58.000 --> 00:03:02.000]   "I did not come to abolish. I came to fulfill."
[00:03:02.000 --> 00:03:06.000]   So when they read the Old Testament, they didn't read it as abolished.
[00:03:06.000 --> 00:03:08.000]   They read it as fulfilled.
[00:03:08.000 --> 00:03:12.000]   For example, when they read in the Psalms, "Meditate on the law of the Lord day and night,"
[00:03:12.000 --> 00:03:17.000]   they didn't say, "Oh, that's abolished. We don't need to do that anymore."
[00:03:17.000 --> 00:03:21.000]   Rather, they filled up law of the Lord and meditation
[00:03:21.000 --> 00:03:25.000]   with the richer bounty of apostolic teaching
[00:03:25.000 --> 00:03:29.000]   and the history of the great deeds of God in Jesus
[00:03:29.000 --> 00:03:35.000]   that the early saints before Christ only had with regard to Moses and the prophets.
[00:03:35.000 --> 00:03:42.000]   So they didn't change the strategy of the way you live a life in God,
[00:03:42.000 --> 00:03:47.000]   though the content and much of the knowledge and the arsenal of truth
[00:03:47.000 --> 00:03:50.000]   enlarges and changes.
[00:03:50.000 --> 00:03:53.000]   So we know that the Psalms, like the one we just read,
[00:03:53.000 --> 00:03:57.000]   is not an old book to the early church, and it shouldn't be to us.
[00:03:57.000 --> 00:04:01.000]   We shouldn't read Psalm 77, "Good night." That thing's 3,000 years old,
[00:04:01.000 --> 00:04:03.000]   so what use does that have?
[00:04:03.000 --> 00:04:06.000]   And besides we've got the Christ, and besides we've got the Spirit,
[00:04:06.000 --> 00:04:10.000]   we don't need those old Hebrew ponderings anymore.
[00:04:10.000 --> 00:04:14.000]   It's not the way to read the Bible or to neglect the Bible.
[00:04:14.000 --> 00:04:17.000]   What we have in that Psalm and what we have in all the Bible
[00:04:17.000 --> 00:04:21.000]   is a strategy of fighting the fight of faith
[00:04:21.000 --> 00:04:24.000]   in the midst of the kind of thing this psalmist was experiencing.
