
[00:00:00.000 --> 00:00:01.800]   (upbeat music)
[00:00:01.800 --> 00:00:04.560]   - Hello, and welcome to another episode of All The Hacks,
[00:00:04.560 --> 00:00:07.180]   a show about upgrading your life, money, and travel.
[00:00:07.180 --> 00:00:09.020]   If you're new here, I'm your host, Chris Hutchins,
[00:00:09.020 --> 00:00:10.300]   and I love to travel.
[00:00:10.300 --> 00:00:12.640]   And even more, I love optimizing that travel
[00:00:12.640 --> 00:00:15.380]   to have the best experience at the lowest cost.
[00:00:15.380 --> 00:00:17.800]   And one country that's at the top of my list,
[00:00:17.800 --> 00:00:20.340]   and many of yours who've emailed in, is Italy.
[00:00:20.340 --> 00:00:22.280]   Now, technically I've been to Italy before,
[00:00:22.280 --> 00:00:25.260]   but Amy and I did Rome and Venice for two days each
[00:00:25.260 --> 00:00:27.240]   back in college almost 20 years ago.
[00:00:27.240 --> 00:00:30.060]   So at this point, it almost feels like I've never been.
[00:00:30.060 --> 00:00:31.920]   And I couldn't think of anyone better to join me
[00:00:31.920 --> 00:00:33.620]   for this episode than my good friend
[00:00:33.620 --> 00:00:36.360]   and guest from episode one, Lee Rowan,
[00:00:36.360 --> 00:00:38.760]   who runs a travel company called Savanti,
[00:00:38.760 --> 00:00:41.280]   and has been to Italy 40 to 50 times.
[00:00:41.280 --> 00:00:43.760]   So many, he actually lost track of the count.
[00:00:43.760 --> 00:00:45.880]   We're gonna talk about the places to go,
[00:00:45.880 --> 00:00:48.800]   the spectacular cuisine, the gorgeous coastlines,
[00:00:48.800 --> 00:00:51.780]   ancient ruins, and some of Italy's rich history.
[00:00:51.780 --> 00:00:53.900]   We'll also get to some of Lee's favorite
[00:00:53.900 --> 00:00:55.480]   off the beaten path locations
[00:00:55.480 --> 00:00:57.800]   for an authentically local experience,
[00:00:57.800 --> 00:00:59.480]   and hear why he thinks life
[00:00:59.480 --> 00:01:01.880]   is just that much better in Italy.
[00:01:01.880 --> 00:01:04.160]   Finally, we're gonna dive into some of the best ways
[00:01:04.160 --> 00:01:06.920]   you can use your points and miles for your trip to Italy,
[00:01:06.920 --> 00:01:09.680]   including a quick overview of a new site I've been using
[00:01:09.680 --> 00:01:12.380]   to help you get the best hotel deals with points.
[00:01:12.380 --> 00:01:14.480]   So let's get into it right after this.
[00:01:14.480 --> 00:01:18.160]   Do you all remember episode 122,
[00:01:18.160 --> 00:01:20.480]   where I spoke with chef David Chang
[00:01:20.480 --> 00:01:22.660]   about leveling up your cooking at home?
[00:01:22.660 --> 00:01:25.680]   If not, definitely go back and give it a listen,
[00:01:25.680 --> 00:01:27.120]   but one of his top hacks
[00:01:27.120 --> 00:01:29.600]   was using the microwave a lot more.
[00:01:29.600 --> 00:01:32.040]   I'll admit I was a skeptic at first,
[00:01:32.040 --> 00:01:33.760]   but after getting a full set
[00:01:33.760 --> 00:01:35.940]   of microwave cookware from Anyday,
[00:01:35.940 --> 00:01:37.540]   I am a total convert,
[00:01:37.540 --> 00:01:39.640]   and I am so excited to be partnering with them
[00:01:39.640 --> 00:01:40.920]   for this episode.
[00:01:40.920 --> 00:01:43.960]   Anyday is glass cookware specially designed
[00:01:43.960 --> 00:01:47.240]   to make delicious food from scratch in the microwave.
