
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:11.000]   Is joy a choice or is joy just a feeling that comes and goes?
[00:00:11.000 --> 00:00:15.000]   That's a great question, one our culture asks all the time.
[00:00:15.000 --> 00:00:20.000]   And if our joy is a choice, whose choice is it ultimately?
[00:00:20.000 --> 00:00:23.000]   That actually was the question I attempted to answer in my book,
[00:00:23.000 --> 00:00:26.000]   The Joy Project. I know a number of you have read that book.
[00:00:26.000 --> 00:00:31.000]   I think that's a better way to frame the essentials of Calvinism,
[00:00:31.000 --> 00:00:33.000]   the doctrines of grace, the five points of Calvinism.
[00:00:33.000 --> 00:00:38.000]   God's sovereign joy in pursuit of us.
[00:00:38.000 --> 00:00:42.000]   But here's the specific question on the table today as it comes to us
[00:00:42.000 --> 00:00:44.000]   from Susan in Chattanooga, Tennessee.
[00:00:44.000 --> 00:00:46.000]   Pastor John, hello and thank you for this podcast.
[00:00:46.000 --> 00:00:48.000]   My question is pretty straightforward.
[00:00:48.000 --> 00:00:52.000]   Can you tell me if joy in God is a choice that we make
[00:00:52.000 --> 00:00:56.000]   or is our joy in God a feeling that comes to us after we do
[00:00:56.000 --> 00:01:02.000]   a certain something else first that will then lead to joy?
[00:01:02.000 --> 00:01:06.000]   Here's an amazing fact to start off with.
[00:01:06.000 --> 00:01:16.000]   If you consider all the forms of the word choose or choice or decide or decision,
[00:01:16.000 --> 00:01:23.000]   the New Testament never applies those words to the act of choosing God
[00:01:23.000 --> 00:01:27.000]   or choosing Christ or choosing Christianity.
[00:01:27.000 --> 00:01:30.000]   I think that would come as a shock to a lot of people.
[00:01:30.000 --> 00:01:36.000]   One almost exception is Mary choosing to sit at Jesus' feet
[00:01:36.000 --> 00:01:41.000]   while Martha did the housework, but she's already a follower.
[00:01:41.000 --> 00:01:49.000]   In fact, the one place where choosing Jesus is mentioned, it's denied.
[00:01:49.000 --> 00:01:55.000]   In John 15, 16, Jesus said, "You did not choose me. I chose you."
[00:01:55.000 --> 00:02:01.000]   In other words, when the disciples chose to follow Jesus,
[00:02:01.000 --> 00:02:04.000]   that wasn't ultimately their choice.
[00:02:04.000 --> 00:02:08.000]   It was God's choice. He was decisive in that event.
[00:02:08.000 --> 00:02:13.000]   God's choosing us is mentioned over and over and over in the New Testament,
[00:02:13.000 --> 00:02:20.000]   but our choosing him is not mentioned, not with the words choose or decide.
[00:02:20.000 --> 00:02:27.000]   Now, if you go to the Old Testament, there's that famous statement of Joshua
[00:02:27.000 --> 00:02:34.000]   in chapter 24, verse 15, "Choose you this day whom you will serve,
[00:02:34.000 --> 00:02:39.000]   whether the gods of your fathers that they served in the region beyond the river
[00:02:39.000 --> 00:02:47.000]   or the gods of the Amorites. But as for me and my house, we will serve the Lord."
[00:02:47.000 --> 00:02:55.000]   So Joshua is happy to call for a choice to serve God or not.
[00:02:55.000 --> 00:03:04.000]   But then a few verses later, he says this. This is verses 22, 23 of chapter 24.
[00:03:04.000 --> 00:03:11.000]   "You are witnesses against yourselves that you have chosen the Lord to serve him.
[00:03:11.000 --> 00:03:16.000]   Then put away the foreign gods that are among you
[00:03:16.000 --> 00:03:22.000]   and incline your heart to the Lord, the God of Israel."
[00:03:22.000 --> 00:03:28.000]   Now, why did Joshua add, "Incline your heart"?
[00:03:28.000 --> 00:03:36.000]   He said it because there is such a thing as choosing to serve God
[00:03:36.000 --> 00:03:39.000]   while the heart is far from God.
[00:03:39.000 --> 00:03:44.000]   Jesus said that. He said it in Matthew 15, 8.
[00:03:44.000 --> 00:03:51.000]   "This people honors me with their lips, but their heart is far from me."
[00:03:51.000 --> 00:03:57.000]   So they are choosing to go to church on Sunday morning.
[00:03:57.000 --> 00:04:00.000]   They choose to sing. They choose to pray.
[00:04:00.000 --> 00:04:04.000]   They choose to go to the synagogue. They choose to give tithes.
[00:04:04.000 --> 00:04:09.000]   And on the outside, they look like they've chosen God.
[00:04:09.000 --> 00:04:11.000]   They have not chosen God.
[00:04:11.000 --> 00:04:20.000]   They have chosen religion to hide the fact that their heart wants something else besides God.
[00:04:20.000 --> 00:04:23.000]   That's why Joshua said, "It's not enough.
[00:04:23.000 --> 00:04:26.000]   This is not enough to choose to serve God.
[00:04:26.000 --> 00:04:31.000]   Your heart must incline to the Lord.
[00:04:31.000 --> 00:04:33.000]   The Lord must be your treasure.
[00:04:33.000 --> 00:04:38.000]   Not the praise of man, not health, not wealth, not prosperity."
[00:04:38.000 --> 00:04:44.000]   Now, the way all of this relates to Susan's question
[00:04:44.000 --> 00:04:52.000]   is that this inclination of the heart that Joshua and Jesus refer to
[00:04:52.000 --> 00:04:55.000]   is deeper than a choice.
[00:04:55.000 --> 00:04:59.000]   It's a kind of joy in God.
[00:04:59.000 --> 00:05:05.000]   So Joshua was saying what Psalm 100 says.
[00:05:05.000 --> 00:05:14.000]   If you're choosing to serve God, then let that choice be acceptable to God.
[00:05:14.000 --> 00:05:19.000]   Let it be honoring to God by, Psalm 100 verse 2,
[00:05:19.000 --> 00:05:21.000]   "Serving the Lord with gladness."
[00:05:21.000 --> 00:05:24.000]   That's a command. Serve the Lord with gladness.
[00:05:24.000 --> 00:05:28.000]   That is, have your heart inclined to God.
[00:05:28.000 --> 00:05:30.000]   Not just choose to serve Him.
[00:05:30.000 --> 00:05:33.000]   Serve Him with gladness.
[00:05:33.000 --> 00:05:38.000]   For a choice to be pleasing to God and honoring to God,
[00:05:38.000 --> 00:05:43.000]   it must be rooted in the heart's taste for God.
[00:05:43.000 --> 00:05:46.000]   Gladness in God.
[00:05:46.000 --> 00:05:54.000]   In other words, a choice for God, a preference for God that honors God
[00:05:54.000 --> 00:06:00.000]   must be rooted in the heart's experience of God as preferable.
[00:06:00.000 --> 00:06:08.000]   What makes a choice to serve God real is that the choice expresses
[00:06:08.000 --> 00:06:16.000]   the fact that the heart has found God to be preferable, desirable, valuable.
