
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:09.900]   - All right, folks, welcome to our second breakout session
[00:00:09.900 --> 00:00:11.560]   for retirees and pre-retirees.
[00:00:11.560 --> 00:00:13.020]   My name is John Luskin.
[00:00:13.020 --> 00:00:15.180]   Joining me today is Dana Anspach,
[00:00:15.180 --> 00:00:17.180]   and I'm gonna read her a little bio.
[00:00:17.180 --> 00:00:20.940]   Dana is the founder and CEO of Sensible Money,
[00:00:20.940 --> 00:00:24.020]   a firm specializing in retirement income planning.
[00:00:24.020 --> 00:00:25.620]   She's the author of "How to Plan
[00:00:25.620 --> 00:00:28.460]   "for the Perfect Retirement," a lecture series,
[00:00:28.460 --> 00:00:33.220]   and "Control Your Retirement Destiny," available on Amazon.
[00:00:33.220 --> 00:00:35.740]   So, folks, I'm gonna start with a Q&A
[00:00:35.740 --> 00:00:38.640]   that I got from the Bogleheads community online
[00:00:38.640 --> 00:00:41.020]   before the conference.
[00:00:41.020 --> 00:00:43.820]   And then if you have a question for Dana,
[00:00:43.820 --> 00:00:45.660]   then Christine Benz up front,
[00:00:45.660 --> 00:00:48.220]   she is gonna be collecting your questions.
[00:00:48.220 --> 00:00:50.180]   So give your questions to Christine,
[00:00:50.180 --> 00:00:51.260]   and then she'll hand them to me,
[00:00:51.260 --> 00:00:54.920]   and then we'll answer your questions.
[00:00:54.920 --> 00:00:57.160]   So let's get started from those questions
[00:00:57.160 --> 00:00:59.060]   we got from the Bogleheads community.
[00:00:59.060 --> 00:01:03.780]   And the first one is from Greg Wilson
[00:01:03.780 --> 00:01:07.240]   from Bogleheads Twitter, who writes,
[00:01:07.240 --> 00:01:10.200]   "Ask her to name her three most common
[00:01:10.200 --> 00:01:13.500]   "tax mitigation recommendations."
[00:01:13.500 --> 00:01:16.980]   - Ooh, tax mitigation strategies.
[00:01:16.980 --> 00:01:18.700]   Well, I would have to ask Greg,
[00:01:18.700 --> 00:01:22.460]   does he mean long-term tax mitigation or short-term?
[00:01:22.460 --> 00:01:25.900]   I will kind of assume he means long-term.
[00:01:25.900 --> 00:01:28.220]   So when we're talking about retirement income planning,
[00:01:28.220 --> 00:01:30.180]   we're typically looking at how do we reduce
[00:01:30.180 --> 00:01:33.060]   the tax liability over the course of your life,
[00:01:33.060 --> 00:01:34.960]   which is very different than how do I reduce
[00:01:34.960 --> 00:01:37.100]   the tax liability next year?
[00:01:37.100 --> 00:01:39.740]   And so I would have to put at the top of the list
[00:01:39.740 --> 00:01:41.980]   would be Roth conversion strategies.
[00:01:41.980 --> 00:01:44.420]   Absolutely, when done correctly
[00:01:44.420 --> 00:01:46.900]   and filling up to a marginal bracket
[00:01:46.900 --> 00:01:50.240]   using some of the types of analysis that Wade showed,
[00:01:50.240 --> 00:01:53.980]   you can reduce someone's lifetime tax liability.
[00:01:53.980 --> 00:01:56.380]   Now included in that lifetime tax liability,
[00:01:56.380 --> 00:01:58.740]   we might also count IRMA premiums.
[00:01:58.740 --> 00:02:01.820]   And so when you're reducing the RMDs later in life,
[00:02:01.820 --> 00:02:03.600]   you can have a meaningful impact
[00:02:03.600 --> 00:02:06.320]   on someone's long-term tax liability.
[00:02:06.320 --> 00:02:09.740]   Probably number two would be simply
[00:02:09.740 --> 00:02:13.340]   managing gains and losses.
[00:02:13.340 --> 00:02:16.380]   And so we have seen people in their first few years
[00:02:16.380 --> 00:02:20.460]   of retirement who would be able to realize capital gains
[00:02:20.460 --> 00:02:23.460]   in the 0% bracket with proper planning.
[00:02:23.460 --> 00:02:25.820]   And so that can be pretty meaningful.
[00:02:25.820 --> 00:02:28.740]   And I might put number three would be qualifying people
[00:02:28.740 --> 00:02:30.660]   for the healthcare tax credits.
[00:02:30.660 --> 00:02:34.860]   And so if we have someone retiring earlier than 65,
[00:02:34.860 --> 00:02:39.860]   we've had people with close to $3 million portfolios
[00:02:39.860 --> 00:02:43.980]   that for several years, all the way up until they turn 65,
[00:02:43.980 --> 00:02:47.700]   were able to qualify them for those tax credits
[00:02:47.700 --> 00:02:51.100]   just by where and how they take their cash flow from.
[00:02:51.100 --> 00:02:52.860]   So they're not living on nothing,
[00:02:52.860 --> 00:02:55.500]   but the way you're structuring the portfolio
[00:02:55.500 --> 00:02:58.820]   and the cash flow, you're able to keep their AGI low enough
[00:02:58.820 --> 00:03:00.940]   that they're qualifying for those tax credits.
[00:03:00.940 --> 00:03:04.780]   And in one case, that added $30,000 a year.
[00:03:04.780 --> 00:03:08.020]   So it was $30,000 a year of tax credit subsidies.
[00:03:08.020 --> 00:03:10.740]   So that would probably be, when I think of long-term,
[00:03:10.740 --> 00:03:12.260]   probably the top three.
