
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.320]   - We actually talk a lot about travel on the show.
[00:00:07.320 --> 00:00:09.200]   I'm imagining you've been to,
[00:00:09.200 --> 00:00:10.320]   I don't know, countless countries.
[00:00:10.320 --> 00:00:12.520]   I don't know if you even keep track.
[00:00:12.520 --> 00:00:14.160]   Is there a favorite?
[00:00:14.160 --> 00:00:15.880]   Is there, are there places that you love going
[00:00:15.880 --> 00:00:17.720]   and going back to that, you know,
[00:00:17.720 --> 00:00:19.200]   aside from just the skating there
[00:00:19.200 --> 00:00:21.040]   might inspire people listening to?
[00:00:21.040 --> 00:00:24.400]   - Iceland is amazing because
[00:00:24.400 --> 00:00:28.400]   the landscape is so diverse.
[00:00:28.400 --> 00:00:31.640]   I can't explain it, but you, like, you go there,
[00:00:31.640 --> 00:00:33.000]   as soon as you leave the airport,
[00:00:33.000 --> 00:00:35.360]   it looks like you're on the moon.
[00:00:35.360 --> 00:00:36.800]   And there's just all of these,
[00:00:36.800 --> 00:00:39.980]   all of this moss covering these rocks,
[00:00:39.980 --> 00:00:42.040]   and there's the Blue Lagoon.
[00:00:42.040 --> 00:00:45.280]   And, and then as you drive South,
[00:00:45.280 --> 00:00:48.640]   it completely changes into like,
[00:00:48.640 --> 00:00:50.520]   almost like a farm setting.
[00:00:50.520 --> 00:00:51.920]   And then, and then it changes again,
[00:00:51.920 --> 00:00:53.760]   like another half hour into the drive.
[00:00:53.760 --> 00:00:56.680]   And, and yeah, I mean, it can get really cold there,
[00:00:56.680 --> 00:00:59.000]   but it's really, it's an amazing place.
[00:00:59.000 --> 00:01:04.440]   And so my wife and I went there a long time ago,
[00:01:04.440 --> 00:01:06.920]   almost, almost 15 years ago now,
[00:01:06.920 --> 00:01:10.160]   and it felt very untapped.
[00:01:10.160 --> 00:01:12.240]   Definitely wasn't a tourist destination.
[00:01:12.240 --> 00:01:15.800]   And now it feels much more like there is tourism,
