
[00:00:00.200 --> 00:00:02.360]   - Welcome to Huberman Lab Essentials,
[00:00:02.360 --> 00:00:04.420]   where we revisit past episodes
[00:00:04.420 --> 00:00:07.600]   for the most potent and actionable science-based tools
[00:00:07.600 --> 00:00:10.360]   for mental health, physical health, and performance.
[00:00:10.360 --> 00:00:12.920]   I'm Andrew Huberman,
[00:00:12.920 --> 00:00:15.720]   and I'm a professor of neurobiology and ophthalmology
[00:00:15.720 --> 00:00:17.560]   at Stanford School of Medicine.
[00:00:17.560 --> 00:00:19.040]   What we're going to talk about today
[00:00:19.040 --> 00:00:20.840]   is how intermittent fasting,
[00:00:20.840 --> 00:00:22.760]   aka time-restricted feeding,
[00:00:22.760 --> 00:00:26.300]   impacts weight loss, fat loss in particular,
[00:00:26.300 --> 00:00:29.000]   muscle maintenance and loss and gain,
[00:00:29.000 --> 00:00:32.300]   organ health, such as gut health and liver health,
[00:00:32.300 --> 00:00:36.960]   the genome, the epigenome, inflammation, sickness,
[00:00:36.960 --> 00:00:39.720]   recovery, and healing from sickness,
[00:00:39.720 --> 00:00:43.580]   exercise, cognition, mood, and lifespan.
[00:00:43.580 --> 00:00:46.740]   So let's talk about eating and what happens when you eat,
[00:00:46.740 --> 00:00:49.240]   and let's talk about fasting or not eating
[00:00:49.240 --> 00:00:51.040]   and what happens when you fast.
[00:00:51.040 --> 00:00:53.900]   If ever there was a topic that is controversial,
[00:00:53.900 --> 00:00:55.240]   especially on the internet,
[00:00:55.240 --> 00:00:58.000]   it is that of diet and nutrition.
[00:00:58.000 --> 00:01:00.580]   So I'm wading into this with a smile
[00:01:00.580 --> 00:01:03.640]   and in eager anticipation of all the,
[00:01:03.640 --> 00:01:06.340]   but, but, but this, and, but, but that, and wait,
[00:01:06.340 --> 00:01:07.960]   but this showed that.
[00:01:07.960 --> 00:01:09.140]   Here's the deal.
[00:01:09.140 --> 00:01:12.100]   We need to precisely define what it is
[00:01:12.100 --> 00:01:14.560]   that we're talking about when we talk about nutrition.
[00:01:14.560 --> 00:01:17.380]   I'm going to give you an example of a study
[00:01:17.380 --> 00:01:19.960]   that was published a few years ago, 2018,
[00:01:19.960 --> 00:01:23.600]   by a colleague of mine at Stanford, Chris Gardner,
[00:01:23.600 --> 00:01:28.600]   is a terrific professor of nutrition and has done a lot of
[00:01:28.600 --> 00:01:32.920]   important studies on how nutrition impacts different aspects of health.
[00:01:32.920 --> 00:01:47.260]   This paper where Chris is the first author, it's Gardner et al. 2018 JAMA looked at weight loss in people following one particular diet versus another particular diet.
[00:01:47.260 --> 00:01:49.900]   And this was a 12 month weight loss study.
[00:01:49.900 --> 00:01:52.900]   So it was focused specifically on weight loss.
[00:01:52.900 --> 00:01:54.900]   Although they looked at some other parameters as well.
[00:01:54.900 --> 00:02:00.540]   And the basic conclusion of the study was that there was no significant difference in weight
[00:02:00.540 --> 00:02:08.840]   change between people following a healthy low fat diet versus a healthy low carbohydrate diet with significantly more dietary fats in them.
[00:02:08.840 --> 00:02:15.680]   This caused a lot of ripples in the world of nutrition and nutritional science.
[00:02:15.680 --> 00:02:22.800]   And certainly in the general population, because anyone that understands diet and nutrition would immediately say,
[00:02:22.800 --> 00:02:32.600]   but wait, there are all sorts of different implications of eating one type of diet, say low carbohydrate, higher fats versus a higher carbohydrate, lower fat diet.
[00:02:32.600 --> 00:02:33.960]   And indeed there are.
[00:02:33.960 --> 00:02:39.240]   This study was focused specifically on fat loss and on weight loss.
[00:02:39.240 --> 00:02:51.760]   So as we discuss time-restricted feeding, we need to be very precise about what are the effects of time-restricted feeding and of eating in particular ways at particular times.
[00:02:51.760 --> 00:02:58.620]   We are going to emphasize again, whether or not the study was done in mice or in humans, in athletes and men and women or both.
[00:02:58.620 --> 00:03:07.860]   But the study from Gardner and colleagues is a beautiful study and really emphasizes that if one's main goal is simply to lose weight,
[00:03:07.860 --> 00:03:18.320]   then it really does not matter what one eats, provided that the number of calories burned is higher than the number of calories ingested.
[00:03:18.900 --> 00:03:25.760]   However, anyone out there who understands a little bit of biology or a lot of biology will agree that there are many factors
[00:03:25.760 --> 00:03:30.500]   that impact that calories burned part of the equation.
[00:03:30.500 --> 00:03:32.620]   Some of those are obvious.
[00:03:32.620 --> 00:03:40.620]   So for instance, amount of exercise, type of exercise, basal metabolic rate, how much energy one burns just sitting there.
[00:03:40.620 --> 00:03:48.620]   I've talked before on this podcast about NEAT, non-exercise induced thermogenesis, where if people bounce around a lot and fidget a lot, they can burn anywhere from 800 to 2000 calories per day.
[00:03:48.620 --> 00:04:00.480]   So their quote unquote basal metabolic rate is actually much higher simply because they're fidgeters, whereas people who tend to be more stationary have a lower basal metabolic rate on average.
[00:04:00.480 --> 00:04:07.340]   There's a great science to support this metabolic factors and hormones are also very important.
[00:04:07.340 --> 00:04:22.340]   Hormones such as thyroid hormone and insulin and growth hormone and the sex story to hormones, testosterone and estrogen, those levels will also profoundly influence the calories out, the calories burned component of the calories in calories out equation.
[00:04:22.340 --> 00:04:36.940]   So if out there on the internet or in listening to a particular podcast or speaker, somebody says, this is the ideal diet or calories in calories out does not matter or calories in calories out is the only thing that matters.
[00:04:36.940 --> 00:04:51.580]   I think it's very important to understand that there are some foundational truths such as calories in calories out, but that of course, hormone factors and the context in which a given diet regimen is taking place are exceedingly important.
[00:04:51.580 --> 00:05:10.260]   So there's no way that we can drill into every aspect of a given feeding plan or feeding schedule that would allow us to tap into every aspect of the list that I read out before weight loss, fat loss, muscle, organ, genome, epigenome, inflammation, exercise, cognition, mood, and lifespan.
[00:05:10.260 --> 00:05:15.260]   But today we're going to be very clear.
[00:05:15.260 --> 00:05:29.260]   It's very clear from both animal studies and human studies can have a very powerful and positive impact on everything from weight loss and fat loss to various health parameters.
[00:05:29.260 --> 00:05:34.260]   This is a beautiful literature that's emerged mostly in the last 10 or 15 years.
[00:05:34.260 --> 00:05:36.260]   So there is a perfect diet for you.
[00:05:36.260 --> 00:05:49.260]   And today I'm going to arm you with the mechanisms and understanding that will allow you to define what that perfect diet is and will allow you to eat on a schedule and to eat the things that are going to best serve your goals.
[00:05:49.260 --> 00:05:51.260]   Some simple rules about eating.
[00:05:51.260 --> 00:05:57.260]   First of all, when you eat, typically your blood glucose, your blood sugar will go up.
[00:05:57.260 --> 00:06:00.260]   Also insulin levels will go up.
[00:06:00.260 --> 00:06:05.260]   Insulin is a hormone that's involved in mobilizing glucose from the bloodstream.
[00:06:05.260 --> 00:06:11.260]   How much your glucose and insulin go up depends on what you eat and how much you eat.
[00:06:11.260 --> 00:06:25.260]   In general, simple sugars, including fructose from fruit, but also sucrose and glucose and simple sugars will raise your insulin and blood glucose more than complex carbohydrates.
[00:06:25.260 --> 00:06:37.260]   Things like grains and breads and pastas and so forth and grains and breads and pastas and so forth will raise your blood glucose more than fibrous carbohydrates like lettuce and broccoli and things of that sort.
[00:06:37.260 --> 00:06:46.260]   Protein has a somewhat moderate or modest impact and fat has the lowest impact on raising your blood glucose and blood insulin.
[00:06:46.260 --> 00:06:53.260]   So what you eat will impact how steep arise in blood glucose and insulin takes place.
[00:06:53.260 --> 00:07:02.260]   And there are a number of factors that are related to your individual health that will also dictate how steep and how high that rise in glucose and insulin will be.
[00:07:02.260 --> 00:07:24.260]   The longer it's been since your last meal, the lower typically your blood glucose and insulin will be, and the higher things like GLP-1, glucagon like peptide one, glucagon being a hormone that's also secreted when you are in a fasted state or a low blood glucose state.
[00:07:24.260 --> 00:07:36.260]   It's involved in mobilizing various energy sources from the body, including fat through what we call lipolysis, also using carbohydrates and potentially even using muscle as a source of energy.
[00:07:36.260 --> 00:07:43.260]   So that's kind of a fire hose of information about what happens when you eat and don't eat.
[00:07:43.260 --> 00:07:51.260]   But just think of it this way, blood sugar and insulin go up when you eat, they go down when you don't eat and other hormones go up when you don't eat.
[00:07:51.260 --> 00:07:59.260]   So there are hormones associated with the fasted state and there are hormones associated with the eating and having just eaten state.
[00:07:59.260 --> 00:08:09.260]   Now, the most important thing to understand is that like everything in biology, this is a process that takes time.
[00:08:09.260 --> 00:08:15.260]   So insulin and glucose go up when we eat and it takes some period of time for them to go down.
[00:08:15.260 --> 00:08:20.260]   Even if we stop eating, they will remain up for some period of time and then go back down.
[00:08:20.260 --> 00:08:22.260]   It takes time.
[00:08:22.260 --> 00:08:28.260]   This is very important because if you look at the scientific literature on fasting, on time restriction,
[00:08:28.260 --> 00:08:46.260]   it's absolutely clear that the health benefits, not just the weight loss benefits, but that the health benefits from time restricted feeding occur because certain conditions are met in the brain and body for a certain amount of time.
[00:08:46.260 --> 00:08:55.260]   And that gives us an anchor from which to view what eating is in terms of how it sets conditions in the body over time.
[00:08:55.260 --> 00:09:04.260]   And if that sounds overly analytic, I promise you, this is the simplest and best way to think about any eating schedule or any eating plan.
