
[00:00:00.000 --> 00:00:13.020]   [ Silence ]
[00:00:13.020 --> 00:00:18.140]   >> Please give another very warm welcome to Jack Bogle.
[00:00:19.000 --> 00:00:33.560]   [ Applause ]
[00:00:33.560 --> 00:00:34.860]   >> Thank you very much.
[00:00:34.860 --> 00:00:38.720]   That's probably quite enough applause.
[00:00:38.720 --> 00:00:40.640]   But I thank you.
[00:00:40.640 --> 00:00:41.820]   It's been wonderful to be with you.
[00:00:41.820 --> 00:00:46.060]   And I asked Mel to move me into the early spot this morning
[00:00:46.660 --> 00:00:50.220]   because I'm trying to be a good family man.
[00:00:50.220 --> 00:00:52.000]   Yes, there is a family out there.
[00:00:52.000 --> 00:00:54.740]   And its prime member is my wife.
[00:00:54.740 --> 00:00:58.260]   And every year, we sign up for the Philadelphia Orchestra,
[00:00:58.260 --> 00:01:01.220]   Friday afternoon concerts, and we do about six.
[00:01:01.220 --> 00:01:03.320]   And one of them happens to be this afternoon.
[00:01:03.320 --> 00:01:06.020]   And I just -- you must understand that I did not want
[00:01:06.020 --> 00:01:08.060]   to say, "Eve, there's something more important than going
[00:01:08.060 --> 00:01:10.100]   on -- than going to the concert with you."
[00:01:10.100 --> 00:01:11.600]   It's being with the Bogleheads.
[00:01:11.600 --> 00:01:14.540]   And she would probably file papers for divorce.
[00:01:14.540 --> 00:01:16.540]   [ Laughter ]
[00:01:16.540 --> 00:01:20.060]   Immediately, if not giving me maybe a chance to redeem myself.
[00:01:20.060 --> 00:01:22.260]   So it's great to be with you here again.
[00:01:22.260 --> 00:01:25.040]   I've had a wonderful time with you.
[00:01:25.040 --> 00:01:27.200]   That book signing was so much fun because I had a chance
[00:01:27.200 --> 00:01:28.120]   to talk to many of you
[00:01:28.120 --> 00:01:30.320]   about whether you were having a good time or not.
[00:01:30.320 --> 00:01:33.360]   And for reasons that are beyond my contemplation,
[00:01:33.360 --> 00:01:36.340]   everybody seems to be having a good time here.
[00:01:36.340 --> 00:01:38.240]   I just can't imagine it.
[00:01:38.240 --> 00:01:41.120]   But I'm glad you are.
[00:01:41.120 --> 00:01:42.540]   And I'm glad you had a good time.
[00:01:42.540 --> 00:01:43.940]   Several people told me they had a good time.
[00:01:44.460 --> 00:01:46.380]   Over at Vanguard yesterday.
[00:01:46.380 --> 00:01:48.540]   And the management part.
[00:01:48.540 --> 00:01:50.940]   People who actually work for Vanguard.
[00:01:50.940 --> 00:01:54.520]   And so we're going to just do a little Q&A here.
[00:01:54.520 --> 00:01:56.680]   And take it away, Mel.
[00:01:56.680 --> 00:02:01.760]   >> The most asked question, a number of people asked this.
