
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:14.520]   - Welcome back to Ask the Compound,
[00:00:14.520 --> 00:00:16.460]   where we had two weeks worth of questions building up.
[00:00:16.460 --> 00:00:19.860]   Duncan and I today are thankful for the color purple.
[00:00:19.860 --> 00:00:23.700]   Remember our email here, askthecompoundshow@gmail.com.
[00:00:23.700 --> 00:00:27.100]   Today's sponsor is Bird Dogs.
[00:00:27.100 --> 00:00:30.180]   Duncan and I was in Detroit over the weekend,
[00:00:30.180 --> 00:00:32.720]   which they have an elite, elite holiday,
[00:00:32.720 --> 00:00:35.880]   holiday decoration system there now.
[00:00:35.880 --> 00:00:36.720]   It's great.
[00:00:36.720 --> 00:00:37.540]   The kids love it there.
[00:00:37.540 --> 00:00:39.080]   They had ice skating and slides.
[00:00:39.080 --> 00:00:41.480]   And so John showed the thing here.
[00:00:41.480 --> 00:00:42.860]   I was walking around trying to be comfortable.
[00:00:42.860 --> 00:00:45.760]   So I was of course wearing Bird Dog joggers.
[00:00:45.760 --> 00:00:47.060]   Now they have two different kinds.
[00:00:47.060 --> 00:00:48.660]   One of them is kind of lightweight,
[00:00:48.660 --> 00:00:51.380]   which is good for the summer, fall, spring time.
[00:00:51.380 --> 00:00:52.700]   But they also have these heavier duty ones
[00:00:52.700 --> 00:00:54.300]   that are like sweats almost.
[00:00:54.300 --> 00:00:56.100]   And in the past, I probably would have worn jeans,
[00:00:56.100 --> 00:00:58.060]   but the Bird Dogs pants were great.
[00:00:58.060 --> 00:00:59.100]   They're warm.
[00:00:59.100 --> 00:01:01.740]   I was comfy walking around the city.
[00:01:01.740 --> 00:01:02.660]   We're still giving away the,
[00:01:02.660 --> 00:01:06.180]   they're still giving away the Bird Dog white tech dad hat.
[00:01:06.180 --> 00:01:07.860]   Promo code ATC.
[00:01:07.860 --> 00:01:08.680]   You still get this.
[00:01:08.680 --> 00:01:10.020]   Duncan wants one so bad.
[00:01:10.020 --> 00:01:14.740]   Birddogs.com/ATC or enter the code ATC.
[00:01:14.740 --> 00:01:17.820]   - I gotta say, you look really fashionable in that photo.
[00:01:17.820 --> 00:01:18.660]   - Not bad, right?
[00:01:18.660 --> 00:01:19.500]   - Yeah.
[00:01:19.500 --> 00:01:20.320]   - I could be a Bird Dogs model.
[00:01:20.320 --> 00:01:21.340]   Let's be honest here.
[00:01:21.340 --> 00:01:23.260]   - I think that might be in your future.
[00:01:23.260 --> 00:01:24.940]   Yeah, I think that might.
[00:01:24.940 --> 00:01:26.700]   Very, very comfy.
[00:01:26.700 --> 00:01:29.060]   - So last week, did you miss the show enough
[00:01:29.060 --> 00:01:30.780]   that you were just having people ask you
[00:01:30.780 --> 00:01:33.540]   financial questions at the Thanksgiving table?
[00:01:33.540 --> 00:01:36.820]   - I did get a few finance questions from people at the table,
[00:01:36.820 --> 00:01:39.280]   but nothing special.
[00:01:39.280 --> 00:01:43.180]   - Nothing as exciting as your Twitter exchanges?
[00:01:43.180 --> 00:01:47.300]   - Listen, all I'm trying to do
[00:01:47.300 --> 00:01:48.780]   is put a little good news into the world.
[00:01:48.780 --> 00:01:51.000]   People can get bad news from anywhere, right?
[00:01:51.000 --> 00:01:53.100]   The media likes to share bad news.
[00:01:53.100 --> 00:01:55.140]   People on social media like to share bad news.
[00:01:55.140 --> 00:01:55.980]   Every once in a while,
[00:01:55.980 --> 00:01:58.820]   I like to give some optimistic takes into the world.
[00:01:58.820 --> 00:02:02.080]   And if there's one thing people hate more than anything
[00:02:02.080 --> 00:02:03.380]   on finance social media,
[00:02:03.380 --> 00:02:06.180]   it's good news and long-term stock market returns.
[00:02:06.180 --> 00:02:07.540]   They hate that stuff.
[00:02:07.540 --> 00:02:08.480]   Hate it.
[00:02:08.480 --> 00:02:09.320]   They push back.
[00:02:09.320 --> 00:02:11.620]   So I'm just trying to, listen, I'm not naive.
[00:02:11.620 --> 00:02:13.220]   I know that there's bad things in the economy.
[00:02:13.220 --> 00:02:14.220]   People hate higher prices.
[00:02:14.220 --> 00:02:15.740]   People hate inflation.
[00:02:15.740 --> 00:02:17.020]   But there are some good things going on too.
[00:02:17.020 --> 00:02:18.100]   We've got a strong labor market.
[00:02:18.100 --> 00:02:20.380]   The economy continues to grow.
[00:02:20.380 --> 00:02:21.580]   Housing prices are still up.
[00:02:21.580 --> 00:02:25.060]   It's the stock market is almost back to all-time highs.
