
[00:00:00.000 --> 00:00:04.000]   [Intro music]
[00:00:04.000 --> 00:00:09.200]   From a soon-to-be pastor in the UK, "Greetings Pastor John, I'm about to graduate from seminary
[00:00:09.200 --> 00:00:15.360]   and start a job as an associate pastor in four months. I am a complementarian. However,
[00:00:15.360 --> 00:00:20.000]   from observing local churches in my country, it is discouraging as it appears more and more of
[00:00:20.000 --> 00:00:25.280]   them are submitting to egalitarianism simply out of social norms and expectations of church
[00:00:25.280 --> 00:00:32.000]   leadership from a secular point of view. With the legalization of gay marriage rights, this move
[00:00:32.000 --> 00:00:37.440]   seems even more harmless now to a lot of churches in the West. With that in mind, what do you view
[00:00:37.440 --> 00:00:44.720]   the future of male headship in the home and church? Is it now a lost cause, a losing cause,
[00:00:44.720 --> 00:00:45.920]   or do you think it will endure?
[00:00:47.520 --> 00:00:59.040]   Complementarianism will endure. It is not a lost cause. The reason I think it will endure
[00:00:59.040 --> 00:01:05.920]   and is not a lost cause may not be exactly what you think. Let me give you three reasons it will
[00:01:05.920 --> 00:01:10.720]   endure that are not the reason I'm going to give. In other words, I think there are a lot of reasons
[00:01:10.720 --> 00:01:16.800]   why it won't, but these three are the ones you probably thought I would give, so I'm going to
[00:01:16.800 --> 00:01:22.800]   give them and then give the one I really want to give. Reason number one why it will endure. It
[00:01:22.800 --> 00:01:31.040]   will endure because it is true to God's Word. When Paul says in Ephesians 5, 22 to 25, that
[00:01:31.040 --> 00:01:37.120]   wives take their cues in submission from the church's relation to Christ and husbands take
[00:01:37.120 --> 00:01:44.640]   their cues in love from Christ as the head of the church, and then he quotes the Old Testament
[00:01:44.640 --> 00:01:49.520]   foundational text from Genesis 2, 24, "A man shall leave his father and mother and hold fast
[00:01:49.520 --> 00:01:54.800]   to his wife, and the two shall become one flesh," and then in verse 32 he gives the explanation.
[00:01:54.800 --> 00:01:59.520]   This mystery is profound, and I'm saying that it refers to Christ and the church.
[00:01:59.520 --> 00:02:07.520]   When all of that happens, he's teaching that manhood and womanhood in marriage are a parable
[00:02:07.520 --> 00:02:16.800]   of the covenant love of Christ and the church. This complementarian role of man and woman in
[00:02:16.800 --> 00:02:25.280]   marriage is deep, historical, biblical, beautiful, satisfying, and in harmony with our true nature.
[00:02:25.280 --> 00:02:33.040]   Therefore, it will not go away. It is too profound, too integral with both nature and grace,
[00:02:33.040 --> 00:02:39.520]   both creation and salvation. That's reason number one, that it won't fade away. Number two,
[00:02:39.520 --> 00:02:46.800]   it will endure. Complementarianism will endure because this deep embeddedness
[00:02:46.800 --> 00:02:55.120]   of the meaning of manhood and womanhood in creation and redemption carries over explicitly
[00:02:55.120 --> 00:03:03.760]   into the way God has ordered his never-dying church for her greatest flourishing. 1 Timothy 2,
[00:03:03.760 --> 00:03:08.400]   12, "I do not permit a woman to teach or to exercise authority over man." That's Paul's
[00:03:08.400 --> 00:03:16.480]   way of ordering the church. This call for the authoritative leaders and teachers of the church
[00:03:16.480 --> 00:03:25.040]   to be spiritual Christ-like men is not random or arbitrary or merely competency-based or cultural
[00:03:25.520 --> 00:03:33.600]   it is rooted in the created nature of manhood and womanhood. Paul argues from creation here in 1
[00:03:33.600 --> 00:03:41.440]   Timothy 2 as well as in Ephesians 5. He does not argue from culture. And this complementarian
[00:03:41.440 --> 00:03:50.160]   vision for the church is seamlessly part of the fabric of complementarianism in the home.
[00:03:50.960 --> 00:04:01.120]   Complementarianism is not a fringe on the fabric of home and church. It is part of the single
[00:04:01.120 --> 00:04:09.120]   fabric that binds the two together. That's number two. Thirdly, the one that I didn't want to give
[00:04:09.120 --> 00:04:16.160]   but am giving, complementarianism will endure because God is good and God is sovereign.
[00:04:17.920 --> 00:04:25.280]   He loves his church and the people that make it up. He cares for us. I love that sentence from
[00:04:25.280 --> 00:04:34.560]   1 Peter 5, 7. He cares for his church. He cares for us. And he designed complementary relationships
[00:04:34.560 --> 00:04:44.800]   between men and women for our joy. If God stops loving us, then complementarianism will cease.
[00:04:46.080 --> 00:04:54.640]   But as long as God is good and strong and loving, you will see to it that there is a remnant who
[00:04:54.640 --> 00:05:02.000]   embraces his design for men and women. Now those three reasons why complementarianism will endure
[00:05:02.000 --> 00:05:11.040]   and is not a lost cause are not the main reason I want to focus on here. The reason I want to focus
[00:05:11.040 --> 00:05:20.640]   on here is that when we look at the future long term, we know there are terrible times coming for
[00:05:20.640 --> 00:05:26.240]   Christians. There always have been terrible times for Christians somewhere in the world,
[00:05:26.240 --> 00:05:35.120]   but there's good reason to think from the Bible that near the end there will be unusually terrible
[00:05:35.120 --> 00:05:45.120]   opposition. What will become of complementarianism in the hardest of times when it is most difficult
[00:05:45.120 --> 00:05:51.200]   to be a Christian, let alone be a complementarian? And here's a description of the sort of thing
[00:05:51.200 --> 00:05:57.680]   I think we can expect. This is Matthew 24, 9 to 13. "They will deliver you up to tribulation
[00:05:57.680 --> 00:06:05.520]   and put you to death. You will be hated by all nations for my name's sake, and then
[00:06:05.520 --> 00:06:12.960]   many will fall away and betray one another and hate one another, and many false prophets will
[00:06:12.960 --> 00:06:21.840]   arise and lead many astray. And because lawlessness is increased, the love of many will grow cold.
[00:06:22.640 --> 00:06:29.680]   But," this is verse 13 of Matthew 24, "but the one who endures to the end will be saved."
