
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.640]   Happy Friday everyone.
[00:00:06.640 --> 00:00:09.640]   This is a special episode of the Ask Pastor John podcast
[00:00:09.640 --> 00:00:10.880]   and it comes to you in partnership
[00:00:10.880 --> 00:00:13.260]   with the Gospel Coalition.
[00:00:13.260 --> 00:00:16.240]   Today our guest, Dr. Don Carson joins us.
[00:00:16.240 --> 00:00:19.520]   He is the co-founder and president of the Gospel Coalition.
[00:00:19.520 --> 00:00:23.520]   He is also the editor of the new NIV Zondervan Study Bible
[00:00:23.520 --> 00:00:26.560]   which focuses on biblical theology themes
[00:00:26.560 --> 00:00:28.860]   as they develop in the Bible from Genesis
[00:00:28.860 --> 00:00:33.060]   to Revelation and nobody does this any better than Carson.
[00:00:33.060 --> 00:00:35.200]   So we're launching a little occasional series
[00:00:35.200 --> 00:00:36.480]   of longer episodes.
[00:00:36.480 --> 00:00:39.080]   We're all called Dr. Carson and he will riff
[00:00:39.080 --> 00:00:42.340]   on a certain theme in biblical theology.
[00:00:42.340 --> 00:00:44.200]   In the future we'll cover topics like
[00:00:44.200 --> 00:00:47.560]   the doctrine of creation or the doctrine of kingship
[00:00:47.560 --> 00:00:51.120]   or atonement or kingdom and so on and so on.
[00:00:51.120 --> 00:00:54.680]   Episodes will release on Fridays every three weeks or so
[00:00:54.680 --> 00:00:57.360]   on the podcast and should be wonderful.
[00:00:57.360 --> 00:01:00.000]   Let's see if he's home first.
[00:01:00.000 --> 00:01:02.200]   (phone ringing)
[00:01:02.200 --> 00:01:03.040]   Don Carson.
[00:01:03.040 --> 00:01:05.280]   Dr. Carson, Tony Reinke at Desiring God Hello
[00:01:05.280 --> 00:01:08.160]   and thank you for joining us to record a little series
[00:01:08.160 --> 00:01:10.600]   of episodes on various prominent themes in the Bible.
[00:01:10.600 --> 00:01:13.820]   Today we jump in and start with a historical overview
[00:01:13.820 --> 00:01:16.180]   of the Bible, the whole Bible.
[00:01:16.180 --> 00:01:18.800]   Tell us the story of the Bible in one shot.
[00:01:18.800 --> 00:01:19.640]   Are you ready?
[00:01:19.640 --> 00:01:20.460]   Yes.
[00:01:20.460 --> 00:01:21.300]   Of course you are.
[00:01:21.300 --> 00:01:22.340]   All right, take it away.
[00:01:22.340 --> 00:01:23.920]   Okay, here we go.
[00:01:23.920 --> 00:01:27.120]   To talk about the overview of the Bible
[00:01:27.120 --> 00:01:30.960]   is to conjure up two rather distinct things.
[00:01:30.960 --> 00:01:37.040]   On the one hand there's the Bible as we have it
[00:01:37.040 --> 00:01:40.120]   with Old Testament and New Testament
[00:01:40.120 --> 00:01:43.880]   and its division into various categories.
[00:01:43.880 --> 00:01:47.840]   And those categories are themselves sometimes
[00:01:47.840 --> 00:01:52.840]   a bit different in English than in the study
[00:01:52.840 --> 00:01:55.500]   of the Hebrew Old Testament, for example.
[00:01:55.500 --> 00:01:58.720]   We speak of the major and minor prophets,
[00:01:58.720 --> 00:02:01.160]   but those are not the categories in which
[00:02:01.160 --> 00:02:05.040]   the students of the Hebrew Bible think.
[00:02:05.040 --> 00:02:08.160]   But nevertheless we can break things down usefully
[00:02:08.160 --> 00:02:10.680]   into the Pentateuch, the first five books
[00:02:10.680 --> 00:02:14.320]   of the Old Testament, and historical books,
[00:02:14.320 --> 00:02:18.080]   and wisdom literature, books like Proverbs
[00:02:18.080 --> 00:02:20.560]   and Ecclesiastes and so forth,
[00:02:20.560 --> 00:02:23.520]   and prophets, major and minor,
[00:02:23.520 --> 00:02:26.500]   even though those are not standard categories.
[00:02:26.500 --> 00:02:29.460]   And in the New Testament one can think of Gospels,
[00:02:29.460 --> 00:02:33.300]   the Book of Acts, all the letters, the Apocalypse,
[00:02:33.300 --> 00:02:34.940]   and even the letters can be broken down
[00:02:34.940 --> 00:02:37.880]   into letters to churches versus letters to individuals
[00:02:37.880 --> 00:02:41.440]   like the first and second Timothy, Titus, Philemon.
[00:02:41.440 --> 00:02:44.740]   All of these are useful categories.
[00:02:44.740 --> 00:02:48.380]   What they don't get across is the sequence
[00:02:48.380 --> 00:02:50.180]   in which things are written,
[00:02:50.180 --> 00:02:54.320]   and they don't get across the chronology
[00:02:54.320 --> 00:02:56.380]   of the Bible storyline.
[00:02:56.380 --> 00:03:01.380]   And that's what we're interested in in this brief podcast.
[00:03:01.380 --> 00:03:05.720]   That is to say, what's the Bible storyline
[00:03:05.720 --> 00:03:09.100]   that links these various books
[00:03:09.100 --> 00:03:11.520]   with their different literary forms
[00:03:11.520 --> 00:03:14.360]   and different structures and different languages
[00:03:14.360 --> 00:03:16.080]   and so on together?
[00:03:16.080 --> 00:03:19.400]   The next thing to observe is that you can lay out
[00:03:19.400 --> 00:03:24.360]   that storyline in very brief sentences,
[00:03:24.360 --> 00:03:26.120]   or you could tease it out
[00:03:26.120 --> 00:03:29.280]   to make it a mini Howard presentation.
[00:03:29.280 --> 00:03:33.280]   In briefest form, you have creation,
[00:03:33.280 --> 00:03:36.780]   fall, redemption, consummation.
[00:03:36.780 --> 00:03:39.280]   That is the beginning and the end,
