
[00:00:00.000 --> 00:00:01.260]   I'm Bill Gurley.
[00:00:01.260 --> 00:00:04.360]   I got to Silicon Valley in about 1997
[00:00:04.360 --> 00:00:07.800]   and was fortunate enough to become a venture capitalist in '98.
[00:00:07.800 --> 00:00:11.240]   And the entire first year of my career,
[00:00:11.240 --> 00:00:15.380]   I had zero interest in interacting with any form of government.
[00:00:15.380 --> 00:00:17.960]   It didn't seem necessary for what I was trying to do.
[00:00:17.960 --> 00:00:21.640]   I was working with founders and software and technology.
[00:00:21.640 --> 00:00:23.980]   I didn't see what it would bring me.
[00:00:23.980 --> 00:00:27.680]   Until one day, where I ran into an issue, which I'll tell you about later,
[00:00:27.680 --> 00:00:32.000]   that required me to understand what was going on in Washington.
[00:00:32.000 --> 00:00:34.020]   So I checked in with a few advisors.
[00:00:34.020 --> 00:00:36.840]   They introduced me to this lawyer in DC.
[00:00:36.840 --> 00:00:40.440]   Turns out, DC lawyers do a lot of things that aren't lawyering.
[00:00:40.440 --> 00:00:42.180]   (Laughter)
[00:00:42.180 --> 00:00:44.980]   And he listened to what I had to say, "I'll call you back."
[00:00:44.980 --> 00:00:47.920]   He calls me back, he says, "Bill, I got exactly what you need.
[00:00:47.920 --> 00:00:51.720]   I found a congressman on the committee that matters to what you're talking about,
[00:00:51.720 --> 00:00:53.000]   and I can set up a meeting."
[00:00:53.000 --> 00:00:54.320]   I go, "Great, I'll fly out."
[00:00:54.320 --> 00:00:57.040]   He goes, "No, no, no, don't fly out. He's coming to you."
[00:00:57.040 --> 00:00:58.800]   I go, "Really? That's pretty nice."
[00:00:58.800 --> 00:01:01.040]   He goes, "Do you have a conference room?"
[00:01:01.040 --> 00:01:04.320]   I said, "I'm a venture capitalist. We have lots of conference rooms."
[00:01:04.320 --> 00:01:08.160]   So he said, "I need you to get some people together, and here's the catch.
[00:01:08.160 --> 00:01:10.340]   They need to bring $5,000 each."
[00:01:10.340 --> 00:01:12.460]   (Laughter)
[00:01:12.460 --> 00:01:13.920]   Hung up the phone.
[00:01:13.920 --> 00:01:16.160]   Started thinking, "All right, I got six people.
[00:01:16.160 --> 00:01:19.220]   We got board members, CEO, $5,000, $30,000.
[00:01:19.220 --> 00:01:21.460]   He's calling me back next week. How's it going?
[00:01:21.460 --> 00:01:23.680]   Great, I got six people, $5,000, ready to go."
[00:01:23.680 --> 00:01:26.640]   He goes, "Most of these meetings have 10 to 12 people."
[00:01:26.640 --> 00:01:28.080]   I said, "Shit!
[00:01:28.080 --> 00:01:31.520]   Now I'm inviting people that don't even have anything to do with this thing
[00:01:31.520 --> 00:01:32.880]   and having to help them out.
[00:01:32.880 --> 00:01:34.240]   I'm up to 60K, I hang up."
[00:01:34.240 --> 00:01:37.200]   He called me back a week later, he goes, "Bill, how's it going?"
[00:01:37.200 --> 00:01:39.120]   I go, "Shit, I got 12 people.
[00:01:39.120 --> 00:01:41.440]   Everybody's got a check, we're ready to go.
[00:01:41.440 --> 00:01:43.360]   I'm losing interest at this point."
[00:01:43.360 --> 00:01:46.560]   He goes, "Do they have spouses?"
[00:01:46.560 --> 00:01:49.760]   I'm like, "What kind of question is this? Do they have spouses?"
[00:01:49.760 --> 00:01:54.080]   He goes, "Yeah, let's have their spouses write $5,000 each."
[00:01:54.080 --> 00:01:56.560]   I go, "Our conference room's not big enough for the spouses."
[00:01:56.560 --> 00:01:58.240]   He goes, "They don't have to come."
[00:01:58.240 --> 00:01:59.760]   (Laughter)
[00:01:59.760 --> 00:02:02.720]   This is a true story, by the way, true story.
[00:02:02.720 --> 00:02:05.280]   And it would go on to happen two more times in my life,
[00:02:05.280 --> 00:02:07.440]   and then I stopped meeting with congressmen.
[00:02:07.440 --> 00:02:08.720]   (Laughter)
[00:02:08.720 --> 00:02:10.720]   (Applause)
[00:02:10.720 --> 00:02:16.720]   The reason that I needed to engage relates to this company.
[00:02:16.720 --> 00:02:20.480]   My fourth VC investment was in a company called Tropos Networks.
