
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:13.340]   - Welcome back to Ask the Compound.
[00:00:13.340 --> 00:00:16.500]   Our email here is askthecompoundshow@gmail.com.
[00:00:16.500 --> 00:00:20.180]   I'm here with the brightest man in America today, Duncan.
[00:00:20.180 --> 00:00:21.620]   Nice to see you.
[00:00:21.620 --> 00:00:23.340]   - I admit, it's not the best color combo.
[00:00:23.340 --> 00:00:24.500]   I should have probably looked in the mirror
[00:00:24.500 --> 00:00:25.980]   before I left the house.
[00:00:25.980 --> 00:00:27.980]   - I'm not one to talk about colors.
[00:00:27.980 --> 00:00:29.820]   I don't mind having some bright colors, I think it looks good.
[00:00:29.820 --> 00:00:30.800]   - I just got excited, you know,
[00:00:30.800 --> 00:00:33.540]   we were at the NASCAR museum for the live recording,
[00:00:33.540 --> 00:00:35.420]   so I had to wear a NASCAR hat today.
[00:00:35.420 --> 00:00:38.280]   - You do look like you're at a NASCAR event.
[00:00:38.280 --> 00:00:40.580]   Today's show is sponsored by Rocket Money.
[00:00:40.580 --> 00:00:41.720]   I've been using Rocket Money lately.
[00:00:41.720 --> 00:00:44.620]   I am a set it and forget it kind of guy
[00:00:44.620 --> 00:00:47.220]   when it comes to finances and other parts of my life.
[00:00:47.220 --> 00:00:49.580]   Like last night, I got home pretty late, I was on a trip,
[00:00:49.580 --> 00:00:51.340]   and I got an alert on my phone saying,
[00:00:51.340 --> 00:00:52.460]   "Take the trash out."
[00:00:52.460 --> 00:00:53.300]   I would have forgotten,
[00:00:53.300 --> 00:00:54.440]   'cause they come really early in the morning
[00:00:54.440 --> 00:00:56.660]   to pick up the trash, and so I like alerts.
[00:00:56.660 --> 00:00:58.060]   And the cool thing about Rocket Money
[00:00:58.060 --> 00:00:59.700]   that I've been using it is
[00:00:59.700 --> 00:01:00.980]   it gives you these alerts all the time.
[00:01:00.980 --> 00:01:03.420]   "Hey, there's an unknown transaction here.
