
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:12.000]   Well, Jesus is my substitute. He became sin for me that I might stand before God righteous and forgiven.
[00:00:12.000 --> 00:00:15.000]   It's beautifully true in 2 Corinthians 5:21.
[00:00:15.000 --> 00:00:22.000]   But is Jesus also my joy substitute to my hope for when I fail to delight in God as I ought to?
[00:00:22.000 --> 00:00:25.000]   It's a really sharp question from a listener named Jake.
[00:00:25.000 --> 00:00:27.000]   Hello Pastor John, thank you for this podcast.
[00:00:27.000 --> 00:00:33.000]   I love the fact that Jesus is my substitute in any way that I display Christ-likeness.
[00:00:33.000 --> 00:00:39.000]   It's something all made possible by the cross of Christ and the Spirit's work inside of me.
[00:00:39.000 --> 00:00:44.000]   Christ was sexually faithful for me because I was not.
[00:00:44.000 --> 00:00:49.000]   In Him I find forgiveness for my past and power to fight my lust today.
[00:00:49.000 --> 00:00:55.000]   Similarly, Christ was never arrogant for me so that I can be forgiven of my angry past
[00:00:55.000 --> 00:00:59.000]   and given the power to fight my own arrogant heart today.
[00:00:59.000 --> 00:01:02.000]   So I wonder if this paradigm also applies to my joy.
[00:01:02.000 --> 00:01:10.000]   Is it true that Christ was fully satisfied in God for me so that I am not condemned for my sourness
[00:01:10.000 --> 00:01:16.000]   but so that my lack of joy in God is forgiven and I can be free to pursue my joy in God daily?
[00:01:16.000 --> 00:01:25.000]   When I fail, I rest in Christ, the perfect Christian hedonist who paid for all my heart's idols,
[00:01:25.000 --> 00:01:30.000]   and there I find renewed hope to press on in seeking after God.
[00:01:30.000 --> 00:01:35.000]   In other words, is Jesus also my joy substitute?
[00:01:35.000 --> 00:01:40.000]   That's pretty thoughtful. I like that. I like this question a lot.
[00:01:40.000 --> 00:01:48.000]   But I'm sure that not all of our listeners are tracking with Jake's pretty remarkable grasp
[00:01:48.000 --> 00:01:51.000]   of the doctrine of justification by faith alone.
[00:01:51.000 --> 00:01:57.000]   So let me put some Bible verses under it and then answer his question straight up.
[00:01:57.000 --> 00:02:07.000]   He's applying the doctrine of justification by saying that all the defects of my obedience to God,
[00:02:07.000 --> 00:02:16.000]   my shortfall in keeping God's commandments, do not keep me from being justified in the courtroom of heaven
[00:02:16.000 --> 00:02:26.000]   or from being vindicated and declared not guilty but, in fact, declared righteous in God's sight.
