
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:09.000]   Well, we are to fear God and we are to flee to God.
[00:00:09.000 --> 00:00:15.000]   And while those two things, fearing God and fleeing to Him, may sound oddly contradictory,
[00:00:15.000 --> 00:00:16.000]   they're not.
[00:00:16.000 --> 00:00:21.500]   In 2008, Pastor John preached on Psalm 103, a psalm with some pretty amazing statements
[00:00:21.500 --> 00:00:24.500]   about God's love to those who fear Him.
[00:00:24.500 --> 00:00:30.500]   Verse 11 says, "For as high as the heavens are above the earth, so great is His steadfast
[00:00:30.500 --> 00:00:33.500]   love towards those who fear Him."
[00:00:33.500 --> 00:00:38.500]   And in verse 13 it says, "As a father shows compassion to his children, so the Lord shows
[00:00:38.500 --> 00:00:42.000]   compassion to those who fear Him."
[00:00:42.000 --> 00:00:48.500]   And in verse 17 it says, "The steadfast love of the Lord is from everlasting to everlasting
[00:00:48.500 --> 00:00:51.000]   on those who fear Him."
[00:00:51.000 --> 00:00:54.500]   God's covenant love is for those who fear Him.
[00:00:54.500 --> 00:01:00.000]   And the following sermon clip comes from Michael, who lives in the beautiful city of San Diego.
[00:01:00.000 --> 00:01:04.500]   Here's John Piper expounding Psalm 103.
[00:01:04.500 --> 00:01:12.000]   The only people that will eternally experience the love of God as the love of God
[00:01:12.000 --> 00:01:15.000]   are people who fear the Lord.
[00:01:15.000 --> 00:01:25.500]   Is that a separate and distinct requirement over against keeping covenant with Christ,
[00:01:25.500 --> 00:01:30.000]   by trusting His new covenant provisions?
[00:01:30.000 --> 00:01:32.500]   I don't think so.
[00:01:32.500 --> 00:01:37.500]   Here's what I think fearing God means today.
[00:01:37.500 --> 00:01:50.500]   I think fearing God means that God is, in your mind and heart, so powerful and so holy
[00:01:50.500 --> 00:02:08.000]   and so awesome that you would not dare to run away from Him, but only run to Him.
[00:02:08.000 --> 00:02:13.000]   In other words, fearing God is not another requirement.
[00:02:13.000 --> 00:02:15.500]   It's the way you do covenant keeping.
[00:02:15.500 --> 00:02:17.500]   It's the way you receive Jesus.
[00:02:17.500 --> 00:02:20.500]   It's the way you come to Jesus.
[00:02:20.500 --> 00:02:22.500]   You come reverently.
[00:02:22.500 --> 00:02:24.000]   You come humbly.
[00:02:24.000 --> 00:02:29.500]   You come without any presumption that you deserve anything or He owes you anything.
[00:02:29.500 --> 00:02:33.500]   You come trembling, or as we saw in Psalm 51,
[00:02:33.500 --> 00:02:37.500]   you come with a heart that is broken and contrite.
[00:02:37.500 --> 00:02:41.500]   Work out your salvation with fear and trembling.
[00:02:41.500 --> 00:02:48.500]   Tremble if you ever feel any inclination to leave this God.
[00:02:48.500 --> 00:02:52.500]   There is only destruction away from Him.
[00:02:52.500 --> 00:02:57.500]   Oh, how we should fear to leave the Lord,
[00:02:57.500 --> 00:03:03.500]   and tremble in His presence that He would so graciously receive us,
[00:03:03.500 --> 00:03:08.500]   forgive all of our sins, and make an everlasting future.
[00:03:08.500 --> 00:03:17.500]   And so many people do not fear their carnal departures.
