
[00:00:00.000 --> 00:00:08.060]   They end up chanting in front of him, Viva la muerte. Long live death. They have their
[00:00:08.060 --> 00:00:16.460]   counterparts today. They are the people who taunt Americans, Westerners, Israelis, and others with
[00:00:16.460 --> 00:00:21.340]   lines like, we love death more than you love life.
[00:00:23.980 --> 00:00:29.980]   The following is a conversation with Douglas Murray, author of The War in the West,
[00:00:29.980 --> 00:00:36.200]   The Madness of Crowds, and his new book on democracies and death cults. We talk about
[00:00:36.200 --> 00:00:43.340]   Russia and Ukraine and about Israel and Gaza. Douglas has very strong views on these topics,
[00:00:43.340 --> 00:00:50.900]   and he defends them brilliantly and fearlessly. As I always try to do for all topics, I will also
[00:00:50.900 --> 00:00:55.900]   talk to people who have different views from Douglas, including on the next episode of this
[00:00:55.900 --> 00:01:03.780]   podcast. We live in an era of online discourse where grifters, drama farmers, liars, bots,
[00:01:03.780 --> 00:01:11.020]   sycophants, and sociopaths roam the vast beautiful dark land of the internet. It's hard to know who
[00:01:11.020 --> 00:01:19.340]   to trust. I believe no one is in possession of the entire truth, but some are more correct than others.
[00:01:19.780 --> 00:01:27.980]   Some are insightful, and some are delusional. The problem is it's hard to tell which is which
[00:01:27.980 --> 00:01:35.800]   unless you use your mind with intellectual humility and with rigor. I recommend you listen to many
[00:01:35.800 --> 00:01:41.860]   sources who disagree with each other and try to pick up wisdom from each. Also, I recommend you visit
[00:01:41.860 --> 00:01:49.500]   the places in question as Douglas as Douglas has, as I have, or at least talk face-to-face with people who
[00:01:49.500 --> 00:01:55.520]   have spent most of their lives living there, whether it's Israel, Palestine, Ukraine, or Russia.
[00:01:55.520 --> 00:02:04.660]   Let's try, together, to not be cogs in the machine of outrage, and instead to reach toward reason and
[00:02:04.660 --> 00:02:12.460]   compassion. There is no Hitler, Stalin, or Mao on the world stage today. Plus, there are thousands of
[00:02:12.460 --> 00:02:21.300]   nuclear weapons ready to fire. Human civilization hangs in the balance. The 21st century is a new
[00:02:21.300 --> 00:02:27.240]   geopolitical puzzle all of us are tasked with solving. Let's not mess it up.
[00:02:28.240 --> 00:02:33.160]   This is a Lex Friedman podcast. To support it, please check out our sponsors in the description.
[00:02:33.160 --> 00:02:37.340]   And now, dear friends, here's Douglas Murray.
[00:02:37.340 --> 00:02:44.020]   What have you understood about the war in Ukraine from your visits there? Just looking at the big
[00:02:44.020 --> 00:02:49.460]   picture of your understanding of the invasion of February 24, 2022, and the war in the three years
[00:02:49.460 --> 00:02:57.300]   since. Well, I mean, several things. There's political angles which are forever changing. But
[00:02:57.300 --> 00:03:06.100]   on the human level, as you know, if you visit troops, frontline troops, you have that admiration for
[00:03:06.100 --> 00:03:11.940]   people defending their country, defending their homes, defending their families. I'm struck by the way in
[00:03:11.940 --> 00:03:21.700]   which that is at a remove from the sort of political noise and the media noise and much more. It's very easy
[00:03:21.700 --> 00:03:30.420]   to get caught up in the to's and fro's of today's news. But that, to my mind, is that's the single thing
[00:03:30.420 --> 00:03:40.180]   that struck me most in my visits there. It's just the people I've met who are fighting for a cause
[00:03:40.180 --> 00:03:48.260]   which, at that level, is unavoidable, undeniable. So, the thing that struck you that's different from
[00:03:48.260 --> 00:03:55.300]   the media turmoil is just the reality of war. Yeah, of course. I mean, you know, people who
[00:03:55.300 --> 00:04:04.340]   have either lived under Russian occupation from invading armies and then come back out into the
[00:04:04.340 --> 00:04:10.580]   world having been liberated as in late 2022, or the people now organized most recently there in recent
[00:04:10.580 --> 00:04:18.420]   weeks who were just getting on with their job as soldiers whilst the world was talking about them.
[00:04:18.420 --> 00:04:24.820]   When were you there? Early on in this escalated war of '22?
[00:04:24.820 --> 00:04:32.820]   Yes. First time I was with the Ukrainian armed forces when they retook Kurson. And I was back in recent
[00:04:32.820 --> 00:04:41.380]   weeks and was there when the Trump-Selensky blowup happened. In fact, I was in a Ukrainian dugout
[00:04:41.380 --> 00:04:50.660]   at the front lines when I was watching it. How's the morale? How's the way the content of the
[00:04:50.660 --> 00:04:57.460]   conversations you've heard different from the two visits separated by, I guess, two years?
[00:04:57.460 --> 00:05:08.980]   At one level, I mean, nothing has changed much. It's not a total standoff because intermittently
[00:05:08.980 --> 00:05:14.580]   each side gains territory from the others, but it's not. I mean, there have been no very significant
[00:05:14.580 --> 00:05:21.140]   military gains by either side in the interim period. I think my experience of the soldiers,
[00:05:21.140 --> 00:05:29.380]   the people of Ukraine early on in the war, there's an intense optimism about the outcomes of the war.
[00:05:29.380 --> 00:05:36.260]   There's a sense that they're going to win. And the definition of what "win" means was like
[00:05:36.260 --> 00:05:45.700]   all the territory is going to be won back. Yeah. I certainly, on the front lines facing Crimea,
[00:05:45.700 --> 00:05:51.380]   became quite familiar with people who thought that the Ukrainians in late 2022 would even be able to
[00:05:51.380 --> 00:05:57.140]   get Crimea back. And that struck me even at the time. And I said, I thought that that was an overreach.
[00:05:57.140 --> 00:06:07.460]   And now I think the people, the soldiers, at least in my experience when I visited a second time,
[00:06:07.460 --> 00:06:19.540]   are more exhausted. The morale, the dreams, the certainty of victory has maybe faded from the
[00:06:19.540 --> 00:06:23.780]   forefront of their minds. Well, three years of war will tire out anyone.
[00:06:23.780 --> 00:06:30.420]   What did you think of the blow up between Zelensky and Trump as you're sitting there in the dugout?
[00:06:30.420 --> 00:06:37.060]   Well, it was a very disturbing place to watch it from. Perhaps anywhere it would have been.
[00:06:37.060 --> 00:06:45.140]   And, I mean, obviously it was a meeting that shouldn't have happened. It was far too early.
[00:06:45.140 --> 00:06:50.340]   Why do you think so? There's not enough actual pathways to peace on the table?
[00:06:50.340 --> 00:06:54.420]   Well, I think the mineral deal, I mean, I love the fact that everyone's now an expert in
[00:06:54.420 --> 00:06:57.220]   Eastern Ukrainian mineral deposits. But...
[00:06:57.220 --> 00:07:01.780]   I think as I've learned, and we'll talk about Israel and Palestine, I'm learning that everybody's an
[00:07:01.780 --> 00:07:07.060]   expert on geopolitics and history of war on the internet. And now mineral deposits, obviously.
[00:07:07.060 --> 00:07:12.900]   Yes. And I'm really speaking at the edge of my mineral deposit knowledge here.
[00:07:12.900 --> 00:07:18.740]   Yeah. No, I mean, what I could see, the deal that the American administration was trying to
[00:07:19.620 --> 00:07:28.580]   get the Ukrainian government to sign. It was sort of too early, too forced. The Ukrainians were ready to
[00:07:28.580 --> 00:07:35.380]   sign a deal, but were obviously under intense pressure. And I think certainly Zelensky wasn't
[00:07:35.380 --> 00:07:45.460]   actually expecting to go until pretty much the day before. He was obviously visibly tired and exhausted,
[00:07:45.460 --> 00:07:52.100]   again, as you are after that amount of pressure for that long time. And no, I mean, the thing that struck
[00:07:52.100 --> 00:07:57.940]   me, and I said this in my column in the New York Post from there, that the thing that struck me was I said
[00:07:57.940 --> 00:08:06.820]   to some of the soldiers I was with, "What do you make of this?" And one of them just said to me,
[00:08:08.100 --> 00:08:14.660]   "Well, we're advised not to follow too closely the ins and outs of the politics of this." But of course,
[00:08:14.660 --> 00:08:20.740]   everyone has Instagram or scrolls and among dog pictures and the hot women or whatever is
[00:08:20.740 --> 00:08:30.100]   what happened in the Oval. But what struck me was this same guy and saying, "I've got a job to do."
[00:08:30.100 --> 00:08:43.700]   Right. And there's a clarity and a wisdom to that. But your job is bigger than that, right? It's to
[00:08:43.700 --> 00:08:48.900]   understand the politics as well. And what do you think about the politics of that moment? Because
[00:08:48.900 --> 00:08:56.020]   that was a real opportunity to come together and make progress on peace, right? And it, by all accounts,
[00:08:57.140 --> 00:09:02.340]   was not a successful step forward. I don't think by any account, it was a successful step forward,
[00:09:02.340 --> 00:09:11.620]   unless to some extent it was a play, but from DC to say to Putin, "Look, we've daft off Zelensky and
[00:09:11.620 --> 00:09:21.300]   now give us something." That's the only remedial idea I have about what might have been behind it.
[00:09:22.100 --> 00:09:33.940]   But I think it was just one of those extremely awful political moments. Zelensky was obviously deeply
[00:09:33.940 --> 00:09:44.260]   irritated by the interpretation of the war that he was hearing from Washington. It was only a week after
[00:09:44.260 --> 00:09:52.500]   the Trump comments about Zelensky being a dictator, and people in the administration implying that
[00:09:52.500 --> 00:10:01.620]   Ukraine has started the war. And I think that must be, for Zelensky, a pretty Alice in Wonderland
[00:10:01.620 --> 00:10:09.460]   situation to be in. And I had significant sympathy for him in finding it bewildering,
[00:10:10.660 --> 00:10:18.180]   because it would be bewildering. I think the sad thing to me also, on the mundane details of that
[00:10:18.180 --> 00:10:23.940]   meeting, and just the unfortunate way that meetings happen, I think it's true that he was also exhausted.
[00:10:23.940 --> 00:10:24.500]   Yes.
[00:10:24.500 --> 00:10:31.620]   There was a dickhead of a reporter that was asked a question about outfit in a way that,
[00:10:31.620 --> 00:10:37.860]   listen, Zelensky, everybody has their strengths and weaknesses. He's an emotional being, for better or
[00:10:37.860 --> 00:10:42.260]   for worse. And there's a dumb dickhead of a reporter.
[00:10:42.260 --> 00:10:43.860]   Marjorie Taylor Greene's boyfriend.
[00:10:43.860 --> 00:10:44.980]   Oh, right.
[00:10:44.980 --> 00:10:45.460]   He is.
[00:10:45.460 --> 00:10:46.340]   Yeah.
[00:10:46.340 --> 00:10:49.060]   The things you know. See, you're a real journalist.
[00:10:49.780 --> 00:10:54.260]   He's from one of the new, I'm all for opening up the White House press pool and all that sort of
