
[00:00:00.000 --> 00:00:06.980]   I have slides. So crazy concept, these slides are not my slides. These slides are actually
[00:00:06.980 --> 00:00:13.940]   chat GPT agent. I threw in the paper, asked it to make slides. Slides kind of sucked. So I
[00:00:13.940 --> 00:00:19.360]   told it. Basically, I was like, oh, easy. I decided to read this like less than 12 hours ago,
[00:00:19.360 --> 00:00:23.840]   but it's okay. There's a third paper I was going to do, but I figured these two are actually kind
[00:00:23.840 --> 00:00:32.020]   of long. It spent 12 minutes of a lot of compute. It gave me a decent summary. So first, I actually
[00:00:32.020 --> 00:00:37.800]   ran another prompt sending the paper just through 03, got a summary. This summary is kind of good.
[00:00:37.800 --> 00:00:42.880]   Like this is chat GPT agent, which is a separate model. First time using it. It's a pretty good
[00:00:42.880 --> 00:00:48.800]   summary. Then it did its whole bullshit of making me slides. Oh, I think you can see it. It's kind
[00:00:48.800 --> 00:00:54.100]   of cool. Here's like the little video of it searching stuff. It struggled. It clearly
[00:00:54.100 --> 00:00:59.000]   misspecified stuff, but you know, here's it trying to make me slides. 12 minutes later,
[00:00:59.000 --> 00:01:05.800]   I got some pretty mid slides. Then I was like, okay, I'm set. I win. Then I read the paper and I was like,
[00:01:05.800 --> 00:01:10.400]   oh, these slides are kind of made, you know, you need to actually add in visuals, charts, examples,
[00:01:10.400 --> 00:01:17.540]   show prompts of their experiments. So yeah, this is still pretty AI slop, honestly. So we're going to go
[00:01:17.540 --> 00:01:25.360]   back to my actual style of paper highlighted, you know, crazy concept. Let's actually start with the
[00:01:25.360 --> 00:01:33.280]   other one. One sec. Where, where is this? So this one, subliminal learning. Is this the other one?
[00:01:33.280 --> 00:01:40.800]   This is the other one. So we'll, we'll, we'll try both. We'll try, we'll try the slop slides and we'll
[00:01:40.800 --> 00:01:45.980]   try just paper. Cause I think there's a lot of stuff in the paper that the model didn't get.
[00:01:46.280 --> 00:01:52.880]   Uh, if anyone wants to, if anyone wants to pop in, you know, questions, thoughts, comments, if you read
[00:01:52.880 --> 00:01:58.900]   the paper, let me know. We can always, we can always stop and pause. This paper is more like
[00:01:58.900 --> 00:02:03.980]   collaborative, you know, it's nothing crazy. The, the, one of them has like a very deep mathematical
[00:02:03.980 --> 00:02:10.980]   proof and guess what? I'm, I'm not going to go over that proof. Um, but yeah, we have, we have some form of
[00:02:10.980 --> 00:02:16.280]   slides. Uh, there's, there's kind of a few hot takes in these papers. So let's actually start off
[00:02:16.280 --> 00:02:21.300]   by just looking at them. So the first paper and just, just to recap, this is from mostly the
[00:02:21.300 --> 00:02:27.740]   Anthropic fellows program. So if you don't know what that is, uh, Anthropic fellows, uh, this is the
[00:02:27.740 --> 00:02:33.680]   Anthropic fellows program. So it's like a sort of internship. They just relaunched, um, their application
[00:02:33.680 --> 00:02:39.860]   yesterday. So they basically pair you up. It's like, I think now it's 32 fellows. You work on
[00:02:39.860 --> 00:02:45.380]   something that's like mecanterp AI safety, whatever they pay, they pay you up with people. You get a
[00:02:45.380 --> 00:02:53.000]   2k month, 2k weekly stipend. Um, and then you have like, I think now it's $15,000 of compute, um, 2025.
[00:02:53.000 --> 00:03:01.720]   There it is. Um, nope, that's not it. GG, but they've, they've redone it. Here it is. Um,
[00:03:01.720 --> 00:03:08.380]   Anthropic fellows program. You should check it out. Apply in the next two weeks. You get a stipend,
[00:03:08.380 --> 00:03:13.140]   you get a pretty big research grant, you get benefits. Um, these are some of the mentors.
[00:03:13.140 --> 00:03:19.200]   We had a manual on our podcast. Very good. Yep. If you want to learn about, um, um, mecanterp,
[00:03:19.200 --> 00:03:24.460]   but yeah, basically you, you join for two months, you work on a project. And then if you're doing
[00:03:24.460 --> 00:03:30.540]   good, you can extend for four more months. You have like a $15,000 research budget for compute and stuff,
[00:03:30.540 --> 00:03:36.340]   but it's pretty cool. Interview process pretty long, but, um, here they are, these are papers that came
[00:03:36.340 --> 00:03:43.020]   out of their, um, fellow program. They're, they're pretty cool. I would recommend. So the first one
[00:03:43.020 --> 00:03:49.800]   is about inverse scaling and test time compute is basically where, um, you know, we, we have this
[00:03:49.800 --> 00:03:56.560]   wrong, wrong thing. We have this, um, move this stuff real quick. We have this concept that, you know,
[00:03:56.560 --> 00:04:03.500]   okay, instead of pre-training models, instead of having model get big, how about we scale the reasoning
[00:04:03.500 --> 00:04:08.580]   domain, right? We have models think for longer and you would expect better performance when I've opened
[00:04:08.580 --> 00:04:14.520]   slack. Instead of that, um, they find this inverse relationship. So there's an inverse relationship
[00:04:14.520 --> 00:04:19.700]   between test time compute and accuracy. They, they do evaluations across four domains. It's basically
[00:04:19.700 --> 00:04:25.800]   like puzzles and stuff. And they add like distractions, uh, random little features. And then they find that,
[00:04:25.800 --> 00:04:31.340]   you know, models start to struggle. And the more they reason, they sometimes go off path. They think
[00:04:31.360 --> 00:04:36.680]   of random shit and then they struggle. Um, still stuff like this, you know, you have a simple
[00:04:36.680 --> 00:04:41.640]   counting task. So you have an apple and an orange. The end question is calculate how many fruits you
[00:04:41.640 --> 00:04:47.560]   have. Simple answer, right? Two. Uh, but they add in a random like fact to make it reason more, which is
[00:04:47.560 --> 00:04:52.920]   your friend gives you a riddle saying there's 61% probability that there's exactly one red, delicious
[00:04:52.920 --> 00:04:58.940]   apple and one navel orange. Uh, you know, so the model or reason and think about this stupid stuff,
[00:04:58.940 --> 00:05:04.820]   but you know, it's just a distraction misleading Python, like same thing. Your, your friend gives
[00:05:04.820 --> 00:05:09.400]   you a stupid formula to calculate it, but you still just need, you know, the answer is it's pretty
[00:05:09.400 --> 00:05:15.880]   obvious. It's just two, um, other stuff here. So puzzles were interesting. You add random clues
[00:05:15.880 --> 00:05:20.900]   that are irrelevant to the puddle puzzle. So five people next to each other that have these
[00:05:20.900 --> 00:05:25.660]   characteristics. Uh, what's the position of the person that likes salmon? Uh, you don't really need
[00:05:25.660 --> 00:05:31.000]   to know that the person that likes pizza does not like this. If there's no relation, um,
[00:05:31.000 --> 00:05:35.840]   they run a bunch of tests. They see over different context length. They have different ways that they
[00:05:35.840 --> 00:05:42.120]   set up the scenario. How do we get models to think longer? Um, you know, some models have think budget.
[00:05:42.120 --> 00:05:47.980]   Some of them don't, some of them, you can add think tags. Basically, how does performance do over
[00:05:47.980 --> 00:05:52.740]   reasoning in the wrong, like, you know, reasoning with these problems. And then there's this inverse
[00:05:52.740 --> 00:05:59.520]   relationship. So we identify five distinct failure modes when models can reason for longer one cloud
[00:05:59.520 --> 00:06:06.160]   models become interesting, uh, increasingly distracted by irrelevant information, open AIO series models.
[00:06:06.160 --> 00:06:12.480]   They resist distractions, but they overfit the problem framings models ship from reasonable priors to
[00:06:12.480 --> 00:06:19.180]   spurious correlation. So they add like, you know, stuff like that. Um, models show difficulty in maintaining
[00:06:19.180 --> 00:06:25.560]   focus on complex deductive tasks and five extended reasoning may amplify concerning behavior. So a lot
[00:06:25.560 --> 00:06:29.840]   of this is like safety alignment pill. Then they talk a lot about the safety issues. Uh, but yeah,
[00:06:29.840 --> 00:06:35.640]   TLDR, you know, we think test time scaling, scaling for more reasoning is AGI, but they're like, actually,
[00:06:35.640 --> 00:06:41.860]   you know, as much as there's promising like capability improvement, it actually has,
[00:06:41.960 --> 00:06:50.580]   it can have an adversarial effect on performance. Um, the interesting thing here I found was they
[00:06:50.580 --> 00:06:56.240]   basically set up all this stuff. It's inspired by cloud code, by the way. So this is like, how do they
[00:06:56.240 --> 00:07:00.540]   set up their environments? There's overthinking, there's natural, there's controlled overthinking
[00:07:00.540 --> 00:07:11.040]   So like low, medium, high, um, you can ask for specific number of tokens. They like check. Okay.
[00:07:11.040 --> 00:07:15.060]   If we sample a bunch of times, does this actually lead to more thinking? Yes, it does. And they send
[00:07:15.060 --> 00:07:20.740]   their prompts. Then there's natural overthinking TLDR. Here's a cool chart of all this stuff. And this is
[00:07:20.740 --> 00:07:28.360]   where I was like, okay, you know, I have my AI slop slides. Uh, why did my AI slop not print this chart in?
[00:07:28.360 --> 00:07:33.280]   I even told it to go back and add these charts. AI slop stayed AI slop, and it did not give me a
[00:07:33.280 --> 00:07:40.380]   really good chart, but AI slop is AI slop. Uh, very interesting thing. So, um, this is scaling trends
[00:07:40.380 --> 00:07:47.240]   over performance over a long time. Uh, green arrow performance gets better as you reason longer. Uh,
[00:07:47.240 --> 00:07:52.780]   that red arrow means inverse relationship performance go down. What's interesting about this chart at first
[00:07:52.780 --> 00:07:59.380]   look? Open AI models on some of these do fine. When or one, they're doing fine. What's all red?
[00:07:59.380 --> 00:08:05.240]   Anthropic. Anthropic kind of got cooked. Um, yeah, there's a lot more red on these little puzzles.
[00:08:05.240 --> 00:08:12.060]   Anthropic had a pretty bad inverse relationship here, but high level in 10 minutes. That's what this paper
[00:08:12.060 --> 00:08:17.120]   is about. We'll come back to it in a bit. I don't really do two papers that often. Uh, they have other
[00:08:17.120 --> 00:08:23.440]   stuff about different lands, different, uh, topics, all of these, um, appendixes. They, they explain the
[00:08:23.440 --> 00:08:29.280]   prompts, how they do this stuff, but TLDR. Yeah. The performance on some of these things degrades.
[00:08:29.280 --> 00:08:33.820]   If you're really trying to get a five minute explainer, here's the stuff they do. Here's the
[00:08:33.820 --> 00:08:37.540]   regressions that happen with different levels of reasoning. And it, you know, the, the reasoning is
[00:08:37.540 --> 00:08:43.640]   it, it has things start to overthink themselves. Um, you know, recent work shows that large reasoning
[00:08:43.640 --> 00:08:49.240]   models start tend to over overthink. This leads to excess computation for, even for trivial queries
[00:08:49.240 --> 00:08:57.400]   for basic stuff, we don't really want thinking. So when 01 first came out, my like stupid troll brain
[00:08:57.400 --> 00:09:01.580]   was like, okay, so I run, I used to run this shitty alt account that would just hit on everything.
[00:09:01.580 --> 00:09:07.820]   And one of the things that I was like, okay, now, you know, open AI, they're pushing the cost onto us,
[00:09:07.820 --> 00:09:12.440]   right? Instead of making a better model, instead of them spending the money to pre-train AGI,
[00:09:12.440 --> 00:09:16.640]   they're going to make us pay more for reasoning for the same stuff. Like, I don't want to ask,
[00:09:16.640 --> 00:09:22.400]   uh, you know, how many calories are in a can of Coke and have to have it reason through and search
[00:09:22.400 --> 00:09:27.020]   the web and pay all these extra tokens. And now my, my stupid answer is basically, you know,
[00:09:27.020 --> 00:09:32.420]   we're cooked. Open AI can't get to AGI. Instead, they're making models think for longer and longer.
[00:09:32.420 --> 00:09:36.560]   This is our cash out strategy. They're gonna, they're gonna make us pay for all this overthinking
[00:09:36.560 --> 00:09:40.580]   over tool use. And they're, they're just cashing out on us, but not, not seriously, you know,
[00:09:40.580 --> 00:09:47.200]   but, um, yeah, models are overthinking and this can lead to performance degradation in stuff like this.
[00:09:47.200 --> 00:09:57.400]   The contrary also exists to, um, like deep seek R1 had a revision in June and they basically doubled
[00:09:57.400 --> 00:10:02.160]   the thinking budget and they show performance increase, but you know, that doesn't mean that
[00:10:02.160 --> 00:10:07.080]   there isn't regression on stuff. And like this, this paper has a lot more to it, but that's,
[00:10:07.080 --> 00:10:11.260]   that's kind of some of the high level that they can, they can add little stupid facts and derail it
