
[00:00:00.000 --> 00:00:08.440]   [MUSIC PLAYING]
[00:00:08.440 --> 00:00:09.140]   Hello, everybody.
[00:00:09.140 --> 00:00:11.600]   It's Sam from the Financial Samurai podcast.
[00:00:11.600 --> 00:00:13.080]   And in this episode, I want to talk
[00:00:13.080 --> 00:00:16.880]   about overcoming your fear of investing
[00:00:16.880 --> 00:00:19.720]   by coming up with an investment thesis.
[00:00:19.720 --> 00:00:24.040]   I've been investing since 1996, when I had my first Ameritrade
[00:00:24.040 --> 00:00:25.000]   account.
[00:00:25.000 --> 00:00:27.800]   Made some money, lost a bunch of money,
[00:00:27.800 --> 00:00:30.920]   made a lot of money during the first dot-com boom,
[00:00:30.920 --> 00:00:33.840]   and then subsequently lost a lot of money.
[00:00:33.840 --> 00:00:36.160]   So I've been going up and down this roller
[00:00:36.160 --> 00:00:38.040]   coaster for a while now.
[00:00:38.040 --> 00:00:40.800]   But thankfully, thanks to the bull market,
[00:00:40.800 --> 00:00:43.280]   it's generally gone well.
[00:00:43.280 --> 00:00:45.680]   Now over time, over the years since I
[00:00:45.680 --> 00:00:48.600]   started writing on Financial Samurai in 2009,
[00:00:48.600 --> 00:00:52.720]   I have noticed some people who are unwilling to put
[00:00:52.720 --> 00:00:56.700]   their capital into risk assets like stocks, real estate,
[00:00:56.700 --> 00:01:00.680]   or any other type of asset that has no guaranteed return.
[00:01:00.680 --> 00:01:04.560]   As a result, over time, they fall behind inflation.
[00:01:04.560 --> 00:01:09.080]   Inflation has been recently running at about 3%, 3.5%.
[00:01:09.080 --> 00:01:12.880]   It was as high as 9.1% in mid-2022.
[00:01:12.880 --> 00:01:15.680]   So over time, the value of your cash,
[00:01:15.680 --> 00:01:20.480]   which generally pays less than inflation, gets whittled away.
[00:01:20.480 --> 00:01:21.720]   And that's not good.
[00:01:21.720 --> 00:01:25.520]   Inflation right now is probably a top three financial issue
[00:01:25.520 --> 00:01:27.160]   for the American public.
[00:01:27.160 --> 00:01:29.440]   And the only way to overcome inflation
[00:01:29.440 --> 00:01:33.640]   is by investing long-term in risk assets such as stocks,
[00:01:33.640 --> 00:01:34.900]   real estate, and more.
[00:01:34.900 --> 00:01:37.880]   When I was in my 20s and early 30s,
[00:01:37.880 --> 00:01:43.640]   I was a very active trader, wild trader, undisciplined trader.
[00:01:43.640 --> 00:01:47.240]   If I saw a 10% gain, oftentimes I would just sell.
[00:01:47.240 --> 00:01:50.040]   And then I would pay short-term capital gains tax.
[00:01:50.040 --> 00:01:54.080]   And then over time, after I racked up many, many trades
[00:01:54.080 --> 00:01:56.280]   and also had to do my taxes at the end of the year
[00:01:56.280 --> 00:01:57.900]   where I had to consolidate those trades
[00:01:57.900 --> 00:01:59.360]   and see how much I made and lost,
[00:01:59.360 --> 00:02:02.520]   I realized I was wasting a lot of time
[00:02:02.520 --> 00:02:04.320]   going in and out of securities.
[00:02:04.320 --> 00:02:05.400]   Sometimes I made money.
[00:02:05.400 --> 00:02:06.720]   Sometimes I lost money.
[00:02:06.720 --> 00:02:08.000]   Or sometimes I just broke even.
[00:02:08.000 --> 00:02:09.360]   What a waste of time.
[00:02:09.360 --> 00:02:11.200]   And it was a career-limiting move for me
[00:02:11.200 --> 00:02:13.560]   because instead of focusing on my job,
[00:02:13.560 --> 00:02:15.720]   I was almost hooked to trading in the markets
[00:02:15.720 --> 00:02:17.680]   because I was sitting on the trading floor.
[00:02:17.680 --> 00:02:21.480]   Over time, I learned to buy and hold
[00:02:21.480 --> 00:02:24.720]   because as the old saying goes, time in the market
[00:02:24.720 --> 00:02:26.440]   is better than timing the market.
[00:02:26.440 --> 00:02:29.880]   I learned this the hard way through admonishments
[00:02:29.880 --> 00:02:33.160]   by my manager, who came out from New York City and asked,
[00:02:33.160 --> 00:02:34.360]   what the hell are you doing?
[00:02:34.360 --> 00:02:35.660]   You've got to focus on your job.
[00:02:35.660 --> 00:02:37.120]   I see all your trades.
[00:02:37.120 --> 00:02:37.880]   Focus.
[00:02:37.880 --> 00:02:41.440]   And it took a lot of energy to focus,
[00:02:41.440 --> 00:02:44.200]   probably because I was hooked.
