
[00:00:00.000 --> 00:00:06.160]   Welcome back everyone.
[00:00:06.160 --> 00:00:09.600]   This is part 3 in our series on contextual representations.
[00:00:09.600 --> 00:00:12.040]   We have a bunch of famous transformer-based
[00:00:12.040 --> 00:00:14.480]   architectures that we're going to talk about a bit later.
[00:00:14.480 --> 00:00:15.800]   But before doing that,
[00:00:15.800 --> 00:00:18.600]   I thought it would be good to pause and just reflect
[00:00:18.600 --> 00:00:21.480]   a little bit on this important notion of positional encoding.
[00:00:21.480 --> 00:00:23.200]   This is an idea that I feel
[00:00:23.200 --> 00:00:25.320]   the field took for granted for too long.
[00:00:25.320 --> 00:00:27.440]   I certainly took it for granted for too long.
[00:00:27.440 --> 00:00:31.000]   I think we now see that this is a crucial factor
[00:00:31.000 --> 00:00:34.360]   in shaping the performance of transformer-based models.
[00:00:34.360 --> 00:00:36.840]   Let's start by reflecting on the role of
[00:00:36.840 --> 00:00:39.520]   positional encoding in the context of the transformer.
[00:00:39.520 --> 00:00:41.760]   I think the central observation is that
[00:00:41.760 --> 00:00:45.460]   the transformer itself has only a very limited capacity
[00:00:45.460 --> 00:00:47.380]   to keep track of word order.
[00:00:47.380 --> 00:00:50.720]   The attention mechanisms are themselves not directional,
[00:00:50.720 --> 00:00:52.720]   it's just a bunch of dot products.
[00:00:52.720 --> 00:00:56.560]   There are no other interactions between the columns.
[00:00:56.560 --> 00:01:00.680]   We are in grave danger of losing track of the fact that
[00:01:00.680 --> 00:01:06.120]   the input sequence ABC is different from the input sequence CBA.
[00:01:06.120 --> 00:01:09.280]   Positional encodings will ensure that we retain
[00:01:09.280 --> 00:01:12.040]   a difference between those two sequences no matter what we
[00:01:12.040 --> 00:01:15.880]   do with the representations that come from the model.
[00:01:15.880 --> 00:01:18.400]   Secondarily, there's another purpose that
[00:01:18.400 --> 00:01:21.300]   positional encodings play which is hierarchical.
[00:01:21.300 --> 00:01:23.280]   They've been used to keep track of things like
[00:01:23.280 --> 00:01:26.380]   premise hypothesis in natural language inference.
[00:01:26.380 --> 00:01:28.740]   That was an important feature of the BERT model
[00:01:28.740 --> 00:01:31.960]   that we'll talk about a bit later in the series.
[00:01:31.960 --> 00:01:34.400]   I think there are a lot of perspectives that you
[00:01:34.400 --> 00:01:36.580]   could take on positional encoding.
[00:01:36.580 --> 00:01:38.680]   To keep things simple, I thought I would center
[00:01:38.680 --> 00:01:41.900]   our discussion around two crucial questions.
[00:01:41.900 --> 00:01:44.360]   The first is, does the set of
[00:01:44.360 --> 00:01:47.860]   positions need to be decided ahead of time?
[00:01:47.860 --> 00:01:51.640]   The second is, does the positional encoding scheme
[00:01:51.640 --> 00:01:55.200]   hinder generalization to new positions?
[00:01:55.200 --> 00:01:57.960]   I think those are good questions to guide us.
[00:01:57.960 --> 00:02:02.080]   One other rule that I wanted to introduce is the following.
[00:02:02.080 --> 00:02:04.880]   Modern transformer architectures might impose
[00:02:04.880 --> 00:02:06.900]   a max length on sequences for
[00:02:06.900 --> 00:02:10.520]   many reasons related to how they were designed and optimized.
[00:02:10.520 --> 00:02:14.220]   I would like to set all of that aside and just ask whether
[00:02:14.220 --> 00:02:18.060]   the positional encoding scheme itself is imposing
[00:02:18.060 --> 00:02:20.360]   anything about length generalization separately
[00:02:20.360 --> 00:02:23.280]   from all that other stuff that might be happening.
[00:02:23.280 --> 00:02:26.300]   Let's start with absolute positional encoding.
[00:02:26.300 --> 00:02:29.520]   This is the scheme that we have talked about so far.
[00:02:29.520 --> 00:02:32.760]   On this scheme, we have word representations,
[00:02:32.760 --> 00:02:35.560]   and we also have positional representations that we have
[00:02:35.560 --> 00:02:39.100]   learned corresponding to some fixed number of dimensions.
[00:02:39.100 --> 00:02:43.220]   To get our position-sensitive word representation,
[00:02:43.220 --> 00:02:47.780]   we simply add together the word vector with the position vector.
[00:02:47.780 --> 00:02:51.580]   How is this scheme doing for our two crucial questions?
[00:02:51.580 --> 00:02:53.160]   Well, not so well.
[00:02:53.160 --> 00:02:55.280]   First, obviously, the set of
[00:02:55.280 --> 00:02:58.160]   positions needs to be decided ahead of time.
[00:02:58.160 --> 00:02:59.700]   When we set up our model,
[00:02:59.700 --> 00:03:01.640]   we will have some embedding space,
[00:03:01.640 --> 00:03:04.180]   maybe up to 512.
[00:03:04.180 --> 00:03:06.000]   If we picked 512,
[00:03:06.000 --> 00:03:08.440]   when we hit position 513,
[00:03:08.440 --> 00:03:13.860]   we will not have a positional representation for that position.
[00:03:13.860 --> 00:03:17.520]   I also think it's clear that this scheme can
[00:03:17.520 --> 00:03:20.400]   hinder generalization to new positions
[00:03:20.400 --> 00:03:22.900]   even for familiar phenomena.
[00:03:22.900 --> 00:03:26.400]   Just consider the fact that the rock as a phrase,
[00:03:26.400 --> 00:03:28.620]   if it occurs early in the sequence,
[00:03:28.620 --> 00:03:31.240]   is simply a different representation than
[00:03:31.240 --> 00:03:34.520]   the rock if it appears later in the sequence.
[00:03:34.520 --> 00:03:38.440]   There will be some shared features across these two as a result of
[00:03:38.440 --> 00:03:42.520]   the fact that we have two word vectors involved in both places.
[00:03:42.520 --> 00:03:45.480]   But we add in those positional representations
[00:03:45.480 --> 00:03:48.000]   as equal partners in this representation,
[00:03:48.000 --> 00:03:51.880]   and I think the result is very heavy-handed when it comes to
[00:03:51.880 --> 00:03:55.600]   learning representations that are heavily position-dependent.
[00:03:55.600 --> 00:03:59.040]   That could make it hard for the model to see that in some sense,
[00:03:59.040 --> 00:04:01.840]   the rock is the same phrase whether it's at
