
[00:00:00.040 --> 00:00:10.660]   end
[00:00:57.540 --> 00:01:25.560]   "They celebrate excellence in warfare. Many of the leaders were excellent generals, that kind of thing. They were great leaders. They were great warriors. They were great soldiers. They were great soldiers. They were great soldiers. They were great soldiers. They were great soldiers."
[00:01:25.560 --> 00:01:25.560]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:25.560 --> 00:01:25.560]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:25.560 --> 00:01:25.560]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:25.560 --> 00:01:25.560]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:25.560 --> 00:01:25.560]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:25.560 --> 00:01:25.560]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:25.560 --> 00:01:25.560]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:25.600 --> 00:01:40.600]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:40.600 --> 00:01:40.600]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:40.600 --> 00:01:40.600]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:40.600 --> 00:01:40.600]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:40.600 --> 00:01:40.600]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:40.600 --> 00:01:40.600]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:40.600 --> 00:01:41.600]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:41.600 --> 00:01:42.600]   "They celebrate excellence in warfare. Many of the leaders were excellent generals. That kind of thing."
[00:01:42.600 --> 00:01:50.600]   "They celebrate excellence in the human nature. Many of the leaders were excellent
[00:01:50.600 --> 00:01:52.600]   "They have somehow controversially been a
[00:01:52.600 --> 00:01:54.340]   you have a proper and you have a
[00:01:54.440 --> 00:02:24.380]  , you have a proper and you have a proper
[00:02:24.380 --> 00:02:24.380]   I mean, I'm generally a proponent of peace. I mean,
[00:02:24.400 --> 00:02:40.520]   So it's not like, you know, we're unusual in that respect."
[00:02:40.520 --> 00:02:40.520]   "So it's not like, you know, we're unusual in that respect."
[00:02:40.520 --> 00:02:42.420]   "So it's not like, you know, we're unusual in that respect." "There's a relevant question here, whether
[00:02:42.420 --> 00:02:42.420]   there's a relevant question here, whether
[00:02:42.420 --> 00:02:45.420]   there's a relevant question here, whether with greater intelligence comes greater
[00:02:45.420 --> 00:02:45.420]   with greater intelligence comes greater
[00:02:45.420 --> 00:02:47.420]   with greater intelligence comes greater control over these base instincts
[00:02:47.420 --> 00:02:47.420]   control over these base instincts
[00:02:47.420 --> 00:02:49.420]   control over these base instincts for violence."
[00:02:49.420 --> 00:02:49.420]   for violence."
[00:02:49.420 --> 00:02:52.420]   for violence." "Yes, we have much more of an ability
[00:02:52.420 --> 00:02:52.420]   "Yes, we have much more of an ability
[00:02:52.420 --> 00:02:54.420]   "Yes, we have much more of an ability to control our
[00:02:54.420 --> 00:02:54.420]   "Yes, we have much more of an ability to control our
[00:02:54.420 --> 00:02:54.420]   "Yes, we have much more of an ability to control our
[00:02:55.360 --> 00:03:17.460]   "Yes, we have much more of an ability to control our
[00:03:17.460 --> 00:03:17.460]   to control our
[00:03:17.460 --> 00:03:24.460]   to control our instincts."
[00:03:24.460 --> 00:03:24.460]   It's a very important aspect of the way that we're doing.
[00:03:24.460 --> 00:03:24.460]   It's a very important aspect of the way that we're doing.
[00:03:24.480 --> 00:03:32.500]   "The Romans had just war. There's no just war in chimpanzee societies. Is war and dominance by any means necessary?"
[00:03:32.500 --> 00:03:32.500]   "The Romans had just war. There's no just war in chimpanzee societies. Is war and dominance by any means necessary?"
[00:03:32.500 --> 00:03:33.500]   "The Romans had just war. There's no just war in chimpanzee societies. Is war and dominance by any means necessary?"
[00:03:33.500 --> 00:03:34.500]   "Yeah, chimpanzee society is like a
[00:03:34.500 --> 00:03:34.500]   "Yeah, chimpanzee society is like a
[00:03:34.500 --> 00:03:36.500]   "Yeah, chimpanzee society is like a primitive version of human society.
[00:03:36.500 --> 00:03:36.500]   primitive version of human society.
[00:03:36.500 --> 00:03:38.500]   primitive version of human society. They're not like peace-loving, basically,
[00:03:38.500 --> 00:03:38.500]   They're not like peace-loving, basically,
[00:03:38.500 --> 00:03:40.500]   They're not like peace-loving, basically, at all. There's extreme violence.
[00:03:40.500 --> 00:03:40.500]   at all. There's extreme violence.
[00:03:40.520 --> 00:04:00.540]   And then once in a while, somebody who's watched too many Disney movies decides to raise a chimpanzee as a pet.
[00:04:00.540 --> 00:04:01.540]   And then once in a while, somebody who's watched too many Disney movies decides to raise a chimpanzee as a pet.
[00:04:01.540 --> 00:04:02.540]   And then that eats their face or rips their nuts off or chews their fingers off, that kind of thing.
[00:04:02.540 --> 00:04:02.540]   And then that eats their face or rips their nuts off or chews their fingers off, that kind of thing.
[00:04:02.540 --> 00:04:03.540]   And then that eats their face or rips their nuts off or chews their fingers off, that kind of thing.
[00:04:03.540 --> 00:04:04.540]   It's happened several times.
[00:04:04.540 --> 00:04:04.540]   It's happened several times.
[00:04:04.540 --> 00:04:04.540]   It's happened several times.
[00:04:04.540 --> 00:04:05.540]   Ripping your nuts off is an interesting strategy for interaction.
[00:04:05.540 --> 00:04:05.540]   Ripping your nuts off is an interesting strategy for interaction.
[00:04:05.540 --> 00:04:06.540]   Ripping your nuts off is an interesting strategy for interaction.
[00:04:06.640 --> 00:04:33.580]  , but the other chump doesn't contribute to the gene pool.
[00:04:33.580 --> 00:04:34.580]   Well, from a martial arts perspective, it's a fascinating strategy.
[00:04:34.580 --> 00:04:35.580]   The nut ripper.
[00:04:35.580 --> 00:04:36.580]   I wonder which of the martial arts teaches that.
[00:04:36.580 --> 00:04:36.580]   I think it's safe to say if somebody's got your nuts in their hands.
[00:04:36.580 --> 00:04:36.580]  , as the option of ripping them off, you will be amenable to whatever they want.
[00:04:36.580 --> 00:04:36.580]  , but like I said, somehow controversially, you've been a proponent of a proponent of a chimp,
[00:04:36.600 --> 00:05:06.620]   who's the one who's been talking about this for a long time, and you're not going to get
[00:05:06.620 --> 00:05:06.620]   The chimp is a chimp.
[00:05:06.620 --> 00:05:06.620]   The chimp is a chimp.
[00:05:06.620 --> 00:05:06.620]   So you're not going to get the chimp.
[00:05:06.620 --> 00:05:06.620]   It's a chimp.
[00:05:06.620 --> 00:05:06.620]   It's a chimp.
[00:05:06.620 --> 00:05:06.620]   It's a chimp.
[00:05:06.620 --> 00:05:06.620]   So you're not going to get the chimp.
[00:05:06.620 --> 00:05:06.620]   So you're not going to get the chimp.
[00:05:06.620 --> 00:05:06.620]   So you're not going to get the chimp.
[00:05:06.620 --> 00:05:06.620]   So you're not going to get the chimp.
[00:05:06.620 --> 00:05:06.620]   So you're not going to get the chimp.
[00:05:06.620 --> 00:05:06.620]   So you're not going to get the chimp.
[00:05:06.620 --> 00:05:06.620]   So you're not going to get the chimp.
[00:05:06.620 --> 00:05:06.620]   So you're not going to get the chimp.
[00:05:06.620 --> 00:05:06.620]   So you're not going to get the chimp. So you're not going to get the chimp.
[00:05:07.560 --> 00:05:36.660]  ,
[00:05:36.660 --> 00:05:36.660]   So you're not going to get the chimp.
[00:05:36.660 --> 00:05:36.660]   So you're not going to get the chimp.
[00:05:36.660 --> 00:05:36.660]   So you're not going to get the chimp.
[00:05:36.660 --> 00:05:36.660]   So you're not going to get the chimp.
[00:05:36.660 --> 00:05:36.660]   So you're not going to get the chimp.
[00:05:36.660 --> 00:05:36.660]   So you're not going to get the chimp.
[00:05:36.660 --> 00:05:36.660]   So you're not going to get the chimp.
[00:05:36.660 --> 00:05:36.660]   So you're not going to get the chimp.
[00:05:36.680 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
