
[00:00:00.000 --> 00:00:04.920]   [MUSIC]
[00:00:04.920 --> 00:00:07.680]   In episode 92, we talked about a recent event in the news.
[00:00:07.680 --> 00:00:10.840]   NBA star Jason Collins came out and announced that he's gay,
[00:00:10.840 --> 00:00:14.240]   becoming the first openly gay professional athlete in American team sports,
[00:00:14.240 --> 00:00:15.880]   at least in male sports.
[00:00:15.880 --> 00:00:17.800]   And he also claims to be a Christian.
[00:00:17.800 --> 00:00:22.520]   That same day, ESPN analyst Chris Broussard responded by saying, quote,
[00:00:22.520 --> 00:00:26.000]   if you're openly living in unrepentant sin, whatever it may be,
[00:00:26.000 --> 00:00:30.800]   not just homosexuality, I believe that's walking in open rebellion to God and
[00:00:30.800 --> 00:00:33.200]   to Jesus Christ, end quote.
[00:00:33.200 --> 00:00:37.720]   For this statement, Broussard got called things like unkind, hateful, abusive,
[00:00:37.720 --> 00:00:39.200]   a bigot, and intolerant.
[00:00:39.200 --> 00:00:41.320]   So here's the follow up question, Pastor John.
[00:00:41.320 --> 00:00:45.480]   Is this hostile response to Broussard for calling homosexuality a sin and
[00:00:45.480 --> 00:00:49.880]   an offense to God a sign of things to come in the United States?
[00:00:49.880 --> 00:00:55.760]   >> It is a sign of things to come, though I want to be very careful not
[00:00:55.760 --> 00:01:05.760]   to presume that I know the final outcome in this century or the next.
[00:01:05.760 --> 00:01:10.640]   Meaning, I do think there is biblical warrant and
[00:01:10.640 --> 00:01:14.440]   cultural warrant to expect things to get worse.
[00:01:14.440 --> 00:01:20.480]   In other words, expect more sin to be flaunted more openly and
[00:01:20.480 --> 00:01:24.960]   more biblical truth to be criticized more severely.
[00:01:24.960 --> 00:01:28.760]   I think that's very, very likely.
[00:01:28.760 --> 00:01:33.920]   But that doesn't say anything about whether God might step in
[00:01:33.920 --> 00:01:40.040]   at the very darkest hour and pour out his Holy Spirit upon his church and
[00:01:40.040 --> 00:01:44.880]   then upon the world through his church and call people to repentance such that
[00:01:44.880 --> 00:01:48.520]   a stunning awakening and turning happens.
[00:01:48.520 --> 00:01:53.320]   So when I say yes, I think things are going to get worse.
[00:01:53.320 --> 00:01:58.200]   I don't hold that long term with any great conviction because I don't know what
[00:01:58.200 --> 00:02:02.280]   God's plan is in this age short of the second coming.
[00:02:02.280 --> 00:02:07.360]   But it might be helpful for me to give the biblical reason why I think
[00:02:07.360 --> 00:02:08.440]   things are going to get worse.
[00:02:08.440 --> 00:02:12.960]   It says in Jude 1, you must remember, beloved,
[00:02:12.960 --> 00:02:18.040]   the predictions of the apostles of the Lord when they said,
[00:02:18.040 --> 00:02:24.520]   in the last time there will be scoffers following their own ungodly passions.
[00:02:24.520 --> 00:02:27.720]   Now, I know that we live in the last times already, but
[00:02:27.720 --> 00:02:33.080]   they're picturing a significant, it seems,
[00:02:33.080 --> 00:02:38.680]   outcropping of scoffing kind of ungodly
[00:02:38.680 --> 00:02:42.680]   giving over of yourself to passions near the end of time.
[00:02:42.680 --> 00:02:48.400]   Or 2 Timothy, the time is coming when people will not endure sound teaching,
[00:02:48.400 --> 00:02:52.280]   but having itching ears, they will accumulate for themselves teachers to suit
[00:02:52.280 --> 00:02:56.080]   their own passions and will turn away from listening to the truth and
[00:02:56.080 --> 00:02:58.560]   wander off into myths.
[00:02:58.560 --> 00:03:03.480]   So Paul saw a time coming when that would be worse than it was in his
[00:03:03.480 --> 00:03:06.160]   own time, even though it was bad then.
[00:03:06.160 --> 00:03:10.400]   Same thing in 2 Thessalonians, that there's a man of lawlessness coming
[00:03:10.400 --> 00:03:14.560]   by the activity of Satan with power and false signs and wonders and
[00:03:14.560 --> 00:03:16.120]   wicked deception.
[00:03:16.120 --> 00:03:21.720]   So I think that the picture in the Bible is that toward the end of this age,
[00:03:21.720 --> 00:03:24.040]   things get really bleak.
