
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.840]   - Welcome to the "Bogleheads" chapter series.
[00:00:08.840 --> 00:00:10.520]   This episode was jointly hosted
[00:00:10.520 --> 00:00:12.560]   by the Minnesota and Detroit chapters
[00:00:12.560 --> 00:00:15.560]   and recorded March 27th, 2021.
[00:00:15.560 --> 00:00:18.480]   It features Mike Piper, the oblivious investor,
[00:00:18.480 --> 00:00:20.440]   discussing social security claiming
[00:00:20.440 --> 00:00:22.440]   and portfolio management.
[00:00:22.440 --> 00:00:23.920]   Bogleheads are investors who follow
[00:00:23.920 --> 00:00:25.640]   John Bogle's investing philosophy
[00:00:25.640 --> 00:00:28.040]   for attaining financial independence.
[00:00:28.040 --> 00:00:29.920]   This recording is for informational purposes
[00:00:29.920 --> 00:00:33.240]   only and should not be construed as investment advice.
[00:00:33.240 --> 00:00:34.960]   Please note, this recording began
[00:00:34.960 --> 00:00:36.840]   a few minutes into the presentation,
[00:00:36.840 --> 00:00:38.540]   but nothing important was omitted.
[00:00:38.540 --> 00:00:41.200]   - It means that taking the money
[00:00:41.200 --> 00:00:43.240]   and investing it becomes more attractive.
[00:00:43.240 --> 00:00:45.680]   Of course, right now the opposite is true,
[00:00:45.680 --> 00:00:47.320]   so that's a point in favor of waiting,
[00:00:47.320 --> 00:00:49.680]   but if you're 50 right now
[00:00:49.680 --> 00:00:52.120]   and you're going to be making this decision
[00:00:52.120 --> 00:00:53.080]   12 years in the future,
[00:00:53.080 --> 00:00:54.960]   well, interest rates might look very different
[00:00:54.960 --> 00:00:56.120]   than they do right now.
[00:00:59.280 --> 00:01:02.440]   So when we move on to the more complicated situation
[00:01:02.440 --> 00:01:04.360]   of a married couple,
[00:01:04.360 --> 00:01:06.360]   the rough draft plan here
[00:01:06.360 --> 00:01:08.480]   is generally for the higher earner to wait
[00:01:08.480 --> 00:01:10.280]   all the way until age 70
[00:01:10.280 --> 00:01:14.480]   and for the lower earner to file as early as possible
[00:01:14.480 --> 00:01:16.760]   or close to age 62.
[00:01:16.760 --> 00:01:20.080]   And the reason for this,
[00:01:20.080 --> 00:01:23.080]   it has to do with the way that survivor benefits work.
[00:01:23.080 --> 00:01:24.440]   And specifically,
[00:01:27.360 --> 00:01:28.200]   what ends up happening
[00:01:28.200 --> 00:01:31.640]   is that once either of the two spouses dies,
[00:01:31.640 --> 00:01:34.720]   the surviving spouse generally
[00:01:34.720 --> 00:01:36.880]   is left with the larger of the two benefit amounts.
[00:01:36.880 --> 00:01:38.600]   It's the smaller one that disappears
[00:01:38.600 --> 00:01:40.520]   once one of the two spouses dies.
[00:01:40.520 --> 00:01:43.200]   So in other words,
[00:01:43.200 --> 00:01:45.520]   when the higher earner waits to take benefits,
[00:01:45.520 --> 00:01:47.680]   it increases the household benefit
[00:01:47.680 --> 00:01:50.280]   for as long as either of the two people is alive.
[00:01:50.280 --> 00:01:52.880]   So if the higher earner waits,
[00:01:52.880 --> 00:01:55.800]   it increases their own retirement benefit.
[00:01:55.800 --> 00:01:58.640]   But if that higher earner dies first,
[00:01:58.640 --> 00:01:59.640]   well, then the lower earner
[00:01:59.640 --> 00:02:01.840]   will now start getting a survivor benefit
[00:02:01.840 --> 00:02:03.760]   that is increased
[00:02:03.760 --> 00:02:06.240]   as a result of the fact that the higher earner waited.
[00:02:06.240 --> 00:02:07.280]   So the higher earner waiting
[00:02:07.280 --> 00:02:08.680]   increases the household benefit
[00:02:08.680 --> 00:02:11.160]   for as long as either person is living,
[00:02:11.160 --> 00:02:12.560]   or you could look at it
[00:02:12.560 --> 00:02:14.320]   as it increases the household benefit
[00:02:14.320 --> 00:02:17.360]   until the point at which both people have died.
[00:02:17.360 --> 00:02:19.120]   Now, on the other hand,
[00:02:19.120 --> 00:02:22.200]   when the lower earner delays benefits,
[00:02:22.200 --> 00:02:24.520]   it only increases the household benefit
[00:02:24.520 --> 00:02:27.520]   for as long as both people are alive.
[00:02:27.520 --> 00:02:29.200]   And it's basically the opposite reason.
[00:02:29.200 --> 00:02:31.160]   It's if the lower earner delays,
[00:02:31.160 --> 00:02:33.560]   that increases their retirement benefit.
[00:02:33.560 --> 00:02:34.400]   But if they die,
[00:02:34.400 --> 00:02:37.000]   then that benefit's no longer relevant.
[00:02:37.000 --> 00:02:39.320]   And if the higher earner dies first,
[00:02:39.320 --> 00:02:40.680]   then the lower earner's benefit
[00:02:40.680 --> 00:02:42.120]   will get stepped up to
[00:02:42.120 --> 00:02:44.480]   what the higher earner had been receiving.
[00:02:44.480 --> 00:02:46.640]   So again, when the lower earner waits,
[00:02:46.640 --> 00:02:49.120]   it only increases the amount that the household gets
[00:02:49.120 --> 00:02:50.480]   while both people are still living,
[00:02:50.480 --> 00:02:53.600]   or until the point at which one person has died.
[00:02:54.480 --> 00:02:56.040]   And the key point here
[00:02:56.040 --> 00:02:58.720]   is that until both people have died
[00:02:58.720 --> 00:03:00.120]   is a longer period of time
[00:03:00.120 --> 00:03:01.680]   than until one person has died.
[00:03:01.680 --> 00:03:03.200]   And that's why it's generally advantageous
[00:03:03.200 --> 00:03:04.680]   for the higher earner to wait.
[00:03:04.680 --> 00:03:08.760]   And I think it's kind of intuitive
[00:03:08.760 --> 00:03:11.360]   to look at this visually.
[00:03:11.360 --> 00:03:14.240]   And I think of there's basically four broad scenarios
[00:03:14.240 --> 00:03:15.800]   that can happen when you have two people.
[00:03:15.800 --> 00:03:18.440]   It's a two by two matrix basically.
[00:03:18.440 --> 00:03:19.280]   In the one corner,
[00:03:19.280 --> 00:03:20.800]   you have the case in which both people live
[00:03:20.800 --> 00:03:22.920]   beyond their life expectancy.
[00:03:22.920 --> 00:03:23.880]   And in the opposite corner,
[00:03:23.880 --> 00:03:25.520]   you have the case in which both people died
[00:03:25.520 --> 00:03:27.440]   before reaching their life expectancy.
[00:03:27.440 --> 00:03:29.720]   And then in the other two corners,
[00:03:29.720 --> 00:03:32.400]   you have the case in which one spouse dies early
[00:03:32.400 --> 00:03:35.640]   and the other person lives beyond their life expectancy.
[00:03:35.640 --> 00:03:39.200]   Now, when we're looking at these four options,
[00:03:39.200 --> 00:03:41.280]   or these four possible cases,
[00:03:41.280 --> 00:03:44.560]   for the filing date for the higher earner,
[00:03:44.560 --> 00:03:45.960]   we're concerned with how long it will be
[00:03:45.960 --> 00:03:48.040]   until both people have died.
[00:03:48.040 --> 00:03:48.880]   So in other words,
[00:03:48.880 --> 00:03:52.720]   what we're asking is how likely is it
[00:03:52.720 --> 00:03:56.600]   that at least one person will live a long time?
[00:03:56.600 --> 00:04:00.440]   Because if at least one person lives a long time,
[00:04:00.440 --> 00:04:02.840]   then it will have made sense
[00:04:02.840 --> 00:04:05.160]   for the higher earner to have waited to file.
