
[00:00:00.000 --> 00:00:05.840]   (applause)
[00:00:05.840 --> 00:00:07.000]   You can sign them.
[00:00:07.000 --> 00:00:10.920]   I want to introduce this great panel here.
[00:00:10.920 --> 00:00:12.240]   Mike Piper is here.
[00:00:12.240 --> 00:00:13.340]   Many of you know Mike.
[00:00:13.340 --> 00:00:16.420]   He's a phenomenal resource for so many of us.
[00:00:16.420 --> 00:00:19.020]   Mike is the treasurer of the John C. Bogle
[00:00:19.020 --> 00:00:21.020]   Center for Financial Literacy.
[00:00:21.020 --> 00:00:24.420]   He is an invaluable resource to the Center.
[00:00:24.420 --> 00:00:28.700]   He's a CPA, and he also offers hourly consultations
[00:00:28.760 --> 00:00:31.360]   on retirement taxes and investments.
[00:00:31.360 --> 00:00:34.640]   Mike, quick question, are you still accepting new
[00:00:34.640 --> 00:00:37.040]   clients for that sort of work?
[00:00:37.040 --> 00:00:40.000]   Mostly no.
[00:00:40.000 --> 00:00:42.740]   My schedule is very limited just because, as most of
[00:00:42.740 --> 00:00:45.420]   you know, most of my time is spent writing and doing
[00:00:45.420 --> 00:00:46.620]   the work related to that.
[00:00:46.620 --> 00:00:48.920]   So, my capacity is pretty limited.
[00:00:48.920 --> 00:00:50.280]   Okay.
[00:00:50.280 --> 00:00:54.560]   Mike has a fabulous blog, Oblivious Investor, and
[00:00:54.560 --> 00:00:57.260]   he also has written a number of super helpful
[00:00:57.320 --> 00:01:00.400]   small books on single topics.
[00:01:00.400 --> 00:01:03.400]   So, social security and tax planning are big areas
[00:01:03.400 --> 00:01:05.040]   of expertise for Mike.
[00:01:05.040 --> 00:01:08.040]   His latest was called More Than Enough, and it's a
[00:01:08.040 --> 00:01:10.280]   great resource for people whose retirements are
[00:01:10.280 --> 00:01:13.280]   well-funded, but they're thinking bigger picture.
[00:01:13.280 --> 00:01:16.420]   Mike has also created a wonderful social security
[00:01:16.420 --> 00:01:18.280]   calculator that I think many of you know.
[00:01:18.280 --> 00:01:19.880]   It's called Open Social Security.
[00:01:19.880 --> 00:01:22.120]   I'm seeing nods out there, which is great.
[00:01:22.120 --> 00:01:24.020]   John Luskin is also here.
[00:01:24.020 --> 00:01:26.580]   John is an hourly financial planner.
[00:01:26.660 --> 00:01:28.860]   John, too, is on our board for the John C.
[00:01:28.860 --> 00:01:31.360]   Bogle Center for Financial Literacy.
[00:01:31.360 --> 00:01:35.200]   He co-hosts the Bogleheads on Investing podcast, or
[00:01:35.200 --> 00:01:37.540]   at least he was doing it for a good period this
[00:01:37.540 --> 00:01:42.240]   summer while Rick was on his sabbatical sojourn in
[00:01:42.240 --> 00:01:44.300]   Alaska.
[00:01:44.300 --> 00:01:47.880]   John also hosts the Bogleheads Twitter spaces
[00:01:47.880 --> 00:01:51.380]   and is a great resource for many of us in the realm
[00:01:51.380 --> 00:01:54.660]   of retirement planning and investment planning.
[00:01:54.720 --> 00:01:56.740]   Last but not least, Wade Fow is here.
[00:01:56.740 --> 00:01:59.220]   We're very privileged to have Wade here.
[00:01:59.220 --> 00:02:02.080]   You all probably saw Wade in the general session
[00:02:02.080 --> 00:02:04.120]   just before lunch.
[00:02:04.120 --> 00:02:06.760]   Wade is a professor, researcher.
[00:02:06.760 --> 00:02:10.960]   His Retirement Planning Guidebook is the resource,
[00:02:10.960 --> 00:02:12.200]   in my opinion.
[00:02:12.200 --> 00:02:14.060]   If you're looking to buy a single book that covers
[00:02:14.060 --> 00:02:16.700]   every important topic under the umbrella of
[00:02:16.700 --> 00:02:19.100]   retirement planning, that's your book.
[00:02:19.100 --> 00:02:22.280]   And I had a friend recently reach out to me and say,
[00:02:22.280 --> 00:02:23.940]   "I've heard you talk about this book.
[00:02:24.000 --> 00:02:25.520]   Is it good for novices?"
[00:02:25.520 --> 00:02:28.180]   And I would say if you're serious about retirement
[00:02:28.180 --> 00:02:31.520]   planning, you owe it to yourself to get Wade's book.
[00:02:31.520 --> 00:02:34.980]   So, I want to get into the substance of the
[00:02:34.980 --> 00:02:39.260]   conversation, starting with retirement today and
[00:02:39.260 --> 00:02:43.920]   thinking about pre-retirees or people who expect to
[00:02:43.920 --> 00:02:46.840]   retire maybe within the next year or two.
[00:02:46.840 --> 00:02:49.740]   How's their timing right now?
[00:02:49.800 --> 00:02:53.500]   Wade?
[00:02:53.500 --> 00:02:57.540]   >> So, certainly it has never been a better time
[00:02:57.540 --> 00:03:00.420]   to access a variety of low-cost, do-it-yourself
[00:03:00.420 --> 00:03:01.520]   investment options.
[00:03:01.520 --> 00:03:04.280]   So, certainly investors have that going for them.
[00:03:04.280 --> 00:03:07.620]   I think about a case that Mike makes with respect to
[00:03:07.620 --> 00:03:08.720]   investing.
[00:03:08.720 --> 00:03:11.520]   I know you have your own 80/20 single fund that you
[00:03:11.520 --> 00:03:13.300]   use in tax advantage accounts.
[00:03:13.300 --> 00:03:15.960]   And there's no reason why retirees can't use a
[00:03:15.960 --> 00:03:18.740]   similar type of fund where they put all their money
[00:03:18.800 --> 00:03:21.260]   in once and it rebalances for them.
[00:03:21.260 --> 00:03:23.040]   It's just zero maintenance.
[00:03:23.040 --> 00:03:23.940]   It's low cost.
[00:03:23.940 --> 00:03:26.000]   It's a very great set-and-forget investing
[00:03:26.000 --> 00:03:26.680]   approach.
[00:03:26.680 --> 00:03:28.780]   Maybe 80/20 isn't the right mix for retirees, but
[00:03:28.780 --> 00:03:31.580]   Vanguard does have some other mixes in those life
[00:03:31.580 --> 00:03:32.880]   strategy funds.
[00:03:32.880 --> 00:03:35.920]   And even for taxable accounts, iShares, they
[00:03:35.920 --> 00:03:38.080]   have their line of tax-efficient ETFs, their
[00:03:38.080 --> 00:03:41.260]   allocation ETFs, which also could be a good fit, too.
[00:03:41.260 --> 00:03:44.220]   So, insofar as investing complexity, you don't need
[00:03:44.220 --> 00:03:44.900]   it.
[00:03:44.900 --> 00:03:46.100]   There's a lot of great solutions out there.
[00:03:46.100 --> 00:03:47.700]   And then even retirement planning, there's some
[00:03:47.760 --> 00:03:50.160]   great do-it-yourself tools for retirement planning.
[00:03:50.160 --> 00:03:52.560]   We interviewed Stephen Chen recently on the Global
[00:03:52.560 --> 00:03:54.340]   Heads on Investing podcast.
[00:03:54.340 --> 00:03:55.640]   We talked about do-it-yourself retirement
[00:03:55.640 --> 00:03:56.540]   planning tech.
[00:03:56.540 --> 00:03:59.840]   So, there are really some phenomenal resources for
[00:03:59.840 --> 00:04:02.080]   do-it-yourself retirement planning, financial
[00:04:02.080 --> 00:04:03.880]   planning, and investing out right now.
[00:04:03.880 --> 00:04:04.540]   Okay.
[00:04:04.540 --> 00:04:06.480]   And I should note, Steve Chen is here in the
[00:04:06.480 --> 00:04:07.240]   audience.
[00:04:07.240 --> 00:04:10.120]   Maybe not in this room, but he is here at the
[00:04:10.120 --> 00:04:10.780]   conference.
[00:04:10.780 --> 00:04:15.220]   I think one obvious point that we've been talking
[00:04:15.280 --> 00:04:18.920]   about the last couple of days is inflation-adjusted
[00:04:18.920 --> 00:04:21.880]   interest rates being high makes it a lot easier to
[00:04:21.880 --> 00:04:23.960]   feel comfortable spending at any given level from
[00:04:23.960 --> 00:04:26.420]   the portfolio than when inflation-adjusted
[00:04:26.420 --> 00:04:27.500]   interest rates are very low.
[00:04:27.500 --> 00:04:30.520]   So, in that sense, now is a good time to be a
[00:04:30.520 --> 00:04:31.260]   retiree.
[00:04:31.260 --> 00:04:34.460]   And I would definitely second that point.
[00:04:34.460 --> 00:04:36.260]   The real interest rate is really important.
[00:04:36.260 --> 00:04:38.780]   And then just to have a different answer also,
[00:04:38.780 --> 00:04:40.980]   there's some good news on the horizon in the
