
[00:00:00.000 --> 00:00:01.240]   we are becoming cyborgs.
[00:00:01.240 --> 00:00:04.080]   Like our brains are fundamentally changed.
[00:00:04.080 --> 00:00:05.780]   Everyone who grew up with electronics,
[00:00:05.780 --> 00:00:08.920]   we are fundamentally different from previous,
[00:00:08.920 --> 00:00:09.840]   from homo sapiens.
[00:00:09.840 --> 00:00:11.080]   I call us homo techno.
[00:00:11.080 --> 00:00:13.240]   I think we have evolved into homo techno,
[00:00:13.240 --> 00:00:15.800]   which is like essentially a new species.
[00:00:15.800 --> 00:00:17.840]   Previous technologies, I mean,
[00:00:17.840 --> 00:00:19.120]   may have even been more profound
[00:00:19.120 --> 00:00:20.180]   and moved us to a certain degree,
[00:00:20.180 --> 00:00:22.760]   but I think the computers are what make us homo techno.
[00:00:22.760 --> 00:00:25.600]   I think this is what, it's a brain augmentation.
[00:00:25.600 --> 00:00:27.860]   So it like allows for actual evolution.
[00:00:27.860 --> 00:00:29.480]   Like the computers accelerate the degree
[00:00:29.480 --> 00:00:32.700]   to which all the other technologies can also be accelerated.
[00:00:32.700 --> 00:00:34.760]   - Would you classify yourself as a homo sapien
[00:00:34.760 --> 00:00:35.640]   or a homo techno?
[00:00:35.640 --> 00:00:37.100]   - Definitely homo techno.
[00:00:37.100 --> 00:00:41.020]   - So you're one of the earliest of the species.
[00:00:41.020 --> 00:00:43.080]   - I think most of us are.
[00:00:43.080 --> 00:00:47.800]   - The following is a conversation with Grimes,
[00:00:47.800 --> 00:00:50.560]   an artist, musician, songwriter, producer, director,
[00:00:50.560 --> 00:00:53.080]   and a fascinating human being
[00:00:53.080 --> 00:00:55.520]   who thinks a lot about both the history
[00:00:55.520 --> 00:00:57.560]   and the future of human civilization.
[00:00:57.560 --> 00:00:59.840]   Studying the dark periods of our past
[00:00:59.840 --> 00:01:03.920]   to help form an optimistic vision of our future.
[00:01:03.920 --> 00:01:05.760]   This is the Alex Friedman Podcast.
[00:01:05.760 --> 00:01:07.880]   To support it, please check out our sponsors
[00:01:07.880 --> 00:01:09.000]   in the description.
[00:01:09.000 --> 00:01:11.960]   And now, dear friends, here's Grimes.
[00:01:11.960 --> 00:01:14.480]   - Oh yeah, the Cloudlifter, there you go.
[00:01:14.480 --> 00:01:15.320]   - There you go.
[00:01:15.320 --> 00:01:16.480]   You know your stuff.
[00:01:16.480 --> 00:01:18.280]   Have you ever used a Cloudlifter?
[00:01:18.280 --> 00:01:21.000]   - Yeah, I actually, this microphone Cloudlifter
[00:01:21.000 --> 00:01:23.480]   is what Michael Jackson used, so.
[00:01:23.480 --> 00:01:24.460]   - No, really?
[00:01:24.460 --> 00:01:26.040]   - Yeah, this is like thriller and stuff.
[00:01:26.040 --> 00:01:27.640]   - This mic and the Cloudlifter?
[00:01:27.640 --> 00:01:30.640]   - And that, yeah, it's an incredible microphone.
[00:01:30.640 --> 00:01:32.080]   It's very flattering on vocals.
[00:01:32.080 --> 00:01:33.640]   I've used this a lot.
[00:01:33.640 --> 00:01:34.760]   It's great for demo vocals.
[00:01:34.760 --> 00:01:36.080]   It's great in a room.
[00:01:36.080 --> 00:01:38.300]   Like, sometimes it's easier to record vocals
[00:01:38.300 --> 00:01:40.640]   if you're just in a room and like the music's playing
[00:01:40.640 --> 00:01:41.960]   and you just wanna like feel it
[00:01:41.960 --> 00:01:43.080]   so it's not in the headphones.
[00:01:43.080 --> 00:01:44.720]   And this mic is pretty directional,
[00:01:44.720 --> 00:01:47.760]   so I think it's like a good mic for like just vibing out
[00:01:47.760 --> 00:01:49.880]   and just getting a real good vocal take.
[00:01:49.880 --> 00:01:51.880]   - Just vibing, just in a room.
[00:01:51.880 --> 00:01:55.920]   - Anyway, this is the Michael Jackson, Quincy Jones
[00:01:55.920 --> 00:01:57.000]   microphone.
[00:01:57.000 --> 00:01:58.800]   - I feel way more badass now.
[00:01:58.800 --> 00:02:00.360]   All right, let's get in.
[00:02:00.360 --> 00:02:01.760]   You wanna just get into it?
[00:02:01.760 --> 00:02:03.040]   - I guess so.
[00:02:03.040 --> 00:02:04.760]   - All right, one of your names,
[00:02:04.760 --> 00:02:08.280]   at least in this space and time, is C, like the letter C.
[00:02:08.280 --> 00:02:11.240]   And you told me that C means a lot of things.
[00:02:11.240 --> 00:02:12.600]   It's the speed of light.
[00:02:12.600 --> 00:02:14.680]   It's the render rate of the universe.
[00:02:14.680 --> 00:02:16.120]   It's yes in Spanish.
[00:02:16.120 --> 00:02:17.640]   It's the crescent moon.
[00:02:17.640 --> 00:02:21.120]   And it happens to be my favorite programming language
[00:02:21.120 --> 00:02:24.120]   'cause it basically runs the world,
[00:02:24.120 --> 00:02:28.160]   but it's also powerful, fast, and it's dangerous
[00:02:28.160 --> 00:02:29.960]   'cause you can mess things up really bad with it
[00:02:29.960 --> 00:02:31.120]   'cause of all the pointers.
[00:02:31.120 --> 00:02:33.960]   But anyway, which of these associations
[00:02:33.960 --> 00:02:36.560]   with the name C is the coolest to you?
[00:02:36.560 --> 00:02:40.680]   - I mean, to me, the coolest is the speed of light,
[00:02:40.680 --> 00:02:42.680]   obviously, or the speed of light.
[00:02:42.680 --> 00:02:44.360]   When I say render rate of the universe,
[00:02:44.360 --> 00:02:46.280]   I think I mean the speed of light
[00:02:46.280 --> 00:02:49.080]   because essentially that's what we're rendering at.
