
[00:00:00.000 --> 00:00:05.480]   Good Wednesday morning.
[00:00:05.480 --> 00:00:12.160]   Well, on Monday we looked at the topic of suffering, namely the divine design behind
[00:00:12.160 --> 00:00:13.400]   suffering.
[00:00:13.400 --> 00:00:18.560]   What is God doing inside of us when trials hit?
[00:00:18.560 --> 00:00:20.880]   That was APJ 1852.
[00:00:20.880 --> 00:00:24.040]   God is the great physician.
[00:00:24.040 --> 00:00:29.920]   He knows how to use pain in our lives to kill inside of us the sin that robs us of the
[00:00:29.920 --> 00:00:37.520]   greatest pleasures, namely enjoying Christ as our greatest treasure.
[00:00:37.520 --> 00:00:43.240]   That Monday episode was a deep exploration into why suffering is not paradoxical to the
[00:00:43.240 --> 00:00:46.420]   joy aims of Christian hedonists.
[00:00:46.420 --> 00:00:50.520]   As a compliment to that episode, I want to play for you a sermon clip today, one that
[00:00:50.520 --> 00:00:52.440]   stands out to me.
[00:00:52.440 --> 00:00:56.400]   In this clip, Pastor John explains how to prepare for suffering.
[00:00:56.400 --> 00:01:02.760]   If we're going to suffer well, what groundwork must happen inside of us first?
[00:01:02.760 --> 00:01:08.280]   This is a crucial point to be made with principles drawn for Paul's own ministry in Philippians
[00:01:08.280 --> 00:01:10.680]   chapter 3 verses 1 to 11.
[00:01:10.680 --> 00:01:15.160]   Here's Pastor John to explain the text.
[00:01:15.160 --> 00:01:17.200]   You know this list, don't you?
[00:01:17.200 --> 00:01:25.720]   He's listing off his distinctives that as an unbeliever, he really enjoyed.
[00:01:25.720 --> 00:01:32.240]   Surprised on the eighth day of the people of Israel, of the tribe of Benjamin, a Hebrew
[00:01:32.240 --> 00:01:34.320]   of Hebrews.
[00:01:34.320 --> 00:01:39.040]   That's a pedigree, which in the Jewish culture was simply awesome.
[00:01:39.040 --> 00:01:43.920]   And when you got a good pedigree, you strut your pedigree, you get the praises and you
[00:01:43.920 --> 00:01:50.280]   bask in the pleasures of the admiration of being a man with a pedigree.
[00:01:50.280 --> 00:01:52.080]   Mm, mm.
[00:01:52.080 --> 00:01:53.080]   Feels so good.
[00:01:53.080 --> 00:01:55.180]   Feels so good.
[00:01:55.180 --> 00:01:56.180]   This is satisfying.
[00:01:56.180 --> 00:02:01.720]   I've got a pedigree and people know it.
[00:02:01.720 --> 00:02:04.640]   That's the unbeliever's satisfaction.
[00:02:04.640 --> 00:02:05.640]   That's the Paul.
[00:02:05.640 --> 00:02:15.560]   And then he adds, at the end of verse 5, "I've got three other things that make my life glorious.
[00:02:15.560 --> 00:02:27.380]   I am Pharisee and there are no better law knowers and law keepers than Pharisees and
[00:02:27.380 --> 00:02:29.980]   I'm outstanding."
[00:02:29.980 --> 00:02:35.820]   It's said in another place, "I have exceeded all of my kinsmen in this."
[00:02:35.820 --> 00:02:38.660]   Oh, he had a lot going for him.
[00:02:38.660 --> 00:02:42.860]   His total reputation.
[00:02:42.860 --> 00:02:51.220]   And zeal-wise, I took on the church, this renegade sect that's undermining what I've
[00:02:51.220 --> 00:02:57.100]   lived for, calling this crucified criminal the Messiah.
[00:02:57.100 --> 00:02:58.100]   What a blasphemy.
[00:02:58.100 --> 00:03:03.500]   And I'm taking it on from city to city and bring it down.
[00:03:03.500 --> 00:03:04.620]   That's who I am.
[00:03:04.620 --> 00:03:05.900]   That's my identity.
[00:03:05.900 --> 00:03:07.260]   Has anybody got a zeal?
[00:03:07.260 --> 00:03:08.820]   I've got a zeal.
[00:03:08.820 --> 00:03:11.340]   The rest of you cowards are afraid to take it on.
[00:03:11.340 --> 00:03:13.380]   I'll take it on.
[00:03:13.380 --> 00:03:18.780]   Oh, meaning, significance, purpose in life.
[00:03:18.780 --> 00:03:19.780]   Yes.
[00:03:19.780 --> 00:03:26.860]   And then he said, with regard to righteousness in the law, blameless.
[00:03:26.860 --> 00:03:34.380]   I think Paul was by and large free in his conscience.
[00:03:34.380 --> 00:03:38.640]   I know a lot of people try to say, "Oh, his conscience was killing him all the time because
[00:03:38.640 --> 00:03:39.640]   of this and that."
[00:03:39.640 --> 00:03:43.060]   I said, "I'm not sure of that."
[00:03:43.060 --> 00:03:46.300]   He said, "I was blameless."
[00:03:46.300 --> 00:03:52.580]   He was blind, but he was blameless in his eyes.
[00:03:52.580 --> 00:04:11.140]   Now he meets Christ, Acts chapter 9, on the Damascus Road, and suddenly his world collapses.
[00:04:11.140 --> 00:04:19.840]   He was getting his meaning from a zeal, an allegiance to the law as he understood it,
[00:04:19.840 --> 00:04:29.400]   a passion for God as he understood it, and at the core of it was the opposite, Jesus,
[00:04:29.400 --> 00:04:42.160]   crucified, pretender, criminal, rightly executed, and people saying, "He's the Messiah."
[00:04:42.160 --> 00:04:51.720]   And there he was, alive, with a glory so bright, a greatness so great.
[00:04:51.720 --> 00:04:59.200]   It blinded Paul, and all he could do was listen, "Why do you persecute me?"
[00:04:59.200 --> 00:05:04.640]   And his life was over.
[00:05:04.640 --> 00:05:10.960]   How at that juncture did he prepare himself to suffer?
[00:05:10.960 --> 00:05:23.600]   Verse 7, he said, "Whatever things were gained to me, those things I have counted as loss
[00:05:23.600 --> 00:05:26.880]   for the sake of Christ."
[00:05:26.880 --> 00:05:28.720]   That's what he did.
[00:05:28.720 --> 00:05:36.680]   He looked at his life, and all that list, all that pedigree, all those achievements,
[00:05:36.680 --> 00:05:39.560]   all that reputation.
[00:05:39.560 --> 00:05:46.080]   He said, "Now, I will regard that as loss.
[00:05:46.080 --> 00:05:51.360]   I will regard that as loss."
[00:05:51.360 --> 00:06:01.280]   In other words, I have now consciously reversed, turned upside down my value system.
[00:06:01.280 --> 00:06:03.800]   This is how you prepare to suffer.
[00:06:03.800 --> 00:06:09.320]   You turn upside down your value system.
[00:06:09.320 --> 00:06:14.480]   So before he was a Christian, he had a ledger, all right?
[00:06:14.480 --> 00:06:20.520]   Loss column, profit column, gain, gain-loss, two columns.
[00:06:20.520 --> 00:06:30.800]   Over here in the column of gain, profit was Hebrew of Hebrews, astonishing pedigree.
[00:06:30.800 --> 00:06:36.360]   Pharisee, zeal, blameless, off the charts.
[00:06:36.360 --> 00:06:38.320]   What a gain column he had.
[00:06:38.320 --> 00:06:45.880]   And over here in loss was this horrible opposition and the possibility that Christ Jesus might
[00:06:45.880 --> 00:06:50.280]   be the Messiah, and that's not going to happen.
