
[00:00:00.040 --> 00:00:09.540]   disregard
[00:00:09.540 --> 00:00:28.080]   " Ed. E
[00:00:28.720 --> 00:00:40.200]   of
[00:00:40.200 --> 00:00:43.260]  這 want a,,,,
[00:00:43.260 --> 00:00:58.620]   cone Jeremy I had a nice. And I are at the sub . . . . . . . . . . кон
[00:00:58.760 --> 00:01:09.180]   Fre
[00:01:09.180 --> 00:01:11.080]   IL C better. Watching, ", joking, it has a good Ca mouvement toughチ within the chin, the, their, need, go, is,ун, weigh, życie,arn,ough,�,�and,�–ind--í–an--—— conven- TED-ר- basement-
[00:01:28.780 --> 00:01:37.440]   téc de
[00:01:37.440 --> 00:01:58.080]   I this. your.
[00:01:58.700 --> 00:02:07.160]   be
[00:02:07.160 --> 00:02:10.200]   they the
[00:02:28.720 --> 00:02:35.700]   between
[00:02:35.700 --> 00:02:39.860]   once,
[00:02:39.860 --> 00:02:45.260]   SCH SN F 100,,,,,,, just my me in the house I I I I It I L 2022aur
[00:02:45.260 --> 00:02:58.700]   minus
[00:02:58.740 --> 00:03:26.960]   out
[00:03:26.960 --> 00:03:28.060]   Sch Sch I,,,,, el kho Greg англий legend.E.of.p. whereas we are not a Deshalb bam nhân five kind of a convince the boy, and, or, and, and, and, and, and, ,, ,, , ,, , , . , , .. . .. . .. . . . . . Earth desire to only Licht figure 더� milk but� ISS educ buy it's baby Pearson acquire the mentalandez steadünf portion of the poorreci coming يا利 applies the endình 12 의�annah sex María ex appeared unless axe tackle byomo Хetes loveOut con syrup remember the tablets Есть trunk about the H уч deals grand niceob Lip track a show vin railroad erstmal de silence politicalassis大 layered dat even •T Git Park Hailvalue day,
[00:03:28.100 --> 00:03:38.440]   ac
[00:03:38.440 --> 00:03:39.600]   the that 지�
[00:03:39.600 --> 00:03:48.280]   facilitate. . .., and, and,,,,,,,, fine remained dead di act Nim He Gob "P "G "G" "G" " owe 10
[00:03:48.280 --> 00:03:57.080]   - I've- me, is, it's, a is a certain series no Air I'm a like a這23 Mr. It's less cinema Сам tell a
[00:03:57.160 --> 00:04:23.560]   children.
[00:04:23.560 --> 00:04:26.220]   - I'm similarly if I don't have entertainment and I've got four kids, I'm going to be able to do that.
[00:04:26.220 --> 00:04:26.220]   - I'm going to be able to do that.
[00:04:26.220 --> 00:04:26.220]   - I'm going to be able to do that.
[00:04:26.220 --> 00:04:26.220]   - I'm going to be able to do that.
[00:04:26.220 --> 00:04:26.220]   - I'm going to be able to do that.
[00:04:26.220 --> 00:04:26.340]   - I'm going to be able to do that.
[00:04:26.340 --> 00:04:26.400]   - I'm going to be able to do that.
[00:04:26.400 --> 00:04:26.440]   - I'm going to be able to do that.
[00:04:26.440 --> 00:04:26.560]   - I'm going to be able to do that.
[00:04:26.560 --> 00:04:26.600]   - I'm going to be able to do that.
[00:04:26.600 --> 00:04:26.680]   - I'm going to be able to do that.
[00:04:26.680 --> 00:04:26.780]   - I'm going to be able to do that.
[00:04:26.780 --> 00:04:26.820]   - I'm going to be able to do that.
[00:04:26.820 --> 00:04:26.860]   - I'm going to be able to do that.
[00:04:26.860 --> 00:04:26.880]   - I'm going to be able to do that.
[00:04:26.920 --> 00:04:56.720]   I'm going to be able to do that.
[00:04:56.720 --> 00:04:56.760]   - I'm going to be able to do that.
[00:04:56.760 --> 00:04:56.780]   - I'm going to be able to do that.
[00:04:56.780 --> 00:04:56.800]   - I'm going to be able to do that.
[00:04:56.800 --> 00:04:56.840]   - I'm going to be able to do that.
[00:04:56.840 --> 00:04:56.860]   - I'm going to be able to do that.
[00:04:56.860 --> 00:04:56.880]   - I'm going to be able to do that.
[00:04:56.880 --> 00:04:56.900]   - I'm going to be able to do that.
[00:04:56.900 --> 00:04:56.920]   - I'm going to be able to do that.
[00:04:56.920 --> 00:04:56.940]   - I'm going to be able to do that.
[00:04:56.980 --> 00:05:02.840]   Lip
[00:05:02.840 --> 00:05:24.360]   con cres cow sky out, they, they, they, they, they, they, them, the, the, the, the, the, in the, utilize,�.�.�.�. 생각이 good cleared continuously 세
[00:05:24.360 --> 00:05:26.220]   there
[00:05:26.540 --> 00:05:30.340]   guess
[00:05:30.340 --> 00:05:39.960]   music even
[00:05:39.960 --> 00:05:44.760]   / leads in the guy that is the fork gagn
[00:05:54.680 --> 00:06:22.820]   but often leads to death. So in this situation if you're prepared and you know that I don't have to rush out and buy supplies the last moment you can minimize your contact with other people who might be contagious. That could be the thing that keeps you from getting sick. You don't know and how could you ever prove that. But if a lot of people around you are contagious and you're going out rushing out trying to figure out how to buy supplies the last minute that could be the thing that keeps you from getting sick.
[00:06:22.820 --> 00:06:22.820]   That could be the thing that keeps you from getting sick.
[00:06:22.820 --> 00:06:22.820]   That could be the thing that keeps you from getting sick.
[00:06:22.820 --> 00:06:22.820]   That could be the thing that keeps you from getting sick.
