
[00:00:00.000 --> 00:00:04.640]   [MUSIC]
[00:00:04.640 --> 00:00:07.840]   All right, so what are we starting off with today?
[00:00:07.840 --> 00:00:08.880]   All right, so we got a call.
[00:00:08.880 --> 00:00:12.320]   The first call is basically about the different types of people
[00:00:12.320 --> 00:00:15.600]   and how they go about planning.
[00:00:15.600 --> 00:00:16.800]   Hi, Cal.
[00:00:16.800 --> 00:00:19.440]   My name is Johan van der Putte.
[00:00:19.440 --> 00:00:21.600]   I'm a Belgian psychologist.
[00:00:21.600 --> 00:00:26.280]   And I've been thinking that there's probably a continuum.
[00:00:26.280 --> 00:00:31.720]   At one end of it, you have people who are skilled at planning,
[00:00:31.720 --> 00:00:33.320]   or they have become skilled at it.
[00:00:33.320 --> 00:00:36.360]   And then you have people who, a bit like me,
[00:00:36.360 --> 00:00:39.040]   aren't so skilled at it.
[00:00:39.040 --> 00:00:45.520]   I guess planning involves dividing up life into tasks
[00:00:45.520 --> 00:00:52.240]   and then allocating these tasks to pockets of time.
[00:00:52.240 --> 00:00:58.480]   I guess it requires some special skill.
[00:00:58.480 --> 00:01:01.000]   I think I'm not very good at it.
[00:01:01.000 --> 00:01:03.920]   It is hard for me to do.
[00:01:03.920 --> 00:01:08.440]   And it makes me sometimes stressed and a bit anxious
[00:01:08.440 --> 00:01:10.840]   when I try to do it.
[00:01:10.840 --> 00:01:16.480]   You have any suggestions of how people who maybe aren't so
[00:01:16.480 --> 00:01:25.200]   talented at it, how they could move in this direction
[00:01:25.200 --> 00:01:33.560]   without attempting to become very good planners
[00:01:33.560 --> 00:01:35.720]   in the short time?
[00:01:35.720 --> 00:01:38.000]   Thank you.
[00:01:38.000 --> 00:01:40.320]   Well, I think it's an important question.
[00:01:40.320 --> 00:01:43.200]   And I am going to give you what I think
[00:01:43.200 --> 00:01:45.360]   of as planning baby steps, like a way
[00:01:45.360 --> 00:01:50.000]   to ease yourself into something that looks more like my time
[00:01:50.000 --> 00:01:51.480]   management philosophy.
[00:01:51.480 --> 00:01:53.320]   And for those who are interested about that,
[00:01:53.320 --> 00:01:58.880]   we did a core idea video about my time management philosophy
[00:01:58.880 --> 00:02:04.360]   that you can find at the YouTube.com/CalNewportMedia
[00:02:04.360 --> 00:02:04.960]   YouTube page.
[00:02:04.960 --> 00:02:07.200]   You can find that core idea video on time management.
[00:02:07.200 --> 00:02:09.520]   So I do have some baby steps to help you get into that.
[00:02:09.520 --> 00:02:13.520]   But let me just first emphasize that, yes, planning
[00:02:13.520 --> 00:02:16.080]   is anxiety producing.
[00:02:16.080 --> 00:02:21.000]   And that that shouldn't come across if this happens to you.
[00:02:21.000 --> 00:02:24.080]   Should not come across as if there's something wrong.
[00:02:24.080 --> 00:02:25.920]   It's just the reality of planning
[00:02:25.920 --> 00:02:27.240]   is that it's anxiety producing.
[00:02:27.240 --> 00:02:29.680]   And the reason is because you are confronting.
[00:02:29.680 --> 00:02:33.880]   You are confronting this typically too large stack
[00:02:33.880 --> 00:02:36.160]   of things that you have been committed to doing.
