
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:09.800]   "Spend your life to build a church that does not live like the world."
[00:00:09.800 --> 00:00:14.600]   This was the invitation of John Piper to Christian leaders at the Together for the Gospel conference
[00:00:14.600 --> 00:00:17.160]   back in 2008.
[00:00:17.160 --> 00:00:18.160]   This is what he said.
[00:00:18.160 --> 00:00:24.560]   "I want to put it in a wider context for what my heart is for this moment and this conference.
[00:00:24.560 --> 00:00:27.360]   I don't come here for nothing.
[00:00:27.360 --> 00:00:31.240]   I want something, I want you to do something.
[00:00:31.240 --> 00:00:35.560]   I want this world to be rocked by your lives.
[00:00:35.560 --> 00:00:41.200]   So I'll tell you what I'm praying, what I want to happen, and I think the brothers with
[00:00:41.200 --> 00:00:44.680]   me would agree who lead this conference.
[00:00:44.680 --> 00:00:52.040]   My desire and prayer to God is that your life and your ministry would have a radical flavor,
[00:00:52.040 --> 00:01:02.400]   a risk-taking flavor, a gutsy, counter-cultural, wartime flavor that makes average American
[00:01:02.400 --> 00:01:07.200]   people in your church uncomfortable.
[00:01:07.200 --> 00:01:15.480]   A strange mixture of tenderness and toughness that keeps people a little bit off balance.
[00:01:15.480 --> 00:01:23.440]   A pervasive summons to something more, something hazardous, something wonderful, a saltiness
[00:01:23.440 --> 00:01:28.640]   and a brightness about your life and about your church.
[00:01:28.640 --> 00:01:30.320]   Something like Jesus.
[00:01:30.320 --> 00:01:35.160]   When Jesus said, "You're the salt of the earth and you're the light of the world," I think
[00:01:35.160 --> 00:01:40.800]   He had in mind the verse just before.
[00:01:40.800 --> 00:01:47.720]   They will persecute you and revile you and say all kinds of evil against you falsely
[00:01:47.720 --> 00:01:49.320]   on my account.
[00:01:49.320 --> 00:01:53.560]   Rejoice, for great is your reward in heaven.
[00:01:53.560 --> 00:01:58.320]   I think that's what makes salt.
[00:01:58.320 --> 00:02:04.120]   Salt and light are joyful embrace of suffering.
[00:02:04.120 --> 00:02:09.760]   That's what the world is waiting for.
[00:02:09.760 --> 00:02:13.960]   Jesus said, "Do this.
[00:02:13.960 --> 00:02:16.440]   Be light, be salt."
[00:02:16.440 --> 00:02:21.400]   My desire for you, my prayer, and I've been praying this over and over again for you,
[00:02:21.400 --> 00:02:27.320]   I hope you already are ready, I hope you feel God doing this already in your life, my desire
[00:02:27.320 --> 00:02:32.200]   is that your life and ministry would have a radical flavor.
[00:02:32.200 --> 00:02:38.560]   Reviling comes, persecution comes, slander comes, and you rejoice.
