
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:00:03.080 --> 00:00:10.920]   - Welcome to another episode of Curious Mike.
[00:00:10.920 --> 00:00:11.800]   I'm here with my guy.
[00:00:11.800 --> 00:00:13.840]   Why don't you introduce yourself to the people?
[00:00:13.840 --> 00:00:15.840]   - My name's Josh Findley.
[00:00:15.840 --> 00:00:18.640]   I'm a retired special agent from Homeland Security.
[00:00:18.640 --> 00:00:19.560]   - Got you.
[00:00:19.560 --> 00:00:21.840]   And the way this interview came about
[00:00:21.840 --> 00:00:23.200]   is actually kind of unique.
[00:00:23.200 --> 00:00:26.160]   You ran into my brother on a plane
[00:00:26.160 --> 00:00:27.440]   and he, I guess you guys,
[00:00:27.440 --> 00:00:29.480]   had the most interesting conversation
[00:00:29.480 --> 00:00:31.200]   and he texted me right when he landed.
[00:00:31.200 --> 00:00:33.000]   He texted our family group chat and was like,
[00:00:33.000 --> 00:00:34.600]   "I just met the most interesting guy.
[00:00:34.600 --> 00:00:36.400]   "He had the craziest stories."
[00:00:36.400 --> 00:00:38.200]   Like, "Mike, you need to get him on your podcast."
[00:00:38.200 --> 00:00:40.760]   So how did you, so you and my brother just
[00:00:40.760 --> 00:00:41.920]   were sitting next to each other on the airplane?
[00:00:41.920 --> 00:00:42.760]   How'd that go?
[00:00:42.760 --> 00:00:47.400]   - Yeah, I was flying from Portland to Washington, D.C.
[00:00:47.400 --> 00:00:48.760]   with a layover in Chicago
[00:00:48.760 --> 00:00:52.600]   and Jonte's team had just played in Portland
[00:00:52.600 --> 00:00:55.000]   the night before and they were flying to Chicago
[00:00:55.000 --> 00:00:56.600]   and he was sitting next to me
[00:00:56.600 --> 00:00:59.120]   and I just recently retired.
[00:00:59.120 --> 00:01:01.080]   Like, when we were on the plane,
[00:01:01.080 --> 00:01:02.840]   I'd probably been like less than two weeks
[00:01:02.840 --> 00:01:06.000]   that I'd retired and it's kind of nice
[00:01:06.000 --> 00:01:07.480]   that I get to talk about stuff now
[00:01:07.480 --> 00:01:10.040]   'cause when you're working for the government,
[00:01:10.040 --> 00:01:12.520]   you know, there's a lot of stuff you can't talk about
[00:01:12.520 --> 00:01:17.520]   and so we started talking and I was telling him some stories
[00:01:17.520 --> 00:01:19.920]   and he was asking me questions
[00:01:19.920 --> 00:01:24.040]   and he was like, "Dude, my brother just had this girl
[00:01:24.040 --> 00:01:27.600]   who's a survivor of human trafficking on his podcast.
[00:01:27.600 --> 00:01:30.040]   Like, I think you'd be like great for that."
[00:01:30.040 --> 00:01:32.880]   And so we talked about that and I was like,
[00:01:32.880 --> 00:01:35.000]   "Yeah, dude, I'd be happy to do it."
[00:01:35.000 --> 00:01:38.360]   And I had no clue that you were his brother, you know?
[00:01:38.360 --> 00:01:41.600]   So all I knew him was as Jonte at that point, so.
[00:01:41.600 --> 00:01:42.960]   - Right, that's awesome.
[00:01:42.960 --> 00:01:45.440]   Nah, I was super excited to talk to you.
[00:01:45.440 --> 00:01:47.760]   For the people listening, like and for honestly me,
[00:01:47.760 --> 00:01:49.280]   what exactly is Homeland Security?
[00:01:49.280 --> 00:01:53.120]   I know I've heard the name, but what exactly is that job?
[00:01:53.120 --> 00:01:56.640]   - So there's, it would be similar
[00:01:56.640 --> 00:01:58.920]   to what you would think as an FBI agent, right?
[00:01:58.920 --> 00:02:03.920]   So after 2001, 9/11, the government reorganized
[00:02:03.920 --> 00:02:08.680]   and created the Department of Homeland Security in 2003.
[00:02:08.680 --> 00:02:10.120]   So it has many different factions.
[00:02:10.120 --> 00:02:12.400]   The Secret Service is under Homeland Security,
[00:02:12.400 --> 00:02:15.140]   the Border Patrol, Customs,
[00:02:15.140 --> 00:02:18.200]   all those are under Homeland Security.
[00:02:18.200 --> 00:02:22.060]   Well, prior to 2003, there had been special agents
[00:02:22.060 --> 00:02:24.440]   for U.S. Customs, there had been special agents
[00:02:24.440 --> 00:02:26.680]   for immigration, there had been all these different
[00:02:26.680 --> 00:02:28.800]   special agents in Homeland Security.
[00:02:28.800 --> 00:02:31.560]   So they brought them together to be one group,
[00:02:31.560 --> 00:02:35.320]   which eventually became Homeland Security Investigations.
[00:02:35.320 --> 00:02:38.680]   And it brought together all those authorities
[00:02:38.680 --> 00:02:40.160]   to investigate crimes.
[00:02:40.160 --> 00:02:42.760]   And so it has one of the broadest set of authorities
[00:02:42.760 --> 00:02:44.620]   to investigate crimes in the U.S.
[00:02:44.620 --> 00:02:47.400]   - How did you find yourself wanting
[00:02:47.400 --> 00:02:48.960]   to be in that line of work?
[00:02:48.960 --> 00:02:50.400]   - So ever since I was a kid,
[00:02:50.400 --> 00:02:53.480]   I thought I wanted to be an FBI agent.
