
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:11.000]   God's creation is good, and since God's creation is good, we are free to feast to God's glory. Right?
[00:00:11.000 --> 00:00:19.000]   Well, no, not exactly. There's more to proper God-centered thanksgiving than simply acknowledging the goodness of creation.
[00:00:19.000 --> 00:00:28.000]   Tomorrow in the States we celebrate Thanksgiving, which makes it a great time to revisit John Piper's sermon on 1 Timothy 4:1-5,
[00:00:28.000 --> 00:00:34.000]   which he preached in 2013 at the DG National Conference on C.S. Lewis.
[00:00:34.000 --> 00:00:43.000]   For this clip we're going to jump into the middle of his exposition of 1 Timothy 4 verses 1-5, so let me read the text first before we dive in.
[00:00:43.000 --> 00:00:45.000]   Here's what it says.
[00:00:45.000 --> 00:00:54.000]   "Now the Spirit expressly says that in later times some will depart from the faith by devoting themselves to deceitful spirits and teachings of demons,
[00:00:54.000 --> 00:01:07.000]   through the insincerity of liars whose consciences are seared, who forbid marriage and require abstinence from foods that God created to be received with thanksgiving
[00:01:07.000 --> 00:01:11.000]   by those who believe and know the truth.
[00:01:11.000 --> 00:01:18.000]   For everything created by God is good, and nothing is to be rejected if it is received with thanksgiving,
[00:01:18.000 --> 00:01:25.000]   for it is made holy by the word of God and prayer."
[00:01:25.000 --> 00:01:27.000]   Here now is Pastor John.
[00:01:27.000 --> 00:01:45.000]   So it seems to me here that the plainest thing so far about Paul's response is that you have three acts that relate to God in what to do with food,
[00:01:45.000 --> 00:01:49.000]   and none of them is an act of the stomach or the taste buds.
[00:01:49.000 --> 00:01:52.000]   They're all acts of mind and heart.
[00:01:52.000 --> 00:01:54.000]   One, thanking.
[00:01:54.000 --> 00:01:56.000]   Two, believing.
[00:01:56.000 --> 00:01:58.000]   Three, knowing.
[00:01:58.000 --> 00:02:09.000]   So the most obvious thing is to see that at least part of what makes eating worship is acts that are not eating.
[00:02:09.000 --> 00:02:19.000]   Right? Thanking, believing, knowing are what make eating worship.
[00:02:19.000 --> 00:02:29.000]   And without thanking, believing, and knowing what you need to know in order to thank and believe, you're not worshiping when you eat.
[00:02:29.000 --> 00:02:35.000]   Eating food becomes worship by acts that terminate on God, not food, not merely on food.
[00:02:35.000 --> 00:02:38.000]   We'll get back to that in a minute.
[00:02:38.000 --> 00:02:42.000]   Thanking is for food to God, right?
[00:02:42.000 --> 00:02:48.000]   To God. It's not thanks if it's just a vague sense of thankfulness with no object.
[00:02:48.000 --> 00:02:52.000]   Paul is certainly not interested in that kind of thanksgiving.
[00:02:52.000 --> 00:02:56.000]   Like everybody in America has Thanksgiving. They say some thanks, they don't know who they're saying it to.
[00:02:56.000 --> 00:02:59.000]   He's not the least interested in that kind of thanksgiving.
[00:02:59.000 --> 00:03:05.000]   This is the living creator God being addressed by our souls with joyful dependence.
[00:03:05.000 --> 00:03:11.000]   Thank you. Thank you. Thank you.
[00:03:11.000 --> 00:03:15.000]   Believing and knowing.
[00:03:15.000 --> 00:03:17.000]   Believing is believing in God.
[00:03:17.000 --> 00:03:25.000]   Believing in his son. Believing in the cross. Believing that you're forgiven and therefore these blessings are not ripening you for hell.
[00:03:25.000 --> 00:03:30.000]   Which Romans 2, 4 says they do if you don't believe.
[00:03:30.000 --> 00:03:35.000]   And knowing. Knowing terminates on the truth and the ultimate truth is God.
[00:03:35.000 --> 00:03:41.000]   So the things that make food worship, make eating worship, are Godward things.
